OG0000014	OFRAG00000000769.1
OG0017045	
OG0017079	
OG0017188	
OG0017190	OFRAG00000013507.1
OG0017193	
OG0017211	
OG0017266	
OG0017267	
OG0017331	
OG0017359	
OG0017393	
OG0017514	
OG0017629	
OG0017635	
OG0017694	
OG0017771	
OG0017886	
OG0017929	
OG0017964	
OG0017985	
OG0017999	
OG0018034	
OG0018322	
OG0018707	
OG0018710	
OG0018722	
OG0018752	
OG0018965	
OG0018968	
OG0018971	
OG0018972	OFRAG00000017284.1
OG0019009	
OG0019061	
OG0019165	
OG0019280	
OG0019469	
OG0019539	
OG0019714	
OG0019851	
OG0019877	
OG0019948	
OG0019958	
OG0019959	
OG0019973	
OG0020000	
OG0020015	
OG0020022	
OG0020027	
OG0020032	
OG0020039	
OG0020047	
OG0020086	
OG0020089	
OG0020110	
OG0020152	
OG0020298	
OG0021030	
OG0021079	
OG0021165	
OG0021166	
OG0021168	
OG0021193	
OG0021300	
OG0021443	
OG0021444	
OG0021445	
OG0021516	
OG0021657	OFRAG00000015545.1
OG0021678	
OG0021699	
OG0021703	
OG0021805	
OG0021819	
OG0021841	
OG0021870	
OG0021929	
OG0021943	
OG0021998	
OG0022007	
OG0022136	
OG0022155	
OG0022190	
OG0022402	
OG0022425	
OG0022646	
OG0022767	
OG0022793	
OG0022814	
OG0022817	
OG0022836	
OG0022931	
OG0022942	
OG0022965	
OG0022971	
OG0023008	
OG0023060	
OG0023097	
OG0023100	
OG0023103	
OG0023116	
OG0023130	
OG0023385	
OG0023760	
OG0024313	
OG0024518	
OG0024606	
OG0024758	
OG0024922	
OG0025316	
OG0025329	
OG0025402	
OG0025614	
OG0025646	
OG0025658	
OG0025661	
OG0025664	
OG0025960	
OG0025994	OFRAG00000015374.2
OG0026000	
OG0026323	
OG0026332	
OG0026470	
OG0026479	
OG0026702	
OG0026729	
OG0026778	
OG0026837	
OG0026855	
OG0026917	
OG0026937	
OG0026969	
OG0027010	
OG0027016	
OG0027043	OFRAG00000016357.1
OG0027047	
OG0027102	
OG0027222	
OG0027226	
OG0027228	
OG0027301	
OG0027319	
OG0027349	
OG0027398	
OG0027476	
OG0027490	
OG0028543	
OG0028586	
OG0029542	
OG0029620	
OG0029692	
OG0029723	
OG0029879	
OG0029897	
OG0029932	
OG0029943	
OG0029973	
OG0030138	
OG0030286	
OG0030451	
OG0030470	
OG0030631	
OG0030908	
OG0030972	
OG0030983	
OG0031437	
OG0031442	OFRAG00000003070.1
OG0031959	
OG0031988	
OG0031999	
OG0032561	
OG0032876	
OG0032913	
OG0033363	
OG0033425	
OG0033427	
OG0033511	
OG0033533	
OG0033562	
OG0033571	
OG0033670	
OG0033744	
OG0033815	
OG0033821	
OG0033831	
OG0033835	
OG0033848	
OG0033919	
OG0033928	
OG0033978	OFRAG00000013632.1
OG0034044	
OG0034045	
OG0034050	
OG0034069	
OG0034077	
OG0034081	
OG0034095	
OG0034141	
OG0034174	
OG0034175	
OG0034197	
OG0034200	
OG0034234	
OG0034306	
OG0034322	
OG0034353	
OG0034374	
OG0034418	
OG0034570	
OG0034606	
OG0034821	
OG0035571	
OG0036399	
OG0038402	
OG0038703	
OG0038778	
OG0039190	
OG0039497	
OG0039615	
OG0040690	
OG0041058	
OG0041082	
OG0041545	
OG0041759	
OG0042017	
OG0042157	
OG0045315	
OG0045674	
OG0045685	
OG0045699	
OG0045712	
OG0045751	
OG0045761	
OG0045788	
OG0045820	
OG0045853	
OG0045883	
OG0045888	
OG0045904	
OG0045917	
OG0045924	
OG0045945	
OG0045973	
OG0045984	
OG0045986	
OG0046005	
OG0046022	
OG0046043	
OG0046063	
OG0046097	
OG0046119	
OG0046125	
OG0046159	
OG0046216	
OG0046232	
OG0046235	
OG0046279	
OG0046283	
OG0046348	
OG0046353	
OG0046356	
OG0046391	
OG0046416	
OG0046442	
OG0046446	
OG0046458	
OG0046474	
OG0046481	
OG0046494	
OG0046497	
OG0046507	
OG0046511	
OG0046512	
OG0046607	
OG0046612	
OG0046630	
OG0046631	
OG0046637	
OG0046666	
OG0046677	
OG0046706	
OG0046707	
OG0046718	
OG0046743	
OG0046766	
OG0046823	
OG0046835	
OG0046850	
OG0046852	
OG0046857	
OG0046868	
OG0046869	
OG0046871	
OG0046964	
OG0047194	
OG0048044	
OG0049056	
OG0049539	
OG0049542	
OG0049543	
OG0050523	OFRAG00000012318.1
OG0051309	
OG0051538	
OG0051696	
