OG0000014	Pech|nbis-mrna-7020
OG0002211	Pech|nbis-mrna-1018, Pech|nbis-mrna-10239, Pech|nbis-mrna-11158, Pech|nbis-mrna-11184, Pech|nbis-mrna-11679, Pech|nbis-mrna-12432, Pech|nbis-mrna-13431, Pech|nbis-mrna-13503, Pech|nbis-mrna-14760, Pech|nbis-mrna-14841, Pech|nbis-mrna-15165, Pech|nbis-mrna-15385, Pech|nbis-mrna-15470, Pech|nbis-mrna-16131, Pech|nbis-mrna-16354, Pech|nbis-mrna-16563, Pech|nbis-mrna-16627, Pech|nbis-mrna-16964, Pech|nbis-mrna-17313, Pech|nbis-mrna-17491, Pech|nbis-mrna-18294, Pech|nbis-mrna-18300, Pech|nbis-mrna-18469, Pech|nbis-mrna-19852, Pech|nbis-mrna-20086, Pech|nbis-mrna-202, Pech|nbis-mrna-20465, Pech|nbis-mrna-20817, Pech|nbis-mrna-21985, Pech|nbis-mrna-22076, Pech|nbis-mrna-2213, Pech|nbis-mrna-2472, Pech|nbis-mrna-2591, Pech|nbis-mrna-3592, Pech|nbis-mrna-6011, Pech|nbis-mrna-6798, Pech|nbis-mrna-709, Pech|nbis-mrna-9155, Pech|nbis-mrna-9305, Pech|nbis-mrna-9393, Pech|nbis-mrna-942, Pech|nbis-mrna-9760, Pech|nbis-mrna-9978
OG0002237	Pech|nbis-mrna-21722, Pech|nbis-mrna-3343
OG0002455	Pech|nbis-mrna-11219, Pech|nbis-mrna-11790, Pech|nbis-mrna-12086, Pech|nbis-mrna-13277, Pech|nbis-mrna-15060, Pech|nbis-mrna-15176, Pech|nbis-mrna-16841, Pech|nbis-mrna-16842, Pech|nbis-mrna-16845, Pech|nbis-mrna-16846, Pech|nbis-mrna-16849, Pech|nbis-mrna-16850, Pech|nbis-mrna-16851, Pech|nbis-mrna-20665, Pech|nbis-mrna-2072, Pech|nbis-mrna-22129, Pech|nbis-mrna-22161, Pech|nbis-mrna-3133, Pech|nbis-mrna-3135, Pech|nbis-mrna-3137, Pech|nbis-mrna-4506, Pech|nbis-mrna-6796, Pech|nbis-mrna-6801, Pech|nbis-mrna-7275, Pech|nbis-mrna-7808, Pech|nbis-mrna-8485, Pech|nbis-mrna-8488, Pech|nbis-mrna-8489, Pech|nbis-mrna-8490
OG0002763	Pech|nbis-mrna-19474
OG0002766	Pech|nbis-mrna-21492
OG0002799	Pech|nbis-mrna-21836
OG0002941	Pech|nbis-mrna-10059, Pech|nbis-mrna-10227, Pech|nbis-mrna-10320, Pech|nbis-mrna-10608, Pech|nbis-mrna-10814, Pech|nbis-mrna-11540, Pech|nbis-mrna-12844, Pech|nbis-mrna-13216, Pech|nbis-mrna-13849, Pech|nbis-mrna-14236, Pech|nbis-mrna-17416, Pech|nbis-mrna-17609, Pech|nbis-mrna-19443, Pech|nbis-mrna-19768, Pech|nbis-mrna-19971, Pech|nbis-mrna-20583, Pech|nbis-mrna-2074, Pech|nbis-mrna-21749, Pech|nbis-mrna-2452, Pech|nbis-mrna-3718, Pech|nbis-mrna-3924, Pech|nbis-mrna-4234, Pech|nbis-mrna-6307, Pech|nbis-mrna-7364, Pech|nbis-mrna-7609, Pech|nbis-mrna-8205, Pech|nbis-mrna-8964
OG0002978	Pech|nbis-mrna-10468, Pech|nbis-mrna-6088
OG0003282	Pech|nbis-mrna-188
OG0003466	Pech|nbis-mrna-10171, Pech|nbis-mrna-12223, Pech|nbis-mrna-1254, Pech|nbis-mrna-12826, Pech|nbis-mrna-16388, Pech|nbis-mrna-9019, Pech|nbis-mrna-903, Pech|nbis-mrna-904
OG0003963	Pech|nbis-mrna-16513
OG0004246	Pech|nbis-mrna-10260, Pech|nbis-mrna-12812, Pech|nbis-mrna-13380, Pech|nbis-mrna-13700, Pech|nbis-mrna-14532, Pech|nbis-mrna-14768, Pech|nbis-mrna-15595, Pech|nbis-mrna-17105, Pech|nbis-mrna-18220, Pech|nbis-mrna-18372, Pech|nbis-mrna-20396, Pech|nbis-mrna-20397, Pech|nbis-mrna-21129, Pech|nbis-mrna-21521, Pech|nbis-mrna-22106, Pech|nbis-mrna-4086, Pech|nbis-mrna-4528, Pech|nbis-mrna-4653, Pech|nbis-mrna-5475, Pech|nbis-mrna-5647, Pech|nbis-mrna-5819, Pech|nbis-mrna-6534, Pech|nbis-mrna-6632, Pech|nbis-mrna-9322
OG0004499	Pech|nbis-mrna-18764, Pech|nbis-mrna-19982, Pech|nbis-mrna-6065, Pech|nbis-mrna-8634
OG0004940	Pech|nbis-mrna-277
OG0004976	Pech|nbis-mrna-8121
OG0005112	Pech|nbis-mrna-13889
OG0005899	Pech|nbis-mrna-15584
OG0006125	Pech|nbis-mrna-4143
OG0006174	Pech|nbis-mrna-15216, Pech|nbis-mrna-6288
OG0007116	Pech|nbis-mrna-10210, Pech|nbis-mrna-13984, Pech|nbis-mrna-17095, Pech|nbis-mrna-17881, Pech|nbis-mrna-22061, Pech|nbis-mrna-22561, Pech|nbis-mrna-7968
OG0007326	Pech|nbis-mrna-8212
OG0007621	Pech|nbis-mrna-1358
OG0007981	Pech|nbis-mrna-14553
OG0008105	Pech|nbis-mrna-15007
OG0008149	Pech|nbis-mrna-20013, Pech|nbis-mrna-584
OG0008404	Pech|nbis-mrna-1105, Pech|nbis-mrna-12414, Pech|nbis-mrna-12440, Pech|nbis-mrna-12745, Pech|nbis-mrna-1385, Pech|nbis-mrna-13937, Pech|nbis-mrna-15332, Pech|nbis-mrna-15983, Pech|nbis-mrna-16980, Pech|nbis-mrna-20629, Pech|nbis-mrna-21513, Pech|nbis-mrna-21871, Pech|nbis-mrna-22233, Pech|nbis-mrna-4382, Pech|nbis-mrna-4529, Pech|nbis-mrna-4896, Pech|nbis-mrna-4923, Pech|nbis-mrna-5527, Pech|nbis-mrna-5674, Pech|nbis-mrna-7809, Pech|nbis-mrna-8013, Pech|nbis-mrna-8191, Pech|nbis-mrna-8801, Pech|nbis-mrna-9120, Pech|nbis-mrna-9687
OG0008781	Pech|nbis-mrna-14141, Pech|nbis-mrna-16967
OG0008890	Pech|nbis-mrna-1215
OG0008970	Pech|nbis-mrna-20524
OG0009018	Pech|nbis-mrna-18985
OG0009295	Pech|nbis-mrna-14594
OG0009393	Pech|nbis-mrna-13952, Pech|nbis-mrna-16935, Pech|nbis-mrna-3053
OG0009396	Pech|nbis-mrna-10634
OG0009460	Pech|nbis-mrna-9373
OG0009484	Pech|nbis-mrna-7126
OG0009811	Pech|nbis-mrna-13099
OG0009974	Pech|nbis-mrna-7453
OG0010098	Pech|nbis-mrna-6627
OG0010101	Pech|nbis-mrna-6499
OG0010120	Pech|nbis-mrna-9044
OG0010125	Pech|nbis-mrna-12874
OG0010306	Pech|nbis-mrna-9979
OG0010374	Pech|nbis-mrna-12470, Pech|nbis-mrna-15904, Pech|nbis-mrna-15997, Pech|nbis-mrna-4415, Pech|nbis-mrna-7028
OG0010382	Pech|nbis-mrna-8986
OG0010730	Pech|nbis-mrna-17327
OG0010923	Pech|nbis-mrna-1109, Pech|nbis-mrna-11498, Pech|nbis-mrna-12665, Pech|nbis-mrna-12710, Pech|nbis-mrna-13433, Pech|nbis-mrna-14882, Pech|nbis-mrna-17144, Pech|nbis-mrna-18888, Pech|nbis-mrna-20019, Pech|nbis-mrna-21582, Pech|nbis-mrna-22051, Pech|nbis-mrna-2728, Pech|nbis-mrna-296, Pech|nbis-mrna-384, Pech|nbis-mrna-471, Pech|nbis-mrna-7519
OG0010938	Pech|nbis-mrna-19127
OG0011144	Pech|nbis-mrna-5872
OG0011203	Pech|nbis-mrna-10844
OG0011244	Pech|nbis-mrna-5368
OG0011245	Pech|nbis-mrna-11524, Pech|nbis-mrna-1199, Pech|nbis-mrna-13030, Pech|nbis-mrna-13263, Pech|nbis-mrna-15477, Pech|nbis-mrna-15840, Pech|nbis-mrna-16525, Pech|nbis-mrna-17660, Pech|nbis-mrna-18373, Pech|nbis-mrna-1839, Pech|nbis-mrna-3087
OG0011361	Pech|nbis-mrna-17286
OG0011535	Pech|nbis-mrna-12731
OG0011550	Pech|nbis-mrna-339
OG0011578	Pech|nbis-mrna-407
OG0011631	Pech|nbis-mrna-21230
OG0011692	Pech|nbis-mrna-2667
OG0011758	Pech|nbis-mrna-13376, Pech|nbis-mrna-13690, Pech|nbis-mrna-14119, Pech|nbis-mrna-15691, Pech|nbis-mrna-20313, Pech|nbis-mrna-21247, Pech|nbis-mrna-21250, Pech|nbis-mrna-21254, Pech|nbis-mrna-3171, Pech|nbis-mrna-4303, Pech|nbis-mrna-4635, Pech|nbis-mrna-905
OG0011842	Pech|nbis-mrna-20100, Pech|nbis-mrna-6934
OG0011859	Pech|nbis-mrna-7574
OG0012121	Pech|nbis-mrna-2059
OG0012135	Pech|nbis-mrna-1286, Pech|nbis-mrna-16548, Pech|nbis-mrna-18010, Pech|nbis-mrna-18269, Pech|nbis-mrna-20461, Pech|nbis-mrna-20462, Pech|nbis-mrna-21396, Pech|nbis-mrna-5016, Pech|nbis-mrna-5134, Pech|nbis-mrna-5389, Pech|nbis-mrna-6787
OG0012308	Pech|nbis-mrna-18850
OG0012483	Pech|nbis-mrna-10630, Pech|nbis-mrna-14979
OG0012703	Pech|nbis-mrna-365
OG0012752	Pech|nbis-mrna-21143
OG0012838	Pech|nbis-mrna-12496, Pech|nbis-mrna-7579
OG0012923	Pech|nbis-mrna-18654
OG0012996	Pech|nbis-mrna-9109
OG0013003	Pech|nbis-mrna-22002
OG0013072	Pech|nbis-mrna-10143, Pech|nbis-mrna-13761, Pech|nbis-mrna-17275, Pech|nbis-mrna-3747, Pech|nbis-mrna-71, Pech|nbis-mrna-9723
OG0013337	Pech|nbis-mrna-5768
OG0013386	Pech|nbis-mrna-1124
OG0013402	Pech|nbis-mrna-9431
OG0013568	Pech|nbis-mrna-22278
OG0013605	Pech|nbis-mrna-10571, Pech|nbis-mrna-19544
OG0013726	Pech|nbis-mrna-8377
OG0013731	Pech|nbis-mrna-7773
OG0013761	Pech|nbis-mrna-12576, Pech|nbis-mrna-14485, Pech|nbis-mrna-17716, Pech|nbis-mrna-20299, Pech|nbis-mrna-20300, Pech|nbis-mrna-20301, Pech|nbis-mrna-2480, Pech|nbis-mrna-6693, Pech|nbis-mrna-9729
OG0013940	Pech|nbis-mrna-21463
OG0013980	Pech|nbis-mrna-7818
OG0014003	Pech|nbis-mrna-17284, Pech|nbis-mrna-18585, Pech|nbis-mrna-5759
OG0014044	Pech|nbis-mrna-15330
OG0014150	Pech|nbis-mrna-12627
OG0014183	Pech|nbis-mrna-10307
OG0014202	Pech|nbis-mrna-12329, Pech|nbis-mrna-21674, Pech|nbis-mrna-22017, Pech|nbis-mrna-6899, Pech|nbis-mrna-9023, Pech|nbis-mrna-9472, Pech|nbis-mrna-9632
OG0014341	Pech|nbis-mrna-4732
OG0014398	Pech|nbis-mrna-16573
OG0014455	Pech|nbis-mrna-10546, Pech|nbis-mrna-11676, Pech|nbis-mrna-13631, Pech|nbis-mrna-20966, Pech|nbis-mrna-21587, Pech|nbis-mrna-6597
OG0014458	Pech|nbis-mrna-1000, Pech|nbis-mrna-10477, Pech|nbis-mrna-148, Pech|nbis-mrna-15507, Pech|nbis-mrna-15797, Pech|nbis-mrna-16928, Pech|nbis-mrna-6872, Pech|nbis-mrna-7781
OG0014680	Pech|nbis-mrna-22110
OG0014723	Pech|nbis-mrna-18766, Pech|nbis-mrna-4768
OG0014801	Pech|nbis-mrna-21579
OG0014903	Pech|nbis-mrna-22167
OG0014927	Pech|nbis-mrna-13326
OG0015086	Pech|nbis-mrna-331
OG0015154	Pech|nbis-mrna-14062, Pech|nbis-mrna-16371, Pech|nbis-mrna-18380, Pech|nbis-mrna-19163, Pech|nbis-mrna-3501, Pech|nbis-mrna-3810, Pech|nbis-mrna-7178
OG0015186	Pech|nbis-mrna-13303
OG0015196	Pech|nbis-mrna-11446
OG0015344	Pech|nbis-mrna-12182, Pech|nbis-mrna-12183, Pech|nbis-mrna-12184
OG0015369	Pech|nbis-mrna-11207, Pech|nbis-mrna-14461, Pech|nbis-mrna-16514, Pech|nbis-mrna-303
OG0015394	Pech|nbis-mrna-10375, Pech|nbis-mrna-1272, Pech|nbis-mrna-15529, Pech|nbis-mrna-18266, Pech|nbis-mrna-18781, Pech|nbis-mrna-18992, Pech|nbis-mrna-19370, Pech|nbis-mrna-482
OG0015401	Pech|nbis-mrna-13129
OG0015510	Pech|nbis-mrna-17497, Pech|nbis-mrna-9691, Pech|nbis-mrna-9692, Pech|nbis-mrna-9693, Pech|nbis-mrna-9694, Pech|nbis-mrna-9695, Pech|nbis-mrna-9696, Pech|nbis-mrna-9697
OG0015655	Pech|nbis-mrna-323
OG0015721	Pech|nbis-mrna-9777
OG0015801	Pech|nbis-mrna-9233
OG0015809	Pech|nbis-mrna-14290
OG0015815	Pech|nbis-mrna-1537
OG0015858	Pech|nbis-mrna-3033
OG0015939	Pech|nbis-mrna-579
OG0015960	Pech|nbis-mrna-18017
OG0016023	Pech|nbis-mrna-11668, Pech|nbis-mrna-7866
OG0016148	Pech|nbis-mrna-2144
OG0016179	Pech|nbis-mrna-1112, Pech|nbis-mrna-13432, Pech|nbis-mrna-2082, Pech|nbis-mrna-2730, Pech|nbis-mrna-387, Pech|nbis-mrna-7544
OG0016241	Pech|nbis-mrna-10181
OG0016329	Pech|nbis-mrna-21320
OG0016382	Pech|nbis-mrna-21626
OG0016444	Pech|nbis-mrna-10755, Pech|nbis-mrna-15208, Pech|nbis-mrna-22568, Pech|nbis-mrna-8737
OG0016448	Pech|nbis-mrna-1035, Pech|nbis-mrna-12202, Pech|nbis-mrna-20007, Pech|nbis-mrna-2048, Pech|nbis-mrna-2202, Pech|nbis-mrna-22505, Pech|nbis-mrna-22590
OG0016481	Pech|nbis-mrna-7309
OG0016622	Pech|nbis-mrna-10003, Pech|nbis-mrna-11844, Pech|nbis-mrna-1347, Pech|nbis-mrna-16408, Pech|nbis-mrna-20318, Pech|nbis-mrna-22412, Pech|nbis-mrna-6629
OG0016672	Pech|nbis-mrna-21930
OG0017010	Pech|nbis-mrna-10560, Pech|nbis-mrna-11578
OG0017036	Pech|nbis-mrna-22363
OG0017045	Pech|nbis-mrna-6297
OG0017079	Pech|nbis-mrna-18571
OG0017188	Pech|nbis-mrna-3842, Pech|nbis-mrna-6883, Pech|nbis-mrna-8884
OG0017190	Pech|nbis-mrna-15910
OG0017193	Pech|nbis-mrna-19844, Pech|nbis-mrna-6034
OG0017211	Pech|nbis-mrna-57
OG0017266	Pech|nbis-mrna-11476, Pech|nbis-mrna-6417
OG0017267	Pech|nbis-mrna-14848
OG0017331	Pech|nbis-mrna-8770
OG0017359	Pech|nbis-mrna-13012
OG0017393	Pech|nbis-mrna-15655
OG0017514	Pech|nbis-mrna-19423
OG0017629	Pech|nbis-mrna-487
OG0017635	Pech|nbis-mrna-12217, Pech|nbis-mrna-18582, Pech|nbis-mrna-4795, Pech|nbis-mrna-4800, Pech|nbis-mrna-8266
OG0017694	Pech|nbis-mrna-262, Pech|nbis-mrna-3965, Pech|nbis-mrna-628, Pech|nbis-mrna-9661
OG0017771	Pech|nbis-mrna-4493
OG0017886	Pech|nbis-mrna-13535
OG0017929	Pech|nbis-mrna-13760
OG0017964	Pech|nbis-mrna-20398, Pech|nbis-mrna-2850
OG0017985	Pech|nbis-mrna-22469, Pech|nbis-mrna-7982
OG0017999	Pech|nbis-mrna-4966
OG0018034	Pech|nbis-mrna-10282, Pech|nbis-mrna-16067, Pech|nbis-mrna-22092, Pech|nbis-mrna-4639, Pech|nbis-mrna-4643
OG0018322	Pech|nbis-mrna-13201, Pech|nbis-mrna-15151, Pech|nbis-mrna-21702, Pech|nbis-mrna-4098, Pech|nbis-mrna-5293, Pech|nbis-mrna-9151
OG0018707	Pech|nbis-mrna-1275
OG0018710	Pech|nbis-mrna-10251, Pech|nbis-mrna-21155, Pech|nbis-mrna-6614
OG0018722	Pech|nbis-mrna-2488
OG0018752	Pech|nbis-mrna-2386
OG0018965	Pech|nbis-mrna-4492
OG0018968	Pech|nbis-mrna-15886, Pech|nbis-mrna-18256, Pech|nbis-mrna-5138, Pech|nbis-mrna-7902, Pech|nbis-mrna-8474
OG0018971	Pech|nbis-mrna-22321
OG0018972	Pech|nbis-mrna-6586
OG0019009	Pech|nbis-mrna-16011, Pech|nbis-mrna-16966
OG0019061	Pech|nbis-mrna-5393, Pech|nbis-mrna-6759
OG0019165	Pech|nbis-mrna-21281
OG0019280	Pech|nbis-mrna-14212
OG0019469	Pech|nbis-mrna-19680
OG0019539	Pech|nbis-mrna-18982, Pech|nbis-mrna-19740
OG0019714	Pech|nbis-mrna-10706, Pech|nbis-mrna-10707, Pech|nbis-mrna-20194, Pech|nbis-mrna-3752
OG0019851	Pech|nbis-mrna-19715
OG0019877	Pech|nbis-mrna-15280, Pech|nbis-mrna-16990
OG0019948	Pech|nbis-mrna-10388, Pech|nbis-mrna-19106
OG0019958	Pech|nbis-mrna-16420, Pech|nbis-mrna-16583, Pech|nbis-mrna-785
OG0019959	Pech|nbis-mrna-10035
OG0019973	Pech|nbis-mrna-11212, Pech|nbis-mrna-11213, Pech|nbis-mrna-16860, Pech|nbis-mrna-17709, Pech|nbis-mrna-20296
OG0020000	Pech|nbis-mrna-11206
OG0020015	Pech|nbis-mrna-19541, Pech|nbis-mrna-9206
OG0020022	Pech|nbis-mrna-22352, Pech|nbis-mrna-9145
OG0020027	Pech|nbis-mrna-17340, Pech|nbis-mrna-22633
OG0020032	Pech|nbis-mrna-16885
OG0020039	Pech|nbis-mrna-1652, Pech|nbis-mrna-1653, Pech|nbis-mrna-1654, Pech|nbis-mrna-1655, Pech|nbis-mrna-1656
OG0020047	Pech|nbis-mrna-564
OG0020086	Pech|nbis-mrna-19849
OG0020089	Pech|nbis-mrna-22018
OG0020110	Pech|nbis-mrna-13764, Pech|nbis-mrna-14294, Pech|nbis-mrna-6989
OG0020152	Pech|nbis-mrna-11786
OG0020298	Pech|nbis-mrna-2269
OG0021030	Pech|nbis-mrna-13694
OG0021079	Pech|nbis-mrna-1274, Pech|nbis-mrna-15966
OG0021165	Pech|nbis-mrna-12019
OG0021166	Pech|nbis-mrna-479
OG0021168	Pech|nbis-mrna-15903, Pech|nbis-mrna-18425, Pech|nbis-mrna-7029, Pech|nbis-mrna-7030
OG0021193	Pech|nbis-mrna-379
OG0021300	Pech|nbis-mrna-1246
OG0021443	Pech|nbis-mrna-20591
OG0021444	Pech|nbis-mrna-18573
OG0021445	Pech|nbis-mrna-19477
OG0021516	Pech|nbis-mrna-12980, Pech|nbis-mrna-19036
OG0021657	Pech|nbis-mrna-17199
OG0021678	Pech|nbis-mrna-19040
OG0021699	Pech|nbis-mrna-15860, Pech|nbis-mrna-20282, Pech|nbis-mrna-6568
OG0021703	Pech|nbis-mrna-476
OG0021805	Pech|nbis-mrna-2128, Pech|nbis-mrna-4269
OG0021819	Pech|nbis-mrna-1137
OG0021841	Pech|nbis-mrna-11010, Pech|nbis-mrna-16412
OG0021870	Pech|nbis-mrna-17816
OG0021929	Pech|nbis-mrna-4790
OG0021943	Pech|nbis-mrna-6500
OG0021998	Pech|nbis-mrna-4140
OG0022007	Pech|nbis-mrna-9104
OG0022136	Pech|nbis-mrna-19161
OG0022155	Pech|nbis-mrna-20199, Pech|nbis-mrna-6882
OG0022190	Pech|nbis-mrna-15183, Pech|nbis-mrna-17062
OG0022402	Pech|nbis-mrna-12918
OG0022425	Pech|nbis-mrna-13469
OG0022646	Pech|nbis-mrna-14874
OG0022767	Pech|nbis-mrna-15279, Pech|nbis-mrna-15281
OG0022793	Pech|nbis-mrna-16515
OG0022814	Pech|nbis-mrna-18046
OG0022817	Pech|nbis-mrna-19391, Pech|nbis-mrna-5743
OG0022836	Pech|nbis-mrna-6623
OG0022931	Pech|nbis-mrna-13131, Pech|nbis-mrna-369, Pech|nbis-mrna-376, Pech|nbis-mrna-7938
OG0022942	Pech|nbis-mrna-17825
OG0022965	Pech|nbis-mrna-18566
OG0022971	Pech|nbis-mrna-838, Pech|nbis-mrna-839
OG0023008	Pech|nbis-mrna-17425
OG0023060	Pech|nbis-mrna-12272
OG0023097	Pech|nbis-mrna-8706
OG0023100	Pech|nbis-mrna-7501, Pech|nbis-mrna-7502
OG0023103	Pech|nbis-mrna-13525, Pech|nbis-mrna-149, Pech|nbis-mrna-151, Pech|nbis-mrna-15168
OG0023116	Pech|nbis-mrna-12793, Pech|nbis-mrna-15166, Pech|nbis-mrna-15167, Pech|nbis-mrna-20937
OG0023130	Pech|nbis-mrna-11856
OG0023385	Pech|nbis-mrna-7858
OG0023760	Pech|nbis-mrna-1188
OG0024313	Pech|nbis-mrna-1419
OG0024518	Pech|nbis-mrna-18260
OG0024606	Pech|nbis-mrna-9836
OG0024758	Pech|nbis-mrna-12437
OG0024922	Pech|nbis-mrna-2634
OG0025316	Pech|nbis-mrna-13293
OG0025329	Pech|nbis-mrna-7400
OG0025402	Pech|nbis-mrna-10637
OG0025614	Pech|nbis-mrna-20244
OG0025646	Pech|nbis-mrna-11529, Pech|nbis-mrna-13484
OG0025658	Pech|nbis-mrna-15149, Pech|nbis-mrna-16766, Pech|nbis-mrna-19780
OG0025661	Pech|nbis-mrna-3156, Pech|nbis-mrna-4521
OG0025664	Pech|nbis-mrna-19564
OG0025960	Pech|nbis-mrna-514
OG0025994	Pech|nbis-mrna-17829
OG0026000	Pech|nbis-mrna-16815
OG0026323	Pech|nbis-mrna-19424
OG0026332	Pech|nbis-mrna-22112, Pech|nbis-mrna-22114
OG0026470	Pech|nbis-mrna-21144, Pech|nbis-mrna-3044
OG0026479	Pech|nbis-mrna-10160
OG0026702	Pech|nbis-mrna-15877, Pech|nbis-mrna-7977
OG0026729	Pech|nbis-mrna-13135, Pech|nbis-mrna-7112
OG0026778	Pech|nbis-mrna-12556
OG0026837	Pech|nbis-mrna-10573
OG0026855	Pech|nbis-mrna-18912, Pech|nbis-mrna-18915, Pech|nbis-mrna-18917
OG0026917	Pech|nbis-mrna-12338, Pech|nbis-mrna-9307
OG0026937	Pech|nbis-mrna-21809
OG0026969	Pech|nbis-mrna-14480
OG0027010	Pech|nbis-mrna-6114
OG0027016	Pech|nbis-mrna-1820, Pech|nbis-mrna-703
OG0027043	Pech|nbis-mrna-4154
OG0027047	Pech|nbis-mrna-10416
OG0027102	Pech|nbis-mrna-13193
OG0027222	Pech|nbis-mrna-19210
OG0027226	Pech|nbis-mrna-11262, Pech|nbis-mrna-6980
OG0027228	Pech|nbis-mrna-10939
OG0027301	Pech|nbis-mrna-4129
OG0027319	Pech|nbis-mrna-5216
OG0027349	Pech|nbis-mrna-6231
OG0027398	Pech|nbis-mrna-22350
OG0027476	Pech|nbis-mrna-720, Pech|nbis-mrna-726, Pech|nbis-mrna-728
OG0027490	Pech|nbis-mrna-18723, Pech|nbis-mrna-4479, Pech|nbis-mrna-7247
OG0028543	Pech|nbis-mrna-8134
OG0028586	Pech|nbis-mrna-17006, Pech|nbis-mrna-20440, Pech|nbis-mrna-6465
OG0029542	Pech|nbis-mrna-18743
OG0029620	Pech|nbis-mrna-18446
OG0029692	Pech|nbis-mrna-5461
OG0029723	Pech|nbis-mrna-5979
OG0029879	Pech|nbis-mrna-4
OG0029897	Pech|nbis-mrna-2989
OG0029932	Pech|nbis-mrna-13252, Pech|nbis-mrna-20366
OG0029943	Pech|nbis-mrna-10692
OG0029973	Pech|nbis-mrna-18983
OG0030138	Pech|nbis-mrna-20148
OG0030286	Pech|nbis-mrna-3843
OG0030451	Pech|nbis-mrna-9338
OG0030470	Pech|nbis-mrna-4197
OG0030631	Pech|nbis-mrna-1774
OG0030908	Pech|nbis-mrna-17534
OG0030972	Pech|nbis-mrna-16500, Pech|nbis-mrna-3928
OG0030983	Pech|nbis-mrna-17913
OG0031437	Pech|nbis-mrna-21002
OG0031442	Pech|nbis-mrna-5480
OG0031959	Pech|nbis-mrna-11799
OG0031988	Pech|nbis-mrna-12452
OG0031999	Pech|nbis-mrna-2799
OG0032561	Pech|nbis-mrna-21759
OG0032876	Pech|nbis-mrna-19447
OG0032913	Pech|nbis-mrna-56
OG0033363	Pech|nbis-mrna-9054
OG0033425	Pech|nbis-mrna-7576
OG0033427	Pech|nbis-mrna-4815
OG0033511	Pech|nbis-mrna-1750
OG0033533	Pech|nbis-mrna-16480
OG0033562	Pech|nbis-mrna-8094
OG0033571	Pech|nbis-mrna-15400, Pech|nbis-mrna-15401
OG0033670	Pech|nbis-mrna-6010, Pech|nbis-mrna-6016
OG0033744	Pech|nbis-mrna-15724, Pech|nbis-mrna-2750
OG0033815	Pech|nbis-mrna-5092, Pech|nbis-mrna-7314
OG0033821	Pech|nbis-mrna-2409
OG0033831	Pech|nbis-mrna-21782, Pech|nbis-mrna-8812
OG0033835	Pech|nbis-mrna-19109
OG0033848	Pech|nbis-mrna-4769, Pech|nbis-mrna-6714
OG0033919	Pech|nbis-mrna-488
OG0033928	Pech|nbis-mrna-9154
