OG0000207	Ofra|OFRAG00000004254.1
OG0012852	Ofra|OFRAG00000011413.1
OG0012888	Ofra|OFRAG00000011190.1
OG0013043	Ofra|OFRAG00000004054.1, Ofra|OFRAG00000004055.1, Ofra|OFRAG00000005614.1, Ofra|OFRAG00000005615.1, Ofra|OFRAG00000005616.1, Ofra|OFRAG00000005617.1, Ofra|OFRAG00000005618.1
OG0013289	Ofra|OFRAG00000005854.1
OG0013352	Ofra|OFRAG00000008116.1
OG0013498	Ofra|OFRAG00000002458.1, Ofra|OFRAG00000012028.1, Ofra|OFRAG00000016018.1
OG0013596	Ofra|OFRAG00000010589.1
OG0013662	Ofra|OFRAG00000010760.1
OG0014007	Ofra|OFRAG00000002475.1
OG0014033	Ofra|OFRAG00000011838.1
OG0014182	Ofra|OFRAG00000000560.1, Ofra|OFRAG00000010970.1, Ofra|OFRAG00000012337.1, Ofra|OFRAG00000015254.1, Ofra|OFRAG00000015255.1, Ofra|OFRAG00000015640.1, Ofra|OFRAG00000015769.1, Ofra|OFRAG00000015986.1
OG0014192	Ofra|OFRAG00000012090.1
OG0014263	Ofra|OFRAG00000007771.1
OG0014418	Ofra|OFRAG00000011850.1, Ofra|OFRAG00000011851.1, Ofra|OFRAG00000011852.1, Ofra|OFRAG00000011853.1, Ofra|OFRAG00000014418.1, Ofra|OFRAG00000014419.1, Ofra|OFRAG00000014420.1, Ofra|OFRAG00000016094.1, Ofra|OFRAG00000017568.1
OG0014507	Ofra|OFRAG00000010225.1
OG0014737	Ofra|OFRAG00000015984.1
OG0014756	Ofra|OFRAG00000016791.1
OG0014807	Ofra|OFRAG00000004075.1
OG0014851	Ofra|OFRAG00000006125.1, Ofra|OFRAG00000006126.1, Ofra|OFRAG00000006127.1, Ofra|OFRAG00000006128.1
OG0014915	Ofra|OFRAG00000004058.1
OG0014928	Ofra|OFRAG00000002831.1
OG0015176	Ofra|OFRAG00000000370.1, Ofra|OFRAG00000010257.1
OG0015318	Ofra|OFRAG00000014527.1
OG0015835	Ofra|OFRAG00000012842.1
OG0016120	Ofra|OFRAG00000013496.1
OG0016397	Ofra|OFRAG00000007962.1
OG0016847	Ofra|OFRAG00000015812.1
OG0017001	Ofra|OFRAG00000008524.1
OG0017011	Ofra|OFRAG00000000031.1, Ofra|OFRAG00000017782.1
OG0017086	Ofra|OFRAG00000009186.1
OG0017288	Ofra|OFRAG00000002901.1
OG0017364	Ofra|OFRAG00000013912.1
OG0017543	Ofra|OFRAG00000011454.1, Ofra|OFRAG00000015226.1
OG0017749	Ofra|OFRAG00000006155.1
OG0017750	Ofra|OFRAG00000006905.1, Ofra|OFRAG00000006906.1, Ofra|OFRAG00000006907.1, Ofra|OFRAG00000006908.1, Ofra|OFRAG00000006909.1, Ofra|OFRAG00000014872.1
OG0017796	Ofra|OFRAG00000015475.1
OG0018177	Ofra|OFRAG00000008223.1, Ofra|OFRAG00000008225.1, Ofra|OFRAG00000013102.1, Ofra|OFRAG00000013105.1, Ofra|OFRAG00000016809.1, Ofra|OFRAG00000016817.1
OG0019004	Ofra|OFRAG00000013479.1
OG0019075	Ofra|OFRAG00000007374.1
OG0019169	Ofra|OFRAG00000009108.1
OG0019294	Ofra|OFRAG00000009720.1
OG0019542	Ofra|OFRAG00000010256.1
OG0019706	Ofra|OFRAG00000000907.1
OG0020333	Ofra|OFRAG00000000368.1, Ofra|OFRAG00000000369.1, Ofra|OFRAG00000000371.1, Ofra|OFRAG00000015055.1, Ofra|OFRAG00000015331.1
OG0020957	Ofra|OFRAG00000011786.1
OG0020999	Ofra|OFRAG00000016156.1
OG0021150	Ofra|OFRAG00000015831.1
OG0021590	Ofra|OFRAG00000017608.1
OG0021757	Ofra|OFRAG00000008916.1, Ofra|OFRAG00000010741.1
OG0021820	Ofra|OFRAG00000016414.1
OG0021840	Ofra|OFRAG00000010623.1
OG0021863	Ofra|OFRAG00000004471.1, Ofra|OFRAG00000010002.1, Ofra|OFRAG00000017769.1, Ofra|OFRAG00000017770.1
OG0021914	Ofra|OFRAG00000007982.1
OG0022217	Ofra|OFRAG00000002931.1
OG0022252	Ofra|OFRAG00000010119.1
OG0022398	Ofra|OFRAG00000003852.1
OG0022417	Ofra|OFRAG00000008400.1
OG0022455	Ofra|OFRAG00000015471.1
OG0023409	Ofra|OFRAG00000002173.1
OG0023582	Ofra|OFRAG00000001330.1
OG0023590	Ofra|OFRAG00000006046.1
OG0024222	Ofra|OFRAG00000016329.1
OG0024318	Ofra|OFRAG00000014848.1
OG0024862	Ofra|OFRAG00000015646.1
OG0025133	Ofra|OFRAG00000002196.1
OG0025367	Ofra|OFRAG00000009609.1
OG0025392	Ofra|OFRAG00000007130.1
OG0025579	Ofra|OFRAG00000015708.1
OG0025807	Ofra|OFRAG00000013180.1
OG0026129	Ofra|OFRAG00000014108.1
OG0026237	Ofra|OFRAG00000003043.1
OG0026249	Ofra|OFRAG00000010073.1
OG0026283	Ofra|OFRAG00000009591.1, Ofra|OFRAG00000009592.1, Ofra|OFRAG00000014752.1
OG0026303	Ofra|OFRAG00000015132.1
OG0026322	Ofra|OFRAG00000008235.1
OG0026329	Ofra|OFRAG00000002872.1
OG0026569	Ofra|OFRAG00000013592.1
OG0027843	Ofra|OFRAG00000013692.1, Ofra|OFRAG00000015565.1
OG0028025	Ofra|OFRAG00000000183.1, Ofra|OFRAG00000000184.1, Ofra|OFRAG00000000185.1
OG0028268	Ofra|OFRAG00000000916.1, Ofra|OFRAG00000008137.1
OG0028277	Ofra|OFRAG00000002030.1, Ofra|OFRAG00000015418.1, Ofra|OFRAG00000017868.1
OG0028279	Ofra|OFRAG00000002646.1, Ofra|OFRAG00000012272.1
OG0028282	Ofra|OFRAG00000002870.1
OG0028294	Ofra|OFRAG00000005996.1
OG0028300	Ofra|OFRAG00000009145.1
OG0029413	Ofra|OFRAG00000017738.1
OG0029777	Ofra|OFRAG00000014731.1
OG0029847	Ofra|OFRAG00000013465.1
OG0029894	Ofra|OFRAG00000015539.1
OG0030883	Ofra|OFRAG00000001125.1
OG0030993	Ofra|OFRAG00000010058.2
OG0031393	Ofra|OFRAG00000013073.1
OG0031541	Ofra|OFRAG00000001001.1, Ofra|OFRAG00000001002.1
OG0031824	Ofra|OFRAG00000008674.1
OG0031834	Ofra|OFRAG00000001642.1
OG0031973	Ofra|OFRAG00000003112.1
OG0032259	Ofra|OFRAG00000002369.1
OG0032431	Ofra|OFRAG00000002031.1, Ofra|OFRAG00000016177.1
OG0032460	Ofra|OFRAG00000001058.1, Ofra|OFRAG00000001059.1
OG0032504	Ofra|OFRAG00000005356.1, Ofra|OFRAG00000005362.1
OG0032745	Ofra|OFRAG00000015472.1
OG0033037	Ofra|OFRAG00000001507.1
OG0033225	Ofra|OFRAG00000012856.1
OG0033263	Ofra|OFRAG00000000193.1
OG0033417	Ofra|OFRAG00000013211.1
OG0034867	Ofra|OFRAG00000004318.1
OG0034927	Ofra|OFRAG00000002710.1
OG0035352	Ofra|OFRAG00000007396.1
OG0035507	Ofra|OFRAG00000001519.1, Ofra|OFRAG00000001574.1
OG0035516	Ofra|OFRAG00000006140.1
OG0035583	Ofra|OFRAG00000000163.1, Ofra|OFRAG00000008623.1
OG0035585	Ofra|OFRAG00000013542.1
OG0035586	Ofra|OFRAG00000003745.1
OG0035869	Ofra|OFRAG00000000835.1, Ofra|OFRAG00000000836.1
OG0035902	Ofra|OFRAG00000005899.1, Ofra|OFRAG00000005901.1
OG0035913	Ofra|OFRAG00000007306.2
OG0035932	Ofra|OFRAG00000012504.1
OG0035935	Ofra|OFRAG00000012706.1
OG0035943	Ofra|OFRAG00000016189.1
OG0035945	Ofra|OFRAG00000017817.1
OG0038420	Ofra|OFRAG00000001414.1
OG0039672	Ofra|OFRAG00000013070.1
OG0040413	Ofra|OFRAG00000007661.1
OG0040645	Ofra|OFRAG00000007492.1
OG0040885	Ofra|OFRAG00000010374.1
OG0040973	Ofra|OFRAG00000008700.1
OG0041110	Ofra|OFRAG00000017618.1
OG0041118	Ofra|OFRAG00000017604.1
OG0041181	Ofra|OFRAG00000017599.1
OG0041184	Ofra|OFRAG00000017615.1
OG0041529	Ofra|OFRAG00000011328.1
OG0041975	Ofra|OFRAG00000014073.1
OG0042951	Ofra|OFRAG00000015427.1
OG0043173	Ofra|OFRAG00000002246.1
OG0043230	Ofra|OFRAG00000004737.1
OG0043773	Ofra|OFRAG00000015476.1
OG0043963	Ofra|OFRAG00000015469.1
OG0044166	Ofra|OFRAG00000015474.1
OG0044391	Ofra|OFRAG00000009399.1
OG0044706	Ofra|OFRAG00000005731.1
OG0045595	Ofra|OFRAG00000015017.1
OG0047212	Ofra|OFRAG00000012344.1
OG0047415	Ofra|OFRAG00000011310.1
OG0048605	Ofra|OFRAG00000003335.1
OG0049540	Ofra|OFRAG00000015517.1
OG0049590	Ofra|OFRAG00000015516.1
OG0050475	Ofra|OFRAG00000008395.1
OG0050490	Ofra|OFRAG00000009738.1
OG0050557	Ofra|OFRAG00000015038.1
OG0050582	Ofra|OFRAG00000017270.1
