Orthogroup	Panther_annotation
OG0022819	 NEUROTROPHIN RECEPTOR-INTERACTING FACTOR 1-RELATED
OG0022821	 NO HIT
OG0022835	 C-TYPE LECTIN SUPERFAMILY MEMBER
OG0022840	 UNCHARACTERIZED
OG0022848	 GEO05078P1
OG0022856	 VWFA AND CACHE DOMAIN-CONTAINING PROTEIN 1
OG0022862	 SUBFAMILY NOT NAMED
OG0022886	 TROPONIN I
OG0022897	 NO HIT
OG0022900	 37S RIBOSOMAL PROTEIN S26 MITOCHONDRIAL
OG0022904	 MONOCARBOXYLATE TRANSPORTER
OG0022918	 PROTEIN CBR-EXC-5
OG0022919	 WEB FAMILY PROTEIN CHLOROPLASTIC-RELATED
OG0022929	 NO HIT
OG0022930	 PRE-MRNA 3'-END-PROCESSING FACTOR FIP1
OG0022935	 FAMILY NOT NAMED
OG0022952	 NO HIT
OG0022953	 NECTIN-RELATED
OG0022954	 NOTCH LIGAND FAMILY MEMBER
OG0022958	 NO HIT
OG0022960	 NO HIT
OG0022970	 PUCKERED ISOFORM A
OG0022975	 SUBFAMILY NOT NAMED
OG0022980	 NO HIT
OG0022990	 LOCATION OF VULVA DEFECTIVE 1
OG0022991	 SUBFAMILY NOT NAMED
OG0022993	 NO HIT
OG0022994	 NO HIT
OG0023005	 NO HIT
OG0023006	 PROLINE-RICH PROTEIN 11
OG0023007	 NO HIT
OG0023009	 FI12009P
OG0023023	 PROTEIN EVA-1
OG0023029	 GUANYLATE CYCLASE SOLUBLE SUBUNIT BETA-2
OG0023032	 VWFA AND CACHE DOMAIN-CONTAINING PROTEIN 1
OG0023033	 FMRF-LIKE PEPTIDE
OG0023036	 NO HIT
OG0023043	 NO HIT
OG0023044	 FIBRINOGEN/TENASCIN/ANGIOPOEITIN
OG0023045	 SPLICING FACTOR U2AF 65 KDA SUBUNIT
OG0023047	 NEUROPEPTIDE-LIKE PROTEIN
OG0023054	 TUMOR-ASSOCIATED CALCIUM SIGNAL TRANSDUCER
OG0023055	 NO HIT
OG0023061	 NO HIT
OG0023062	 NO HIT
OG0023067	 ECDYSONE RECEPTOR
OG0023072	 CRUMBS FAMILY MEMBER
OG0023084	 SUBFAMILY NOT NAMED
OG0023087	 NO HIT
OG0023110	 VARIANT-SPECIFIC SURFACE PROTEIN
OG0023507	 NO HIT
OG0026816	 UVEAL AUTOANTIGEN WITH COILED-COIL DOMAINS AND ANKYRIN REPEATS
OG0026820	 NO HIT
OG0026830	 RHOMBOID PROTEIN 2
OG0026839	 NO HIT
OG0026849	 TESTIS-SPECIFIC SERINE/THREONINE-PROTEIN KINASE 2
OG0026861	 IP01824P-RELATED
OG0026877	 NO HIT
OG0026885	 DOUBLESEX AND MAB-3 RELATED TRANSCRIPTION FACTOR DMRT
OG0026894	 SI:CH211-189E2.2
OG0026933	 NO HIT
OG0026967	 NO HIT
OG0026992	 NO HIT
OG0026993	 NO HIT
OG0027017	 G-PROTEIN COUPLED RECEPTOR
OG0027029	 PROTEIN SHISA-5
OG0027032	 NO HIT
OG0027042	 5-HYDROXYTRYPTAMINE RECEPTOR
OG0027044	 NO HIT
OG0027057	 NO HIT
OG0027063	 SUBFAMILY NOT NAMED
OG0027064	 NY-REN-41 ANTIGEN L15 -RELATED
OG0027097	 NO HIT
OG0027101	 NO HIT
OG0027113	 NO HIT
OG0027114	 NO HIT
OG0027123	 NO HIT
OG0027137	 NO HIT
OG0027138	 NO HIT
OG0027145	 NO HIT
OG0027147	 NO HIT
OG0027168	 NO HIT
OG0027178	 NO HIT
OG0027192	 GRB2-ASSOCIATED AND REGULATOR OF MAPK PROTEIN FAMILY MEMBER
OG0027230	 SEMINAL PLASMA PROTEIN
OG0027246	 NO HIT
OG0027247	 NO HIT
OG0027261	 NO HIT
OG0027280	 NO HIT
OG0027283	 NO HIT
OG0027290	 CHRNA7-FAM7A FUSION PROTEIN-RELATED
OG0027298	 NO HIT
OG0027320	 NO HIT
OG0027322	 SUBFAMILY NOT NAMED
OG0027325	 NO HIT
OG0027343	 ZGC:174356
OG0027356	 NO HIT
OG0027367	 NO HIT
OG0027396	 NO HIT
OG0027413	 NO HIT
OG0027422	 NO HIT
OG0027437	 NO HIT
OG0027462	 CFAP97 DOMAIN-CONTAINING 1
OG0027498	 NECTIN-RELATED
OG0027503	 SUBFAMILY NOT NAMED
OG0027507	 NO HIT
OG0028139	 PROTEIN LIN-12
OG0028186	 CALMODULIN
OG0028202	 SUBFAMILY NOT NAMED
OG0028246	 ACETYLCHOLINE RECEPTOR SUBUNIT BETA-LIKE 2
OG0028273	 POLYCYSTIN FAMILY MEMBER
OG0033558	 NO HIT
OG0033617	 COILED-COIL DOMAIN-CONTAINING PROTEIN 114
OG0033623	 NO HIT
OG0033768	 ANNEXIN
OG0033772	 SUBFAMILY NOT NAMED
OG0033978	 SIDEROFLEXIN-5
OG0033989	 NO HIT
OG0034065	 NO HIT
OG0034088	 ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 5
OG0034185	 FERRIC-CHELATE REDUCTASE 1 HOMOLOG-LIKE PROTEIN-RELATED
OG0034245	 GAMMA-AMINOBUTYRIC ACID RECEPTOR SUBUNIT THETA
OG0034372	 TRANSMEMBRANE PROTEIN KIAA1109
OG0035607	 NO HIT
OG0035629	 TRANSFORMING GROWTH FACTOR ALPHA
OG0035654	 NO HIT
OG0035822	 NO HIT
OG0035898	 GUANYLATE CYCLASE
OG0035917	 NO HIT
OG0035921	 ACETYLCHOLINE RECEPTOR SUBUNIT GAMMA
OG0045785	 NO HIT
OG0045836	 HOMEOBOX PROTEIN ARISTALESS
OG0045903	 GUANYLATE CYCLASE
OG0045941	 RT07201P-RELATED
OG0045958	 NO HIT
OG0046113	 NO HIT
OG0046244	 NO HIT
OG0046256	 RH47711P
OG0046447	 SUBFAMILY NOT NAMED
OG0046799	 AMMONIUM TRANSPORTER
OG0046811	 NO HIT
OG0050039	 NO HIT
OG0050325	 FAMILY NOT NAMED
OG0050423	 METABOTROPIC GLUTAMATE RECEPTOR
OG0050523	 PROTEIN FAM227B
OG0050562	 NO HIT
OG0050581	 SOLUBLE GUANYLATE CYCLASE 88E
OG0050590	 URONYL 2-SULFOTRANSFERASE
