OG0001122	Ofra|OFRAG00000001656.1
OG0020135	Ofra|OFRAG00000001204.1
OG0020138	Ofra|OFRAG00000004589.1
OG0020143	Ofra|OFRAG00000006262.1
OG0020428	Ofra|OFRAG00000007334.1, Ofra|OFRAG00000007335.1
OG0022730	Ofra|OFRAG00000011420.1
OG0022747	Ofra|OFRAG00000005478.1
OG0022770	Ofra|OFRAG00000017298.1
OG0022788	Ofra|OFRAG00000015734.1
OG0022792	Ofra|OFRAG00000007751.1
OG0022804	Ofra|OFRAG00000013994.1
OG0022805	Ofra|OFRAG00000004648.1
OG0022819	Ofra|OFRAG00000015825.1
OG0022821	Ofra|OFRAG00000007108.1
OG0022835	Ofra|OFRAG00000015703.1
OG0022840	Ofra|OFRAG00000013831.1
OG0022848	Ofra|OFRAG00000017387.1
OG0022856	Ofra|OFRAG00000017444.1
OG0022862	Ofra|OFRAG00000007071.1
OG0022886	Ofra|OFRAG00000007886.1
OG0022897	Ofra|OFRAG00000011649.1
OG0022900	Ofra|OFRAG00000012227.1
OG0022904	Ofra|OFRAG00000015036.1
OG0022918	Ofra|OFRAG00000013008.1
OG0022919	Ofra|OFRAG00000013009.1
OG0022929	Ofra|OFRAG00000005511.1
OG0022930	Ofra|OFRAG00000015792.1
OG0022935	Ofra|OFRAG00000010393.1
OG0022952	Ofra|OFRAG00000010452.1
OG0022953	Ofra|OFRAG00000000349.1
OG0022954	Ofra|OFRAG00000011290.1
OG0022958	Ofra|OFRAG00000012389.1
OG0022960	Ofra|OFRAG00000009526.1
OG0022970	Ofra|OFRAG00000017777.1
OG0022975	Ofra|OFRAG00000006601.1
OG0022980	Ofra|OFRAG00000005602.1
OG0022990	Ofra|OFRAG00000008853.1
OG0022991	Ofra|OFRAG00000000271.1
OG0022993	Ofra|OFRAG00000012670.1
OG0022994	Ofra|OFRAG00000012671.1
OG0023005	Ofra|OFRAG00000001387.1
OG0023006	Ofra|OFRAG00000016100.1
OG0023007	Ofra|OFRAG00000000684.1
OG0023009	Ofra|OFRAG00000017174.1
OG0023023	Ofra|OFRAG00000006666.1
OG0023029	Ofra|OFRAG00000012900.1
OG0023032	Ofra|OFRAG00000016535.1
OG0023033	Ofra|OFRAG00000013484.1
OG0023036	Ofra|OFRAG00000015145.1, Ofra|OFRAG00000015147.1, Ofra|OFRAG00000015149.1
OG0023043	Ofra|OFRAG00000013665.1
OG0023044	Ofra|OFRAG00000004976.1
OG0023045	Ofra|OFRAG00000014298.1, Ofra|OFRAG00000014299.1
OG0023047	Ofra|OFRAG00000004551.1
OG0023054	Ofra|OFRAG00000015196.1
OG0023055	Ofra|OFRAG00000011492.1
OG0023061	Ofra|OFRAG00000012381.1
OG0023062	Ofra|OFRAG00000017579.1
OG0023067	Ofra|OFRAG00000005654.1
OG0023072	Ofra|OFRAG00000004416.1, Ofra|OFRAG00000008303.1
OG0023084	Ofra|OFRAG00000005922.1
OG0023087	Ofra|OFRAG00000006870.1
OG0023110	Ofra|OFRAG00000016099.1
OG0023507	Ofra|OFRAG00000000610.1, Ofra|OFRAG00000000612.1
OG0026816	Ofra|OFRAG00000013386.1
OG0026820	Ofra|OFRAG00000008768.1
OG0026830	Ofra|OFRAG00000008140.1
OG0026839	Ofra|OFRAG00000008218.1
OG0026849	Ofra|OFRAG00000000516.1
OG0026861	Ofra|OFRAG00000017815.1
OG0026877	Ofra|OFRAG00000002676.1
OG0026885	Ofra|OFRAG00000002097.1
OG0026894	Ofra|OFRAG00000011153.1
OG0026933	Ofra|OFRAG00000015924.1
OG0026967	Ofra|OFRAG00000012918.1
OG0026992	Ofra|OFRAG00000010252.1
OG0026993	Ofra|OFRAG00000015763.1
OG0027017	Ofra|OFRAG00000015613.1
OG0027029	Ofra|OFRAG00000000455.1
OG0027032	Ofra|OFRAG00000004902.1
OG0027042	Ofra|OFRAG00000001372.1
OG0027044	Ofra|OFRAG00000016496.1
OG0027057	Ofra|OFRAG00000015039.1
OG0027063	Ofra|OFRAG00000013215.1
OG0027064	Ofra|OFRAG00000000518.1
OG0027097	Ofra|OFRAG00000005056.1
OG0027101	Ofra|OFRAG00000014017.1
OG0027113	Ofra|OFRAG00000004406.1
OG0027114	Ofra|OFRAG00000006162.1
OG0027123	Ofra|OFRAG00000013342.1
OG0027137	Ofra|OFRAG00000002360.1
OG0027138	Ofra|OFRAG00000009281.1
OG0027145	Ofra|OFRAG00000000385.1
OG0027147	Ofra|OFRAG00000017317.1
OG0027168	Ofra|OFRAG00000008434.1
OG0027178	Ofra|OFRAG00000001394.1
OG0027192	Ofra|OFRAG00000008436.1
OG0027230	Ofra|OFRAG00000003239.1
OG0027246	Ofra|OFRAG00000015258.1
OG0027247	Ofra|OFRAG00000008346.1
OG0027261	Ofra|OFRAG00000001778.1
OG0027280	Ofra|OFRAG00000004990.1
OG0027283	Ofra|OFRAG00000016080.1
OG0027290	Ofra|OFRAG00000008033.1
OG0027298	Ofra|OFRAG00000005531.1
OG0027320	Ofra|OFRAG00000007725.1
OG0027322	Ofra|OFRAG00000013795.1
OG0027325	Ofra|OFRAG00000015123.1
OG0027343	Ofra|OFRAG00000008857.1
OG0027356	Ofra|OFRAG00000000526.1
OG0027367	Ofra|OFRAG00000004617.1
OG0027396	Ofra|OFRAG00000012601.1
OG0027413	Ofra|OFRAG00000008891.1
OG0027422	Ofra|OFRAG00000004354.1
OG0027437	Ofra|OFRAG00000015910.1
OG0027462	Ofra|OFRAG00000014935.1
OG0027498	Ofra|OFRAG00000017705.1
OG0027503	Ofra|OFRAG00000015031.1
OG0027507	Ofra|OFRAG00000003109.1
OG0028139	Ofra|OFRAG00000000991.1
OG0028186	Ofra|OFRAG00000003699.1
OG0028202	Ofra|OFRAG00000015020.1
OG0028246	Ofra|OFRAG00000012600.1
OG0028273	Ofra|OFRAG00000001521.1, Ofra|OFRAG00000001576.1
OG0033558	Ofra|OFRAG00000008506.1
OG0033617	Ofra|OFRAG00000013921.1
OG0033623	Ofra|OFRAG00000015082.1
OG0033768	Ofra|OFRAG00000005479.1
OG0033772	Ofra|OFRAG00000004516.1
OG0033978	Ofra|OFRAG00000013632.1
OG0033989	Ofra|OFRAG00000011398.1
OG0034065	Ofra|OFRAG00000012489.1
OG0034088	Ofra|OFRAG00000013249.1
OG0034185	Ofra|OFRAG00000000603.1, Ofra|OFRAG00000000604.1
OG0034245	Ofra|OFRAG00000011927.1
OG0034372	Ofra|OFRAG00000017140.1
OG0035607	Ofra|OFRAG00000014769.1
OG0035629	Ofra|OFRAG00000012189.1
OG0035654	Ofra|OFRAG00000001042.1, Ofra|OFRAG00000001043.1
OG0035822	Ofra|OFRAG00000007538.1
OG0035898	Ofra|OFRAG00000004958.1
OG0035917	Ofra|OFRAG00000007941.1
OG0035921	Ofra|OFRAG00000008513.1
OG0045785	Ofra|OFRAG00000004681.1
OG0045836	Ofra|OFRAG00000004552.1
OG0045903	Ofra|OFRAG00000004956.1
OG0045941	Ofra|OFRAG00000003276.1
OG0045958	Ofra|OFRAG00000013957.1
OG0046113	Ofra|OFRAG00000014276.1
OG0046244	Ofra|OFRAG00000001815.1
OG0046256	Ofra|OFRAG00000003460.1
OG0046447	Ofra|OFRAG00000015850.1
OG0046799	Ofra|OFRAG00000007561.1
OG0046811	Ofra|OFRAG00000014795.1
OG0050039	Ofra|OFRAG00000000358.1
OG0050325	Ofra|OFRAG00000010157.1
OG0050423	Ofra|OFRAG00000004513.1
OG0050523	Ofra|OFRAG00000012318.1
OG0050562	Ofra|OFRAG00000015501.1
OG0050581	Ofra|OFRAG00000017234.1
OG0050590	Ofra|OFRAG00000017942.1
