OG0006611	RPACG00000033696.1
OG0020571	RPACG00000012984.1, RPACG00000012987.1, RPACG00000012990.1, RPACG00000012993.1, RPACG00000012996.1
OG0020572	RPACG00000007501.1
OG0023493	RPACG00000029634.1, RPACG00000029635.1, RPACG00000029636.1
OG0023500	RPACG00000025227.1, RPACG00000025228.1
OG0023503	
OG0023505	
OG0023510	
OG0023516	RPACG00000002691.1, RPACG00000002693.1
OG0023517	
OG0023526	
OG0023528	
OG0023539	RPACG00000032479.1
OG0023541	
OG0023548	
OG0023553	
OG0023554	RPACG00000002447.1, RPACG00000024655.1
OG0023555	RPACG00000017923.1
OG0023560	
OG0023562	RPACG00000033957.1
OG0023563	RPACG00000022163.1, RPACG00000028282.1
OG0023572	RPACG00000035413.1
OG0023758	RPACG00000003221.1
OG0023770	RPACG00000003436.1, RPACG00000010878.1, RPACG00000010880.1, RPACG00000027287.1
OG0023773	RPACG00000001317.1
OG0023779	RPACG00000004146.1, RPACG00000004147.1, RPACG00000024672.1
OG0023782	RPACG00000025666.1, RPACG00000025667.1, RPACG00000025672.1, RPACG00000025673.1
OG0028122	
OG0028123	RPACG00000021502.1
OG0028124	RPACG00000033377.1
OG0028126	RPACG00000025406.1
OG0028137	
OG0028138	
OG0028143	
OG0028144	
OG0028148	RPACG00000010841.1
OG0028151	
OG0028153	RPACG00000024807.1
OG0028163	
OG0028165	
OG0028173	RPACG00000002082.1
OG0028175	
OG0028181	RPACG00000000566.1
OG0028188	RPACG00000035795.1
OG0028195	
OG0028210	
OG0028221	RPACG00000024404.1
OG0028232	RPACG00000020142.1, RPACG00000020173.1
OG0028248	RPACG00000009770.1
OG0028249	RPACG00000026040.1
OG0028256	RPACG00000005489.1
OG0028260	RPACG00000006602.1
OG0028580	RPACG00000004675.1, RPACG00000004676.1, RPACG00000035958.1
OG0028589	RPACG00000019864.1
OG0028595	RPACG00000031083.1
OG0028597	RPACG00000024691.1
OG0035593	
OG0035601	RPACG00000000595.1
OG0035613	RPACG00000010587.1
OG0035622	RPACG00000034157.1
OG0035623	RPACG00000012797.1
OG0035640	
OG0035649	
OG0035657	RPACG00000000962.1
OG0035664	
OG0035669	RPACG00000004311.1
OG0035673	RPACG00000015833.1
OG0035677	RPACG00000005732.1
OG0035686	RPACG00000032652.1
OG0035695	RPACG00000007316.1
OG0035712	
OG0035717	
OG0035720	RPACG00000031459.1
OG0035722	
OG0035732	RPACG00000035793.1
OG0035733	RPACG00000018852.1
OG0035735	
OG0035737	RPACG00000013943.1
OG0035742	RPACG00000022212.1
OG0035748	RPACG00000019482.1
OG0035766	
OG0035771	RPACG00000018373.1
OG0035790	RPACG00000034585.1
OG0035792	
OG0035794	RPACG00000004652.1
OG0035800	RPACG00000006126.1
OG0035801	RPACG00000025985.1
OG0035802	
OG0035804	RPACG00000030004.1
OG0035805	
OG0035813	
OG0035814	
OG0035816	
OG0035821	RPACG00000018526.1
OG0035823	RPACG00000000421.1
OG0035824	RPACG00000019130.1
OG0035826	RPACG00000034447.1
OG0035827	RPACG00000034444.1
OG0035833	RPACG00000030157.1
OG0035835	
OG0035839	RPACG00000031709.1
OG0035844	RPACG00000019744.1
OG0035845	
OG0035846	RPACG00000016501.1
OG0035847	RPACG00000022750.1
OG0035850	RPACG00000029034.1
OG0035853	RPACG00000016252.1
OG0035856	
OG0036341	RPACG00000027130.1
OG0036342	RPACG00000027129.1, RPACG00000027131.1
OG0036352	RPACG00000009644.1, RPACG00000009645.1
OG0036359	RPACG00000002025.1, RPACG00000017632.1
OG0036379	RPACG00000026416.1
OG0036388	RPACG00000025233.1
OG0036390	RPACG00000010366.1, RPACG00000030591.1
OG0036397	RPACG00000026190.1
OG0036404	RPACG00000028554.1, RPACG00000028556.1
OG0036414	RPACG00000002814.1
OG0036428	RPACG00000007419.1
OG0036434	RPACG00000006204.1, RPACG00000006206.1
OG0036436	RPACG00000016466.1
OG0049627	
OG0049646	
OG0049657	
OG0049692	
OG0049767	
OG0049784	
OG0049785	
OG0049842	
OG0049845	
OG0049891	
OG0049904	
OG0049906	
OG0049942	
OG0049945	
OG0049946	
OG0049959	
OG0049960	
OG0049970	
OG0049996	
OG0050011	
OG0050013	
OG0050046	
OG0050059	
OG0050093	
OG0050121	
OG0050145	
OG0050152	
OG0050170	
OG0050193	
OG0050196	
OG0050202	
OG0050205	
OG0050210	
OG0050212	
OG0050221	
OG0050222	
OG0050230	
OG0050266	
OG0050280	
OG0050310	
OG0050312	
OG0050328	
OG0050331	
OG0051484	RPACG00000026778.1
OG0051486	RPACG00000026769.1
OG0051515	RPACG00000034660.1
OG0051518	RPACG00000002056.1
OG0051521	RPACG00000034307.1
OG0051536	RPACG00000025444.1
OG0051574	RPACG00000011994.1
OG0051576	RPACG00000019407.1
OG0051601	RPACG00000025240.1
OG0051602	RPACG00000005671.1
OG0051616	RPACG00000005993.1
OG0051618	RPACG00000014966.1
OG0051621	RPACG00000008265.1
OG0051639	RPACG00000036742.1
OG0051641	RPACG00000021328.1
OG0051654	RPACG00000015186.1
OG0051669	RPACG00000018453.1
OG0051671	RPACG00000003183.1
OG0051675	RPACG00000001086.1
OG0051689	RPACG00000001164.1
OG0051691	RPACG00000025832.1
OG0051700	RPACG00000013021.1
OG0051704	RPACG00000035792.1
OG0051708	RPACG00000020808.1
OG0051711	RPACG00000014208.1
OG0051721	RPACG00000023644.1
OG0051732	RPACG00000021085.1
OG0051735	RPACG00000004067.1
OG0051740	RPACG00000018548.1
OG0051750	RPACG00000026762.1
OG0051754	RPACG00000028177.1
OG0051756	RPACG00000022013.1
OG0051761	RPACG00000008225.1
OG0051769	RPACG00000017655.1
OG0051772	RPACG00000004176.1
OG0051797	RPACG00000018451.1
OG0051798	RPACG00000035641.1
OG0051808	RPACG00000013326.1
