OG0009082	RPACG00000019490.1
OG0023558	RPACG00000008012.1, RPACG00000008014.1, RPACG00000008018.1, RPACG00000008022.1
OG0023574	RPACG00000006434.1, RPACG00000006436.1
OG0028114	RPACG00000007250.1, RPACG00000031023.1
OG0028115	RPACG00000020555.1, RPACG00000020556.1, RPACG00000020567.1
OG0028117	RPACG00000019475.1
OG0028145	RPACG00000028204.1
OG0028176	RPACG00000017095.1
OG0028199	RPACG00000013209.1
OG0028203	RPACG00000002013.1, RPACG00000002014.1, RPACG00000024679.1
OG0028204	RPACG00000036142.1
OG0028216	RPACG00000010774.1
OG0028230	RPACG00000028174.1, RPACG00000034349.1
OG0028250	RPACG00000032549.1
OG0028252	RPACG00000026418.1
OG0028257	RPACG00000006433.1, RPACG00000006435.1
OG0035588	RPACG00000017926.1, RPACG00000017927.1
OG0035594	RPACG00000024295.1, RPACG00000024318.1
OG0035609	RPACG00000018180.1
OG0035610	RPACG00000021524.1, RPACG00000021526.1
OG0035616	RPACG00000013670.1, RPACG00000013671.1
OG0035636	RPACG00000021937.1
OG0035661	RPACG00000029453.1
OG0035678	RPACG00000000435.1, RPACG00000000436.1
OG0035682	RPACG00000023217.1
OG0035696	RPACG00000003457.1
OG0035702	RPACG00000018607.1
OG0035705	RPACG00000019273.1
OG0035713	RPACG00000025362.1
OG0035714	RPACG00000005272.1
OG0035725	RPACG00000029007.1
OG0035744	RPACG00000008923.1
OG0035749	RPACG00000011990.1
OG0035751	RPACG00000004800.1
OG0035754	RPACG00000026217.1
OG0035756	RPACG00000032474.1
OG0035762	RPACG00000012098.1
OG0035763	RPACG00000031348.1
OG0035764	RPACG00000031361.1
OG0035765	RPACG00000019631.1
OG0035768	RPACG00000008773.1
OG0035774	RPACG00000031490.1, RPACG00000031491.1
OG0035781	RPACG00000014599.1
OG0035789	RPACG00000008825.1
OG0035797	RPACG00000015373.1, RPACG00000026059.1
OG0035806	RPACG00000002460.1
OG0035811	RPACG00000015832.1, RPACG00000016375.1
OG0035815	RPACG00000031487.1
OG0035817	RPACG00000009121.1, RPACG00000009122.1
OG0035820	RPACG00000005415.1
OG0035837	RPACG00000024653.1, RPACG00000024654.1
OG0035852	RPACG00000014192.1
OG0035859	RPACG00000005722.1, RPACG00000029806.1
OG0049594	RPACG00000035287.1
OG0049596	RPACG00000023534.1
OG0049601	RPACG00000025308.1
OG0049602	RPACG00000025302.1
OG0049610	RPACG00000014881.1
OG0049617	RPACG00000000591.1
OG0049623	RPACG00000011386.1
OG0049625	RPACG00000010123.1
OG0049626	RPACG00000010125.1
OG0049645	RPACG00000018156.1
OG0049648	RPACG00000025865.1
OG0049649	RPACG00000029228.1
OG0049654	RPACG00000015766.1
OG0049666	RPACG00000033274.1
OG0049667	RPACG00000033269.1
OG0049671	RPACG00000032432.1
OG0049688	RPACG00000033060.1
OG0049691	RPACG00000034916.1
OG0049695	RPACG00000004428.1
OG0049716	RPACG00000024507.1
OG0049720	RPACG00000027356.1
OG0049721	RPACG00000028186.1
OG0049727	RPACG00000027688.1
OG0049730	RPACG00000024659.1
OG0049731	RPACG00000024665.1
OG0049732	RPACG00000012885.1
OG0049733	RPACG00000024780.1
OG0049736	RPACG00000035017.1
OG0049737	RPACG00000014893.1
OG0049740	RPACG00000009524.1
OG0049742	RPACG00000005050.1
OG0049743	RPACG00000024073.1
OG0049746	RPACG00000001162.1
OG0049752	RPACG00000004016.1
OG0049755	RPACG00000023825.1
OG0049756	RPACG00000023870.1
OG0049757	RPACG00000023869.1
OG0049763	RPACG00000029893.1
OG0049768	RPACG00000019660.1
OG0049771	RPACG00000036156.1
OG0049776	RPACG00000001094.1
OG0049782	RPACG00000032668.1
OG0049783	RPACG00000032667.1
OG0049789	RPACG00000007275.1
OG0049796	RPACG00000010563.1
OG0049804	RPACG00000033560.1
OG0049805	RPACG00000002090.1
OG0049806	RPACG00000009652.1
OG0049807	RPACG00000009641.1
OG0049825	RPACG00000019563.1
OG0049829	RPACG00000013898.1
OG0049831	RPACG00000000559.1
OG0049840	RPACG00000010518.1
OG0049847	RPACG00000034056.1
OG0049861	RPACG00000002160.1
OG0049867	RPACG00000026564.1
OG0049868	RPACG00000025154.1
OG0049871	RPACG00000010148.1
OG0049875	RPACG00000003124.1
OG0049877	RPACG00000011081.1
OG0049902	RPACG00000029578.1
OG0049907	RPACG00000029495.1
OG0049912	RPACG00000022275.1
OG0049913	RPACG00000022305.1
OG0049914	RPACG00000028796.1
OG0049915	RPACG00000028828.1
OG0049916	RPACG00000028838.1
OG0049920	RPACG00000035242.1
OG0049925	RPACG00000013036.1
OG0049927	RPACG00000019074.1
OG0049936	RPACG00000009950.1
OG0049943	RPACG00000000706.2
OG0049955	RPACG00000008320.1
OG0049956	RPACG00000009254.1
OG0049961	RPACG00000006078.1
OG0049964	RPACG00000011396.1
OG0049971	RPACG00000024010.1
OG0049978	RPACG00000010629.1
OG0049982	RPACG00000016211.1
OG0049983	RPACG00000016212.1
OG0049984	RPACG00000016224.1
OG0049987	RPACG00000031581.1
OG0049988	RPACG00000031866.1
OG0049989	RPACG00000007342.1
OG0049997	RPACG00000013203.1
OG0049999	RPACG00000028750.1
OG0050001	RPACG00000029773.1
OG0050002	RPACG00000006227.1
OG0050010	RPACG00000009750.1
OG0050014	RPACG00000016839.1
OG0050015	RPACG00000012290.1
OG0050016	RPACG00000012288.1
OG0050018	RPACG00000017739.1
OG0050029	RPACG00000005411.1
OG0050034	RPACG00000026223.1
OG0050040	RPACG00000018796.1
OG0050043	RPACG00000019634.1
OG0050044	RPACG00000014623.1
OG0050050	RPACG00000036238.1
OG0050053	RPACG00000019930.1
OG0050055	RPACG00000021177.1
OG0050056	RPACG00000027019.1
OG0050058	RPACG00000000851.1
OG0050062	RPACG00000023095.1
OG0050064	RPACG00000009605.1
OG0050068	RPACG00000034565.1
OG0050076	RPACG00000027244.1
OG0050077	RPACG00000035312.1
OG0050078	RPACG00000035332.1
OG0050079	RPACG00000036704.1
OG0050080	RPACG00000036741.1
OG0050081	RPACG00000026097.1
OG0050083	RPACG00000013997.1
OG0050085	RPACG00000013984.1
OG0050094	RPACG00000031957.1
OG0050095	RPACG00000032032.1
OG0050096	RPACG00000031988.1
OG0050100	RPACG00000001343.1
OG0050102	RPACG00000031552.1
OG0050104	RPACG00000001048.1
OG0050107	RPACG00000033336.1
OG0050108	RPACG00000006279.1
OG0050115	RPACG00000000400.1
OG0050123	RPACG00000031012.1
OG0050124	RPACG00000005605.1
OG0050125	RPACG00000006900.1
OG0050137	RPACG00000021765.1
OG0050139	RPACG00000023986.1
OG0050143	RPACG00000025543.1
OG0050147	RPACG00000017989.1
OG0050153	RPACG00000003635.1
OG0050161	RPACG00000027715.1
OG0050162	RPACG00000015670.1
OG0050164	RPACG00000010915.1
OG0050166	RPACG00000015248.1
OG0050171	RPACG00000018328.1
OG0050184	RPACG00000027104.1
OG0050186	RPACG00000003424.1
OG0050189	RPACG00000016240.1
OG0050194	RPACG00000032091.1
OG0050195	RPACG00000012866.1
OG0050200	RPACG00000021470.1
OG0050201	RPACG00000001980.1
OG0050203	RPACG00000007019.1
OG0050204	RPACG00000015583.1
OG0050206	RPACG00000016467.1
OG0050209	RPACG00000007766.1
OG0050214	RPACG00000032839.1
OG0050216	RPACG00000032875.1
OG0050217	RPACG00000022175.1
OG0050223	RPACG00000005093.1
OG0050224	RPACG00000008473.1
OG0050228	RPACG00000008459.1
OG0050231	RPACG00000006568.1
OG0050232	RPACG00000006567.1
OG0050236	RPACG00000019260.1
OG0050239	RPACG00000026355.1
OG0050243	RPACG00000030107.1
OG0050245	RPACG00000034510.1
OG0050246	RPACG00000026701.1
OG0050254	RPACG00000028669.1
OG0050264	RPACG00000007281.1
OG0050267	RPACG00000014460.1
OG0050269	RPACG00000005375.1
OG0050270	RPACG00000025698.1
OG0050277	RPACG00000004217.1
OG0050281	RPACG00000027466.1
OG0050286	RPACG00000000956.1
OG0050298	RPACG00000029010.1
OG0050303	RPACG00000033867.1
OG0050309	RPACG00000006427.1
OG0050315	RPACG00000010218.1
OG0050316	RPACG00000012467.1
OG0050318	RPACG00000025833.1
OG0050319	RPACG00000025792.1
OG0050329	RPACG00000016896.1
OG0050337	RPACG00000012750.1
OG0050341	RPACG00000014306.1
OG0050342	RPACG00000035062.1
OG0050345	RPACG00000013145.1
OG0050350	RPACG00000036123.1
OG0050351	RPACG00000025488.1
