OG0009082	Rpac|RPACG00000019490.1
OG0028115	Rpac|RPACG00000020555.1, Rpac|RPACG00000020556.1, Rpac|RPACG00000020567.1
OG0028117	Rpac|RPACG00000019475.1
OG0028145	Rpac|RPACG00000028204.1
OG0028176	Rpac|RPACG00000017095.1
OG0028199	Rpac|RPACG00000013209.1
OG0028203	Rpac|RPACG00000002013.1, Rpac|RPACG00000002014.1, Rpac|RPACG00000024679.1
OG0028204	Rpac|RPACG00000036142.1
OG0028216	Rpac|RPACG00000010774.1
OG0028230	Rpac|RPACG00000028174.1, Rpac|RPACG00000034349.1
OG0028250	Rpac|RPACG00000032549.1
OG0028252	Rpac|RPACG00000026418.1
OG0028257	Rpac|RPACG00000006433.1, Rpac|RPACG00000006435.1
OG0035588	Rpac|RPACG00000017926.1, Rpac|RPACG00000017927.1
OG0035594	Rpac|RPACG00000024295.1, Rpac|RPACG00000024318.1
OG0035609	Rpac|RPACG00000018180.1
OG0035610	Rpac|RPACG00000021524.1, Rpac|RPACG00000021526.1
OG0035616	Rpac|RPACG00000013670.1, Rpac|RPACG00000013671.1
OG0035636	Rpac|RPACG00000021937.1
OG0035661	Rpac|RPACG00000029453.1
OG0035678	Rpac|RPACG00000000435.1, Rpac|RPACG00000000436.1
OG0035682	Rpac|RPACG00000023217.1
OG0035696	Rpac|RPACG00000003457.1
OG0035702	Rpac|RPACG00000018607.1
OG0035705	Rpac|RPACG00000019273.1
OG0035713	Rpac|RPACG00000025362.1
OG0035714	Rpac|RPACG00000005272.1
OG0035725	Rpac|RPACG00000029007.1
OG0035744	Rpac|RPACG00000008923.1
OG0035749	Rpac|RPACG00000011990.1
OG0035751	Rpac|RPACG00000004800.1
OG0035754	Rpac|RPACG00000026217.1
OG0035756	Rpac|RPACG00000032474.1
OG0035762	Rpac|RPACG00000012098.1
OG0035763	Rpac|RPACG00000031348.1
OG0035764	Rpac|RPACG00000031361.1
OG0035765	Rpac|RPACG00000019631.1
OG0035768	Rpac|RPACG00000008773.1
OG0035774	Rpac|RPACG00000031490.1, Rpac|RPACG00000031491.1
OG0035781	Rpac|RPACG00000014599.1
OG0035789	Rpac|RPACG00000008825.1
OG0035797	Rpac|RPACG00000015373.1, Rpac|RPACG00000026059.1
OG0035806	Rpac|RPACG00000002460.1
OG0035811	Rpac|RPACG00000015832.1, Rpac|RPACG00000016375.1
OG0035815	Rpac|RPACG00000031487.1
OG0035817	Rpac|RPACG00000009121.1, Rpac|RPACG00000009122.1
OG0035820	Rpac|RPACG00000005415.1
OG0035837	Rpac|RPACG00000024653.1, Rpac|RPACG00000024654.1
OG0035852	Rpac|RPACG00000014192.1
OG0035859	Rpac|RPACG00000005722.1, Rpac|RPACG00000029806.1
OG0049594	Rpac|RPACG00000035287.1
OG0049596	Rpac|RPACG00000023534.1
OG0049601	Rpac|RPACG00000025308.1
OG0049602	Rpac|RPACG00000025302.1
OG0049610	Rpac|RPACG00000014881.1
OG0049617	Rpac|RPACG00000000591.1
OG0049623	Rpac|RPACG00000011386.1
OG0049625	Rpac|RPACG00000010123.1
OG0049626	Rpac|RPACG00000010125.1
OG0049645	Rpac|RPACG00000018156.1
OG0049648	Rpac|RPACG00000025865.1
OG0049649	Rpac|RPACG00000029228.1
OG0049654	Rpac|RPACG00000015766.1
OG0049666	Rpac|RPACG00000033274.1
OG0049667	Rpac|RPACG00000033269.1
OG0049671	Rpac|RPACG00000032432.1
OG0049688	Rpac|RPACG00000033060.1
OG0049691	Rpac|RPACG00000034916.1
OG0049695	Rpac|RPACG00000004428.1
OG0049716	Rpac|RPACG00000024507.1
OG0049720	Rpac|RPACG00000027356.1
OG0049721	Rpac|RPACG00000028186.1
OG0049727	Rpac|RPACG00000027688.1
OG0049730	Rpac|RPACG00000024659.1
OG0049731	Rpac|RPACG00000024665.1
OG0049732	Rpac|RPACG00000012885.1
OG0049733	Rpac|RPACG00000024780.1
OG0049736	Rpac|RPACG00000035017.1
OG0049737	Rpac|RPACG00000014893.1
OG0049740	Rpac|RPACG00000009524.1
OG0049742	Rpac|RPACG00000005050.1
OG0049743	Rpac|RPACG00000024073.1
OG0049746	Rpac|RPACG00000001162.1
OG0049752	Rpac|RPACG00000004016.1
OG0049755	Rpac|RPACG00000023825.1
OG0049756	Rpac|RPACG00000023870.1
OG0049757	Rpac|RPACG00000023869.1
OG0049763	Rpac|RPACG00000029893.1
OG0049768	Rpac|RPACG00000019660.1
OG0049771	Rpac|RPACG00000036156.1
OG0049776	Rpac|RPACG00000001094.1
OG0049782	Rpac|RPACG00000032668.1
OG0049783	Rpac|RPACG00000032667.1
OG0049789	Rpac|RPACG00000007275.1
OG0049796	Rpac|RPACG00000010563.1
OG0049804	Rpac|RPACG00000033560.1
OG0049805	Rpac|RPACG00000002090.1
OG0049806	Rpac|RPACG00000009652.1
OG0049807	Rpac|RPACG00000009641.1
OG0049825	Rpac|RPACG00000019563.1
OG0049829	Rpac|RPACG00000013898.1
OG0049831	Rpac|RPACG00000000559.1
OG0049840	Rpac|RPACG00000010518.1
OG0049847	Rpac|RPACG00000034056.1
OG0049861	Rpac|RPACG00000002160.1
OG0049867	Rpac|RPACG00000026564.1
OG0049868	Rpac|RPACG00000025154.1
OG0049871	Rpac|RPACG00000010148.1
OG0049875	Rpac|RPACG00000003124.1
OG0049877	Rpac|RPACG00000011081.1
OG0049902	Rpac|RPACG00000029578.1
OG0049907	Rpac|RPACG00000029495.1
OG0049912	Rpac|RPACG00000022275.1
OG0049913	Rpac|RPACG00000022305.1
OG0049914	Rpac|RPACG00000028796.1
OG0049915	Rpac|RPACG00000028828.1
OG0049916	Rpac|RPACG00000028838.1
OG0049920	Rpac|RPACG00000035242.1
OG0049925	Rpac|RPACG00000013036.1
OG0049927	Rpac|RPACG00000019074.1
OG0049936	Rpac|RPACG00000009950.1
OG0049943	Rpac|RPACG00000000706.2
OG0049955	Rpac|RPACG00000008320.1
OG0049956	Rpac|RPACG00000009254.1
OG0049961	Rpac|RPACG00000006078.1
OG0049964	Rpac|RPACG00000011396.1
OG0049971	Rpac|RPACG00000024010.1
OG0049978	Rpac|RPACG00000010629.1
OG0049982	Rpac|RPACG00000016211.1
OG0049983	Rpac|RPACG00000016212.1
OG0049984	Rpac|RPACG00000016224.1
OG0049987	Rpac|RPACG00000031581.1
OG0049988	Rpac|RPACG00000031866.1
OG0049989	Rpac|RPACG00000007342.1
OG0049997	Rpac|RPACG00000013203.1
OG0049999	Rpac|RPACG00000028750.1
OG0050001	Rpac|RPACG00000029773.1
OG0050002	Rpac|RPACG00000006227.1
OG0050010	Rpac|RPACG00000009750.1
OG0050014	Rpac|RPACG00000016839.1
OG0050015	Rpac|RPACG00000012290.1
OG0050016	Rpac|RPACG00000012288.1
OG0050018	Rpac|RPACG00000017739.1
OG0050029	Rpac|RPACG00000005411.1
OG0050034	Rpac|RPACG00000026223.1
OG0050040	Rpac|RPACG00000018796.1
OG0050043	Rpac|RPACG00000019634.1
OG0050044	Rpac|RPACG00000014623.1
OG0050050	Rpac|RPACG00000036238.1
OG0050053	Rpac|RPACG00000019930.1
OG0050055	Rpac|RPACG00000021177.1
OG0050056	Rpac|RPACG00000027019.1
OG0050058	Rpac|RPACG00000000851.1
OG0050062	Rpac|RPACG00000023095.1
OG0050064	Rpac|RPACG00000009605.1
OG0050068	Rpac|RPACG00000034565.1
OG0050076	Rpac|RPACG00000027244.1
OG0050077	Rpac|RPACG00000035312.1
OG0050078	Rpac|RPACG00000035332.1
OG0050079	Rpac|RPACG00000036704.1
OG0050080	Rpac|RPACG00000036741.1
OG0050081	Rpac|RPACG00000026097.1
OG0050083	Rpac|RPACG00000013997.1
OG0050085	Rpac|RPACG00000013984.1
OG0050094	Rpac|RPACG00000031957.1
OG0050095	Rpac|RPACG00000032032.1
OG0050096	Rpac|RPACG00000031988.1
OG0050100	Rpac|RPACG00000001343.1
OG0050102	Rpac|RPACG00000031552.1
OG0050104	Rpac|RPACG00000001048.1
OG0050107	Rpac|RPACG00000033336.1
OG0050108	Rpac|RPACG00000006279.1
OG0050115	Rpac|RPACG00000000400.1
OG0050123	Rpac|RPACG00000031012.1
OG0050124	Rpac|RPACG00000005605.1
OG0050125	Rpac|RPACG00000006900.1
OG0050137	Rpac|RPACG00000021765.1
OG0050139	Rpac|RPACG00000023986.1
OG0050143	Rpac|RPACG00000025543.1
OG0050147	Rpac|RPACG00000017989.1
OG0050153	Rpac|RPACG00000003635.1
OG0050161	Rpac|RPACG00000027715.1
OG0050162	Rpac|RPACG00000015670.1
OG0050164	Rpac|RPACG00000010915.1
OG0050166	Rpac|RPACG00000015248.1
OG0050171	Rpac|RPACG00000018328.1
OG0050184	Rpac|RPACG00000027104.1
OG0050186	Rpac|RPACG00000003424.1
OG0050189	Rpac|RPACG00000016240.1
OG0050194	Rpac|RPACG00000032091.1
OG0050195	Rpac|RPACG00000012866.1
OG0050200	Rpac|RPACG00000021470.1
OG0050201	Rpac|RPACG00000001980.1
OG0050203	Rpac|RPACG00000007019.1
OG0050204	Rpac|RPACG00000015583.1
OG0050206	Rpac|RPACG00000016467.1
OG0050209	Rpac|RPACG00000007766.1
OG0050214	Rpac|RPACG00000032839.1
OG0050216	Rpac|RPACG00000032875.1
OG0050217	Rpac|RPACG00000022175.1
OG0050223	Rpac|RPACG00000005093.1
OG0050224	Rpac|RPACG00000008473.1
OG0050228	Rpac|RPACG00000008459.1
OG0050231	Rpac|RPACG00000006568.1
OG0050232	Rpac|RPACG00000006567.1
OG0050236	Rpac|RPACG00000019260.1
OG0050239	Rpac|RPACG00000026355.1
OG0050243	Rpac|RPACG00000030107.1
OG0050245	Rpac|RPACG00000034510.1
OG0050246	Rpac|RPACG00000026701.1
OG0050254	Rpac|RPACG00000028669.1
OG0050264	Rpac|RPACG00000007281.1
OG0050267	Rpac|RPACG00000014460.1
OG0050269	Rpac|RPACG00000005375.1
OG0050270	Rpac|RPACG00000025698.1
OG0050277	Rpac|RPACG00000004217.1
OG0050281	Rpac|RPACG00000027466.1
OG0050286	Rpac|RPACG00000000956.1
OG0050298	Rpac|RPACG00000029010.1
OG0050303	Rpac|RPACG00000033867.1
OG0050309	Rpac|RPACG00000006427.1
OG0050315	Rpac|RPACG00000010218.1
OG0050316	Rpac|RPACG00000012467.1
OG0050318	Rpac|RPACG00000025833.1
OG0050319	Rpac|RPACG00000025792.1
OG0050329	Rpac|RPACG00000016896.1
OG0050337	Rpac|RPACG00000012750.1
OG0050341	Rpac|RPACG00000014306.1
OG0050342	Rpac|RPACG00000035062.1
OG0050345	Rpac|RPACG00000013145.1
OG0050350	Rpac|RPACG00000036123.1
OG0050351	Rpac|RPACG00000025488.1
