Orthogroup	Panther_annotation
OG0001074	 PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT
OG0001075	 PROTEIN TURTLE-LIKE PROTEIN
OG0001076	 ZINC FINGER DHHC DOMAIN CONTAINING PROTEIN
OG0001106	 CAMP AND CAMP-INHIBITED CGMP 3' 5'-CYCLIC PHOSPHODIESTERASE 10A
OG0001111	 NADPH-DEPENDENT ALDEHYDE REDUCTASE ARI1-RELATED
OG0001117	 NO HIT
OG0001163	 CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE (CAM KINASE) II GAMMA 1
OG0001164	 COLLAGEN ALPHA-1(II) CHAIN
OG0001181	 PROLINE-RICH TRANSMEMBRANE PROTEIN 4-RELATED
OG0001189	 EG:BACR42I17.3 PROTEIN-RELATED
OG0001224	 ZGC:195170
OG0001239	 G-PROTEIN COUPLED RECEPTOR
OG0001291	 DOUBLECORTIN DOMAIN-CONTAINING PROTEIN 2B
OG0001300	 CERAMIDE KINASE
OG0001306	 MUSCLEBLIND-LIKE PROTEIN
OG0001309	 BETA-1 3-GALACTOSYLTRANSFERASE BRN
OG0001313	 NO HIT
OG0001321	 CCAAT/ENHANCER-BINDING PROTEIN GAMMA-LIKE PROTEIN
OG0001328	 GH13296P
OG0001329	 MEMBRANE-BOUND LYTIC MUREIN TRANSGLYCOSYLASE F
OG0001337	 FORKHEAD BOX PROTEIN O
OG0001362	 SUBFAMILY NOT NAMED
OG0001366	 GH14494P-RELATED
OG0001372	 SUBFAMILY NOT NAMED
OG0001392	 CARBONIC ANHYDRASE XA-RELATED
OG0001406	 FAMILY NOT NAMED
OG0001416	 TRISSIN RECEPTOR
OG0001421	 NO HIT
OG0001453	 UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 34
OG0001496	 TPR AND ANKYRIN REPEAT-CONTAINING PROTEIN 1
OG0001507	 PERIPHERAL PLASMA MEMBRANE PROTEIN CASK
OG0001514	 ADENYLATE CYCLASE TYPE 9
OG0001538	 GLOBIN RELATED
OG0001541	 ADP-RIBOSYL CYCLASE
OG0001552	 SPERM SURFACE PROTEIN SP17
OG0001569	 TUDOR DOMAIN CONTAINING PROTEIN
OG0001573	 NO HIT
OG0001574	 .
OG0001580	 TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY A MEMBER 1B
OG0001585	 METHYLCROTONOYL-COA CARBOXYLASE BETA CHAIN MITOCHONDRIAL
OG0001598	 EGL NINE HOMOLOG-RELATED
OG0001623	 BLOODY FINGERS-RELATED
OG0001635	 SUBFAMILY NOT NAMED
OG0001640	 CYTOSOLIC IRON-SULFUR ASSEMBLY COMPONENT 2B
OG0001670	 DYNEIN HEAVY CHAIN FAMILY PROTEIN
OG0001680	 SARCOMA ANTIGEN NY-SAR-23
OG0001690	 SOLUTE CARRIER FAMILY 44 MEMBER 1A-RELATED
OG0001704	 LD15586P
OG0001710	 ALPHA-1 6-MANNOSYL-GLYCOPROTEIN 2-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE
OG0001711	 SUBFAMILY NOT NAMED
OG0001723	 VINCULIN
OG0001744	 HAT FAMILY DIMERISATION DOMAINCONTAINING PROTEIN
OG0001748	 SUBFAMILY NOT NAMED
OG0001759	 SI:DKEY-14D8.6-RELATED
OG0001802	 VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 13D
OG0001813	 OXYSTEROL-BINDING PROTEIN 2
OG0001818	 SUBFAMILY NOT NAMED
OG0001839	 NO HIT
OG0001867	 NO HIT
OG0001884	 SERINE/THREONINE-PROTEIN KINASE VRK1
OG0001913	 E3 UBIQUITIN-PROTEIN LIGASE MARCH1
OG0001943	 SAL-LIKE PROTEIN
OG0001957	 ANAPHASE-PROMOTING COMPLEX SUBUNIT 1
OG0001980	 ADENOSINE RECEPTOR HOMOLOG
OG0001986	 IP16275P-RELATED
OG0002022	 CHOLINEPHOSPHOTRANSFERASE 1
OG0002069	 WD REPEAT DOMAIN 62 ISOFORM G
OG0002075	 TERMINAL URIDYLYLTRANSFERASE 7
OG0002083	 ZINC FINGER CCHC DOMAIN CONTAINING PROTEIN
OG0002086	 3'-5' RNA HELICASE YTHDC2
OG0002104	 CYTOKINE-INDUCIBLE SH2-CONTAINING PROTEIN
OG0002108	 MICROTUBULE-ASSOCIATED PROTEIN
OG0002125	 SORTING NEXIN-14
OG0002138	 DENN DOMAIN-CONTAINING PROTEIN 3
OG0002155	 BET1-LIKE PROTEIN
OG0002158	 MITOTIC CHECKPOINT SERINE/THREONINE-PROTEIN KINASE BUB1
OG0002160	 COILED-COIL AND C2 DOMAIN-CONTAINING PROTEIN 2A
OG0002164	 FAMILY NOT NAMED
OG0002168	 SHC (SRC HOMOLOGY DOMAIN C-TERMINAL) ADAPTOR HOMOLOG
OG0002177	 IGF-II MRNA-BINDING PROTEIN ISOFORM L
OG0002187	 CILIA AND FLAGELLA ASSOCIATED PROTEIN 44
OG0002198	 FMRFAMIDE RECEPTOR-RELATED
OG0002206	 SUBFAMILY NOT NAMED
OG0002230	 LYSOSOMAL THIOESTERASE PPT2
OG0002239	 CENTAURIN BETA 1A
OG0002244	 TRANSCRIPTIONAL COACTIVATOR YAP1
OG0002250	 BONUS ISOFORM C-RELATED
OG0002260	 X11L ISOFORM F-RELATED
OG0002262	 CREB/ATF BZIP TRANSCRIPTION FACTOR
OG0002270	 LD22449P
OG0002273	 TRANSMEMBRANE PROTEIN 35A
OG0002276	 MITOCHONDRIAL SODIUM/CALCIUM EXCHANGER PROTEIN
OG0002308	 TNFAIP3-INTERACTING PROTEIN 2
OG0002324	 SUBFAMILY NOT NAMED
OG0002346	 MSTPROX-RELATED
OG0002348	 BETA-PARVIN
OG0002350	 SODIUM LEAK CHANNEL NON-SELECTIVE PROTEIN
OG0002367	 NUCLEAR HORMONE RECEPTOR HR38-RELATED
OG0002379	 VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 8 HOMOLOG
OG0002389	 KINESIN-LIKE PROTEIN KIF21A
OG0002395	 RPE-SPONDIN
OG0002397	 SUBFAMILY NOT NAMED
OG0002409	 ELKS/RAB6-INTERACTING/CAST FAMILY MEMBER 1
OG0002418	 E3 UBIQUITIN-PROTEIN LIGASE RBBP6
OG0002433	 SARM1
OG0002434	 HORMONALLY UP-REGULATED NEU TUMOR-ASSOCIATED KINASE
OG0002447	 METALLOENDOPEPTIDASE
OG0002448	 G-PROTEIN COUPLED RECEPTOR
OG0002452	 PROTEIN CBG24123
OG0002474	 ANKYRIN AND ARMADILLO REPEAT-CONTAINING PROTEIN
OG0002477	 PALMITOYLTRANSFERASE
OG0002479	 SELECTIN LIGAND RELATED
OG0002488	 AGAP005527-PA
OG0002491	 SI:CH211-210B2.2-RELATED
OG0002532	 HEAVYWEIGHT ISOFORM A
OG0002543	 LIM HOMEOBOX TRANSCRIPTION FACTOR 1 ALPHA ISOFORM B
OG0002557	 SERINE/THREONINE-PROTEIN PHOSPHATASE WITH EF-HANDS 2
OG0002583	 BETA-1 2-XYLOSYLTRANSFERASE
OG0002586	 NO HIT
OG0002590	 SUBFAMILY NOT NAMED
OG0002609	 THROMBOSPONDIN TYPE-1 DOMAIN-CONTAINING PROTEIN 7B
OG0002612	 GLYCOGEN DEBRANCHING ENZYME
OG0002616	 NUCLEOPROTEIN TPR-RELATED
OG0002643	 3-OXO-5-ALPHA-STEROID 4-DEHYDROGENASE 2
OG0002654	 HIGH AFFINITY CAMP-SPECIFIC AND IBMX-INSENSITIVE 3' 5'-CYCLIC PHOSPHODIESTERASE 8A
OG0002659	 SUBFAMILY NOT NAMED
OG0002668	 SERRATE RNA EFFECTOR MOLECULE HOMOLOG
OG0002673	 PROTEIN FAM167B
OG0002691	 TRANSMEMBRANE PROTEIN 121B
OG0002710	 CYCLIC NUCLEOTIDE-GATED POTASSIUM CHANNEL
OG0002735	 RCG26366
OG0002777	 NEUROLIGIN 3 ISOFORM B
OG0002779	 CENTER DIVIDER ISOFORM A
OG0002786	 SUBFAMILY NOT NAMED
OG0002804	 ALPHA-AMINOADIPIC SEMIALDEHYDE SYNTHASE MITOCHONDRIAL
OG0002815	 ANKYRIN REPEAT AND STERILE ALPHA MOTIF DOMAIN-CONTAINING PROTEIN 1B
OG0002822	 PROTEIN TYROSINE PHOSPHATASE TYPE IVA 3
OG0002825	 SD10469P
OG0002848	 PROTEIN CBG20746
OG0002850	 PCI DOMAIN-CONTAINING PROTEIN 2
OG0002861	 HOMEOBOX PROTEIN NKX-6.2
OG0002883	 SERINE/THREONINE-PROTEIN KINASE NEK10
OG0002899	 SODIUM/HYDROGEN EXCHANGER 7
OG0002954	 TRACE AMINE-ASSOCIATED RECEPTOR 19N
OG0002977	 SI:CH73-330K17.3
OG0003002	 SUBFAMILY NOT NAMED
OG0003004	 UNCHARACTERIZED
OG0003005	 MANNOSE-P-DOLICHOL UTILIZATION DEFECT 1 PROTEIN
OG0003044	 UBIQUINONE BIOSYNTHESIS MONOOXYGENASE COQ6 MITOCHONDRIAL
OG0003047	 AMINOACYLASE-1
OG0003054	 UNCHARACTERIZED
OG0003059	 GLUCOSE TRANSPORTER 4 ENHANCER FACTOR ISOFORM G
OG0003065	 ATP-DEPENDENT DNA HELICASE HFM1-RELATED
OG0003070	 LAMIN DM0-RELATED
OG0003081	 TYPE II INOSITOL 1 4 5-TRISPHOSPHATE 5-PHOSPHATASE
OG0003100	 SI:DKEY-12E7.1
OG0003109	 RE52086P
OG0003110	 MAD-LIKE
OG0003115	 MALEYLACETOACETATE ISOMERASE
OG0003125	 CENTROSOMAL PROTEIN OF 164 KDA
OG0003139	 SERINE/THREONINE-PROTEIN KINASE BRSK2-LIKE PROTEIN
OG0003151	 SIGNAL PEPTIDE CUB AND EGF-LIKE DOMAIN-CONTAINING PROTEIN 1
OG0003152	 FAM187
OG0003163	 HISTONE DEACETYLASE 6 ISOFORM G
OG0003166	 IQCJ-SCHIP1 READTHROUGH TRANSCRIPT PROTEIN-RELATED
OG0003175	 FI22325P1
OG0003179	 SUBFAMILY NOT NAMED
OG0003213	 CULLIN-ASSOCIATED NEDD8-DISSOCIATED PROTEIN 1
OG0003217	 HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN
OG0003226	 LYSOPHOSPHATIDIC ACID PHOSPHATASE TYPE 6
OG0003355	 RAN GTPASE-ACTIVATING PROTEIN 1
OG0003358	 DNA REPLICATION REGULATOR DPB11-RELATED
OG0003363	 DIXIN
OG0003371	 TBC1 DOMAIN FAMILY MEMBER 2A
OG0003375	 HISTONE-LYSINE N-METHYLTRANSFERASE EGGLESS
OG0003406	 VOLTAGE-GATED POTASSIUM CHANNEL
OG0003412	 KARST ISOFORM E
OG0003423	 TRANSIENT RECEPTOR POTENTIAL ION CHANNEL PROTEIN
OG0003460	 ZINC FINGER PROTEIN
OG0003474	 ATAXIN 1
OG0003502	 PHENYLALANINE--TRNA LIGASE ALPHA SUBUNIT
OG0003515	 CADHERIN EGF LAG SEVEN-PASS G-TYPE RECEPTOR 1
OG0003524	 PEROXISOMAL MEMBRANE PROTEIN 11A
OG0003526	 ATAXIN 7 RELATED
OG0003530	 G PROTEIN-COUPLED RECEPTOR
OG0003537	 RAS LIKE FAMILY 10 MEMBER B-RELATED
OG0003552	 TUBULIN FOLDING COFACTOR B
OG0003560	 THYROTROPIN-RELEASING HORMONE RECEPTOR-LIKE PROTEIN
OG0003570	 TRANSCRIPTION COFACTOR VESTIGIAL-LIKE PROTEIN
OG0003579	 SUBFAMILY NOT NAMED
OG0003586	 GLUTAMATE-RICH WD REPEAT-CONTAINING PROTEIN 1
OG0003621	 EXOSOME COMPLEX COMPONENT RRP41
OG0003631	 S PHASE CYCLIN A-ASSOCIATED PROTEIN IN THE ENDOPLASMIC RETICULUM
OG0003643	 UNC-93 RELATED
OG0003652	 ATP-DEPENDENT RNA HELICASE DDX56-RELATED
OG0003657	 EH DOMAIN-BINDING PROTEIN 1-LIKE 1A
OG0003661	 G PROTEIN-COUPLED RECEPTOR-RELATED
OG0003663	 RBP-RELATED
OG0003674	 SI:CH211-165E15.1
OG0003676	 PHOSPHATIDYLINOSITOL 4-KINASE ALPHA-RELATED
OG0003678	 PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT 37
OG0003693	 PALADIN
OG0003696	 SUBFAMILY NOT NAMED
OG0003719	 PHD FINGER PROTEIN 14
OG0003734	 UNCHARACTERIZED
OG0003735	 SUBFAMILY NOT NAMED
OG0003746	 PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT 12
OG0003755	 SI:DKEYP-82A1.6-RELATED
OG0003757	 T-CELL IMMUNOMODULATORY PROTEIN HOMOLOG
OG0003763	 TESTOSTERONE-REGULATED PROTEIN RP2
OG0003764	 6-PYRUVOYL TETRAHYDROBIOPTERIN SYNTHASE
OG0003766	 SI:CABZ01069013.3-RELATED
OG0003774	 ENTEROPEPTIDASE
OG0003807	 ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
OG0003810	 CHROMATIN-LINKED ADAPTOR FOR MSL PROTEINS ISOFORM B-RELATED
OG0003811	 CDK5 AND ABL1 ENZYME SUBSTRATE 1
OG0003825	 2-OXOISOVALERATE DEHYDROGENASE SUBUNIT ALPHA MITOCHONDRIAL
OG0003826	 TUDOR DOMAIN-CONTAINING PROTEIN 7
OG0003828	 SOLUTE CARRIER FAMILY 22 MEMBER 18
OG0003831	 PROTEIN TANC2
OG0003852	 ACYLAMINOACYL-PEPTIDE HYDROLASE
OG0003853	 CYCLIN-DEPENDENT KINASE 12
OG0003863	 PROTEIN SCRIBBLE HOMOLOG
OG0003880	 METABOTROPIC GLUTAMATE RECEPTOR
OG0003918	 NEGATIVE REGULATOR OF VESICLE FORMATION-RELATED
OG0003948	 STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN 3
OG0003953	 ENOLASE SUPERFAMILY MANDELATE RACEMASE
OG0003957	 DYNEIN LIGHT INTERMEDIATE CHAIN
OG0003970	 GTPASE-ACTIVATING PROTEIN SKYWALKER
OG0003996	 RAB11-BINDING PROTEIN RELCH
OG0004015	 NINEIN
OG0004037	 UBIQUITIN CARBOXYL-TERMINAL HYDROLASE
OG0004047	 EUKARYOTIC TRANSLATION INITIATION FACTOR 4E-BINDING PROTEIN
OG0004062	 G-PROTEIN COUPLED RECEPTOR
OG0004065	 SUBFAMILY NOT NAMED
OG0004073	 SENTRIN/SUMO-SPECIFIC PROTEASE
OG0004076	 NO HIT
OG0004087	 SUBFAMILY NOT NAMED
OG0004101	 PROTEIN DISULFIDE-ISOMERASE TMX3
OG0004102	 VON WILLEBRAND FACTOR D AND EGF DOMAIN-CONTAINING PROTEIN
OG0004115	 RB1-INDUCIBLE COILED-COIL PROTEIN 1
OG0004119	 AGAP007712-PA
OG0004125	 CROSSVEINLESS 2
OG0004141	 DISKS LARGE HOMOLOG 5
OG0004146	 WINGS APART-LIKE PROTEIN HOMOLOG
OG0004186	 NEGATIVE ELONGATION FACTOR A
OG0004196	 UNCHARACTERIZED
OG0004201	 CHROMODOMAIN-HELICASE-DNA-BINDING PROTEIN 1
OG0004215	 ZONA PELLUCIDA BINDING PROTEIN SP38
OG0004233	 TRICALBIN-1-RELATED
OG0004234	 MITOCHONDRIAL IMPORT RECEPTOR SUBUNIT TOM70
OG0004238	 CATHEPSIN F
OG0004258	 TRANSMEMBRANE 9 SUPERFAMILY MEMBER 2
OG0004267	 ROUND SPERMATID BASIC PROTEIN 1-LIKE PROTEIN
OG0004289	 39S RIBOSOMAL PROTEIN L44 MITOCHONDRIAL
OG0004295	 CADHERIN-LIKE AND PC-ESTERASE DOMAIN-CONTAINING PROTEIN 1
OG0004301	 DIPHOSPHATASE PUTATIVE-RELATED
OG0004316	 TRANSMEMBRANE PROTEIN 181
OG0004328	 MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN 4A
OG0004343	 GENERAL TRANSCRIPTION FACTOR 3C POLYPEPTIDE 1
OG0004367	 E3 UBIQUITIN-PROTEIN LIGASE ZNRF1-LIKE PROTEIN
OG0004397	 SACCHAROPINE DEHYDROGENASE-LIKE OXIDOREDUCTASE
OG0004418	 CELL ADHESION MOLECULE-RELATED/DOWN-REGULATED BY ONCOGENES
OG0004448	 PROTEIN CBG20488
OG0004452	 EBONY
OG0004497	 SIMILAR TO KIAA0825 PROTEIN
OG0004512	 PROTEIN FAM166B
OG0004526	 NITROGEN PERMEASE REGULATOR 2/TUMOR SUPPRESSOR CANDIDATE 4
OG0004537	 PROTEIN TRANSPORT PROTEIN SEC24C
OG0004539	 MOTHERS AGAINST DECAPENTAPLEGIC HOMOLOG 6
OG0004559	 GUANINE NUCLEOTIDE-BINDING PROTEIN SUBUNIT ALPHA HOMOLOG
OG0004574	 PROTEIN YIPPEE-LIKE 3
OG0004584	 U4/U6 SMALL NUCLEAR RIBONUCLEOPROTEIN PRP3
OG0004617	 UBIQUITIN-CONJUGATING ENZYME E2 Z
OG0004633	 SUBFAMILY NOT NAMED
OG0004635	 RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 17
OG0004665	 TRNA N6-ADENOSINE THREONYLCARBAMOYLTRANSFERASE MITOCHONDRIAL-RELATED
OG0004687	 TRANSMEMBRANE PROTEIN 135
OG0004707	 ENKURIN
OG0004717	 GNAT FAMILY N-ACETYLTRANSFERASE
OG0004732	 T-RELATED PROTEIN
OG0004740	 ARMADILLO REPEAT CONTAINING 2
OG0004744	 BICAUDAL D-RELATED PROTEIN HOMOLOG
OG0004746	 SUBFAMILY NOT NAMED
OG0004760	 O-ACYLTRANSFERASE
OG0004769	 ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 14
OG0004781	 RAB GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 1-RELATED
OG0004815	 ATP-DEPENDENT RNA HELICASE DDX18
OG0004826	 DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC2
OG0004858	 REGULATOR OF NONSENSE TRANSCRIPTS 2
OG0004859	 AMPLIFIED IN BREAST CANCER 2-RELATED
OG0004867	 UNCHARACTERIZED
OG0004878	 TRNA PSEUDOURIDINE SYNTHASE A
OG0004880	 FI05246P
OG0004884	 INTEGRATOR COMPLEX SUBUNIT 2
OG0004901	 DELTA-LIKE PROTEIN
OG0004904	 SIGNAL RECOGNITION PARTICLE 72
OG0004907	 TRANSCRIPTION ELONGATION FACTOR SPT6
OG0004909	 TELOMERASE-BINDING PROTEIN EST1A
OG0004930	 EUKARYOTIC TRANSLATION INITIATION FACTOR 1B
OG0004934	 NO HIT
OG0004950	 NO HIT
OG0004966	 R3H DOMAIN-CONTAINING PROTEIN 1
OG0004984	 UNCHARACTERIZED
OG0004986	 3-OXO-GLUCOSE-6-PHOSPHATE:GLUTAMATE AMINOTRANSFERASE
OG0005026	 UNCHARACTERIZED
OG0005036	 PTP/DSP-LIKE
OG0005041	 SUBFAMILY NOT NAMED
OG0005054	 FAMILY NOT NAMED
OG0005059	 PROTEIN PUTATIVE-RELATED
OG0005062	 TRANSCRIPTION FACTOR CASTOR PROTEIN MING -RELATED
OG0005071	 MYOCARDIN-RELATED TRANSCRIPTION FACTOR-RELATED
OG0005077	 NUDC DOMAIN-CONTAINING PROTEIN 3
OG0005083	 NAD(P)H-HYDRATE EPIMERASE
OG0005088	 NTF2-RELATED EXPORT PROTEIN 2
OG0005090	 COUPLED RECEPTOR PUTATIVE-RELATED
OG0005100	 CYTOCHROME C OXIDASE SUBUNIT 5B MITOCHONDRIAL
OG0005106	 AMINOTRANSFERASE
OG0005121	 RAB11-FAMILY INTERACTING PROTEIN
OG0005165	 NICOTINAMIDE RIBOSIDE KINASE 1
OG0005225	 ATP SYNTHASE SUBUNIT C LYSINE N-METHYLTRANSFERASE
OG0005231	 CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 5
OG0005245	 PROTEIN BUD31 HOMOLOG
OG0005276	 SUBFAMILY NOT NAMED
OG0005290	 RAS-RELATED PROTEIN RAB-24
OG0005295	 VACUOLAR PROTEIN SORTING 54
OG0005303	 FI23523P1
OG0005340	 CONSERVED OLIGOMERIC GOLGI COMPLEX COMPONENT 7
OG0005349	 PROTEIN CAPICUA HOMOLOG
OG0005352	 RETINOIC ACID INDUCED 1/TRANSCRIPTION FACTOR 20
OG0005355	 EUKARYOTIC TRANSLATION INITIATION FACTOR 4E TRANSPORTER
OG0005365	 ETS TRANSLOCATION VARIANT 5
OG0005368	 ZINC FINGER PROTEIN 280D
OG0005384	 CELL JUNCTION PROTEIN VAB-9
OG0005408	 X-BOX BINDING PROTEIN 1
OG0005409	 DNA POLYMERASE LAMBDA
OG0005430	 PRE-MRNA-PROCESSING FACTOR 19
OG0005433	 GAMMA-SECRETASE SUBUNIT PEN-2
OG0005442	 MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE MITOCHONDRIAL-LIKE PROTEIN-RELATED
OG0005455	 HISTAMINE RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
OG0005458	 PROTEIN CBG11604
OG0005466	 REGULATING SYNAPTIC MEMBRANE EXOCYTOSIS PROTEIN
OG0005484	 FAMILY NOT NAMED
OG0005527	 GTP:AMP PHOSPHOTRANSFERASE AK3 MITOCHONDRIAL
OG0005539	 DUAL SPECIFICITY PROTEIN PHOSPHATASE 16
OG0005565	 AUTOSOMAL HIGHLY CONSERVED PROTEIN
OG0005566	 ZINC FINGER PROTEIN
OG0005595	 TEL2 INTERACTING PROTEIN 1 TTI1 FAMILY MEMBER
OG0005596	 DC12-RELATED
OG0005626	 VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 41 HOMOLOG
OG0005642	 TRANSPORTER
OG0005647	 ATAXIN-7-LIKE PROTEIN 3
OG0005659	 CENTROSOMAL PROTEIN OF 63 KDA
OG0005670	 TRANSMEMBRANE PROTEIN FAM155
OG0005684	 BETA-TUBULIN COFACTOR D
OG0005693	 PYGOPUS
OG0005706	 TRANSMEMBRANE PROTEIN 164
OG0005707	 SUBFAMILY NOT NAMED
OG0005715	 SI:DKEY-23N7.10
OG0005732	 SUCCINATE DEHYDROGENASE IRON-SULFUR PROTEIN
OG0005746	 COLLAGEN TYPE IV ALPHA-3-BINDING PROTEIN
OG0005747	 E3 UBIQUITIN-PROTEIN LIGASE RNF144B
OG0005751	 SPARTIN
OG0005755	 CYCLIN-DEPENDENT KINASE 17
OG0005768	 GPI-ANCHORED PROTEIN P137
OG0005770	 SERINE/THREONINE-PROTEIN KINASE NEK6
OG0005774	 CONSERVED OLIGOMERIC GOLGI COMPLEX SUBUNIT 1
OG0005789	 ORIGIN RECOGNITION COMPLEX SUBUNIT 3
OG0005864	 COMM DOMAIN-CONTAINING PROTEIN 4
OG0005871	 RNA TRANSCRIPTION TRANSLATION AND TRANSPORT FACTOR PROTEIN
OG0005882	 NO HIT
OG0005889	 RE48077P
OG0005900	 UNCHARACTERIZED
OG0005908	 NIPSNAP-RELATED
OG0005937	 EUKARYOTIC TRANSLATION INITIATION FACTOR 5
OG0005941	 TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 12
OG0005950	 UBIQUITIN-CONJUGATING ENZYME E2G 1A (UBC7 HOMOLOG YEAST)
OG0005981	 CORRINOID ADENOSYLTRANSFERASE
OG0005988	 AGAP001581-PA
OG0005992	 CHROMATIN-REMODELING ATPASE INO80
OG0006002	 GUANYLATE CYCLASE
OG0006012	 HELICASE ARIP4
OG0006016	 SI:DKEY-228L14.1
OG0006084	 O-ACYLTRANSFERASE
OG0006095	 3'-5' EXONUCLEASE DOMAIN-CONTAINING PROTEIN
OG0006096	 MYOMEGALIN
OG0006108	 MEIOTIC RECOMBINATION PROTEIN SPO11
OG0006114	 ATP-DEPENDENT DNA HELICASE Q4
