OG0000043	Ofra|OFRAG00000004296.1
OG0016529	
OG0016576	
OG0016634	
OG0016643	
OG0016888	
OG0016993	
OG0016999	
OG0017017	
OG0017097	
OG0017136	
OG0017180	
OG0017232	
OG0017274	
OG0017340	
OG0017424	
OG0017425	
OG0017497	Ofra|OFRAG00000013642.1
OG0017539	
OG0017660	
OG0017669	
OG0017692	
OG0017698	
OG0017731	
OG0017735	
OG0017765	
OG0017784	
OG0017837	
OG0017911	
OG0017940	
OG0017946	
OG0017950	
OG0017952	
OG0017955	
OG0017963	
OG0017975	
OG0017979	
OG0017981	
OG0017992	
OG0018009	
OG0018010	
OG0018022	
OG0018027	
OG0018069	
OG0018152	
OG0018186	
OG0018195	
OG0018197	
OG0018206	
OG0018208	
OG0018215	
OG0018227	
OG0018228	
OG0018230	
OG0018549	
OG0018562	
OG0018591	
OG0018614	
OG0018626	
OG0018659	
OG0018691	
OG0018730	
OG0018753	
OG0018757	
OG0018775	
OG0018783	
OG0018790	
OG0019108	
OG0019174	
OG0019196	
OG0019199	
OG0019213	
OG0019215	
OG0019221	
OG0019266	
OG0019284	
OG0019315	
OG0019333	
OG0019362	
OG0019393	
OG0019401	
OG0019437	
OG0019444	
OG0019479	
OG0019522	
OG0019523	
OG0019525	
OG0019554	
OG0019558	
OG0019580	
OG0019732	
OG0019859	
OG0019922	
OG0019947	
OG0019951	
OG0019957	
OG0019968	
OG0019989	
OG0019993	
OG0019996	Ofra|OFRAG00000015400.1
OG0020002	
OG0020005	
OG0020016	
OG0020019	
OG0020030	
OG0020052	
OG0020059	
OG0020061	
OG0020064	
OG0020069	
OG0020073	
OG0020074	
OG0020076	
OG0020087	
OG0020097	
OG0020099	
OG0020101	
OG0020104	
OG0020106	
OG0020109	
OG0020116	
OG0020136	
OG0020147	
OG0020148	
OG0020265	
OG0020346	
OG0020371	
OG0020373	
OG0020374	
OG0020376	
OG0020381	
OG0020384	
OG0020387	
OG0020389	
OG0020392	
OG0020398	
OG0020407	
OG0020417	
OG0020418	
OG0020420	
OG0020866	
OG0020907	
OG0020909	
OG0021169	
OG0021174	
OG0021212	
OG0021338	
OG0021379	
OG0021554	
OG0021558	
OG0021576	
OG0021640	
OG0021684	
OG0021687	Ofra|OFRAG00000012220.1
OG0021711	
OG0021801	
OG0021830	
OG0021873	
OG0021890	
OG0021928	Ofra|OFRAG00000014899.1
OG0021950	
OG0022032	Ofra|OFRAG00000002008.1
OG0022043	
OG0022044	
OG0022060	
OG0022107	
OG0022132	
OG0022177	
OG0022187	
OG0022196	
OG0022197	
OG0022212	
OG0022218	
OG0022368	
OG0022477	
OG0022493	
OG0022570	
OG0022728	
OG0022734	
OG0022750	
OG0022752	
OG0022786	
OG0022787	
OG0022789	
OG0022807	
OG0022810	
OG0022825	
OG0022833	
OG0022841	
OG0022858	
OG0022883	
OG0022889	
OG0022894	
OG0022906	
OG0022911	
OG0022915	
OG0022928	
OG0022951	
OG0022956	
OG0022968	
OG0022974	
OG0022987	
OG0022989	
OG0022998	
OG0023004	
OG0023034	
OG0023048	
OG0023054	Ofra|OFRAG00000015196.1
OG0023064	
OG0023077	
OG0023081	
OG0023085	
OG0023088	
OG0023089	
OG0023090	
OG0023092	
OG0023093	
OG0023094	
OG0023102	
OG0023114	
OG0023366	
OG0023414	
OG0023417	
OG0023460	Ofra|OFRAG00000015546.1
OG0023503	
OG0023505	
OG0023510	
OG0023517	
OG0023526	
OG0023528	
OG0023541	
OG0023545	
OG0023548	
OG0023553	
OG0023560	
OG0023575	
OG0024218	
OG0024336	
OG0024361	Ofra|OFRAG00000013072.1
OG0024414	
OG0024581	
OG0024600	
OG0024613	
OG0024784	
OG0024848	
OG0024874	
OG0024894	
OG0024961	
OG0025040	
OG0025112	Ofra|OFRAG00000007364.1
OG0025374	
OG0025376	
OG0025483	
OG0025627	
OG0025757	
OG0025918	
OG0025982	Ofra|OFRAG00000016429.1
OG0026027	
OG0026196	
OG0026219	
OG0026327	
OG0026497	
OG0026546	
OG0026574	
OG0026595	
OG0026767	
OG0026789	
OG0026803	
OG0026823	
OG0026842	
OG0026843	
OG0026858	
OG0026884	
OG0026907	
OG0026916	
OG0026920	
OG0026926	
OG0026929	
OG0026938	
OG0026948	
OG0026950	
OG0026958	
OG0026971	
OG0026986	
OG0026990	
OG0027005	
OG0027012	
OG0027022	
OG0027037	
OG0027046	
OG0027059	
OG0027100	
OG0027119	
OG0027127	
OG0027128	
OG0027159	
OG0027177	
OG0027183	
OG0027193	
OG0027195	
OG0027217	
OG0027218	
OG0027234	
OG0027235	
OG0027238	
OG0027248	
OG0027263	
OG0027273	
OG0027276	
OG0027294	
OG0027309	
OG0027315	
OG0027321	
OG0027328	
OG0027346	
OG0027348	
OG0027359	
OG0027377	
OG0027385	
OG0027387	
OG0027391	
OG0027393	
OG0027414	
OG0027421	
OG0027425	
OG0027427	
OG0027429	
OG0027444	
OG0027447	
OG0027463	
OG0027469	
OG0027502	
OG0027595	
OG0027942	
OG0028013	
OG0028030	
OG0028116	
OG0028122	
OG0028137	
OG0028138	
OG0028139	Ofra|OFRAG00000000991.1
OG0028143	
OG0028144	
OG0028151	
OG0028155	Ofra|OFRAG00000002476.1
OG0028163	
OG0028165	
OG0028175	
OG0028195	
OG0028196	
OG0028208	
OG0028210	
OG0029492	
OG0029510	
OG0029875	
OG0029949	
OG0029958	
OG0030110	
OG0030331	
OG0030604	
OG0030742	
OG0031017	
OG0031060	
OG0031184	
OG0031245	
OG0031310	
OG0031328	
OG0031332	
OG0031371	
OG0031433	
OG0031434	
OG0031438	
OG0031577	
OG0031611	
OG0031648	
OG0031765	
OG0031797	
OG0031820	
OG0031867	
OG0031875	
OG0031899	
OG0031985	
OG0032027	
OG0032067	
OG0032929	
OG0033094	
OG0033118	
OG0033211	
OG0033438	
OG0033445	
OG0033462	
OG0033465	
OG0033469	
OG0033480	
OG0033482	
OG0033502	
OG0033504	
OG0033507	
OG0033518	
OG0033521	
OG0033529	
OG0033531	
OG0033542	
OG0033553	
OG0033558	Ofra|OFRAG00000008506.1
OG0033566	
OG0033568	
OG0033575	
OG0033579	
OG0033582	
OG0033583	
OG0033591	
OG0033592	
OG0033594	
OG0033624	
OG0033637	
OG0033660	
OG0033678	
OG0033689	
OG0033701	
OG0033706	
OG0033716	
OG0033718	
OG0033719	
OG0033757	
OG0033761	
OG0033772	Ofra|OFRAG00000004516.1
OG0033794	
OG0033801	
OG0033803	
OG0033819	
OG0033838	
OG0033842	
OG0033843	
OG0033844	
OG0033859	
OG0033863	
OG0033869	
OG0033874	
OG0033885	
OG0033893	
OG0033894	
OG0033905	
OG0033910	
OG0033917	
OG0033926	
OG0033946	
OG0033976	
OG0033980	
OG0033988	
OG0034002	
OG0034008	
OG0034033	
OG0034051	
OG0034070	
OG0034079	
OG0034085	
OG0034094	
OG0034099	
OG0034109	
OG0034115	
OG0034130	
OG0034132	
OG0034144	
OG0034145	
OG0034148	
OG0034167	
OG0034168	
OG0034179	
OG0034193	
OG0034196	
OG0034203	
OG0034204	
OG0034215	
OG0034223	
OG0034226	
OG0034230	
OG0034241	
OG0034255	
OG0034263	
OG0034266	
OG0034269	
OG0034271	
OG0034286	
OG0034294	
OG0034295	
OG0034301	
OG0034310	
OG0034311	
OG0034321	
OG0034327	
OG0034348	
OG0034350	
OG0034354	
OG0034365	
OG0034371	
OG0034379	
OG0034380	
OG0034387	
OG0034388	
OG0034399	
OG0034401	
OG0034415	
OG0034510	Ofra|OFRAG00000013594.1
OG0034945	
OG0035261	
OG0035302	
OG0035344	
OG0035577	
OG0035584	
OG0035593	
OG0035640	
OG0035649	
OG0035654	Ofra|OFRAG00000001042.1, Ofra|OFRAG00000001043.1
OG0035664	
OG0035712	
OG0035717	
OG0035722	
OG0035735	
OG0035766	
OG0035792	
OG0035802	
OG0035805	
OG0035808	
OG0035813	
OG0035814	
OG0035816	
OG0035835	
OG0035845	
OG0035856	
OG0037931	
OG0040192	
OG0040865	
OG0040897	
OG0042250	
OG0043263	
OG0043271	
OG0043311	
OG0043314	
OG0044455	
OG0044628	
OG0045648	
OG0045650	
OG0045653	
OG0045655	
OG0045658	
OG0045660	
OG0045663	
OG0045667	
OG0045679	
OG0045683	
OG0045697	
OG0045705	
OG0045708	
OG0045732	
OG0045754	
OG0045768	
OG0045780	
OG0045787	
OG0045792	
OG0045794	
OG0045802	
OG0045803	
OG0045809	
OG0045811	
OG0045812	
OG0045813	
OG0045814	
OG0045818	
OG0045822	
OG0045825	
OG0045849	
OG0045850	
OG0045867	
OG0045868	
OG0045869	
OG0045871	
OG0045874	
OG0045879	
OG0045890	
OG0045892	
OG0045897	
OG0045898	
OG0045900	
OG0045901	
OG0045913	
OG0045923	
OG0045929	
OG0045931	
OG0045946	
OG0045951	
OG0045955	
OG0045956	
OG0045960	
OG0045961	
OG0045971	
OG0045972	
OG0045981	
OG0045991	
OG0046008	
OG0046016	
OG0046018	
OG0046019	
OG0046028	
OG0046055	
OG0046056	
OG0046067	
OG0046087	
OG0046092	
OG0046095	
OG0046096	
OG0046111	
OG0046123	
OG0046126	
OG0046132	
OG0046134	
OG0046136	
OG0046137	
OG0046139	
OG0046145	
OG0046157	
OG0046161	
OG0046163	
OG0046164	
OG0046167	
OG0046176	
OG0046184	
OG0046191	
OG0046202	
OG0046208	
OG0046209	
OG0046215	
OG0046219	
OG0046222	
OG0046227	
OG0046229	
OG0046241	
OG0046247	
OG0046248	
OG0046253	
OG0046262	
OG0046270	
OG0046271	
OG0046286	
OG0046288	
OG0046303	
OG0046316	
OG0046319	
OG0046320	
OG0046326	
OG0046327	
OG0046331	
OG0046335	
OG0046343	
OG0046358	
OG0046361	
OG0046383	
OG0046384	
OG0046392	
OG0046404	
OG0046409	
OG0046412	
OG0046414	
OG0046432	
OG0046437	
OG0046441	
OG0046452	
OG0046453	
OG0046456	
OG0046460	
OG0046461	
OG0046470	
OG0046473	
OG0046475	
OG0046486	
OG0046488	
OG0046490	
OG0046493	
OG0046503	
OG0046520	
OG0046522	
OG0046531	
OG0046535	
OG0046542	
OG0046545	
OG0046551	
OG0046554	
OG0046558	
OG0046560	
OG0046569	
OG0046570	
OG0046573	
OG0046589	
OG0046590	
OG0046591	
OG0046600	
OG0046604	
OG0046613	
OG0046621	
OG0046625	
OG0046626	
OG0046650	
OG0046653	
OG0046655	
OG0046660	
OG0046662	
OG0046665	
OG0046673	
OG0046675	
OG0046695	
OG0046705	
OG0046712	
OG0046727	
OG0046744	
OG0046747	
OG0046762	
OG0046768	
OG0046771	
OG0046781	
OG0046791	
OG0046793	
OG0046794	
OG0046796	
OG0046800	
OG0046804	
OG0046819	
OG0046828	
OG0046830	
OG0046833	
OG0046840	
OG0046842	
OG0046844	
OG0046849	
OG0046855	
OG0046862	
OG0046864	
OG0046872	
OG0046873	
OG0048300	
OG0049627	
OG0049646	
OG0049657	
OG0049692	
OG0049767	
OG0049784	
OG0049785	
OG0049842	
OG0049845	
OG0049891	
OG0049904	
OG0049906	
OG0049942	
OG0049945	
OG0049946	
OG0049947	
OG0049959	
OG0049960	
OG0049970	
OG0049996	
OG0050011	
OG0050013	
OG0050039	Ofra|OFRAG00000000358.1
OG0050046	
OG0050059	
OG0050093	
OG0050111	
OG0050121	
OG0050145	
OG0050152	
OG0050170	
OG0050193	
OG0050196	
OG0050202	
OG0050205	
OG0050210	
OG0050212	
OG0050221	
OG0050222	
OG0050230	
OG0050258	
OG0050266	
OG0050280	
OG0050310	
OG0050312	
OG0050325	Ofra|OFRAG00000010157.1
OG0050328	
OG0050331	
