OG0000043	Oalv|OALVG00000007688.1
OG0000315	Oalv|OALVG00000019127.1, Oalv|OALVG00000029034.1
OG0000316	Oalv|OALVG00000000663.1, Oalv|OALVG00000000669.1, Oalv|OALVG00000002908.1
OG0000326	Oalv|OALVG00000014658.1, Oalv|OALVG00000017871.1
OG0000350	Oalv|OALVG00000005962.1, Oalv|OALVG00000007694.1, Oalv|OALVG00000026055.1
OG0000446	Oalv|OALVG00000031431.1
OG0000453	Oalv|OALVG00000024105.1, Oalv|OALVG00000024979.1
OG0000459	Oalv|OALVG00000023417.1
OG0000465	Oalv|OALVG00000002686.1, Oalv|OALVG00000008946.1
OG0000497	Oalv|OALVG00000005758.1, Oalv|OALVG00000019964.1, Oalv|OALVG00000028269.1
OG0000528	Oalv|OALVG00000012269.1
OG0000548	Oalv|OALVG00000013829.1, Oalv|OALVG00000025532.1
OG0000599	Oalv|OALVG00000017772.1
OG0000631	Oalv|OALVG00000014180.1
OG0000655	Oalv|OALVG00000012059.1, Oalv|OALVG00000012231.1
OG0000717	Oalv|OALVG00000019077.1
OG0000765	Oalv|OALVG00000003325.1, Oalv|OALVG00000004513.1
OG0000767	Oalv|OALVG00000005211.1
OG0000814	Oalv|OALVG00000030745.1
OG0000908	Oalv|OALVG00000014690.1, Oalv|OALVG00000016714.1
OG0000937	Oalv|OALVG00000033179.1
OG0001067	Oalv|OALVG00000009914.1
OG0001175	Oalv|OALVG00000002947.1, Oalv|OALVG00000013895.1
OG0001201	Oalv|OALVG00000009679.1
OG0001224	Oalv|OALVG00000009924.1
OG0001321	Oalv|OALVG00000026451.1
OG0001446	Oalv|OALVG00000001479.1
OG0001594	Oalv|OALVG00000006501.1, Oalv|OALVG00000019241.1
OG0001635	Oalv|OALVG00000014716.1
OG0001648	Oalv|OALVG00000011472.1
OG0001839	Oalv|OALVG00000002254.1, Oalv|OALVG00000002255.1, Oalv|OALVG00000010128.1, Oalv|OALVG00000010331.1, Oalv|OALVG00000020557.1
OG0002083	Oalv|OALVG00000010092.2
OG0002092	Oalv|OALVG00000026507.1
OG0002164	Oalv|OALVG00000012160.1
OG0002250	Oalv|OALVG00000018595.1
OG0002586	Oalv|OALVG00000009575.1, Oalv|OALVG00000009919.1, Oalv|OALVG00000025242.1, Oalv|OALVG00000028415.1, Oalv|OALVG00000030295.1, Oalv|OALVG00000032098.1, Oalv|OALVG00000034701.1
OG0002848	Oalv|OALVG00000001117.1, Oalv|OALVG00000006085.1, Oalv|OALVG00000006086.1, Oalv|OALVG00000008033.1, Oalv|OALVG00000008544.1, Oalv|OALVG00000008545.1, Oalv|OALVG00000013102.1, Oalv|OALVG00000014917.1, Oalv|OALVG00000014918.1, Oalv|OALVG00000014969.1, Oalv|OALVG00000014970.1, Oalv|OALVG00000016452.1, Oalv|OALVG00000019374.1, Oalv|OALVG00000020654.1, Oalv|OALVG00000026385.1, Oalv|OALVG00000026930.1, Oalv|OALVG00000027135.1, Oalv|OALVG00000028321.1, Oalv|OALVG00000030841.1, Oalv|OALVG00000032482.1, Oalv|OALVG00000033635.1
OG0003208	Oalv|OALVG00000011467.1, Oalv|OALVG00000011471.1
OG0003286	Oalv|OALVG00000023295.1
OG0003326	Oalv|OALVG00000003875.1
OG0003426	Oalv|OALVG00000011627.1, Oalv|OALVG00000019599.1, Oalv|OALVG00000022925.1, Oalv|OALVG00000022926.1, Oalv|OALVG00000022927.1
OG0003460	Oalv|OALVG00000018885.1
OG0003677	Oalv|OALVG00000013982.1
OG0004073	Oalv|OALVG00000007545.1, Oalv|OALVG00000007546.1, Oalv|OALVG00000007548.1, Oalv|OALVG00000017592.1, Oalv|OALVG00000029431.1
OG0004111	Oalv|OALVG00000025206.1
OG0004212	Oalv|OALVG00000023634.1
OG0004243	Oalv|OALVG00000019962.1
OG0004627	Oalv|OALVG00000011720.1, Oalv|OALVG00000028733.1
OG0004717	Oalv|OALVG00000002640.1
OG0004828	Oalv|OALVG00000007202.1
OG0004830	Oalv|OALVG00000022951.1
OG0004901	Oalv|OALVG00000018540.1
OG0005038	Oalv|OALVG00000022923.1
OG0005041	Oalv|OALVG00000004123.1
OG0005229	Oalv|OALVG00000022977.1
OG0005310	Oalv|OALVG00000033776.1
OG0005368	Oalv|OALVG00000006706.1
OG0005484	Oalv|OALVG00000014185.1
OG0005489	Oalv|OALVG00000005844.1, Oalv|OALVG00000014683.1, Oalv|OALVG00000028314.1
OG0005625	Oalv|OALVG00000032277.1
OG0005751	Oalv|OALVG00000033253.1
OG0005997	Oalv|OALVG00000011164.1, Oalv|OALVG00000011166.1, Oalv|OALVG00000015538.1, Oalv|OALVG00000015540.1
OG0006016	Oalv|OALVG00000000876.1, Oalv|OALVG00000021626.1, Oalv|OALVG00000021686.1
OG0006073	Oalv|OALVG00000006737.1
OG0006084	Oalv|OALVG00000004516.1, Oalv|OALVG00000017614.1
OG0006112	Oalv|OALVG00000002571.1
OG0006114	Oalv|OALVG00000007542.1
OG0006159	Oalv|OALVG00000013600.1
OG0006163	Oalv|OALVG00000022968.1
OG0006225	Oalv|OALVG00000035698.1
OG0006446	Oalv|OALVG00000009126.1, Oalv|OALVG00000027003.1, Oalv|OALVG00000027004.1, Oalv|OALVG00000035112.1
OG0006494	Oalv|OALVG00000035119.1
OG0006595	Oalv|OALVG00000009337.1
OG0006606	Oalv|OALVG00000030126.1
OG0006635	Oalv|OALVG00000035680.1
OG0006669	Oalv|OALVG00000015862.1
OG0006710	Oalv|OALVG00000009461.1
OG0006805	Oalv|OALVG00000007794.2
OG0006816	Oalv|OALVG00000017535.1
OG0006895	Oalv|OALVG00000022979.1
OG0007043	Oalv|OALVG00000008133.1
OG0007086	Oalv|OALVG00000028771.1
OG0007173	Oalv|OALVG00000013666.1
OG0007181	Oalv|OALVG00000023031.1
OG0007230	Oalv|OALVG00000022952.1
OG0007231	Oalv|OALVG00000022967.1
OG0007236	Oalv|OALVG00000022964.1
OG0007562	Oalv|OALVG00000029138.1
OG0007724	Oalv|OALVG00000010882.1
OG0007831	Oalv|OALVG00000022978.1
OG0007976	Oalv|OALVG00000033547.1, Oalv|OALVG00000035284.1
OG0008011	Oalv|OALVG00000011071.1, Oalv|OALVG00000023571.1, Oalv|OALVG00000030504.1
OG0008079	Oalv|OALVG00000014471.1
OG0008189	Oalv|OALVG00000018004.1
OG0008210	Oalv|OALVG00000014449.1, Oalv|OALVG00000021334.1
OG0008264	Oalv|OALVG00000012476.1
OG0008272	Oalv|OALVG00000016675.1
OG0008304	Oalv|OALVG00000035120.1
OG0008313	Oalv|OALVG00000002617.1, Oalv|OALVG00000008397.1, Oalv|OALVG00000020721.1
OG0008335	Oalv|OALVG00000020720.1
OG0008409	Oalv|OALVG00000000978.1, Oalv|OALVG00000029032.1
OG0008448	Oalv|OALVG00000021778.1, Oalv|OALVG00000025278.1
OG0008806	Oalv|OALVG00000000901.1
OG0008842	Oalv|OALVG00000023135.1
OG0008899	Oalv|OALVG00000029952.1
OG0008931	Oalv|OALVG00000022724.1
OG0008996	Oalv|OALVG00000001973.1, Oalv|OALVG00000003279.1, Oalv|OALVG00000008028.1, Oalv|OALVG00000010325.1, Oalv|OALVG00000021358.1, Oalv|OALVG00000026292.1
OG0009019	Oalv|OALVG00000033359.1, Oalv|OALVG00000033360.1
OG0009053	Oalv|OALVG00000016211.1, Oalv|OALVG00000016214.1, Oalv|OALVG00000016217.1, Oalv|OALVG00000023172.1, Oalv|OALVG00000029577.1, Oalv|OALVG00000032481.1, Oalv|OALVG00000034404.1
OG0009079	Oalv|OALVG00000002089.1, Oalv|OALVG00000004980.1, Oalv|OALVG00000004981.1, Oalv|OALVG00000004982.1, Oalv|OALVG00000007165.1, Oalv|OALVG00000012020.1, Oalv|OALVG00000013823.1, Oalv|OALVG00000014168.1, Oalv|OALVG00000014170.1, Oalv|OALVG00000025745.1, Oalv|OALVG00000029026.1, Oalv|OALVG00000029027.1, Oalv|OALVG00000032278.1, Oalv|OALVG00000032281.1, Oalv|OALVG00000032282.1, Oalv|OALVG00000032283.1, Oalv|OALVG00000032285.1, Oalv|OALVG00000032286.1, Oalv|OALVG00000032288.1, Oalv|OALVG00000032289.1, Oalv|OALVG00000032290.1
OG0009180	Oalv|OALVG00000012609.1
OG0009218	Oalv|OALVG00000016780.1
OG0009222	Oalv|OALVG00000014016.1
OG0009287	Oalv|OALVG00000009178.1
OG0009297	Oalv|OALVG00000034832.1, Oalv|OALVG00000034833.1
OG0009335	Oalv|OALVG00000004267.1, Oalv|OALVG00000031432.1
OG0009344	Oalv|OALVG00000005718.1, Oalv|OALVG00000007904.1, Oalv|OALVG00000010677.1, Oalv|OALVG00000011681.1, Oalv|OALVG00000013186.1, Oalv|OALVG00000014946.1, Oalv|OALVG00000015321.1, Oalv|OALVG00000017233.1, Oalv|OALVG00000018616.1, Oalv|OALVG00000021360.1, Oalv|OALVG00000022159.1, Oalv|OALVG00000023624.1, Oalv|OALVG00000024207.1, Oalv|OALVG00000027365.1, Oalv|OALVG00000029980.1, Oalv|OALVG00000034509.1, Oalv|OALVG00000034510.1, Oalv|OALVG00000034511.1, Oalv|OALVG00000035424.1
OG0009544	Oalv|OALVG00000002915.2
OG0009575	Oalv|OALVG00000026050.1, Oalv|OALVG00000031026.1
OG0009586	Oalv|OALVG00000022963.1
OG0009649	Oalv|OALVG00000009750.1, Oalv|OALVG00000027414.1
OG0009652	Oalv|OALVG00000029185.1, Oalv|OALVG00000030116.1
OG0009743	Oalv|OALVG00000000850.1, Oalv|OALVG00000000881.1
OG0009799	Oalv|OALVG00000006168.1
OG0009825	Oalv|OALVG00000033713.1
OG0009832	Oalv|OALVG00000016319.1
OG0009833	Oalv|OALVG00000022723.1
OG0009878	Oalv|OALVG00000032682.1
OG0009914	Oalv|OALVG00000034863.1
OG0009952	Oalv|OALVG00000025742.1
OG0009954	Oalv|OALVG00000011653.1, Oalv|OALVG00000011656.1, Oalv|OALVG00000011658.1, Oalv|OALVG00000011660.1, Oalv|OALVG00000011662.1, Oalv|OALVG00000011664.1, Oalv|OALVG00000011666.1, Oalv|OALVG00000011667.1, Oalv|OALVG00000011668.1, Oalv|OALVG00000011669.1, Oalv|OALVG00000011670.1, Oalv|OALVG00000011674.1, Oalv|OALVG00000011676.1
OG0009968	Oalv|OALVG00000001351.1, Oalv|OALVG00000003096.1
OG0009969	Oalv|OALVG00000000038.1, Oalv|OALVG00000001976.1, Oalv|OALVG00000009681.1, Oalv|OALVG00000014661.1, Oalv|OALVG00000024823.1, Oalv|OALVG00000027532.1
OG0009973	Oalv|OALVG00000000566.1, Oalv|OALVG00000002453.1, Oalv|OALVG00000002454.1, Oalv|OALVG00000005949.1, Oalv|OALVG00000006023.1, Oalv|OALVG00000013382.1, Oalv|OALVG00000014182.1, Oalv|OALVG00000016291.1, Oalv|OALVG00000019847.1, Oalv|OALVG00000027264.1, Oalv|OALVG00000027265.1, Oalv|OALVG00000027313.1, Oalv|OALVG00000027314.1, Oalv|OALVG00000027316.1, Oalv|OALVG00000027317.1, Oalv|OALVG00000029015.1, Oalv|OALVG00000029048.1, Oalv|OALVG00000035420.1
OG0009977	Oalv|OALVG00000001497.1, Oalv|OALVG00000001556.1, Oalv|OALVG00000012022.1
OG0010020	Oalv|OALVG00000024468.1
OG0010037	Oalv|OALVG00000011791.1
OG0010040	Oalv|OALVG00000035437.1
OG0010069	Oalv|OALVG00000022254.1
OG0010092	Oalv|OALVG00000012753.1
OG0010123	Oalv|OALVG00000017049.1
OG0010144	Oalv|OALVG00000026672.1
OG0010203	Oalv|OALVG00000022899.1
OG0010256	Oalv|OALVG00000000858.1, Oalv|OALVG00000002040.1, Oalv|OALVG00000005239.1, Oalv|OALVG00000007402.1, Oalv|OALVG00000009182.1, Oalv|OALVG00000012201.1, Oalv|OALVG00000012203.1, Oalv|OALVG00000015747.1, Oalv|OALVG00000016173.1, Oalv|OALVG00000016973.1, Oalv|OALVG00000022005.1, Oalv|OALVG00000022006.1, Oalv|OALVG00000022249.1, Oalv|OALVG00000022783.1, Oalv|OALVG00000025061.1, Oalv|OALVG00000028816.1, Oalv|OALVG00000032806.1, Oalv|OALVG00000035182.1, Oalv|OALVG00000035199.1
OG0010352	Oalv|OALVG00000001525.1, Oalv|OALVG00000001527.1
OG0010439	Oalv|OALVG00000007859.1, Oalv|OALVG00000026631.1, Oalv|OALVG00000031913.1
OG0010443	Oalv|OALVG00000014781.1
OG0010449	Oalv|OALVG00000014760.1
OG0010456	Oalv|OALVG00000031932.1
OG0010489	Oalv|OALVG00000001785.1, Oalv|OALVG00000001786.1
OG0010495	Oalv|OALVG00000004639.1
OG0010496	Oalv|OALVG00000022753.1
OG0010498	Oalv|OALVG00000034329.1
OG0010598	Oalv|OALVG00000022928.1
OG0010620	Oalv|OALVG00000012229.1, Oalv|OALVG00000030150.1
OG0010690	Oalv|OALVG00000027499.1
OG0010708	Oalv|OALVG00000029043.1
OG0010749	Oalv|OALVG00000015811.1
OG0010759	Oalv|OALVG00000032108.1, Oalv|OALVG00000032110.1, Oalv|OALVG00000032111.1, Oalv|OALVG00000032112.1, Oalv|OALVG00000032113.1, Oalv|OALVG00000032114.1, Oalv|OALVG00000032116.1, Oalv|OALVG00000032119.1, Oalv|OALVG00000032121.1, Oalv|OALVG00000032123.1, Oalv|OALVG00000032125.1, Oalv|OALVG00000032127.1
OG0010807	Oalv|OALVG00000000904.1, Oalv|OALVG00000001473.1, Oalv|OALVG00000009181.1, Oalv|OALVG00000010409.1, Oalv|OALVG00000012104.1, Oalv|OALVG00000012735.1, Oalv|OALVG00000014059.1, Oalv|OALVG00000016474.1, Oalv|OALVG00000016575.1, Oalv|OALVG00000018530.1, Oalv|OALVG00000020006.1, Oalv|OALVG00000021087.1, Oalv|OALVG00000027270.1, Oalv|OALVG00000028844.1, Oalv|OALVG00000030131.1, Oalv|OALVG00000033621.1, Oalv|OALVG00000034193.1
OG0010824	Oalv|OALVG00000004890.1, Oalv|OALVG00000012916.1, Oalv|OALVG00000012917.1
OG0010827	Oalv|OALVG00000019213.1
OG0010828	Oalv|OALVG00000000817.1, Oalv|OALVG00000001303.1, Oalv|OALVG00000003324.1, Oalv|OALVG00000013159.1, Oalv|OALVG00000014597.1, Oalv|OALVG00000024005.1, Oalv|OALVG00000029578.1, Oalv|OALVG00000032133.1, Oalv|OALVG00000034624.1
OG0010838	Oalv|OALVG00000006904.1, Oalv|OALVG00000011283.1, Oalv|OALVG00000011284.1, Oalv|OALVG00000011296.1, Oalv|OALVG00000011315.1, Oalv|OALVG00000011318.1, Oalv|OALVG00000011911.1, Oalv|OALVG00000013548.1, Oalv|OALVG00000014750.1, Oalv|OALVG00000017174.1, Oalv|OALVG00000017365.1, Oalv|OALVG00000024824.1, Oalv|OALVG00000028127.1, Oalv|OALVG00000028128.1, Oalv|OALVG00000031974.1, Oalv|OALVG00000031975.1
OG0010883	Oalv|OALVG00000023767.1
OG0010885	Oalv|OALVG00000011904.1
OG0010944	Oalv|OALVG00000012629.1
OG0010965	Oalv|OALVG00000016059.1, Oalv|OALVG00000019814.1
OG0010969	Oalv|OALVG00000034704.1
OG0011049	Oalv|OALVG00000019467.1
OG0011064	Oalv|OALVG00000002643.1
OG0011131	Oalv|OALVG00000002898.1, Oalv|OALVG00000013864.1, Oalv|OALVG00000013866.1
OG0011194	Oalv|OALVG00000032779.1
OG0011195	Oalv|OALVG00000026629.1
OG0011205	Oalv|OALVG00000022970.1
OG0011212	Oalv|OALVG00000009999.1
OG0011240	Oalv|OALVG00000006177.1
OG0011247	Oalv|OALVG00000021351.1
OG0011365	Oalv|OALVG00000010536.1
OG0011390	Oalv|OALVG00000011091.1, Oalv|OALVG00000014851.1, Oalv|OALVG00000014854.1, Oalv|OALVG00000014856.1, Oalv|OALVG00000014857.1, Oalv|OALVG00000014866.1, Oalv|OALVG00000014878.1, Oalv|OALVG00000014879.1, Oalv|OALVG00000014894.1, Oalv|OALVG00000016384.1, Oalv|OALVG00000016386.1, Oalv|OALVG00000018384.1, Oalv|OALVG00000021310.1
OG0011422	Oalv|OALVG00000012001.1
OG0011440	Oalv|OALVG00000022356.1
OG0011503	Oalv|OALVG00000026037.1
OG0011551	Oalv|OALVG00000000700.1
OG0011594	Oalv|OALVG00000029652.1
OG0011612	Oalv|OALVG00000008200.1
OG0011652	Oalv|OALVG00000016676.1
OG0011656	Oalv|OALVG00000010503.1, Oalv|OALVG00000014696.1
OG0011668	Oalv|OALVG00000010706.1, Oalv|OALVG00000025657.1
OG0011722	Oalv|OALVG00000024941.1
OG0011754	Oalv|OALVG00000022852.1
OG0011899	Oalv|OALVG00000014179.1, Oalv|OALVG00000022793.1
OG0011966	Oalv|OALVG00000005189.1
OG0011972	Oalv|OALVG00000007522.1, Oalv|OALVG00000007538.1, Oalv|OALVG00000007543.1, Oalv|OALVG00000007547.1, Oalv|OALVG00000027864.1, Oalv|OALVG00000027866.1, Oalv|OALVG00000027880.1, Oalv|OALVG00000027885.1
OG0011988	Oalv|OALVG00000000908.1, Oalv|OALVG00000012025.1, Oalv|OALVG00000013587.1, Oalv|OALVG00000013588.1, Oalv|OALVG00000019518.1, Oalv|OALVG00000019884.1, Oalv|OALVG00000023927.1
OG0012031	Oalv|OALVG00000004583.1
OG0012039	Oalv|OALVG00000030553.1, Oalv|OALVG00000030554.1, Oalv|OALVG00000030555.1, Oalv|OALVG00000033271.1
OG0012125	Oalv|OALVG00000005954.1
OG0012138	Oalv|OALVG00000005134.1, Oalv|OALVG00000024505.1, Oalv|OALVG00000024506.1, Oalv|OALVG00000024507.1, Oalv|OALVG00000024508.1, Oalv|OALVG00000024509.1, Oalv|OALVG00000024514.1, Oalv|OALVG00000024515.1, Oalv|OALVG00000024516.1, Oalv|OALVG00000024517.1, Oalv|OALVG00000024518.1
OG0012150	Oalv|OALVG00000010712.1, Oalv|OALVG00000010738.1, Oalv|OALVG00000010741.1, Oalv|OALVG00000010773.1, Oalv|OALVG00000010780.1, Oalv|OALVG00000010782.1, Oalv|OALVG00000010794.1, Oalv|OALVG00000010817.1, Oalv|OALVG00000010818.1, Oalv|OALVG00000010828.1, Oalv|OALVG00000010830.1, Oalv|OALVG00000010834.1, Oalv|OALVG00000010835.1
OG0012315	Oalv|OALVG00000012110.1
OG0012354	Oalv|OALVG00000002808.1
OG0012357	Oalv|OALVG00000025697.1
OG0012364	Oalv|OALVG00000021298.1
OG0012407	Oalv|OALVG00000022428.1
OG0012424	Oalv|OALVG00000011179.1
OG0012527	Oalv|OALVG00000006027.1, Oalv|OALVG00000009898.1, Oalv|OALVG00000027094.1, Oalv|OALVG00000027096.1, Oalv|OALVG00000034932.1, Oalv|OALVG00000034939.1, Oalv|OALVG00000034941.1, Oalv|OALVG00000034954.1, Oalv|OALVG00000034956.1, Oalv|OALVG00000034957.1, Oalv|OALVG00000034958.1, Oalv|OALVG00000034960.1
OG0012551	Oalv|OALVG00000024357.1
OG0012563	Oalv|OALVG00000010337.1, Oalv|OALVG00000010362.1, Oalv|OALVG00000024200.1, Oalv|OALVG00000033215.1, Oalv|OALVG00000033216.1
OG0012575	Oalv|OALVG00000000335.1, Oalv|OALVG00000000912.1, Oalv|OALVG00000005403.1, Oalv|OALVG00000006202.1, Oalv|OALVG00000009986.1, Oalv|OALVG00000016069.1, Oalv|OALVG00000018947.1, Oalv|OALVG00000022231.1, Oalv|OALVG00000028159.1, Oalv|OALVG00000030602.1, Oalv|OALVG00000032080.1, Oalv|OALVG00000033273.1
OG0012780	Oalv|OALVG00000021251.1
OG0012806	Oalv|OALVG00000003447.1
OG0012853	Oalv|OALVG00000024656.1
OG0012858	Oalv|OALVG00000033551.1
OG0012936	Oalv|OALVG00000001357.1
OG0012982	Oalv|OALVG00000004723.1, Oalv|OALVG00000011297.1, Oalv|OALVG00000034656.1
OG0012993	Oalv|OALVG00000014732.1
OG0013004	Oalv|OALVG00000027539.1, Oalv|OALVG00000035694.1
OG0013047	Oalv|OALVG00000004106.1, Oalv|OALVG00000011797.1
OG0013075	Oalv|OALVG00000025062.1
OG0013080	Oalv|OALVG00000001596.1, Oalv|OALVG00000006153.1
OG0013081	Oalv|OALVG00000030737.1
OG0013083	Oalv|OALVG00000007471.1, Oalv|OALVG00000010190.1, Oalv|OALVG00000010191.1, Oalv|OALVG00000010192.1, Oalv|OALVG00000010193.1
OG0013088	Oalv|OALVG00000008577.1, Oalv|OALVG00000014920.1, Oalv|OALVG00000016284.1, Oalv|OALVG00000017371.1, Oalv|OALVG00000017952.1, Oalv|OALVG00000018631.1, Oalv|OALVG00000018916.1, Oalv|OALVG00000032731.1
OG0013095	Oalv|OALVG00000015773.1, Oalv|OALVG00000023569.1, Oalv|OALVG00000034220.1, Oalv|OALVG00000034481.1
OG0013099	Oalv|OALVG00000020026.1, Oalv|OALVG00000020027.1, Oalv|OALVG00000020028.1, Oalv|OALVG00000032981.1
OG0013127	Oalv|OALVG00000001036.1, Oalv|OALVG00000001037.1, Oalv|OALVG00000001039.1, Oalv|OALVG00000001103.1, Oalv|OALVG00000001104.1, Oalv|OALVG00000004067.1, Oalv|OALVG00000004068.1, Oalv|OALVG00000016598.1, Oalv|OALVG00000033515.1, Oalv|OALVG00000033516.1
OG0013130	Oalv|OALVG00000004355.1, Oalv|OALVG00000006129.1, Oalv|OALVG00000008275.1, Oalv|OALVG00000014123.1, Oalv|OALVG00000019660.1, Oalv|OALVG00000020938.1, Oalv|OALVG00000022066.1, Oalv|OALVG00000024900.1, Oalv|OALVG00000028412.1, Oalv|OALVG00000033919.1, Oalv|OALVG00000034251.1
OG0013213	Oalv|OALVG00000014474.1
OG0013318	Oalv|OALVG00000003569.1, Oalv|OALVG00000018650.1
OG0013430	Oalv|OALVG00000022388.1
OG0013455	Oalv|OALVG00000031245.1
OG0013456	Oalv|OALVG00000026032.1
OG0013463	Oalv|OALVG00000025490.1, Oalv|OALVG00000025491.1, Oalv|OALVG00000034447.1
OG0013516	Oalv|OALVG00000026632.1
OG0013594	Oalv|OALVG00000004613.1, Oalv|OALVG00000006968.1, Oalv|OALVG00000006969.1, Oalv|OALVG00000006971.1, Oalv|OALVG00000006973.1, Oalv|OALVG00000025766.1, Oalv|OALVG00000025767.1
OG0013610	Oalv|OALVG00000004757.1
OG0013706	Oalv|OALVG00000022039.1
OG0013709	Oalv|OALVG00000012568.1, Oalv|OALVG00000012573.1, Oalv|OALVG00000012578.1, Oalv|OALVG00000012580.1
OG0013715	Oalv|OALVG00000004598.1, Oalv|OALVG00000011218.1, Oalv|OALVG00000024898.1, Oalv|OALVG00000024905.1, Oalv|OALVG00000024911.1, Oalv|OALVG00000024912.1, Oalv|OALVG00000024913.1, Oalv|OALVG00000024914.1, Oalv|OALVG00000024922.1, Oalv|OALVG00000024923.1
OG0013716	Oalv|OALVG00000028998.1
OG0013719	Oalv|OALVG00000031169.1
OG0013765	Oalv|OALVG00000022011.1
OG0013788	Oalv|OALVG00000011076.1, Oalv|OALVG00000035159.1
OG0013889	Oalv|OALVG00000002252.1
OG0014012	Oalv|OALVG00000009850.1
OG0014074	Oalv|OALVG00000015082.1
OG0014111	Oalv|OALVG00000031372.1
OG0014174	Oalv|OALVG00000013712.1
OG0014223	Oalv|OALVG00000020219.1
OG0014337	Oalv|OALVG00000024334.1
OG0014395	Oalv|OALVG00000006851.1, Oalv|OALVG00000026621.1, Oalv|OALVG00000026624.2, Oalv|OALVG00000026625.1, Oalv|OALVG00000026626.1, Oalv|OALVG00000026627.1, Oalv|OALVG00000026628.1, Oalv|OALVG00000026689.1, Oalv|OALVG00000026695.1
OG0014399	Oalv|OALVG00000021214.1
OG0014408	Oalv|OALVG00000018565.1
OG0014422	Oalv|OALVG00000003978.1, Oalv|OALVG00000024614.1
OG0014423	Oalv|OALVG00000002112.1
OG0014426	Oalv|OALVG00000032470.1
OG0014435	Oalv|OALVG00000020251.1
