OG0000043	OALVG00000007688.1
OG0007230	OALVG00000022952.1
OG0007231	OALVG00000022967.1
OG0007236	OALVG00000022964.1
OG0007562	OALVG00000029138.1
OG0007724	OALVG00000010882.1
OG0007831	OALVG00000022978.1
OG0007976	OALVG00000033547.1, OALVG00000035284.1
OG0008011	OALVG00000011071.1, OALVG00000023571.1, OALVG00000030504.1
OG0008079	OALVG00000014471.1
OG0008189	OALVG00000018004.1
OG0008210	OALVG00000014449.1, OALVG00000021334.1
OG0008264	OALVG00000012476.1
OG0008272	OALVG00000016675.1
OG0008304	OALVG00000035120.1
OG0008313	OALVG00000002617.1, OALVG00000008397.1, OALVG00000020721.1
OG0008335	OALVG00000020720.1
OG0008409	OALVG00000000978.1, OALVG00000029032.1
OG0008448	OALVG00000021778.1, OALVG00000025278.1
OG0008806	OALVG00000000901.1
OG0008842	OALVG00000023135.1
OG0008899	OALVG00000029952.1
OG0008931	OALVG00000022724.1
OG0008996	OALVG00000001973.1, OALVG00000003279.1, OALVG00000008028.1, OALVG00000010325.1, OALVG00000021358.1, OALVG00000026292.1
OG0009019	OALVG00000033359.1, OALVG00000033360.1
OG0009053	OALVG00000016211.1, OALVG00000016214.1, OALVG00000016217.1, OALVG00000023172.1, OALVG00000029577.1, OALVG00000032481.1, OALVG00000034404.1
OG0009079	OALVG00000002089.1, OALVG00000004980.1, OALVG00000004981.1, OALVG00000004982.1, OALVG00000007165.1, OALVG00000012020.1, OALVG00000013823.1, OALVG00000014168.1, OALVG00000014170.1, OALVG00000025745.1, OALVG00000029026.1, OALVG00000029027.1, OALVG00000032278.1, OALVG00000032281.1, OALVG00000032282.1, OALVG00000032283.1, OALVG00000032285.1, OALVG00000032286.1, OALVG00000032288.1, OALVG00000032289.1, OALVG00000032290.1
OG0009180	OALVG00000012609.1
OG0009218	OALVG00000016780.1
OG0009222	OALVG00000014016.1
OG0009287	OALVG00000009178.1
OG0009297	OALVG00000034832.1, OALVG00000034833.1
OG0009335	OALVG00000004267.1, OALVG00000031432.1
OG0009344	OALVG00000005718.1, OALVG00000007904.1, OALVG00000010677.1, OALVG00000011681.1, OALVG00000013186.1, OALVG00000014946.1, OALVG00000015321.1, OALVG00000017233.1, OALVG00000018616.1, OALVG00000021360.1, OALVG00000022159.1, OALVG00000023624.1, OALVG00000024207.1, OALVG00000027365.1, OALVG00000029980.1, OALVG00000034509.1, OALVG00000034510.1, OALVG00000034511.1, OALVG00000035424.1
OG0009544	OALVG00000002915.2
OG0009575	OALVG00000026050.1, OALVG00000031026.1
OG0009586	OALVG00000022963.1
OG0009649	OALVG00000009750.1, OALVG00000027414.1
OG0009652	OALVG00000029185.1, OALVG00000030116.1
OG0009743	OALVG00000000850.1, OALVG00000000881.1
OG0009799	OALVG00000006168.1
OG0009825	OALVG00000033713.1
OG0009832	OALVG00000016319.1
OG0009833	OALVG00000022723.1
OG0009878	OALVG00000032682.1
OG0009914	OALVG00000034863.1
OG0009952	OALVG00000025742.1
OG0009954	OALVG00000011653.1, OALVG00000011656.1, OALVG00000011658.1, OALVG00000011660.1, OALVG00000011662.1, OALVG00000011664.1, OALVG00000011666.1, OALVG00000011667.1, OALVG00000011668.1, OALVG00000011669.1, OALVG00000011670.1, OALVG00000011674.1, OALVG00000011676.1
OG0009968	OALVG00000001351.1, OALVG00000003096.1
OG0009969	OALVG00000000038.1, OALVG00000001976.1, OALVG00000009681.1, OALVG00000014661.1, OALVG00000024823.1, OALVG00000027532.1
OG0009973	OALVG00000000566.1, OALVG00000002453.1, OALVG00000002454.1, OALVG00000005949.1, OALVG00000006023.1, OALVG00000013382.1, OALVG00000014182.1, OALVG00000016291.1, OALVG00000019847.1, OALVG00000027264.1, OALVG00000027265.1, OALVG00000027313.1, OALVG00000027314.1, OALVG00000027316.1, OALVG00000027317.1, OALVG00000029015.1, OALVG00000029048.1, OALVG00000035420.1
OG0009977	OALVG00000001497.1, OALVG00000001556.1, OALVG00000012022.1
OG0010020	OALVG00000024468.1
OG0010037	OALVG00000011791.1
OG0010040	OALVG00000035437.1
OG0010069	OALVG00000022254.1
OG0010092	OALVG00000012753.1
OG0010123	OALVG00000017049.1
OG0010144	OALVG00000026672.1
OG0010203	OALVG00000022899.1
OG0010256	OALVG00000000858.1, OALVG00000002040.1, OALVG00000005239.1, OALVG00000007402.1, OALVG00000009182.1, OALVG00000012201.1, OALVG00000012203.1, OALVG00000015747.1, OALVG00000016173.1, OALVG00000016973.1, OALVG00000022005.1, OALVG00000022006.1, OALVG00000022249.1, OALVG00000022783.1, OALVG00000025061.1, OALVG00000028816.1, OALVG00000032806.1, OALVG00000035182.1, OALVG00000035199.1
OG0010352	OALVG00000001525.1, OALVG00000001527.1
OG0010439	OALVG00000007859.1, OALVG00000026631.1, OALVG00000031913.1
OG0010443	OALVG00000014781.1
OG0010449	OALVG00000014760.1
OG0010456	OALVG00000031932.1
OG0010489	OALVG00000001785.1, OALVG00000001786.1
OG0010495	OALVG00000004639.1
OG0010496	OALVG00000022753.1
OG0010498	OALVG00000034329.1
OG0010598	OALVG00000022928.1
OG0010620	OALVG00000012229.1, OALVG00000030150.1
OG0010690	OALVG00000027499.1
OG0010708	OALVG00000029043.1
OG0010749	OALVG00000015811.1
OG0010759	OALVG00000032108.1, OALVG00000032110.1, OALVG00000032111.1, OALVG00000032112.1, OALVG00000032113.1, OALVG00000032114.1, OALVG00000032116.1, OALVG00000032119.1, OALVG00000032121.1, OALVG00000032123.1, OALVG00000032125.1, OALVG00000032127.1
OG0010807	OALVG00000000904.1, OALVG00000001473.1, OALVG00000009181.1, OALVG00000010409.1, OALVG00000012104.1, OALVG00000012735.1, OALVG00000014059.1, OALVG00000016474.1, OALVG00000016575.1, OALVG00000018530.1, OALVG00000020006.1, OALVG00000021087.1, OALVG00000027270.1, OALVG00000028844.1, OALVG00000030131.1, OALVG00000033621.1, OALVG00000034193.1
OG0010824	OALVG00000004890.1, OALVG00000012916.1, OALVG00000012917.1
OG0010827	OALVG00000019213.1
OG0010828	OALVG00000000817.1, OALVG00000001303.1, OALVG00000003324.1, OALVG00000013159.1, OALVG00000014597.1, OALVG00000024005.1, OALVG00000029578.1, OALVG00000032133.1, OALVG00000034624.1
OG0010838	OALVG00000006904.1, OALVG00000011283.1, OALVG00000011284.1, OALVG00000011296.1, OALVG00000011315.1, OALVG00000011318.1, OALVG00000011911.1, OALVG00000013548.1, OALVG00000014750.1, OALVG00000017174.1, OALVG00000017365.1, OALVG00000024824.1, OALVG00000028127.1, OALVG00000028128.1, OALVG00000031974.1, OALVG00000031975.1
OG0010883	OALVG00000023767.1
OG0010885	OALVG00000011904.1
OG0010944	OALVG00000012629.1
OG0010965	OALVG00000016059.1, OALVG00000019814.1
OG0010969	OALVG00000034704.1
OG0011049	OALVG00000019467.1
OG0011064	OALVG00000002643.1
OG0011131	OALVG00000002898.1, OALVG00000013864.1, OALVG00000013866.1
OG0011194	OALVG00000032779.1
OG0011195	OALVG00000026629.1
OG0011205	OALVG00000022970.1
OG0011212	OALVG00000009999.1
OG0011240	OALVG00000006177.1
OG0011247	OALVG00000021351.1
OG0011365	OALVG00000010536.1
OG0011390	OALVG00000011091.1, OALVG00000014851.1, OALVG00000014854.1, OALVG00000014856.1, OALVG00000014857.1, OALVG00000014866.1, OALVG00000014878.1, OALVG00000014879.1, OALVG00000014894.1, OALVG00000016384.1, OALVG00000016386.1, OALVG00000018384.1, OALVG00000021310.1
OG0011422	OALVG00000012001.1
OG0011440	OALVG00000022356.1
OG0011503	OALVG00000026037.1
OG0011551	OALVG00000000700.1
OG0011594	OALVG00000029652.1
OG0011612	OALVG00000008200.1
OG0011652	OALVG00000016676.1
OG0011656	OALVG00000010503.1, OALVG00000014696.1
OG0011668	OALVG00000010706.1, OALVG00000025657.1
OG0011722	OALVG00000024941.1
OG0011754	OALVG00000022852.1
OG0011899	OALVG00000014179.1, OALVG00000022793.1
OG0011966	OALVG00000005189.1
OG0011972	OALVG00000007522.1, OALVG00000007538.1, OALVG00000007543.1, OALVG00000007547.1, OALVG00000027864.1, OALVG00000027866.1, OALVG00000027880.1, OALVG00000027885.1
OG0011988	OALVG00000000908.1, OALVG00000012025.1, OALVG00000013587.1, OALVG00000013588.1, OALVG00000019518.1, OALVG00000019884.1, OALVG00000023927.1
OG0012031	OALVG00000004583.1
OG0012039	OALVG00000030553.1, OALVG00000030554.1, OALVG00000030555.1, OALVG00000033271.1
OG0012125	OALVG00000005954.1
OG0012138	OALVG00000005134.1, OALVG00000024505.1, OALVG00000024506.1, OALVG00000024507.1, OALVG00000024508.1, OALVG00000024509.1, OALVG00000024514.1, OALVG00000024515.1, OALVG00000024516.1, OALVG00000024517.1, OALVG00000024518.1
OG0012150	OALVG00000010712.1, OALVG00000010738.1, OALVG00000010741.1, OALVG00000010773.1, OALVG00000010780.1, OALVG00000010782.1, OALVG00000010794.1, OALVG00000010817.1, OALVG00000010818.1, OALVG00000010828.1, OALVG00000010830.1, OALVG00000010834.1, OALVG00000010835.1
OG0012315	OALVG00000012110.1
OG0012354	OALVG00000002808.1
OG0012357	OALVG00000025697.1
OG0012364	OALVG00000021298.1
OG0012407	OALVG00000022428.1
OG0012424	OALVG00000011179.1
OG0012527	OALVG00000006027.1, OALVG00000009898.1, OALVG00000027094.1, OALVG00000027096.1, OALVG00000034932.1, OALVG00000034939.1, OALVG00000034941.1, OALVG00000034954.1, OALVG00000034956.1, OALVG00000034957.1, OALVG00000034958.1, OALVG00000034960.1
OG0012551	OALVG00000024357.1
OG0012563	OALVG00000010337.1, OALVG00000010362.1, OALVG00000024200.1, OALVG00000033215.1, OALVG00000033216.1
OG0012575	OALVG00000000335.1, OALVG00000000912.1, OALVG00000005403.1, OALVG00000006202.1, OALVG00000009986.1, OALVG00000016069.1, OALVG00000018947.1, OALVG00000022231.1, OALVG00000028159.1, OALVG00000030602.1, OALVG00000032080.1, OALVG00000033273.1
OG0012780	OALVG00000021251.1
OG0012806	OALVG00000003447.1
OG0012853	OALVG00000024656.1
OG0012858	OALVG00000033551.1
OG0012936	OALVG00000001357.1
OG0012982	OALVG00000004723.1, OALVG00000011297.1, OALVG00000034656.1
OG0012993	OALVG00000014732.1
OG0013004	OALVG00000027539.1, OALVG00000035694.1
OG0013047	OALVG00000004106.1, OALVG00000011797.1
OG0013075	OALVG00000025062.1
OG0013080	OALVG00000001596.1, OALVG00000006153.1
OG0013081	OALVG00000030737.1
OG0013083	OALVG00000007471.1, OALVG00000010190.1, OALVG00000010191.1, OALVG00000010192.1, OALVG00000010193.1
OG0013088	OALVG00000008577.1, OALVG00000014920.1, OALVG00000016284.1, OALVG00000017371.1, OALVG00000017952.1, OALVG00000018631.1, OALVG00000018916.1, OALVG00000032731.1
OG0013095	OALVG00000015773.1, OALVG00000023569.1, OALVG00000034220.1, OALVG00000034481.1
OG0013099	OALVG00000020026.1, OALVG00000020027.1, OALVG00000020028.1, OALVG00000032981.1
OG0013127	OALVG00000001036.1, OALVG00000001037.1, OALVG00000001039.1, OALVG00000001103.1, OALVG00000001104.1, OALVG00000004067.1, OALVG00000004068.1, OALVG00000016598.1, OALVG00000033515.1, OALVG00000033516.1
OG0013130	OALVG00000004355.1, OALVG00000006129.1, OALVG00000008275.1, OALVG00000014123.1, OALVG00000019660.1, OALVG00000020938.1, OALVG00000022066.1, OALVG00000024900.1, OALVG00000028412.1, OALVG00000033919.1, OALVG00000034251.1
OG0013213	OALVG00000014474.1
OG0013318	OALVG00000003569.1, OALVG00000018650.1
OG0013430	OALVG00000022388.1
OG0013455	OALVG00000031245.1
OG0013456	OALVG00000026032.1
OG0013463	OALVG00000025490.1, OALVG00000025491.1, OALVG00000034447.1
OG0013516	OALVG00000026632.1
OG0013594	OALVG00000004613.1, OALVG00000006968.1, OALVG00000006969.1, OALVG00000006971.1, OALVG00000006973.1, OALVG00000025766.1, OALVG00000025767.1
OG0013610	OALVG00000004757.1
OG0013706	OALVG00000022039.1
OG0013709	OALVG00000012568.1, OALVG00000012573.1, OALVG00000012578.1, OALVG00000012580.1
OG0013715	OALVG00000004598.1, OALVG00000011218.1, OALVG00000024898.1, OALVG00000024905.1, OALVG00000024911.1, OALVG00000024912.1, OALVG00000024913.1, OALVG00000024914.1, OALVG00000024922.1, OALVG00000024923.1
OG0013716	OALVG00000028998.1
OG0013719	OALVG00000031169.1
OG0013765	OALVG00000022011.1
OG0013788	OALVG00000011076.1, OALVG00000035159.1
OG0013889	OALVG00000002252.1
OG0014012	OALVG00000009850.1
OG0014074	OALVG00000015082.1
OG0014111	OALVG00000031372.1
OG0014174	OALVG00000013712.1
OG0014223	OALVG00000020219.1
OG0014337	OALVG00000024334.1
OG0014395	OALVG00000006851.1, OALVG00000026621.1, OALVG00000026624.2, OALVG00000026625.1, OALVG00000026626.1, OALVG00000026627.1, OALVG00000026628.1, OALVG00000026689.1, OALVG00000026695.1
OG0014399	OALVG00000021214.1
OG0014408	OALVG00000018565.1
OG0014422	OALVG00000003978.1, OALVG00000024614.1
OG0014423	OALVG00000002112.1
OG0014426	OALVG00000032470.1
OG0014435	OALVG00000020251.1
OG0014443	OALVG00000032109.1, OALVG00000032115.1, OALVG00000032117.1, OALVG00000032118.1, OALVG00000032120.1, OALVG00000032122.1, OALVG00000032124.1, OALVG00000032126.1
OG0014445	OALVG00000010439.1, OALVG00000012332.1, OALVG00000013516.1, OALVG00000032043.1, OALVG00000035411.1
OG0014447	OALVG00000002978.1
OG0014448	OALVG00000015905.1, OALVG00000017678.1, OALVG00000023873.1, OALVG00000024370.1, OALVG00000026503.1, OALVG00000031203.1, OALVG00000033876.1, OALVG00000035837.1
OG0014450	OALVG00000007911.1, OALVG00000017717.1, OALVG00000018859.1, OALVG00000018863.1, OALVG00000018870.1, OALVG00000019826.1, OALVG00000019851.1, OALVG00000019914.1, OALVG00000031078.1
OG0014452	OALVG00000007709.1, OALVG00000007711.1, OALVG00000009980.1, OALVG00000010026.1, OALVG00000010028.1, OALVG00000017001.1, OALVG00000017117.1
OG0014456	OALVG00000014435.1
OG0014457	OALVG00000011832.1, OALVG00000011834.1
OG0014461	OALVG00000019355.1, OALVG00000027113.1
OG0014465	OALVG00000007447.1, OALVG00000007449.1, OALVG00000007451.1
OG0014489	OALVG00000009620.1, OALVG00000025064.1
OG0014529	OALVG00000000039.1, OALVG00000000041.1, OALVG00000000086.1, OALVG00000000112.1, OALVG00000000116.1, OALVG00000000118.1, OALVG00000009790.1, OALVG00000029263.1, OALVG00000035582.1
OG0014531	OALVG00000002509.1, OALVG00000014050.1, OALVG00000016283.1, OALVG00000017470.1, OALVG00000017496.1, OALVG00000017497.1, OALVG00000023331.1, OALVG00000031298.1, OALVG00000031301.1
OG0014535	OALVG00000006260.1
OG0014541	OALVG00000016317.1, OALVG00000016318.1, OALVG00000016320.1, OALVG00000016321.1, OALVG00000016322.1, OALVG00000016323.1, OALVG00000016324.1, OALVG00000016325.1, OALVG00000016326.1
OG0014542	OALVG00000017934.1
OG0014689	OALVG00000035510.2
OG0014690	OALVG00000008951.1, OALVG00000017353.1, OALVG00000017355.1, OALVG00000017356.1, OALVG00000017357.1, OALVG00000034660.1
OG0014806	OALVG00000010552.1
OG0014844	OALVG00000003060.1, OALVG00000014711.1, OALVG00000014712.1
OG0014873	OALVG00000007615.1
OG0014898	OALVG00000033460.1
OG0014925	OALVG00000001471.1, OALVG00000015713.1, OALVG00000016486.1, OALVG00000017624.1, OALVG00000020098.1, OALVG00000025401.1, OALVG00000034427.1
OG0014942	OALVG00000028540.1
OG0014978	OALVG00000033296.1
OG0014989	OALVG00000003357.1
OG0014994	OALVG00000022914.1
OG0015039	OALVG00000000790.1
OG0015053	OALVG00000030723.1
OG0015079	OALVG00000008268.1
OG0015171	OALVG00000007990.1
OG0015237	OALVG00000025571.1, OALVG00000025572.1, OALVG00000025581.1, OALVG00000025584.1, OALVG00000025588.1, OALVG00000025590.1, OALVG00000027069.1
OG0015299	OALVG00000008563.1, OALVG00000035116.1
OG0015321	OALVG00000015136.1, OALVG00000020807.1, OALVG00000034489.1
OG0015326	OALVG00000023952.1
OG0015341	OALVG00000010845.1, OALVG00000012447.1, OALVG00000019399.1
OG0015348	OALVG00000002658.1, OALVG00000006915.1, OALVG00000010526.1, OALVG00000035700.1
OG0015352	OALVG00000016288.1
OG0015356	OALVG00000013911.1
OG0015366	OALVG00000006204.1, OALVG00000006205.1, OALVG00000006209.1, OALVG00000006210.1, OALVG00000006212.1, OALVG00000006213.1, OALVG00000006215.1, OALVG00000006216.1
OG0015368	OALVG00000007203.1
OG0015372	OALVG00000004553.1
OG0015378	OALVG00000009190.1
OG0015380	OALVG00000012225.1, OALVG00000019457.1, OALVG00000029697.1
OG0015384	OALVG00000000565.1, OALVG00000019846.1, OALVG00000019849.1, OALVG00000027263.1, OALVG00000027266.1, OALVG00000027315.1, OALVG00000030824.1, OALVG00000032660.1
OG0015387	OALVG00000024224.1, OALVG00000024225.1, OALVG00000024227.1, OALVG00000024228.1
OG0015395	OALVG00000029372.1
OG0015396	OALVG00000017863.1, OALVG00000033014.1
OG0015443	OALVG00000004342.1
OG0015489	OALVG00000006769.1, OALVG00000034488.1
OG0015496	OALVG00000016468.1, OALVG00000016475.1, OALVG00000016574.1, OALVG00000016582.1, OALVG00000033259.1, OALVG00000033260.1, OALVG00000033261.1
OG0015691	OALVG00000019616.1
OG0015696	OALVG00000014895.1
OG0015727	OALVG00000001486.1
OG0015747	OALVG00000031790.1
OG0015774	OALVG00000025294.1
OG0015833	OALVG00000015998.1
OG0015852	OALVG00000017676.1
OG0015890	OALVG00000025535.1, OALVG00000025536.1, OALVG00000025541.1
OG0015910	OALVG00000002897.1, OALVG00000035038.1, OALVG00000035039.1, OALVG00000035041.1, OALVG00000035044.1, OALVG00000035058.1, OALVG00000035059.1
OG0015926	OALVG00000013470.1
OG0015941	OALVG00000002235.1, OALVG00000023447.1, OALVG00000023719.1, OALVG00000033169.1, OALVG00000033176.1, OALVG00000033177.1
OG0015947	OALVG00000008502.1
OG0016016	OALVG00000000934.1, OALVG00000000936.1, OALVG00000000937.1, OALVG00000000939.1, OALVG00000001035.1, OALVG00000016597.1
OG0016107	OALVG00000024707.1, OALVG00000024708.1
OG0016167	OALVG00000012951.1
OG0016249	OALVG00000016263.1
OG0016263	OALVG00000003536.1
OG0016323	OALVG00000001275.1, OALVG00000014035.1, OALVG00000025661.1, OALVG00000025844.1, OALVG00000034168.1
OG0016338	OALVG00000007278.1
OG0016453	OALVG00000020468.1
OG0016466	OALVG00000001120.1, OALVG00000026280.1, OALVG00000026281.1, OALVG00000026282.1
OG0016468	OALVG00000031650.1
OG0016471	OALVG00000014111.1
OG0016474	OALVG00000004093.1, OALVG00000006350.1, OALVG00000011634.1, OALVG00000014791.1, OALVG00000015301.1, OALVG00000016250.1
OG0016483	OALVG00000021169.1
OG0016486	OALVG00000002360.1, OALVG00000006832.1, OALVG00000018030.1, OALVG00000029009.1, OALVG00000030313.1, OALVG00000033180.1, OALVG00000035040.1
OG0016491	OALVG00000015315.1, OALVG00000031706.1
OG0016496	OALVG00000015654.1, OALVG00000015655.1, OALVG00000015656.1, OALVG00000018909.1, OALVG00000018910.1, OALVG00000018912.1, OALVG00000026901.1
OG0016503	OALVG00000006502.1
OG0016505	OALVG00000022439.1
OG0016512	OALVG00000003469.1, OALVG00000003470.1, OALVG00000003471.1, OALVG00000003640.1, OALVG00000004708.1, OALVG00000019805.1, OALVG00000019806.1
OG0016514	OALVG00000008143.1, OALVG00000008147.1, OALVG00000009964.1, OALVG00000025065.1
OG0016525	OALVG00000013375.1, OALVG00000016761.1, OALVG00000016762.1, OALVG00000016766.1, OALVG00000016817.1, OALVG00000016822.1
OG0016526	OALVG00000001594.1, OALVG00000001595.1, OALVG00000013959.1, OALVG00000016355.1, OALVG00000016368.1, OALVG00000018582.1
OG0016528	OALVG00000004280.1, OALVG00000004303.1, OALVG00000031623.1, OALVG00000031847.1, OALVG00000032770.1, OALVG00000034539.1, OALVG00000035355.1
OG0016529	OALVG00000006810.1, OALVG00000011617.1, OALVG00000022509.1, OALVG00000025123.1, OALVG00000029242.1
OG0016576	OALVG00000012506.1
OG0016634	OALVG00000007380.1, OALVG00000010667.1, OALVG00000016111.1, OALVG00000016113.1, OALVG00000016116.1, OALVG00000016117.1
OG0016643	OALVG00000019678.1, OALVG00000019679.1, OALVG00000030966.1, OALVG00000030967.1, OALVG00000030969.1
OG0016888	OALVG00000000257.1, OALVG00000000316.1
OG0016993	OALVG00000009802.1, OALVG00000009803.1, OALVG00000015042.1, OALVG00000015043.1, OALVG00000015048.1
OG0016999	OALVG00000011639.1, OALVG00000011640.1, OALVG00000026681.1
OG0017017	OALVG00000035399.1
OG0017097	OALVG00000002226.1, OALVG00000027782.1
OG0017136	OALVG00000015693.1
