FID	nb_genes	nb_species	origin	lost_sp	lost_taxa	expanded_tax
OG0000038	344	22	Eumetazoa	6	Vertebrata,Smar,Ofus,Dgyr,Ofra	Eand,Hrob
OG0000039	343	27	Eumetazoa	1	Hmia	Nvec,Paus
OG0000040	341	16	Eumetazoa	12	Hmia,Spur,Vertebrata,Arthropoda,Smed,Dgyr,Ofra,Ctel,Hrob,Paus	Oalv
OG0000041	338	26	Eumetazoa	2	Hmia,Smed	Spur
OG0000042	338	27	Eumetazoa	1	Lana	Lgig
OG0000043	334	22	Eumetazoa	6	Vertebrata,Smed,Ofus,Dgyr,Rpac	
OG0000044	333	27	Eumetazoa	1	Hmia	Tcas
OG0000045	332	27	Eumetazoa	1	Hmia	Pech
OG0000046	327	25	Eumetazoa	3	Hmia,Smar,Ofra	Blan,Gaeg,Oalv
OG0000047	323	21	Bilateria	6	Smed,Bpla,Dgyr,Vestimentifera_cl2,Ofra	Eand,Gaeg,Ngen,Spur
OG0000048	320	26	Eumetazoa	2	Tcas,Smed	Blan
OG0000049	317	24	Bilateria	3	Ofra,Clitellata	Oalv,Spur
OG0000050	316	27	Eumetazoa	1	Lana	
OG0000051	313	20	Eumetazoa	8	Deuterostomia,Arthropoda,Lana	
OG0000052	310	28	Eumetazoa	0		Blan
OG0000053	306	27	Bilateria	0		
OG0000054	306	23	Eumetazoa	5	Hmia,Arthropoda,Smed,Lgig	Lluy,Oalv,Pech,Rpac
OG0000055	303	27	Eumetazoa	1	Ofra	
OG0000056	301	25	Eumetazoa	3	Hmia,Smed,Ofra	Blan,Nvec
OG0000057	296	26	Bilateria	1	Tcas	Blan,Bpla,Myes
OG0000058	295	27	Eumetazoa	1	Tcas	Nvec
OG0000059	294	28	Eumetazoa	0		
OG0000060	293	27	Eumetazoa	1	Hmia	
OG0000061	292	26	Eumetazoa	2	Rpac,Ofra	Nvec,Oalv
OG0000062	291	24	Eumetazoa	4	Hmia,Myes,Rpac,Lana	Nvec,Oalv
OG0000063	288	20	Eumetazoa	8	Hmia,Vertebrata,Smed,Dgyr,Ofra,Clitellata	Ngen
OG0000064	288	28	Eumetazoa	0		
OG0000065	287	26	Eumetazoa	2	Smed,Ofra	
OG0000066	287	25	Eumetazoa	3	Cgig,Dgyr,Hrob	Hmia
OG0000067	283	2	Lophotrochozoa	16	Gastropoda,Bivalvia_cl1,Ofus,Dgyr,Siboglinidae,Ctel,Hrob,Kryptotrochozoa	
OG0000068	280	12	Bilateria	15	Chordata,Arthropoda,Smed,Mollusca,Pech,Kryptotrochozoa	
OG0000069	278	28	Eumetazoa	0		
OG0000070	275	28	Eumetazoa	0		
OG0000071	275	28	Eumetazoa	0		Hrob,Ofra
OG0000072	271	28	Eumetazoa	0		
OG0000073	269	24	Eumetazoa	4	Hmia,Spur,Vertebrata	
OG0000074	267	25	Eumetazoa	3	Hmia,Arthropoda	
OG0000075	265	28	Eumetazoa	0		
OG0000076	265	28	Eumetazoa	0		
OG0000077	265	26	Eumetazoa	2	Vertebrata	
OG0000078	262	28	Eumetazoa	0		
OG0000079	262	28	Eumetazoa	0		
OG0000080	261	27	Eumetazoa	1	Hrob	
OG0000081	260	25	Eumetazoa	3	Smar,Pech,Ofra	Nvec
OG0000082	259	27	Eumetazoa	1	Smar	
OG0000083	259	26	Eumetazoa	2	Smed,Hrob	
OG0000084	259	9	Annelida_cl1	0		Eand,Hrob
OG0000085	258	22	Eumetazoa	6	Hmia,Ambulacraria,Hsap,Smed,Ngen	
OG0000086	258	26	Eumetazoa	2	Hmia,Smed	Spur
OG0000087	256	28	Eumetazoa	0		Nvec
OG0000088	249	28	Eumetazoa	0		Nvec
OG0000089	249	28	Eumetazoa	0		
OG0000090	247	25	Eumetazoa	3	Hmia,Smed,Gaeg	Nvec
OG0000091	244	28	Eumetazoa	0		
OG0000092	244	26	Eumetazoa	2	Hmia,Ofra	Eand
OG0000093	243	27	Eumetazoa	1	Tcas	
OG0000094	243	25	Eumetazoa	3	Hsap,Smed,Hrob	
OG0000095	241	20	Eumetazoa	8	Hmia,Vertebrata,Arthropoda,Smed,Ngen,Paus	Nvec
OG0000096	241	28	Eumetazoa	0		
OG0000097	239	25	Eumetazoa	3	Tcas,Clitellata	
OG0000098	238	21	Nephrozoa	5	Ambulacraria,Blan,Locu,Smed	
OG0000099	234	23	Eumetazoa	5	Smed,Dgyr,Pech,Ofra,Hrob	
OG0000100	233	28	Eumetazoa	0		
OG0000101	232	28	Eumetazoa	0		Gaeg
OG0000102	228	27	Eumetazoa	1	Smar	
OG0000103	226	28	Eumetazoa	0		
OG0000104	225	26	Eumetazoa	2	Smed,Hrob	Spur
OG0000105	222	28	Eumetazoa	0		
OG0000106	222	17	Eumetazoa	11	Chordata,Smar,Smed,Gaeg,Dgyr,Vestimentifera_cl2,Ofra,Hrob	
OG0000107	222	18	Eumetazoa	10	Chordata,Arthropoda,Smed,Dgyr,Pech,Rpac,Ofra	Eand,Ngen
OG0000108	220	21	Eumetazoa	7	Smar,Lgig,Cgig,Ofus,Dgyr,Pech,Ofra	Hmia,Ngen
OG0000109	220	19	Bilateria	8	Vertebrata,Smar,Smed,Lgig,Dgyr,Lophophorata	Bpla
OG0000110	219	28	Eumetazoa	0		
OG0000111	214	28	Eumetazoa	0		
OG0000112	214	28	Eumetazoa	0		Tcas
OG0000113	212	27	Eumetazoa	1	Hmia	Blan
OG0000114	211	28	Eumetazoa	0		
OG0000115	210	28	Eumetazoa	0		
OG0000116	210	28	Eumetazoa	0		
OG0000117	209	28	Eumetazoa	0		
OG0000118	209	23	Eumetazoa	5	Hmia,Hsap,Arthropoda,Smed	
OG0000119	208	1	Lgig	0		
OG0000120	207	25	Eumetazoa	3	Hmia,Spur,Smed	
OG0000121	204	14	Bilateria	13	Skow,Vertebrata,Smar,Smed,Gastropoda,Cgig,Ofus,Dgyr,Oalv,Ofra,Paus	Ngen,Spur,Tcas
OG0000122	204	25	Nephrozoa	1	Hrob	
OG0000123	203	19	Eumetazoa	9	Vertebrata,Smed,Lgig,Bpla,Dgyr,Rpac,Clitellata	Gaeg,Ngen,Spur
OG0000124	202	26	Eumetazoa	2	Smar,Smed	
OG0000125	202	26	Bilateria	1	Tcas	
OG0000126	202	19	Nephrozoa	7	Spur,Vertebrata,Tcas,Smed,Bpla,Lana	
OG0000127	201	15	Eumetazoa	13	Spur,Arthropoda,Smed,Dgyr,Pech,Oalv,Ofra,Sedentaria_cl1,Ngen,Paus	
OG0000128	201	22	Eumetazoa	6	Hsap,Arthropoda,Smed,Myes,Dgyr	Nvec
OG0000129	201	21	Eumetazoa	7	Hmia,Gaeg,Myes,Vestimentifera_cl2,Ofra,Paus	Nvec,Skow,Spur
OG0000130	200	28	Eumetazoa	0		
OG0000131	199	28	Eumetazoa	0		
OG0000132	199	22	Nephrozoa	4	Spur,Vertebrata,Tcas	
OG0000133	197	27	Eumetazoa	1	Hmia	
OG0000134	196	28	Eumetazoa	0		
OG0000135	193	28	Eumetazoa	0		
OG0000136	193	28	Eumetazoa	0		Ofus
OG0000137	192	26	Eumetazoa	2	Hmia,Tcas	
OG0000138	192	21	Eumetazoa	7	Hsap,Smed,Bpla,Ofus,Dgyr,Rpac,Eand	Ngen,Spur
OG0000139	191	18	Eumetazoa	10	Vertebrata,Arthropoda,Smed,Lgig,Bivalvia_cl1,Dgyr,Ofra	Lluy,Oalv
OG0000140	191	27	Eumetazoa	1	Hmia	
OG0000141	190	28	Eumetazoa	0		
OG0000142	190	28	Eumetazoa	0		
OG0000143	189	20	Eumetazoa	8	Hmia,Vertebrata,Smed,Cgig,Dgyr,Ofra,Hrob	
OG0000144	188	18	Eumetazoa	10	Hmia,Smed,Dgyr,Siboglinidae,Hrob,Ngen	Blan
OG0000145	186	19	Eumetazoa	9	Skow,Locu,Cgig,Ofus,Dgyr,Vestimentifera_cl2,Lophophorata	Gaeg,Hmia
OG0000146	186	28	Eumetazoa	0		
OG0000147	186	28	Eumetazoa	0		
OG0000148	184	27	Eumetazoa	1	Ofra	
OG0000149	184	28	Eumetazoa	0		
OG0000150	183	27	Eumetazoa	1	Tcas	
OG0000151	183	25	Nephrozoa	1	Smed	
OG0000152	182	28	Eumetazoa	0		
OG0000153	182	16	Bilateria	11	Skow,Chordata,Arthropoda,Smed,Ofus,Dgyr,Ofra,Hrob	Ctel
OG0000154	182	1	Cgig	0		
OG0000155	181	25	Eumetazoa	3	Hsap,Arthropoda	
OG0000156	181	28	Eumetazoa	0		
OG0000157	181	27	Eumetazoa	1	Skow	
OG0000158	180	22	Nephrozoa	4	Ambulacraria,Arthropoda	
OG0000159	180	28	Eumetazoa	0		
OG0000160	179	23	Nephrozoa	3	Arthropoda,Smed	
OG0000161	179	27	Eumetazoa	1	Tcas	
OG0000162	178	25	Eumetazoa	3	Arthropoda,Hrob	
OG0000163	178	28	Eumetazoa	0		Gaeg
OG0000164	178	18	Nephrozoa	8	Spur,Arthropoda,Smed,Lgig,Ofra,Hrob,Ngen	
OG0000165	177	28	Eumetazoa	0		
OG0000166	177	24	Eumetazoa	4	Vertebrata,Arthropoda	
OG0000167	177	24	Eumetazoa	4	Lluy,Vestimentifera_cl2,Ofra	
OG0000168	177	11	Eumetazoa	17	Hmia,Vertebrata,Smed,Lgig,Cgig,Annelida,Paus	Gaeg
OG0000169	176	16	Lophotrochozoa	2	Bpla,Ngen	
OG0000170	175	16	Eumetazoa	12	Hmia,Skow,Vertebrata,Arthropoda,Smed,Dgyr,Ofra,Hrob,Lophophorata	Ctel
OG0000171	175	26	Eumetazoa	2	Tcas,Ofra	
OG0000172	175	22	Nephrozoa	4	Arthropoda,Ngen,Paus	
OG0000173	175	16	Bilateria	11	Chordata,Lgig,Cgig,Myes,Ofus,Dgyr,Ctel,Lophophorata	Gaeg
OG0000174	174	23	Eumetazoa	5	Smar,Smed,Gaeg,Eand,Ngen	
OG0000175	174	26	Nephrozoa	0		
OG0000176	173	21	Eumetazoa	7	Smar,Gaeg,Siboglinidae	
OG0000177	173	26	Eumetazoa	2	Locu,Tcas	
OG0000178	173	28	Eumetazoa	0		
OG0000179	172	24	Eumetazoa	4	Hmia,Skow,Vertebrata	
OG0000180	172	23	Nephrozoa	3	Chordata	
OG0000181	171	26	Eumetazoa	2	Arthropoda	
OG0000182	170	26	Eumetazoa	2	Tcas,Hrob	
OG0000183	170	28	Eumetazoa	0		
OG0000184	170	12	Lophotrochozoa	6	Lgig,Myes,Ofus,Ofra,Hrob,Paus	Lluy,Oalv,Pech
OG0000185	169	27	Bilateria	0		
OG0000186	169	17	Eumetazoa	11	Hsap,Arthropoda,Smed,Gastropoda,Bpla,Ofus,Dgyr,Ofra,Ngen	Hrob,Spur
OG0000187	169	7	Bilateria	20	Ambulacraria,Blan,Hsap,Smar,Smed,Lgig,Cgig,Myes,Ofus,Dgyr,Siboglinidae,Clitellata,Ngen,Paus	Gaeg
OG0000188	168	26	Eumetazoa	2	Arthropoda	
OG0000189	168	22	Eumetazoa	6	Spur,Arthropoda,Smed,Ofra,Paus	Gaeg
OG0000190	167	23	Eumetazoa	5	Hmia,Spur,Smar,Smed,Ofra	
OG0000191	167	26	Eumetazoa	2	Vertebrata	
OG0000192	166	23	Eumetazoa	5	Hmia,Smed,Pech,Oalv,Ofra	Myes
OG0000193	166	28	Eumetazoa	0		
OG0000194	164	25	Eumetazoa	3	Hmia,Arthropoda	
OG0000195	163	25	Eumetazoa	3	Hmia,Tcas,Smed	
OG0000196	162	28	Eumetazoa	0		
OG0000197	162	28	Eumetazoa	0		
OG0000198	161	27	Eumetazoa	1	Smed	Locu
OG0000199	161	22	Eumetazoa	6	Locu,Arthropoda,Smed,Ofra,Ngen	Ofus
OG0000200	161	28	Eumetazoa	0		
OG0000201	161	19	Eumetazoa	9	Hmia,Deuterostomia,Smed,Hrob,Ngen	
OG0000202	161	27	Eumetazoa	1	Blan	
OG0000203	161	1	Lgig	0		
OG0000204	160	24	Eumetazoa	4	Hmia,Arthropoda,Smed	
OG0000205	160	28	Eumetazoa	0		
OG0000206	159	28	Eumetazoa	0		
OG0000207	159	3	Nephrozoa	23	Ambulacraria,Vertebrata,Arthropoda,Smed,Mollusca,Ofus,Dgyr,Vestimentifera,Clitellata,Kryptotrochozoa	Ctel
OG0000208	159	23	Eumetazoa	5	Hmia,Spur,Smar,Smed,Ofra	
OG0000209	159	20	Eumetazoa	8	Hmia,Deuterostomia,Arthropoda	
OG0000210	159	1	Hrob	0		
OG0000211	158	19	Eumetazoa	9	Hmia,Spur,Vertebrata,Arthropoda,Smed,Clitellata	Myes
OG0000212	158	13	Bilateria	14	Vertebrata,Arthropoda,Smed,Dgyr,Siboglinidae,Clitellata,Paus	Bpla,Cgig,Gaeg,Myes
OG0000213	158	20	Eumetazoa	8	Hmia,Spur,Arthropoda,Dgyr,Ofra,Clitellata	Bpla,Lgig,Skow
OG0000214	157	27	Eumetazoa	1	Smed	
OG0000215	157	28	Eumetazoa	0		
OG0000216	157	28	Eumetazoa	0		
OG0000217	157	28	Eumetazoa	0		
OG0000218	157	28	Eumetazoa	0		
OG0000219	156	28	Eumetazoa	0		Bpla
OG0000220	156	19	Eumetazoa	9	Hmia,Spur,Vertebrata,Tcas,Smed,Gastropoda,Hrob	
OG0000221	156	28	Eumetazoa	0		
OG0000222	156	21	Bilateria	6	Smed,Ofra,Clitellata,Ngen,Paus	Skow
OG0000223	155	28	Eumetazoa	0		
OG0000224	155	28	Eumetazoa	0		
OG0000225	155	2	Bivalvia	1	Myes	
OG0000226	154	28	Eumetazoa	0		Myes
OG0000227	154	9	Lophotrochozoa	9	Gastropoda,Bpla,Ofus,Dgyr,Clitellata,Ngen,Paus	Oalv
OG0000228	153	27	Eumetazoa	1	Hmia	
OG0000229	153	28	Eumetazoa	0		Smed
OG0000230	153	22	Nephrozoa	4	Smed,Dgyr,Clitellata	Pech
OG0000231	153	18	Eumetazoa	10	Hsap,Smed,Gaeg,Cgig,Myes,Dgyr,Vestimentifera_cl2,Ofra,Hrob	Pech
OG0000232	152	19	Eumetazoa	9	Hmia,Hsap,Arthropoda,Smed,Gaeg,Dgyr,Oalv,Ngen	Nvec,Ofus
OG0000233	152	18	Eumetazoa	10	Skow,Blan,Hsap,Arthropoda,Smed,Dgyr,Vestimentifera_cl2,Ofra	Hrob
OG0000234	152	1	Skow	0		
OG0000235	151	18	Eumetazoa	10	Vertebrata,Arthropoda,Smed,Ofus,Dgyr,Oalv,Ofra,Lana	Blan,Spur
OG0000236	151	28	Eumetazoa	0		
OG0000237	151	27	Eumetazoa	1	Spur	
OG0000238	151	13	Protostomia	8	Smed,Ofus,Dgyr,Siboglinidae	
OG0000239	150	28	Eumetazoa	0		Eand
OG0000240	150	28	Eumetazoa	0		
OG0000241	150	21	Eumetazoa	7	Hmia,Skow,Vertebrata,Smed,Hrob,Ngen	
OG0000242	150	28	Eumetazoa	0		
OG0000243	150	20	Bilateria	7	Arthropoda,Lgig,Ofus,Dgyr,Ofra,Hrob	
OG0000244	149	27	Bilateria	0		
OG0000245	149	21	Eumetazoa	7	Vertebrata,Smar,Cgig,Myes,Dgyr,Rpac	Hrob
OG0000246	148	28	Eumetazoa	0		
OG0000247	148	27	Eumetazoa	1	Smed	
OG0000248	148	28	Eumetazoa	0		
OG0000249	147	24	Eumetazoa	4	Hmia,Smed,Ofra,Hrob	
OG0000250	147	24	Eumetazoa	4	Arthropoda,Gaeg,Paus	Ngen
OG0000251	147	28	Eumetazoa	0		Hsap
OG0000252	146	26	Eumetazoa	2	Tcas,Hrob	
OG0000253	146	28	Eumetazoa	0		
OG0000254	146	23	Eumetazoa	5	Hmia,Arthropoda,Ofra,Ctel	
OG0000255	145	28	Eumetazoa	0		
OG0000256	144	17	Eumetazoa	11	Hsap,Smed,Lgig,Myes,Ofus,Dgyr,Pech,Rpac,Ofra,Hrob,Paus	Gaeg,Hmia
OG0000257	144	27	Eumetazoa	1	Spur	Blan
OG0000258	144	28	Eumetazoa	0		
OG0000259	144	28	Eumetazoa	0		
OG0000260	144	19	Bilateria	8	Skow,Blan,Smar,Smed,Ofus,Dgyr,Ofra,Hrob	Ngen
OG0000261	143	27	Eumetazoa	1	Smed	
OG0000262	143	22	Bilateria	5	Spur,Vertebrata,Arthropoda	
OG0000263	143	28	Eumetazoa	0		
OG0000264	142	20	Nephrozoa	6	Spur,Vertebrata,Smed,Clitellata	
OG0000265	142	28	Eumetazoa	0		
OG0000266	142	28	Eumetazoa	0		
OG0000267	142	19	Nephrozoa	7	Skow,Chordata,Smar,Smed,Ngen	Eand
OG0000268	141	24	Eumetazoa	4	Hmia,Vertebrata,Dgyr	
OG0000269	141	28	Eumetazoa	0		
OG0000270	141	20	Eumetazoa	8	Hmia,Hsap,Arthropoda,Smed,Dgyr,Clitellata	
OG0000271	141	28	Eumetazoa	0		Smar
OG0000272	141	17	Eumetazoa	11	Hmia,Vertebrata,Arthropoda,Mollusca,Ofra	
OG0000273	140	11	Nephrozoa	15	Skow,Vertebrata,Smar,Gastropoda,Cgig,Bpla,Ofus,Dgyr,Pech,Ofra,Sedentaria_cl1	Blan
OG0000274	140	28	Eumetazoa	0		
OG0000275	140	25	Eumetazoa	3	Arthropoda,Ofra	
OG0000276	140	20	Eumetazoa	8	Hmia,Vertebrata,Smar,Ofus,Dgyr,Ofra,Hrob	
OG0000277	140	12	Eumetazoa	16	Deuterostomia,Lgig,Cgig,Ofus,Dgyr,Siboglinidae,Hrob,Lana	
OG0000278	140	14	Lophotrochozoa	4	Gaeg,Bivalvia	Eand,Hrob
OG0000279	139	28	Eumetazoa	0		
OG0000280	139	28	Eumetazoa	0		
OG0000281	138	27	Eumetazoa	1	Dgyr	
OG0000282	137	28	Eumetazoa	0		
OG0000283	137	27	Eumetazoa	1	Hrob	
OG0000284	137	28	Eumetazoa	0		
OG0000285	136	26	Eumetazoa	2	Smed,Lluy	
OG0000286	136	28	Eumetazoa	0		
OG0000287	135	9	Eumetazoa	19	Skow,Vertebrata,Arthropoda,Smed,Mollusca,Ofus,Dgyr,Oalv,Ofra,Ctel,Hrob,Ngen,Paus	Blan,Spur
OG0000288	135	28	Eumetazoa	0		Nvec
OG0000289	134	14	Nephrozoa	12	Hsap,Tcas,Smed,Gaeg,Ofus,Dgyr,Vestimentifera_cl2,Ofra,Sedentaria_cl1	Ngen,Skow
OG0000290	134	28	Eumetazoa	0		
OG0000291	133	22	Eumetazoa	6	Dgyr,Siboglinidae	Nvec,Smar
OG0000292	133	26	Eumetazoa	2	Tcas,Ofra	
OG0000293	133	27	Eumetazoa	1	Hmia	
OG0000294	133	27	Eumetazoa	1	Hmia	
OG0000295	132	24	Nephrozoa	2	Tcas,Hrob	
OG0000296	132	28	Eumetazoa	0		
OG0000297	132	24	Eumetazoa	4	Hmia,Arthropoda,Smed	
OG0000298	132	28	Eumetazoa	0		
OG0000299	132	18	Eumetazoa	10	Hmia,Vertebrata,Tcas,Smed,Dgyr,Rpac,Ofra,Clitellata	
OG0000300	132	28	Eumetazoa	0		
OG0000301	131	1	Blan	0		
OG0000302	131	27	Eumetazoa	1	Smed	
OG0000303	131	26	Eumetazoa	2	Tcas,Hrob	
OG0000304	130	28	Eumetazoa	0		
OG0000305	130	12	Eumetazoa	16	Hmia,Arthropoda,Smed,Lgig,Bivalvia,Siboglinidae,Clitellata,Ngen	Skow,Spur
OG0000306	129	28	Eumetazoa	0		
OG0000307	129	28	Eumetazoa	0		
OG0000308	129	22	Bilateria	5	Arthropoda,Gaeg,Ofra,Hrob	
OG0000309	128	15	Eumetazoa	13	Hmia,Hsap,Arthropoda,Smed,Lgig,Cgig,Bpla,Ofus,Dgyr,Ofra,Eand,Ngen	Blan
OG0000310	128	24	Eumetazoa	4	Vertebrata,Arthropoda	
OG0000311	128	6	Eumetazoa	22	Hmia,Spur,Vertebrata,Arthropoda,Smed,Bivalvia_cl1,Lophotrochozoa_cl1	Gaeg
OG0000312	128	27	Eumetazoa	1	Pech	Lgig
OG0000313	127	14	Eumetazoa	14	Hmia,Vertebrata,Arthropoda,Smed,Gaeg,Cgig,Dgyr,Rpac,Ofra,Sedentaria_cl1	
OG0000314	127	14	Eumetazoa	14	Hmia,Vertebrata,Arthropoda,Smed,Dgyr,Pech,Rpac,Ofra,Sedentaria_cl1,Paus	Bpla,Ngen
OG0000315	127	17	Eumetazoa	11	Hmia,Vertebrata,Smed,Gastropoda,Cgig,Dgyr,Pech,Rpac,Ofra	Skow
OG0000316	127	17	Bilateria	10	Skow,Blan,Smar,Smed,Ofus,Dgyr,Pech,Rpac,Clitellata	Bpla
OG0000317	126	22	Eumetazoa	6	Hmia,Vertebrata,Smar,Smed,Eand	
OG0000318	126	28	Eumetazoa	0		
OG0000319	126	13	Eumetazoa	15	Hmia,Vertebrata,Smed,Cgig,Annelida_cl1,Paus	
OG0000320	125	27	Eumetazoa	1	Gaeg	
OG0000321	125	26	Bilateria	1	Tcas	
OG0000322	125	28	Eumetazoa	0		
OG0000323	125	19	Eumetazoa	9	Hmia,Vertebrata,Arthropoda,Smed,Ofra,Ngen,Paus	
OG0000324	125	26	Eumetazoa	2	Tcas,Hrob	
OG0000325	125	12	Eumetazoa	16	Hmia,Arthropoda,Smed,Mollusca,Ofus,Dgyr,Ofra,Sedentaria_cl1,Ngen	
OG0000326	125	16	Bilateria	11	Spur,Arthropoda,Smed,Cgig,Ofus,Dgyr,Pech,Rpac,Ofra,Eand	Ngen,Skow
OG0000327	125	20	Protostomia	1	Pech	
OG0000328	124	27	Eumetazoa	1	Pech	
OG0000329	124	28	Eumetazoa	0		
OG0000330	124	20	Eumetazoa	8	Hmia,Skow,Chordata,Arthropoda,Paus	
OG0000331	123	24	Bilateria	3	Smar,Ngen,Paus	Skow
OG0000332	123	27	Eumetazoa	1	Smar	
OG0000333	123	26	Eumetazoa	2	Hmia,Hsap	
OG0000334	123	28	Eumetazoa	0		Smed
OG0000335	123	2	Nephrozoa	24	Ambulacraria,Vertebrata,Arthropoda,Smed,Mollusca,Ofus,Dgyr,Siboglinidae,Ctel,Eand,Kryptotrochozoa	
OG0000336	123	18	Eumetazoa	10	Hmia,Hsap,Smed,Ofus,Dgyr,Vestimentifera_cl1,Ofra,Hrob	Skow
OG0000337	122	28	Eumetazoa	0		
OG0000338	122	15	Eumetazoa	13	Hmia,Deuterostomia,Arthropoda,Smed,Dgyr,Ofra,Ngen,Paus	Bpla,Myes
OG0000339	122	1	Pech	0		
OG0000340	121	21	Eumetazoa	7	Vertebrata,Arthropoda,Smed,Dgyr,Hrob	
OG0000341	121	27	Eumetazoa	1	Smed	
OG0000342	121	23	Eumetazoa	5	Hmia,Smed,Dgyr,Ofra,Hrob	Oalv,Pech
OG0000343	121	27	Eumetazoa	1	Hmia	
OG0000344	121	27	Eumetazoa	1	Hmia	
OG0000345	121	18	Bilateria	9	Skow,Cgig,Bpla,Ofus,Dgyr,Ofra,Kryptotrochozoa	
OG0000346	121	22	Nephrozoa	4	Ambulacraria,Blan,Hsap	
OG0000347	121	2	Protostomia	19	Tcas,Smed,Mollusca,Annelida,Lophophorata	
OG0000348	120	28	Eumetazoa	0		
OG0000349	120	28	Eumetazoa	0		
OG0000350	120	17	Nephrozoa	9	Ambulacraria,Vertebrata,Smed,Dgyr,Rpac,Ofra,Hrob	Ngen
OG0000351	120	28	Eumetazoa	0		
OG0000352	120	11	Eumetazoa	17	Hmia,Deuterostomia,Arthropoda,Smed,Mollusca,Ctel,Ngen,Paus	Oalv
OG0000353	120	5	Bilateria	22	Deuterostomia,Arthropoda,Smed,Mollusca,Ofus,Dgyr,Pech,Sedentaria_cl1,Kryptotrochozoa	
OG0000354	120	1	Smed	0		
OG0000355	119	24	Eumetazoa	4	Spur,Clitellata,Ngen	
OG0000356	119	22	Nephrozoa	4	Vertebrata,Smed,Ofra	Tcas
OG0000357	119	28	Eumetazoa	0		
OG0000358	119	28	Eumetazoa	0		
OG0000359	119	20	Protostomia	1	Pech	Eand
OG0000360	118	21	Nephrozoa	5	Vertebrata,Arthropoda,Smed	
OG0000361	118	25	Eumetazoa	3	Hmia,Smed,Ofra	
OG0000362	118	28	Eumetazoa	0		
OG0000363	118	2	Mollusca	3	Gaeg,Bivalvia_cl1	
OG0000364	118	9	Protostomia	12	Tcas,Smed,Mollusca,Dgyr,Hrob,Kryptotrochozoa	Oalv
OG0000365	117	20	Nephrozoa	6	Vertebrata,Smar,Smed,Hrob,Ngen	
OG0000366	117	21	Nephrozoa	5	Vertebrata,Smed,Hrob,Lana	
OG0000367	117	13	Eumetazoa	15	Vertebrata,Arthropoda,Smed,Gaeg,Cgig,Bpla,Ofus,Dgyr,Vestimentifera_cl2,Ofra,Clitellata	Nvec,Paus
OG0000368	117	21	Eumetazoa	7	Smed,Siboglinidae,Hrob	
OG0000369	117	28	Eumetazoa	0		
OG0000370	117	22	Eumetazoa	6	Hmia,Arthropoda,Smed,Clitellata	
OG0000371	117	27	Eumetazoa	1	Tcas	
OG0000372	117	20	Eumetazoa	8	Hmia,Ambulacraria,Vertebrata,Smed,Hrob,Ngen	
OG0000373	117	27	Eumetazoa	1	Lgig	
