OG0000121	FUN_014864-T1, FUN_040648-T1
OG0014926	FUN_032583-T1
OG0014934	FUN_035479-T1
OG0014938	FUN_007949-T1, FUN_022154-T1, FUN_023914-T1, FUN_025792-T1
OG0014941	FUN_009388-T1
OG0014983	FUN_017076-T1
OG0014987	FUN_023203-T1
OG0015026	FUN_018584-T1
OG0015052	FUN_031233-T1
OG0015056	FUN_022382-T1
OG0015057	FUN_012951-T1, FUN_018686-T1
OG0015143	FUN_030774-T1, FUN_030775-T1
OG0015179	FUN_014463-T1
OG0015216	FUN_005920-T1, FUN_010423-T1, FUN_018178-T1, FUN_019522-T1, FUN_021918-T1
OG0015319	FUN_001891-T1, FUN_001916-T1, FUN_005954-T1, FUN_005955-T1, FUN_013311-T1, FUN_018995-T1, FUN_029729-T1
OG0015330	FUN_000747-T1, FUN_000758-T1, FUN_014455-T1, FUN_018370-T1, FUN_024792-T1, FUN_026067-T1, FUN_036782-T1
OG0015349	FUN_014953-T1, FUN_018184-T1, FUN_034846-T1
OG0015357	FUN_000830-T1, FUN_016592-T1, FUN_021430-T1, FUN_023916-T1, FUN_031313-T1, FUN_035611-T1, FUN_037576-T1, FUN_039254-T1
OG0015365	FUN_014133-T1
OG0015391	FUN_031800-T1
OG0015404	FUN_011399-T1, FUN_014219-T1
OG0015562	
OG0015700	FUN_007950-T1, FUN_009180-T1, FUN_012321-T1, FUN_014677-T1
OG0015726	
OG0015734	FUN_003120-T1, FUN_003122-T1, FUN_008515-T1, FUN_008527-T1, FUN_018503-T1
OG0015736	FUN_016327-T1
OG0015775	FUN_038796-T1
OG0015793	
OG0015857	FUN_027078-T1
OG0015912	FUN_022765-T1
OG0015946	
OG0015968	FUN_010356-T1
OG0016002	FUN_033362-T1, FUN_033543-T1
OG0016006	FUN_040228-T1
OG0016049	FUN_034695-T1
OG0016123	
OG0016145	FUN_035934-T1
OG0016164	FUN_021265-T1
OG0016256	FUN_004959-T1, FUN_011419-T1, FUN_012535-T1, FUN_012901-T1, FUN_026862-T1
OG0016278	FUN_025743-T1
OG0016296	FUN_011765-T1, FUN_013154-T1, FUN_019873-T1, FUN_019875-T1
OG0016324	
OG0016330	FUN_029527-T1
OG0016351	FUN_010665-T1, FUN_010666-T1
OG0016401	FUN_009079-T1
OG0016423	
OG0016445	FUN_012894-T1
OG0016455	FUN_005502-T1, FUN_010779-T1, FUN_013523-T1, FUN_018007-T1, FUN_018291-T1, FUN_039210-T1, FUN_039651-T1
OG0016504	FUN_021332-T1, FUN_035732-T1
OG0016524	FUN_009993-T1
OG0016606	
OG0016930	
OG0016938	FUN_029584-T1
OG0016983	FUN_009811-T1
OG0016985	FUN_009718-T1
OG0016997	
OG0017044	
OG0017087	FUN_021757-T1, FUN_034969-T1
OG0017178	
OG0017183	FUN_033793-T1
OG0017196	
OG0017199	FUN_011268-T1
OG0017202	
OG0017208	FUN_032070-T1
OG0017219	
OG0017225	FUN_039990-T1
OG0017238	
OG0017243	FUN_011881-T1
OG0017244	FUN_015995-T1, FUN_020240-T1, FUN_033145-T1
OG0017251	
OG0017259	FUN_033213-T1
OG0017319	
OG0017336	FUN_027186-T1
OG0017352	FUN_019458-T1
OG0017408	FUN_005869-T1, FUN_018328-T1
OG0017414	FUN_021767-T1
OG0017423	FUN_015201-T1
OG0017438	FUN_009533-T1, FUN_036175-T1
OG0017487	FUN_036829-T1
OG0017488	FUN_012376-T1, FUN_023977-T1, FUN_037914-T1, FUN_037915-T1, FUN_037916-T1
OG0017509	FUN_024709-T1, FUN_035371-T1
OG0017510	FUN_032160-T1
OG0017527	FUN_000144-T1
OG0017577	FUN_011023-T1
OG0017619	FUN_030231-T1
OG0017622	FUN_034354-T1, FUN_034355-T1
OG0017630	FUN_013235-T1, FUN_028849-T1
OG0017885	
OG0017891	
OG0017912	FUN_027276-T1, FUN_030584-T1, FUN_032167-T1, FUN_038018-T1
OG0017944	FUN_007583-T1, FUN_009652-T1, FUN_017735-T1, FUN_025735-T1, FUN_038304-T1
OG0017954	FUN_030822-T1
OG0017970	FUN_005728-T1, FUN_005729-T1, FUN_022693-T1, FUN_029530-T1
OG0017976	FUN_014871-T1, FUN_024627-T1, FUN_039795-T1
OG0017982	FUN_016973-T1, FUN_020206-T1, FUN_023182-T1, FUN_024667-T1, FUN_028034-T1
OG0018012	FUN_039748-T1
OG0018318	
OG0018588	
OG0018719	FUN_004187-T1
OG0018787	FUN_010642-T1
OG0018789	
OG0018826	
OG0018884	
OG0018996	
OG0019166	
OG0019211	
OG0019338	FUN_010304-T1
OG0019361	FUN_017204-T1
OG0019370	
OG0019375	
OG0019403	FUN_014332-T1, FUN_030804-T1
OG0019406	FUN_028057-T1
OG0019427	FUN_023028-T1
OG0019528	FUN_027427-T1
OG0019537	FUN_026609-T1
OG0019750	FUN_028778-T1
OG0019804	FUN_002360-T1
OG0019954	FUN_000197-T1, FUN_002838-T1, FUN_016663-T1, FUN_018323-T1
OG0019980	FUN_023102-T1, FUN_025273-T1, FUN_027515-T1, FUN_039874-T1
OG0019983	FUN_029750-T1
OG0020105	FUN_039645-T1
OG0020112	FUN_002359-T1
OG0020134	FUN_010224-T1
OG0020359	
OG0020428	
OG0020561	
OG0020562	
OG0020571	
OG0020572	
OG0020585	
OG0020927	FUN_019851-T1
OG0020978	
OG0020995	
OG0021072	
OG0021075	
OG0021090	FUN_035724-T1
OG0021096	
OG0021172	FUN_034880-T1
OG0021177	
OG0021205	FUN_004135-T1
OG0021277	FUN_022345-T1
OG0021470	FUN_022848-T1
OG0021485	FUN_005700-T1
OG0021494	FUN_000428-T1
OG0021512	FUN_020852-T1
OG0021550	FUN_020892-T1
OG0021556	FUN_008555-T1, FUN_015701-T1
OG0021559	FUN_000194-T1
OG0021573	
OG0021602	FUN_026224-T1
OG0021627	
OG0021725	FUN_008313-T1
OG0021728	FUN_036878-T1
OG0021739	FUN_033031-T1
OG0021811	
OG0021827	FUN_031191-T1
OG0021889	FUN_010845-T1
OG0021891	FUN_000608-T1
OG0021895	FUN_022123-T1
OG0021899	FUN_020511-T1
OG0021925	FUN_026231-T1, FUN_026232-T1
OG0021952	
OG0021957	FUN_015816-T1, FUN_022679-T1, FUN_039032-T1
OG0021959	FUN_030921-T1
OG0021960	FUN_008682-T1, FUN_025554-T1
OG0022055	FUN_040316-T1
OG0022078	FUN_004832-T1
OG0022161	FUN_007704-T1, FUN_019625-T1, FUN_029626-T1
OG0022169	FUN_005134-T1, FUN_019177-T1
OG0022179	
OG0022360	FUN_001814-T1, FUN_015415-T1
OG0022422	FUN_033342-T1
OG0022595	
OG0022613	FUN_036899-T1
OG0022662	FUN_021691-T1
OG0022695	FUN_028932-T1
OG0022713	FUN_021763-T1
OG0022741	FUN_002149-T1, FUN_011278-T1, FUN_015822-T1, FUN_038830-T1
OG0022755	FUN_010098-T1
OG0022785	FUN_024194-T1, FUN_024197-T1, FUN_024201-T1, FUN_034952-T1
OG0022791	FUN_008709-T1, FUN_025715-T1, FUN_039337-T1
OG0022845	FUN_002716-T1, FUN_013491-T1
OG0022846	FUN_003190-T1, FUN_009511-T1
OG0022857	FUN_005740-T1, FUN_007891-T1, FUN_014025-T1, FUN_029417-T1
OG0022874	FUN_005259-T1, FUN_010649-T1, FUN_010654-T1
OG0022884	FUN_010008-T1, FUN_010011-T1, FUN_012331-T1, FUN_014550-T1
OG0022893	FUN_009234-T1, FUN_014321-T1, FUN_014324-T1
OG0022908	FUN_016685-T1, FUN_016686-T1, FUN_016687-T1
OG0022922	FUN_002410-T1, FUN_018831-T1
OG0022927	FUN_002814-T1, FUN_003723-T1, FUN_020264-T1, FUN_032646-T1
OG0022957	FUN_002839-T1, FUN_009223-T1, FUN_023852-T1
OG0022966	FUN_006844-T1, FUN_011087-T1, FUN_026229-T1
OG0022973	FUN_027379-T1, FUN_027638-T1, FUN_040391-T1
OG0022984	FUN_028781-T1
OG0023050	FUN_004708-T1, FUN_029259-T1, FUN_039365-T1
OG0023095	FUN_008442-T1, FUN_026886-T1
OG0023101	FUN_010372-T1
OG0023105	FUN_011867-T1
OG0023107	FUN_013143-T1
OG0023128	
OG0023249	
OG0023461	
OG0023484	
OG0023758	
OG0023770	
OG0023773	
OG0023779	
OG0023782	
OG0023820	
OG0024229	
OG0024387	
OG0024445	
OG0024488	
OG0024692	FUN_026385-T1, FUN_033542-T1
OG0024713	
OG0024738	
OG0024809	
OG0024886	FUN_020156-T1
OG0024999	
OG0025076	FUN_015359-T1, FUN_038380-T1
OG0025082	FUN_004735-T1
OG0025099	FUN_024611-T1
OG0025106	
OG0025300	
OG0025322	
OG0025353	
OG0025429	
OG0025436	FUN_029971-T1
OG0025521	
OG0025547	
OG0025567	FUN_012794-T1, FUN_012797-T1
OG0025568	FUN_016318-T1
OG0025573	FUN_023122-T1
OG0025583	
OG0025615	
OG0025623	FUN_008210-T1, FUN_027365-T1
OG0025653	FUN_040642-T1
OG0025655	
OG0025665	FUN_002824-T1
OG0025820	FUN_011163-T1
OG0025859	FUN_016290-T1
OG0025885	
OG0025915	
OG0025939	
OG0025940	
OG0026194	
OG0026250	
OG0026268	
OG0026325	
OG0026684	FUN_022610-T1
OG0026700	FUN_024551-T1
OG0026815	FUN_012833-T1
OG0026860	FUN_014468-T1
OG0026862	FUN_014484-T1
OG0026863	FUN_014486-T1, FUN_040082-T1
OG0026868	FUN_009343-T1, FUN_015832-T1
OG0026896	FUN_022887-T1
OG0026901	FUN_012139-T1, FUN_024193-T1, FUN_034951-T1
OG0026904	FUN_024954-T1
OG0026912	FUN_008188-T1, FUN_014044-T1, FUN_026068-T1
OG0026919	FUN_028192-T1
OG0026960	FUN_034622-T1, FUN_036641-T1
OG0026977	FUN_023496-T1, FUN_039269-T1
OG0026984	FUN_000241-T1
OG0026987	FUN_000673-T1
OG0026994	FUN_001610-T1, FUN_031255-T1, FUN_039305-T1
OG0027004	FUN_003044-T1, FUN_007724-T1, FUN_020003-T1
OG0027009	FUN_003931-T1, FUN_003933-T1
OG0027019	FUN_005737-T1, FUN_005744-T1
OG0027027	FUN_006880-T1, FUN_017391-T1
OG0027041	FUN_009621-T1
OG0027051	FUN_010586-T1, FUN_012184-T1, FUN_016042-T1
OG0027063	FUN_012098-T1
OG0027075	FUN_013249-T1, FUN_013250-T1, FUN_025139-T1
OG0027108	FUN_016234-T1, FUN_030329-T1
OG0027118	FUN_017488-T1
OG0027123	FUN_018219-T1, FUN_023029-T1
OG0027129	FUN_018615-T1
OG0027132	FUN_000478-T1, FUN_017656-T1, FUN_019002-T1
OG0027134	FUN_019075-T1, FUN_024701-T1, FUN_032039-T1
OG0027155	FUN_011678-T1, FUN_021349-T1, FUN_036560-T1
OG0027166	FUN_021944-T1, FUN_025020-T1
OG0027170	FUN_018919-T1, FUN_022357-T1, FUN_028697-T1
OG0027181	FUN_022860-T1
OG0027212	FUN_018085-T1, FUN_025242-T1
OG0027282	FUN_031631-T1
OG0027287	FUN_032081-T1, FUN_032304-T1
OG0027292	FUN_013571-T1, FUN_032537-T1
OG0027308	FUN_033541-T1
OG0027322	FUN_035040-T1, FUN_035043-T1
OG0027326	FUN_035638-T1
OG0027332	FUN_009532-T1, FUN_021119-T1, FUN_036174-T1
OG0027353	FUN_038600-T1, FUN_038601-T1
OG0027369	FUN_000593-T1, FUN_040518-T1
OG0027375	FUN_040684-T1
OG0027376	FUN_013212-T1, FUN_040739-T1
OG0027397	FUN_002669-T1
OG0027399	FUN_002825-T1
OG0027450	FUN_006932-T1
OG0027477	FUN_011931-T1, FUN_011934-T1
OG0027478	FUN_012089-T1
OG0027480	FUN_012137-T1
OG0027482	FUN_014154-T1
OG0027501	FUN_022644-T1
OG0027610	
OG0027721	
OG0027894	
OG0028110	
OG0028113	
OG0028273	
OG0028580	
OG0028589	
OG0028595	
OG0028597	
OG0029393	
OG0029454	
OG0029801	
OG0029917	
OG0030516	
OG0030609	
OG0030814	
OG0031010	
OG0031143	FUN_024150-T1
OG0031238	FUN_010433-T1
OG0031258	FUN_026215-T1
OG0031337	FUN_016452-T1
OG0031346	FUN_016674-T1
OG0031356	
OG0031358	FUN_009293-T1
OG0031365	
OG0031378	FUN_020214-T1
OG0031403	FUN_019356-T1
OG0031460	FUN_016098-T1
OG0031634	FUN_017510-T1
OG0031737	
OG0031878	
OG0031967	
OG0031992	FUN_029090-T1
OG0032038	FUN_029062-T1
OG0032079	FUN_027518-T1
OG0032092	
OG0032116	
OG0032498	FUN_002455-T1
OG0032510	FUN_010157-T1
OG0032516	
OG0032896	
OG0033384	
OG0033426	FUN_012850-T1
OG0033432	FUN_012924-T1, FUN_021834-T1
OG0033435	FUN_019296-T1
OG0033446	FUN_033632-T1
OG0033450	FUN_033675-T1
OG0033454	FUN_000155-T1
OG0033455	FUN_000156-T1
OG0033456	FUN_000162-T1, FUN_023631-T1
OG0033464	FUN_002191-T1
OG0033476	FUN_011010-T1
OG0033488	FUN_012998-T1
OG0033490	FUN_013786-T1, FUN_024141-T1
OG0033493	FUN_014475-T1, FUN_023796-T1
OG0033496	FUN_006104-T1, FUN_015833-T1
OG0033506	FUN_018765-T1
OG0033517	FUN_000847-T1, FUN_020366-T1
OG0033524	FUN_022093-T1
OG0033537	FUN_023767-T1
OG0033557	FUN_029134-T1
OG0033580	FUN_033324-T1
OG0033593	FUN_036084-T1
OG0033597	FUN_036869-T1
OG0033604	FUN_037357-T1
OG0033610	FUN_038515-T1, FUN_038520-T1
OG0033611	FUN_038539-T1
OG0033617	FUN_039476-T1
OG0033622	FUN_039661-T1, FUN_039663-T1
OG0033623	FUN_039671-T1
OG0033626	FUN_028977-T1, FUN_039695-T1
OG0033627	FUN_014891-T1, FUN_039877-T1
OG0033643	FUN_001448-T1, FUN_001449-T1
OG0033652	FUN_002554-T1
OG0033655	FUN_003033-T1, FUN_007996-T1
OG0033667	FUN_003526-T1
OG0033677	FUN_004372-T1, FUN_004373-T1
OG0033679	FUN_004789-T1
OG0033685	FUN_005589-T1
