OG0000121	RPACG00000027878.1
OG0008762	RPACG00000031174.1, RPACG00000031178.1, RPACG00000031179.1, RPACG00000031181.1, RPACG00000031182.1, RPACG00000031183.1, RPACG00000031187.1, RPACG00000031188.1, RPACG00000031192.1, RPACG00000031194.1, RPACG00000031195.1, RPACG00000031196.1, RPACG00000031197.1, RPACG00000031198.1, RPACG00000031199.1, RPACG00000031200.1, RPACG00000031201.1, RPACG00000031202.1, RPACG00000031203.1, RPACG00000031204.1, RPACG00000035171.1, RPACG00000035182.1, RPACG00000035183.1, RPACG00000035184.1
OG0008788	RPACG00000024070.1
OG0008800	RPACG00000008481.1
OG0008846	RPACG00000007353.1
OG0008858	RPACG00000033542.1
OG0008870	RPACG00000001923.1
OG0008874	RPACG00000013187.1
OG0009003	RPACG00000002379.1
OG0009036	RPACG00000006666.1, RPACG00000013615.1, RPACG00000013616.1, RPACG00000029787.1, RPACG00000035573.1
OG0009049	RPACG00000007163.1
OG0009098	RPACG00000009513.1
OG0009156	RPACG00000027877.1
OG0009193	RPACG00000026633.1
OG0009217	RPACG00000019597.1
OG0009233	RPACG00000016667.1
OG0009314	RPACG00000005852.2, RPACG00000005853.1
OG0009445	RPACG00000032118.1
OG0009599	RPACG00000014283.1
OG0009680	RPACG00000030241.1
OG0009686	RPACG00000013453.1
OG0009691	RPACG00000005719.1
OG0009707	RPACG00000000669.1
OG0009730	RPACG00000032323.1, RPACG00000032324.1, RPACG00000032325.1, RPACG00000032326.1, RPACG00000032327.1, RPACG00000032328.1, RPACG00000032329.1, RPACG00000032330.1, RPACG00000032331.1, RPACG00000032332.1, RPACG00000032333.1, RPACG00000032334.1, RPACG00000032335.1, RPACG00000032336.1, RPACG00000032337.1, RPACG00000032338.1, RPACG00000032339.1, RPACG00000032340.1, RPACG00000032341.1, RPACG00000032342.1
OG0009757	RPACG00000011108.1
OG0009821	RPACG00000000579.1
OG0009850	RPACG00000013225.1, RPACG00000013228.1
OG0009854	RPACG00000015545.1, RPACG00000021569.1
OG0009976	RPACG00000014136.1, RPACG00000022229.1, RPACG00000022230.1, RPACG00000022231.1, RPACG00000022232.1, RPACG00000022233.1, RPACG00000033908.1, RPACG00000033909.1, RPACG00000033910.1, RPACG00000033911.1, RPACG00000033912.1
OG0010023	RPACG00000035568.1
OG0010104	RPACG00000032105.1
OG0010117	RPACG00000012302.1
OG0010128	RPACG00000006346.1
OG0010161	RPACG00000000777.1, RPACG00000024561.1
OG0010186	RPACG00000001805.1
OG0010312	RPACG00000031429.1
OG0010386	RPACG00000003616.1
OG0010394	RPACG00000000997.1
OG0010467	RPACG00000026346.1
OG0010587	RPACG00000006130.1
OG0010597	RPACG00000022063.1
OG0010769	RPACG00000028711.1, RPACG00000028713.1
OG0010778	RPACG00000030800.1
OG0010888	RPACG00000021452.1
OG0010900	RPACG00000031705.1
OG0010956	RPACG00000003157.1
OG0010973	RPACG00000011012.1, RPACG00000013164.1
OG0010989	RPACG00000004941.1
OG0011034	RPACG00000033304.1
OG0011098	RPACG00000024048.1
OG0011208	RPACG00000032449.1
OG0011274	RPACG00000012168.1
OG0011321	RPACG00000003793.1
OG0011322	RPACG00000030832.1
OG0011331	RPACG00000026336.1
OG0011349	RPACG00000029992.1
OG0011356	RPACG00000013776.1
OG0011387	RPACG00000011527.1, RPACG00000011533.1
OG0011498	RPACG00000010395.1, RPACG00000014827.1, RPACG00000014828.1, RPACG00000016901.1, RPACG00000019789.1
OG0011529	RPACG00000005586.1
OG0011562	RPACG00000017707.1
OG0011569	RPACG00000011357.1
OG0011636	RPACG00000030235.1
OG0011654	RPACG00000003998.1
OG0011680	RPACG00000011639.1
OG0011682	RPACG00000011497.1
OG0011749	RPACG00000001144.1
OG0011750	RPACG00000001505.1, RPACG00000029435.1
OG0011757	RPACG00000010264.1, RPACG00000029401.1
OG0011766	RPACG00000004671.1
OG0011783	RPACG00000035563.1
OG0011852	RPACG00000025139.1
OG0011873	RPACG00000018107.1
OG0011920	RPACG00000024966.2
OG0011959	RPACG00000013056.1
OG0011961	RPACG00000004032.1
OG0011979	RPACG00000008525.1
OG0011984	RPACG00000024332.1
OG0012075	RPACG00000004131.1
OG0012095	RPACG00000003966.1, RPACG00000003970.1
OG0012177	RPACG00000007571.1, RPACG00000010313.1, RPACG00000020606.1, RPACG00000020607.1, RPACG00000021785.1, RPACG00000021943.1, RPACG00000021961.1, RPACG00000024029.1, RPACG00000024030.1, RPACG00000026121.1, RPACG00000026122.1, RPACG00000026313.1, RPACG00000035187.1
OG0012233	RPACG00000007649.1
OG0012317	RPACG00000007229.1
OG0012320	RPACG00000004189.1
OG0012323	RPACG00000000507.1
OG0012359	RPACG00000028279.1
OG0012401	RPACG00000007130.1
OG0012404	RPACG00000034662.1
OG0012561	RPACG00000014313.1
OG0012566	RPACG00000006561.1, RPACG00000034969.1
OG0012574	RPACG00000006092.1, RPACG00000006094.1
OG0012639	RPACG00000020605.1, RPACG00000024884.1
OG0012716	RPACG00000034321.1
OG0012734	RPACG00000024983.1
OG0012735	RPACG00000014200.1
OG0012748	RPACG00000035255.1
OG0012757	RPACG00000008026.1
OG0012808	RPACG00000012433.1
OG0012872	RPACG00000018567.1
OG0012874	RPACG00000003294.1, RPACG00000023735.1
OG0012896	RPACG00000009516.1
OG0012906	RPACG00000015274.1
OG0012926	RPACG00000035950.1
OG0013062	RPACG00000032023.1
OG0013084	RPACG00000004874.1, RPACG00000014153.1
OG0013087	RPACG00000014345.1
OG0013096	RPACG00000013777.1
OG0013241	RPACG00000030147.1
OG0013309	RPACG00000020533.1
OG0013311	RPACG00000033401.1
OG0013312	RPACG00000011507.1
OG0013333	RPACG00000001684.1, RPACG00000001690.1
OG0013336	RPACG00000001078.1, RPACG00000033638.1
OG0013345	RPACG00000007921.1, RPACG00000007926.1, RPACG00000007927.1
OG0013428	RPACG00000026079.1
OG0013443	RPACG00000022698.1
OG0013471	RPACG00000024405.1
OG0013476	RPACG00000006015.1
OG0013493	RPACG00000011241.1
OG0013581	RPACG00000000473.1
OG0013617	RPACG00000021276.1
OG0013688	RPACG00000030801.1, RPACG00000030802.1, RPACG00000035668.1
OG0013700	RPACG00000007230.1, RPACG00000030518.1
OG0013708	RPACG00000010024.1, RPACG00000037030.1
OG0013711	RPACG00000001108.1, RPACG00000001109.1, RPACG00000001110.1, RPACG00000001112.1, RPACG00000001113.1
OG0013827	RPACG00000005322.1, RPACG00000032756.1
OG0013963	RPACG00000008585.1
OG0013966	RPACG00000025267.1
OG0013981	RPACG00000011667.1
OG0014035	RPACG00000024706.1
OG0014059	RPACG00000031520.1
OG0014122	RPACG00000008970.1
OG0014215	RPACG00000030635.1, RPACG00000033118.1
OG0014333	RPACG00000016282.1, RPACG00000021615.1
OG0014587	RPACG00000021518.1, RPACG00000021522.1, RPACG00000021525.1, RPACG00000021529.1
OG0014590	RPACG00000014814.1
OG0014593	RPACG00000006908.1, RPACG00000006909.1, RPACG00000006910.1, RPACG00000009494.1, RPACG00000009495.1, RPACG00000010467.1, RPACG00000026607.1, RPACG00000026608.1, RPACG00000026609.1
OG0014700	RPACG00000036938.1
OG0014717	RPACG00000012949.1
OG0014725	RPACG00000013732.1
OG0014759	RPACG00000014228.1, RPACG00000031075.1
OG0014782	RPACG00000000933.1
OG0014808	RPACG00000004210.1
OG0014900	RPACG00000022317.1, RPACG00000036685.1
OG0014909	RPACG00000023408.1
OG0014926	RPACG00000021782.1
OG0014934	RPACG00000003281.1
OG0014938	RPACG00000010274.1, RPACG00000011668.1
OG0014941	RPACG00000035804.1
OG0014983	RPACG00000023199.1
OG0014987	RPACG00000027564.1
OG0015026	RPACG00000008071.1
OG0015052	RPACG00000029206.1
OG0015056	RPACG00000016341.1
OG0015057	RPACG00000000224.1, RPACG00000018078.1
OG0015143	RPACG00000023575.1
OG0015179	RPACG00000016588.1
OG0015216	RPACG00000011345.1, RPACG00000034777.1
OG0015319	RPACG00000036777.1
OG0015330	RPACG00000010394.1, RPACG00000014830.1
OG0015349	RPACG00000019241.1
OG0015357	RPACG00000015128.1
OG0015365	RPACG00000020773.1
OG0015391	RPACG00000020296.1
OG0015404	RPACG00000032420.1
OG0015562	RPACG00000022502.1
OG0015700	RPACG00000001365.1
OG0015726	RPACG00000034863.1
OG0015734	RPACG00000008532.1
OG0015736	RPACG00000028035.1
OG0015775	RPACG00000024008.1
OG0015793	RPACG00000019037.1
OG0015857	RPACG00000015260.1
OG0015912	RPACG00000007335.1
OG0015946	RPACG00000031234.1, RPACG00000031235.1
OG0015968	RPACG00000006378.1
OG0016002	RPACG00000003504.1, RPACG00000003507.1
OG0016006	RPACG00000003621.1
OG0016049	RPACG00000003542.1
OG0016123	RPACG00000001594.1
OG0016145	RPACG00000002341.1
OG0016164	RPACG00000025396.1
OG0016256	RPACG00000010507.1
OG0016278	RPACG00000025013.1
OG0016296	RPACG00000009217.1
OG0016324	RPACG00000007039.1
OG0016330	RPACG00000021849.1
OG0016351	RPACG00000028881.1
OG0016401	RPACG00000023551.1
OG0016423	RPACG00000021850.1
OG0016445	RPACG00000010641.1
OG0016455	RPACG00000030434.1
OG0016504	RPACG00000001779.1, RPACG00000001786.1, RPACG00000001787.1, RPACG00000001788.1, RPACG00000001789.1
OG0016524	RPACG00000008354.1
OG0016606	RPACG00000022596.1
OG0016930	RPACG00000008029.1
OG0016938	RPACG00000024437.1
OG0016983	RPACG00000008425.1, RPACG00000021229.1
OG0016985	RPACG00000034913.1
OG0016997	RPACG00000021484.1
OG0017044	RPACG00000023301.1
OG0017087	RPACG00000021888.1, RPACG00000035854.1
OG0017178	RPACG00000011514.1
OG0017183	RPACG00000009797.1
OG0017196	RPACG00000002273.1
OG0017199	RPACG00000017341.1
OG0017202	RPACG00000000984.1
OG0017208	RPACG00000035681.1
OG0017219	RPACG00000026868.1
OG0017225	RPACG00000017643.1
OG0017238	RPACG00000009310.1
OG0017243	RPACG00000035371.1
OG0017244	RPACG00000017017.1, RPACG00000027997.1
OG0017251	RPACG00000029534.1
OG0017259	RPACG00000026984.1
OG0017319	RPACG00000014500.1
OG0017336	RPACG00000008094.1
OG0017352	RPACG00000025313.1
OG0017408	RPACG00000035411.1
OG0017414	RPACG00000021891.1
OG0017423	RPACG00000012200.1
OG0017438	RPACG00000013778.1
OG0017487	RPACG00000007712.1
OG0017488	RPACG00000033981.1
OG0017509	RPACG00000013172.1
OG0017510	RPACG00000008475.1
OG0017527	RPACG00000014372.1
OG0017577	RPACG00000027385.1
OG0017619	RPACG00000032784.1
OG0017622	RPACG00000009078.1
OG0017630	RPACG00000029313.1
OG0017885	RPACG00000006777.1
OG0017891	RPACG00000021825.1, RPACG00000021826.1, RPACG00000021827.1, RPACG00000021830.1, RPACG00000021831.1
OG0017912	RPACG00000001819.1
OG0017944	RPACG00000019230.1, RPACG00000019236.1
OG0017954	RPACG00000030805.1, RPACG00000030806.1, RPACG00000035646.1
OG0017970	RPACG00000010921.1
OG0017976	RPACG00000009041.1
OG0017982	RPACG00000021249.1
OG0018012	RPACG00000003378.1, RPACG00000003435.1, RPACG00000004272.1, RPACG00000027243.1
OG0018318	RPACG00000030642.1
OG0018588	RPACG00000030210.1
OG0018719	RPACG00000022759.1
OG0018787	RPACG00000008226.1
OG0018789	RPACG00000026985.1
OG0018826	RPACG00000030567.1
OG0018884	RPACG00000026539.1
OG0018996	RPACG00000009668.1, RPACG00000019785.1
OG0019166	RPACG00000029794.1
OG0019211	RPACG00000004050.1, RPACG00000008999.1
OG0019338	RPACG00000022618.1, RPACG00000022620.1
OG0019361	RPACG00000034363.1, RPACG00000034364.1
OG0019370	RPACG00000016011.1
OG0019375	RPACG00000002141.1
OG0019403	RPACG00000017231.1
OG0019406	RPACG00000036335.1
OG0019427	RPACG00000004024.1
OG0019528	RPACG00000008985.1
OG0019537	RPACG00000003696.1
OG0019750	RPACG00000014504.1
OG0019804	RPACG00000032130.1
OG0019954	RPACG00000007643.1
OG0019980	RPACG00000006542.1, RPACG00000013171.1
OG0019983	RPACG00000035300.1, RPACG00000035302.1
OG0020105	RPACG00000005727.1, RPACG00000024889.1
OG0020112	RPACG00000032132.1, RPACG00000032140.1, RPACG00000032148.1, RPACG00000032154.1, RPACG00000032175.1
OG0020134	RPACG00000016044.1
OG0020359	RPACG00000032754.1
OG0020428	RPACG00000018011.1, RPACG00000032273.1, RPACG00000032274.1, RPACG00000032276.1
OG0020561	RPACG00000017939.1, RPACG00000017940.1
OG0020562	RPACG00000012101.1
OG0020571	RPACG00000012984.1, RPACG00000012987.1, RPACG00000012990.1, RPACG00000012993.1, RPACG00000012996.1
OG0020572	RPACG00000007501.1
OG0020585	RPACG00000015648.1
OG0020927	RPACG00000022322.1
OG0020978	RPACG00000009434.1
OG0020995	RPACG00000021487.1
OG0021072	RPACG00000002836.1
OG0021075	RPACG00000006607.1
OG0021090	RPACG00000009156.1
OG0021096	RPACG00000020653.1
OG0021172	RPACG00000019555.1
OG0021177	RPACG00000023887.1, RPACG00000023888.1
OG0021205	RPACG00000020194.1
OG0021277	RPACG00000002853.1
OG0021470	RPACG00000025657.1
OG0021485	RPACG00000026880.1
OG0021494	RPACG00000001025.1
OG0021512	RPACG00000013066.1
OG0021550	RPACG00000016945.1
OG0021556	RPACG00000001694.1
OG0021559	RPACG00000019444.1
OG0021573	RPACG00000012172.1
OG0021602	RPACG00000000778.1
OG0021627	RPACG00000036869.1
OG0021725	RPACG00000034313.1
OG0021728	RPACG00000012439.1
OG0021739	RPACG00000016368.1
OG0021811	RPACG00000013708.1
OG0021827	RPACG00000010901.1
OG0021889	RPACG00000009723.1
OG0021891	RPACG00000025943.1
OG0021895	RPACG00000004687.1
OG0021899	RPACG00000031848.1
OG0021925	RPACG00000019699.1
OG0021952	RPACG00000016737.1
OG0021957	RPACG00000035304.1
OG0021959	RPACG00000003680.1
OG0021960	RPACG00000019110.1, RPACG00000028285.1
OG0022055	RPACG00000021293.1
OG0022078	RPACG00000027983.1
OG0022161	RPACG00000015503.1
OG0022169	RPACG00000028200.1
OG0022179	RPACG00000017786.1
OG0022360	RPACG00000014340.1
OG0022422	RPACG00000033449.1
OG0022595	RPACG00000003771.1
OG0022613	RPACG00000027527.1
OG0022662	RPACG00000001466.1
OG0022695	RPACG00000022496.1
OG0022713	RPACG00000015945.1
OG0022741	RPACG00000035331.1
OG0022755	RPACG00000010060.1, RPACG00000010061.1, RPACG00000010062.1
OG0022785	RPACG00000033927.1
OG0022791	RPACG00000015647.1, RPACG00000028949.1
OG0022845	RPACG00000031107.1
OG0022846	RPACG00000016884.1, RPACG00000019937.1, RPACG00000019970.1
OG0022857	RPACG00000000946.1
OG0022874	RPACG00000007508.1, RPACG00000007512.1
OG0022884	RPACG00000031409.1
OG0022893	RPACG00000023600.1
OG0022908	RPACG00000025577.1
OG0022922	RPACG00000014292.1
OG0022927	RPACG00000004220.1
OG0022957	RPACG00000007579.1
OG0022966	RPACG00000000774.1
OG0022973	RPACG00000006313.1
OG0022984	RPACG00000029315.1
OG0023050	RPACG00000028616.1
OG0023095	RPACG00000006377.1, RPACG00000032997.1
OG0023101	RPACG00000009624.1, RPACG00000021517.1, RPACG00000021519.1
OG0023105	RPACG00000018694.1, RPACG00000018706.1, RPACG00000018717.1
OG0023107	RPACG00000027978.1, RPACG00000027979.1
OG0023128	RPACG00000029818.1, RPACG00000029820.1
OG0023249	RPACG00000007102.1
OG0023461	RPACG00000009614.1
OG0023484	RPACG00000010545.1, RPACG00000010550.1, RPACG00000010551.1
OG0023758	RPACG00000003221.1
OG0023770	RPACG00000003436.1, RPACG00000010878.1, RPACG00000010880.1, RPACG00000027287.1
OG0023773	RPACG00000001317.1
OG0023779	RPACG00000004146.1, RPACG00000004147.1, RPACG00000024672.1
OG0023782	RPACG00000025666.1, RPACG00000025667.1, RPACG00000025672.1, RPACG00000025673.1
OG0023820	RPACG00000019246.1, RPACG00000037024.1, RPACG00000037025.1, RPACG00000037026.1
OG0024229	RPACG00000025879.1
OG0024387	RPACG00000018300.1
OG0024445	RPACG00000027705.1
OG0024488	RPACG00000018090.1
OG0024692	RPACG00000008855.1
OG0024713	RPACG00000026723.1
OG0024738	RPACG00000025628.1
OG0024809	RPACG00000013071.1
OG0024886	RPACG00000009857.1
OG0024999	RPACG00000021784.1
OG0025076	RPACG00000014217.1
OG0025082	RPACG00000020115.1
OG0025099	RPACG00000012861.1
OG0025106	RPACG00000001688.1
OG0025300	RPACG00000009056.1, RPACG00000009057.1
OG0025322	RPACG00000031595.1
OG0025353	RPACG00000023713.1
OG0025429	RPACG00000027747.1
OG0025436	RPACG00000016760.1
OG0025521	RPACG00000023529.1
OG0025547	RPACG00000024451.1
OG0025567	RPACG00000028211.1
OG0025568	RPACG00000028043.1
OG0025573	RPACG00000019337.1
OG0025583	RPACG00000008631.1
OG0025615	RPACG00000032134.1, RPACG00000032158.1
OG0025623	RPACG00000023306.1
OG0025653	RPACG00000017490.1
OG0025655	RPACG00000001032.1, RPACG00000033626.1, RPACG00000034762.1
OG0025665	RPACG00000034974.1
OG0025820	RPACG00000013585.1
OG0025859	RPACG00000007289.1
OG0025885	RPACG00000030486.1
OG0025915	RPACG00000031373.1
OG0025939	RPACG00000005310.1, RPACG00000014021.1, RPACG00000014032.1
OG0025940	RPACG00000005170.1, RPACG00000005173.1, RPACG00000006764.1
OG0026194	RPACG00000002972.1
OG0026250	RPACG00000019166.1
OG0026268	RPACG00000032857.1
OG0026325	RPACG00000000515.1
OG0026684	RPACG00000025771.1, RPACG00000025773.1
OG0026700	RPACG00000030027.1
OG0026815	RPACG00000001999.1, RPACG00000002000.1
OG0026860	RPACG00000016593.1
OG0026862	RPACG00000001658.1, RPACG00000001668.1
OG0026863	RPACG00000005672.1, RPACG00000032893.1
OG0026868	RPACG00000010642.1
OG0026896	RPACG00000022472.1, RPACG00000022473.1, RPACG00000022485.1
OG0026901	RPACG00000033926.1
OG0026904	RPACG00000030469.1
OG0026912	RPACG00000014829.1
OG0026919	RPACG00000012629.1, RPACG00000014858.1
OG0026960	RPACG00000011696.1
OG0026977	RPACG00000012813.1, RPACG00000019363.1
OG0026984	RPACG00000031867.1
OG0026987	RPACG00000017937.1
OG0026994	RPACG00000006083.1
OG0027004	RPACG00000034073.1
OG0027009	RPACG00000019242.1
OG0027019	RPACG00000015508.1
OG0027027	RPACG00000026637.1
OG0027041	RPACG00000019533.1
OG0027051	RPACG00000030274.1
OG0027063	RPACG00000007472.1
OG0027075	RPACG00000027146.1
OG0027108	RPACG00000023140.1
OG0027118	RPACG00000007100.1
OG0027123	RPACG00000004467.1
OG0027129	RPACG00000029653.1, RPACG00000029657.1, RPACG00000029659.1
OG0027132	RPACG00000031390.1
OG0027134	RPACG00000034661.1
OG0027155	RPACG00000001435.1
OG0027166	RPACG00000017756.1, RPACG00000017757.1
OG0027170	RPACG00000030695.1
OG0027181	RPACG00000002079.1
OG0027212	RPACG00000022497.1
OG0027282	RPACG00000033137.1, RPACG00000033138.1
OG0027287	RPACG00000011654.1, RPACG00000020769.1
OG0027292	RPACG00000002558.1
OG0027308	RPACG00000003505.1, RPACG00000008854.1
OG0027322	RPACG00000014593.1
OG0027326	RPACG00000033231.1, RPACG00000033232.1, RPACG00000033233.1
OG0027332	RPACG00000013779.1
OG0027353	RPACG00000013819.1, RPACG00000034935.1
OG0027369	RPACG00000008574.1, RPACG00000008575.1
OG0027375	RPACG00000001791.1, RPACG00000010544.1, RPACG00000010549.1
OG0027376	RPACG00000018760.1
OG0027397	RPACG00000017227.1
OG0027399	RPACG00000034972.1
OG0027450	RPACG00000011067.1
OG0027477	RPACG00000019138.1
OG0027478	RPACG00000003967.1
OG0027480	RPACG00000035405.1
OG0027482	RPACG00000005582.1, RPACG00000005585.1
OG0027501	RPACG00000003697.1, RPACG00000003698.1, RPACG00000011148.1
OG0027610	RPACG00000004463.1, RPACG00000004464.1, RPACG00000004466.1
OG0027721	RPACG00000004130.1
OG0027894	RPACG00000002236.1
OG0028110	RPACG00000034093.1
OG0028113	RPACG00000020457.1
OG0028273	RPACG00000003251.1, RPACG00000003253.1
OG0028580	RPACG00000004675.1, RPACG00000004676.1, RPACG00000035958.1
OG0028589	RPACG00000019864.1
OG0028595	RPACG00000031083.1
OG0028597	RPACG00000024691.1
OG0029393	RPACG00000033422.1
OG0029454	RPACG00000019869.1
OG0029801	RPACG00000010796.1
OG0029917	RPACG00000007591.1
OG0030516	RPACG00000019082.1
OG0030609	RPACG00000022705.1, RPACG00000022707.1
OG0030814	RPACG00000028846.1
OG0031010	RPACG00000021723.1
OG0031143	RPACG00000033892.1
OG0031238	RPACG00000016080.1
OG0031258	RPACG00000007946.1
OG0031337	RPACG00000024574.1
OG0031346	RPACG00000025571.1
OG0031356	RPACG00000018769.1
OG0031358	RPACG00000017108.1
OG0031365	RPACG00000022963.1
OG0031378	RPACG00000002534.1
OG0031403	RPACG00000007343.1
OG0031460	RPACG00000017607.1
OG0031634	RPACG00000004373.1
OG0031737	RPACG00000034239.1
OG0031878	RPACG00000011255.1, RPACG00000014028.1
OG0031967	RPACG00000016329.1
OG0031992	RPACG00000035286.1
OG0032038	RPACG00000005817.1
OG0032079	RPACG00000030668.1
OG0032092	RPACG00000027752.1
OG0032116	RPACG00000015838.1
OG0032498	RPACG00000016279.1
OG0032510	RPACG00000016918.1
OG0032516	RPACG00000023737.1
OG0032896	RPACG00000023053.1
OG0033384	RPACG00000013271.1, RPACG00000019887.1
OG0033426	RPACG00000020082.1, RPACG00000022602.1
OG0033432	RPACG00000004113.1
OG0033435	RPACG00000029765.1
OG0033446	RPACG00000021469.1
OG0033450	RPACG00000021510.1, RPACG00000021513.1
OG0033454	RPACG00000018450.1
OG0033455	RPACG00000018448.1
OG0033456	RPACG00000017326.1
OG0033464	RPACG00000028421.1
OG0033476	RPACG00000027427.1
OG0033488	RPACG00000026129.1
OG0033490	RPACG00000033880.1
OG0033493	RPACG00000016597.1
OG0033496	RPACG00000014293.1
OG0033506	RPACG00000034342.1, RPACG00000034345.1
OG0033517	RPACG00000009123.1
OG0033524	RPACG00000024045.1
OG0033537	RPACG00000012832.1
OG0033557	RPACG00000003421.1
OG0033580	RPACG00000028420.1
OG0033593	RPACG00000005708.1
OG0033597	RPACG00000012452.1
OG0033604	RPACG00000032686.1
OG0033610	RPACG00000013017.1
OG0033611	RPACG00000028779.1
OG0033617	RPACG00000020611.1
OG0033622	RPACG00000026854.1
OG0033623	RPACG00000026848.1
OG0033626	RPACG00000009478.1
OG0033627	RPACG00000003879.1
OG0033643	RPACG00000034748.1
OG0033652	RPACG00000036341.1, RPACG00000036342.1
OG0033655	RPACG00000016780.1
OG0033667	RPACG00000013981.1
OG0033677	RPACG00000015769.1
OG0033679	RPACG00000033397.1
OG0033685	RPACG00000000702.1, RPACG00000005416.1
OG0033715	RPACG00000003346.1
OG0033717	RPACG00000023294.1
OG0033728	RPACG00000012975.1
OG0033736	RPACG00000018311.1, RPACG00000028281.1
OG0033740	RPACG00000022597.1
OG0033741	RPACG00000022603.1
OG0033765	RPACG00000022141.1
OG0033768	RPACG00000031813.1
OG0033777	RPACG00000000106.1
OG0033789	RPACG00000012187.1
OG0033797	RPACG00000000587.1
OG0033802	RPACG00000001167.1, RPACG00000012943.1
OG0033813	RPACG00000008792.1
OG0033814	RPACG00000030132.1
OG0033823	RPACG00000001149.1
OG0033824	RPACG00000012773.1
OG0033840	RPACG00000005284.1
OG0033849	RPACG00000022943.1
