OG0000121	Lluy|FUN_014864-T1, Lluy|FUN_040648-T1
OG0001744	Lluy|FUN_006857-T1, Lluy|FUN_009519-T1, Lluy|FUN_010699-T1, Lluy|FUN_012531-T1, Lluy|FUN_012532-T1, Lluy|FUN_018368-T1, Lluy|FUN_018369-T1, Lluy|FUN_021979-T1, Lluy|FUN_021980-T1, Lluy|FUN_022086-T1, Lluy|FUN_025461-T1, Lluy|FUN_025728-T1, Lluy|FUN_026020-T1, Lluy|FUN_027804-T1, Lluy|FUN_029179-T1, Lluy|FUN_030616-T1, Lluy|FUN_030653-T1, Lluy|FUN_034338-T1, Lluy|FUN_034339-T1, Lluy|FUN_038409-T1
OG0001864	Lluy|FUN_005780-T1, Lluy|FUN_005783-T1
OG0001903	Lluy|FUN_017729-T1
OG0001962	Lluy|FUN_034913-T1
OG0002206	Lluy|FUN_000182-T1, Lluy|FUN_009312-T1, Lluy|FUN_010604-T1, Lluy|FUN_011523-T1, Lluy|FUN_020205-T1, Lluy|FUN_028306-T1
OG0002324	Lluy|FUN_017322-T1, Lluy|FUN_024755-T1
OG0002327	Lluy|FUN_010370-T1, Lluy|FUN_011206-T1, Lluy|FUN_013202-T1, Lluy|FUN_014824-T1, Lluy|FUN_015351-T1, Lluy|FUN_016019-T1, Lluy|FUN_016502-T1, Lluy|FUN_019009-T1, Lluy|FUN_028761-T1, Lluy|FUN_029739-T1
OG0002517	Lluy|FUN_036863-T1
OG0002777	
OG0002786	
OG0003374	Lluy|FUN_034801-T1
OG0003478	Lluy|FUN_040466-T1
OG0003564	Lluy|FUN_040771-T1
OG0003672	Lluy|FUN_035932-T1
OG0003674	Lluy|FUN_015799-T1
OG0003928	Lluy|FUN_009048-T1
OG0004021	Lluy|FUN_021443-T1
OG0004235	Lluy|FUN_028937-T1
OG0004355	Lluy|FUN_011325-T1
OG0004445	Lluy|FUN_033257-T1
OG0004476	Lluy|FUN_005949-T1, Lluy|FUN_029345-T1, Lluy|FUN_029916-T1, Lluy|FUN_030664-T1, Lluy|FUN_039005-T1
OG0004753	Lluy|FUN_007457-T1
OG0004981	Lluy|FUN_028645-T1
OG0004984	Lluy|FUN_003272-T1
OG0005017	
OG0005063	Lluy|FUN_007483-T1
OG0005069	Lluy|FUN_013325-T1
OG0005287	Lluy|FUN_036818-T1
OG0005304	Lluy|FUN_020524-T1
OG0005324	Lluy|FUN_028258-T1
OG0005545	Lluy|FUN_028583-T1
OG0005657	Lluy|FUN_005301-T1, Lluy|FUN_005302-T1, Lluy|FUN_005303-T1
OG0005693	Lluy|FUN_017550-T1
OG0005716	Lluy|FUN_010291-T1
OG0005832	Lluy|FUN_008055-T1, Lluy|FUN_008057-T1
OG0005882	Lluy|FUN_006864-T1
OG0005926	Lluy|FUN_029389-T1
OG0005986	Lluy|FUN_030842-T1
OG0006130	Lluy|FUN_008433-T1
OG0006162	
OG0006165	Lluy|FUN_031278-T1
OG0006181	
OG0006433	Lluy|FUN_038554-T1
OG0006562	Lluy|FUN_035931-T1
OG0006611	
OG0006680	Lluy|FUN_034529-T1, Lluy|FUN_034531-T1
OG0006716	Lluy|FUN_006571-T1
OG0006797	Lluy|FUN_031130-T1
OG0006854	Lluy|FUN_033791-T1
OG0006909	Lluy|FUN_034729-T1
OG0006976	Lluy|FUN_031708-T1
OG0007012	Lluy|FUN_013497-T1, Lluy|FUN_040742-T1
OG0007156	Lluy|FUN_029551-T1, Lluy|FUN_033986-T1
OG0007172	Lluy|FUN_009113-T1
OG0007221	Lluy|FUN_003294-T1, Lluy|FUN_010511-T1
OG0007339	Lluy|FUN_005715-T1, Lluy|FUN_005717-T1
OG0007389	Lluy|FUN_038267-T1
OG0007418	Lluy|FUN_014532-T1
OG0007700	Lluy|FUN_037318-T1
OG0007720	
OG0007822	Lluy|FUN_015259-T1
OG0007877	Lluy|FUN_014340-T1
OG0007889	Lluy|FUN_026561-T1
OG0007931	Lluy|FUN_029475-T1
OG0008063	
OG0008085	Lluy|FUN_023867-T1
OG0008188	Lluy|FUN_000942-T1
OG0008316	Lluy|FUN_034556-T1
OG0008388	
OG0008449	Lluy|FUN_000768-T1, Lluy|FUN_001945-T1, Lluy|FUN_002261-T1, Lluy|FUN_002353-T1, Lluy|FUN_004036-T1, Lluy|FUN_009488-T1, Lluy|FUN_013627-T1, Lluy|FUN_016002-T1, Lluy|FUN_016698-T1, Lluy|FUN_018921-T1, Lluy|FUN_031121-T1, Lluy|FUN_037870-T1
OG0008550	Lluy|FUN_010041-T1
OG0008584	Lluy|FUN_032784-T1
OG0008647	Lluy|FUN_005684-T1, Lluy|FUN_036698-T1
OG0008660	Lluy|FUN_030660-T1
OG0008754	Lluy|FUN_021191-T1, Lluy|FUN_030845-T1, Lluy|FUN_030901-T1
OG0008755	Lluy|FUN_001810-T1, Lluy|FUN_001811-T1, Lluy|FUN_001812-T1, Lluy|FUN_003039-T1, Lluy|FUN_003040-T1, Lluy|FUN_003973-T1, Lluy|FUN_010518-T1, Lluy|FUN_010519-T1, Lluy|FUN_010520-T1, Lluy|FUN_010521-T1, Lluy|FUN_012633-T1, Lluy|FUN_016863-T1, Lluy|FUN_016864-T1, Lluy|FUN_033686-T1, Lluy|FUN_033689-T1, Lluy|FUN_033691-T1, Lluy|FUN_033693-T1, Lluy|FUN_033695-T1, Lluy|FUN_033696-T1, Lluy|FUN_033698-T1, Lluy|FUN_033699-T1, Lluy|FUN_033700-T1, Lluy|FUN_037675-T1
OG0008762	
OG0008788	Lluy|FUN_022052-T1
OG0008800	Lluy|FUN_023418-T1
OG0008846	Lluy|FUN_019334-T1
OG0008858	Lluy|FUN_020807-T1
OG0008870	Lluy|FUN_000887-T1
OG0008874	Lluy|FUN_019028-T1
OG0009003	Lluy|FUN_017345-T1
OG0009036	Lluy|FUN_015537-T1, Lluy|FUN_023085-T1, Lluy|FUN_030069-T1, Lluy|FUN_030072-T1, Lluy|FUN_030074-T1, Lluy|FUN_030077-T1
OG0009049	Lluy|FUN_027982-T1, Lluy|FUN_039747-T1
OG0009098	Lluy|FUN_032339-T1
OG0009156	
OG0009193	Lluy|FUN_006883-T1
OG0009217	Lluy|FUN_005855-T1
OG0009233	Lluy|FUN_005499-T1
OG0009314	Lluy|FUN_025837-T1
OG0009445	Lluy|FUN_004018-T1, Lluy|FUN_023341-T1, Lluy|FUN_025384-T1
OG0009599	Lluy|FUN_033709-T1, Lluy|FUN_033710-T1
OG0009680	Lluy|FUN_024216-T1
OG0009686	
OG0009691	Lluy|FUN_003886-T1
OG0009707	Lluy|FUN_026364-T1
OG0009730	
OG0009757	Lluy|FUN_002231-T1
OG0009821	Lluy|FUN_019039-T1, Lluy|FUN_019040-T1
OG0009850	Lluy|FUN_021709-T1, Lluy|FUN_022270-T1, Lluy|FUN_029333-T1
OG0009854	
OG0009976	Lluy|FUN_024175-T1, Lluy|FUN_024177-T1, Lluy|FUN_024178-T1, Lluy|FUN_024179-T1
OG0010023	
OG0010104	
OG0010117	Lluy|FUN_001335-T1
OG0010128	
OG0010161	Lluy|FUN_026225-T1, Lluy|FUN_026228-T1, Lluy|FUN_031967-T1, Lluy|FUN_033277-T1
OG0010186	Lluy|FUN_029825-T1
OG0010312	
OG0010386	Lluy|FUN_018289-T1, Lluy|FUN_022099-T1, Lluy|FUN_026019-T1, Lluy|FUN_028124-T1, Lluy|FUN_029557-T1
OG0010394	
OG0010467	Lluy|FUN_034032-T1
OG0010587	
OG0010597	
OG0010769	Lluy|FUN_003052-T1, Lluy|FUN_007353-T1, Lluy|FUN_007354-T1, Lluy|FUN_018523-T1, Lluy|FUN_023332-T1, Lluy|FUN_023333-T1, Lluy|FUN_023334-T1, Lluy|FUN_036670-T1
OG0010778	Lluy|FUN_007738-T1, Lluy|FUN_012377-T1, Lluy|FUN_016633-T1, Lluy|FUN_023123-T1, Lluy|FUN_032535-T1
OG0010888	Lluy|FUN_033610-T1
OG0010900	Lluy|FUN_020420-T1
OG0010956	Lluy|FUN_016640-T1, Lluy|FUN_020826-T1
OG0010973	Lluy|FUN_010606-T1, Lluy|FUN_025880-T1, Lluy|FUN_035703-T1
OG0010989	Lluy|FUN_002199-T1, Lluy|FUN_014977-T1, Lluy|FUN_021401-T1, Lluy|FUN_026055-T1, Lluy|FUN_026060-T1
OG0011034	
OG0011098	Lluy|FUN_001984-T1, Lluy|FUN_003022-T1, Lluy|FUN_003025-T1, Lluy|FUN_009508-T1, Lluy|FUN_014787-T1, Lluy|FUN_016258-T1, Lluy|FUN_019693-T1, Lluy|FUN_021002-T1, Lluy|FUN_023231-T1, Lluy|FUN_029744-T1, Lluy|FUN_030051-T1, Lluy|FUN_030314-T1
OG0011208	Lluy|FUN_009446-T1
OG0011274	Lluy|FUN_019790-T1
OG0011321	Lluy|FUN_003103-T1
OG0011322	Lluy|FUN_008504-T1
OG0011331	Lluy|FUN_024025-T1
OG0011349	
OG0011356	Lluy|FUN_009173-T1, Lluy|FUN_013106-T1, Lluy|FUN_013700-T1, Lluy|FUN_014825-T1, Lluy|FUN_017671-T1, Lluy|FUN_022304-T1, Lluy|FUN_038940-T1
OG0011387	Lluy|FUN_010530-T1, Lluy|FUN_010533-T1, Lluy|FUN_013221-T1, Lluy|FUN_015231-T1, Lluy|FUN_015232-T1, Lluy|FUN_019763-T1, Lluy|FUN_032921-T1, Lluy|FUN_032923-T1, Lluy|FUN_036325-T1, Lluy|FUN_036327-T1
OG0011498	Lluy|FUN_000756-T1, Lluy|FUN_008187-T1, Lluy|FUN_024787-T1, Lluy|FUN_024789-T1, Lluy|FUN_033136-T1, Lluy|FUN_033138-T1
OG0011529	Lluy|FUN_014156-T1, Lluy|FUN_015667-T1
OG0011562	Lluy|FUN_036919-T1
OG0011569	
OG0011636	
OG0011654	Lluy|FUN_038104-T1
OG0011680	Lluy|FUN_040618-T1
OG0011682	
OG0011749	
OG0011750	Lluy|FUN_005757-T1, Lluy|FUN_013114-T1, Lluy|FUN_017442-T1, Lluy|FUN_019351-T1, Lluy|FUN_022527-T1, Lluy|FUN_027289-T1, Lluy|FUN_029919-T1, Lluy|FUN_037719-T1, Lluy|FUN_037835-T1, Lluy|FUN_039469-T1
OG0011757	Lluy|FUN_002379-T1, Lluy|FUN_002466-T1, Lluy|FUN_003163-T1, Lluy|FUN_003164-T1, Lluy|FUN_009683-T1, Lluy|FUN_011110-T1, Lluy|FUN_013684-T1, Lluy|FUN_022190-T1, Lluy|FUN_031248-T1, Lluy|FUN_031280-T1, Lluy|FUN_031644-T1, Lluy|FUN_032026-T1
OG0011766	
OG0011783	
OG0011852	Lluy|FUN_006071-T1
OG0011873	Lluy|FUN_006557-T1
OG0011920	Lluy|FUN_034811-T1
OG0011959	Lluy|FUN_002393-T1
OG0011961	
OG0011979	Lluy|FUN_039784-T1
OG0011984	Lluy|FUN_000909-T1, Lluy|FUN_008341-T1, Lluy|FUN_011709-T1, Lluy|FUN_013875-T1, Lluy|FUN_014620-T1, Lluy|FUN_014829-T1, Lluy|FUN_015411-T1, Lluy|FUN_022010-T1, Lluy|FUN_022569-T1, Lluy|FUN_035086-T1
OG0012075	Lluy|FUN_031870-T1
OG0012095	Lluy|FUN_000685-T1, Lluy|FUN_000690-T1, Lluy|FUN_010856-T1, Lluy|FUN_012015-T1, Lluy|FUN_012017-T1, Lluy|FUN_012092-T1, Lluy|FUN_021586-T1, Lluy|FUN_021590-T1, Lluy|FUN_021835-T1
OG0012177	
OG0012233	Lluy|FUN_018559-T1
OG0012317	Lluy|FUN_018146-T1, Lluy|FUN_020676-T1
OG0012320	Lluy|FUN_012565-T1
OG0012323	Lluy|FUN_000846-T1
OG0012359	Lluy|FUN_003405-T1
OG0012401	Lluy|FUN_031842-T1
OG0012404	Lluy|FUN_006681-T1, Lluy|FUN_013442-T1, Lluy|FUN_019076-T1, Lluy|FUN_022346-T1, Lluy|FUN_024371-T1, Lluy|FUN_024692-T1, Lluy|FUN_030336-T1, Lluy|FUN_032038-T1
OG0012561	Lluy|FUN_004050-T1, Lluy|FUN_008440-T1, Lluy|FUN_008860-T1, Lluy|FUN_031092-T1
OG0012566	Lluy|FUN_002928-T1, Lluy|FUN_003316-T1, Lluy|FUN_003319-T1, Lluy|FUN_003322-T1, Lluy|FUN_008865-T1, Lluy|FUN_011611-T1, Lluy|FUN_011612-T1, Lluy|FUN_021282-T1, Lluy|FUN_028475-T1, Lluy|FUN_040001-T1
OG0012574	Lluy|FUN_010950-T1, Lluy|FUN_010952-T1, Lluy|FUN_031571-T1
OG0012639	
OG0012716	Lluy|FUN_003123-T1, Lluy|FUN_015361-T1, Lluy|FUN_029392-T1
OG0012734	
OG0012735	
OG0012748	Lluy|FUN_035793-T1
OG0012757	Lluy|FUN_016583-T1
OG0012808	
OG0012872	Lluy|FUN_034239-T1
OG0012874	Lluy|FUN_009412-T1, Lluy|FUN_017333-T1
OG0012896	Lluy|FUN_032335-T1
OG0012906	Lluy|FUN_010736-T1, Lluy|FUN_020666-T1, Lluy|FUN_031045-T1, Lluy|FUN_033860-T1
OG0012926	Lluy|FUN_003799-T1
OG0013062	Lluy|FUN_020574-T1
OG0013084	Lluy|FUN_003775-T1, Lluy|FUN_007499-T1, Lluy|FUN_012783-T1, Lluy|FUN_031297-T1, Lluy|FUN_031299-T1, Lluy|FUN_037180-T1, Lluy|FUN_037183-T1
OG0013087	Lluy|FUN_005663-T1, Lluy|FUN_007199-T1, Lluy|FUN_007567-T1, Lluy|FUN_007572-T1, Lluy|FUN_008614-T1, Lluy|FUN_010611-T1, Lluy|FUN_014692-T1, Lluy|FUN_020245-T1, Lluy|FUN_021482-T1
OG0013096	Lluy|FUN_005164-T1, Lluy|FUN_009535-T1, Lluy|FUN_032813-T1
OG0013241	Lluy|FUN_020210-T1
OG0013309	Lluy|FUN_006030-T1, Lluy|FUN_016752-T1, Lluy|FUN_018518-T1, Lluy|FUN_035652-T1
OG0013311	Lluy|FUN_004783-T1
OG0013312	Lluy|FUN_021847-T1
OG0013333	Lluy|FUN_032288-T1, Lluy|FUN_036978-T1
OG0013336	Lluy|FUN_002071-T1
OG0013345	Lluy|FUN_013263-T1, Lluy|FUN_021337-T1
OG0013428	
OG0013443	Lluy|FUN_020549-T1
OG0013471	Lluy|FUN_011350-T1
OG0013476	Lluy|FUN_003793-T1, Lluy|FUN_017053-T1, Lluy|FUN_035199-T1
OG0013493	Lluy|FUN_001631-T1, Lluy|FUN_002834-T1, Lluy|FUN_005265-T1, Lluy|FUN_023326-T1, Lluy|FUN_032518-T1, Lluy|FUN_035361-T1, Lluy|FUN_036917-T1
OG0013581	Lluy|FUN_025134-T1
OG0013617	
OG0013688	Lluy|FUN_030100-T1, Lluy|FUN_030825-T1, Lluy|FUN_030832-T1, Lluy|FUN_039978-T1
OG0013700	Lluy|FUN_001177-T1, Lluy|FUN_002144-T1, Lluy|FUN_006244-T1, Lluy|FUN_010613-T1, Lluy|FUN_015762-T1, Lluy|FUN_021352-T1, Lluy|FUN_028806-T1, Lluy|FUN_029902-T1, Lluy|FUN_030954-T1
OG0013708	Lluy|FUN_000767-T1, Lluy|FUN_007422-T1, Lluy|FUN_009518-T1, Lluy|FUN_016346-T1, Lluy|FUN_017051-T1, Lluy|FUN_027330-T1, Lluy|FUN_031854-T1, Lluy|FUN_037638-T1, Lluy|FUN_039895-T1
OG0013711	Lluy|FUN_006081-T1, Lluy|FUN_006085-T1
OG0013827	
OG0013963	Lluy|FUN_004252-T1
OG0013966	Lluy|FUN_032660-T1
OG0013981	Lluy|FUN_007705-T1, Lluy|FUN_008586-T1, Lluy|FUN_010027-T1, Lluy|FUN_012322-T1, Lluy|FUN_018230-T1, Lluy|FUN_021607-T1, Lluy|FUN_039124-T1
OG0014035	
OG0014059	Lluy|FUN_009947-T1, Lluy|FUN_020562-T1
OG0014122	Lluy|FUN_027444-T1
OG0014215	Lluy|FUN_003115-T1, Lluy|FUN_010715-T1, Lluy|FUN_019055-T1, Lluy|FUN_020150-T1, Lluy|FUN_025988-T1, Lluy|FUN_026031-T1
OG0014333	Lluy|FUN_005463-T1
OG0014587	
OG0014590	
OG0014593	
OG0014700	Lluy|FUN_013749-T1
OG0014717	
OG0014725	Lluy|FUN_024754-T1
OG0014759	Lluy|FUN_039947-T1
OG0014782	Lluy|FUN_023167-T1
OG0014808	Lluy|FUN_002920-T1, Lluy|FUN_005490-T1, Lluy|FUN_019576-T1, Lluy|FUN_022818-T1, Lluy|FUN_024861-T1, Lluy|FUN_039897-T1, Lluy|FUN_039900-T1
OG0014900	
OG0014909	
OG0014926	Lluy|FUN_032583-T1
OG0014934	Lluy|FUN_035479-T1
OG0014938	Lluy|FUN_007949-T1, Lluy|FUN_022154-T1, Lluy|FUN_023914-T1, Lluy|FUN_025792-T1
OG0014941	Lluy|FUN_009388-T1
OG0014983	Lluy|FUN_017076-T1
OG0014987	Lluy|FUN_023203-T1
OG0015026	Lluy|FUN_018584-T1
OG0015052	Lluy|FUN_031233-T1
OG0015056	Lluy|FUN_022382-T1
OG0015057	Lluy|FUN_012951-T1, Lluy|FUN_018686-T1
OG0015143	Lluy|FUN_030774-T1, Lluy|FUN_030775-T1
OG0015179	Lluy|FUN_014463-T1
OG0015216	Lluy|FUN_005920-T1, Lluy|FUN_010423-T1, Lluy|FUN_018178-T1, Lluy|FUN_019522-T1, Lluy|FUN_021918-T1
OG0015319	Lluy|FUN_001891-T1, Lluy|FUN_001916-T1, Lluy|FUN_005954-T1, Lluy|FUN_005955-T1, Lluy|FUN_013311-T1, Lluy|FUN_018995-T1, Lluy|FUN_029729-T1
OG0015330	Lluy|FUN_000747-T1, Lluy|FUN_000758-T1, Lluy|FUN_014455-T1, Lluy|FUN_018370-T1, Lluy|FUN_024792-T1, Lluy|FUN_026067-T1, Lluy|FUN_036782-T1
OG0015349	Lluy|FUN_014953-T1, Lluy|FUN_018184-T1, Lluy|FUN_034846-T1
OG0015357	Lluy|FUN_000830-T1, Lluy|FUN_016592-T1, Lluy|FUN_021430-T1, Lluy|FUN_023916-T1, Lluy|FUN_031313-T1, Lluy|FUN_035611-T1, Lluy|FUN_037576-T1, Lluy|FUN_039254-T1
OG0015365	Lluy|FUN_014133-T1
OG0015391	Lluy|FUN_031800-T1
OG0015404	Lluy|FUN_011399-T1, Lluy|FUN_014219-T1
OG0015562	
OG0015700	Lluy|FUN_007950-T1, Lluy|FUN_009180-T1, Lluy|FUN_012321-T1, Lluy|FUN_014677-T1
OG0015726	
OG0015734	Lluy|FUN_003120-T1, Lluy|FUN_003122-T1, Lluy|FUN_008515-T1, Lluy|FUN_008527-T1, Lluy|FUN_018503-T1
OG0015736	Lluy|FUN_016327-T1
OG0015775	Lluy|FUN_038796-T1
OG0015793	
OG0015857	Lluy|FUN_027078-T1
OG0015912	Lluy|FUN_022765-T1
OG0015946	
OG0015968	Lluy|FUN_010356-T1
OG0016002	Lluy|FUN_033362-T1, Lluy|FUN_033543-T1
OG0016006	Lluy|FUN_040228-T1
OG0016049	Lluy|FUN_034695-T1
OG0016123	
OG0016145	Lluy|FUN_035934-T1
OG0016164	Lluy|FUN_021265-T1
OG0016256	Lluy|FUN_004959-T1, Lluy|FUN_011419-T1, Lluy|FUN_012535-T1, Lluy|FUN_012901-T1, Lluy|FUN_026862-T1
OG0016278	Lluy|FUN_025743-T1
OG0016296	Lluy|FUN_011765-T1, Lluy|FUN_013154-T1, Lluy|FUN_019873-T1, Lluy|FUN_019875-T1
OG0016324	
OG0016330	Lluy|FUN_029527-T1
OG0016351	Lluy|FUN_010665-T1, Lluy|FUN_010666-T1
OG0016401	Lluy|FUN_009079-T1
OG0016423	
OG0016445	Lluy|FUN_012894-T1
OG0016455	Lluy|FUN_005502-T1, Lluy|FUN_010779-T1, Lluy|FUN_013523-T1, Lluy|FUN_018007-T1, Lluy|FUN_018291-T1, Lluy|FUN_039210-T1, Lluy|FUN_039651-T1
OG0016504	Lluy|FUN_021332-T1, Lluy|FUN_035732-T1
OG0016524	Lluy|FUN_009993-T1
OG0016606	
OG0016930	
OG0016938	Lluy|FUN_029584-T1
OG0016983	Lluy|FUN_009811-T1
OG0016985	Lluy|FUN_009718-T1
OG0016997	
OG0017044	
OG0017087	Lluy|FUN_021757-T1, Lluy|FUN_034969-T1
OG0017178	
OG0017183	Lluy|FUN_033793-T1
OG0017196	
OG0017199	Lluy|FUN_011268-T1
OG0017202	
OG0017208	Lluy|FUN_032070-T1
OG0017219	
OG0017225	Lluy|FUN_039990-T1
OG0017238	
OG0017243	Lluy|FUN_011881-T1
OG0017244	Lluy|FUN_015995-T1, Lluy|FUN_020240-T1, Lluy|FUN_033145-T1
OG0017251	
OG0017259	Lluy|FUN_033213-T1
OG0017319	
OG0017336	Lluy|FUN_027186-T1
OG0017352	Lluy|FUN_019458-T1
OG0017408	Lluy|FUN_005869-T1, Lluy|FUN_018328-T1
OG0017414	Lluy|FUN_021767-T1
OG0017423	Lluy|FUN_015201-T1
OG0017438	Lluy|FUN_009533-T1, Lluy|FUN_036175-T1
OG0017487	Lluy|FUN_036829-T1
OG0017488	Lluy|FUN_012376-T1, Lluy|FUN_023977-T1, Lluy|FUN_037914-T1, Lluy|FUN_037915-T1, Lluy|FUN_037916-T1
OG0017509	Lluy|FUN_024709-T1, Lluy|FUN_035371-T1
OG0017510	Lluy|FUN_032160-T1
OG0017527	Lluy|FUN_000144-T1
OG0017577	Lluy|FUN_011023-T1
OG0017619	Lluy|FUN_030231-T1
OG0017622	Lluy|FUN_034354-T1, Lluy|FUN_034355-T1
OG0017630	Lluy|FUN_013235-T1, Lluy|FUN_028849-T1
OG0017885	
OG0017891	
OG0017912	Lluy|FUN_027276-T1, Lluy|FUN_030584-T1, Lluy|FUN_032167-T1, Lluy|FUN_038018-T1
OG0017944	Lluy|FUN_007583-T1, Lluy|FUN_009652-T1, Lluy|FUN_017735-T1, Lluy|FUN_025735-T1, Lluy|FUN_038304-T1
OG0017954	Lluy|FUN_030822-T1
OG0017970	Lluy|FUN_005728-T1, Lluy|FUN_005729-T1, Lluy|FUN_022693-T1, Lluy|FUN_029530-T1
OG0017976	Lluy|FUN_014871-T1, Lluy|FUN_024627-T1, Lluy|FUN_039795-T1
OG0017982	Lluy|FUN_016973-T1, Lluy|FUN_020206-T1, Lluy|FUN_023182-T1, Lluy|FUN_024667-T1, Lluy|FUN_028034-T1
OG0018012	Lluy|FUN_039748-T1
OG0018318	
OG0018588	
OG0018719	Lluy|FUN_004187-T1
OG0018787	Lluy|FUN_010642-T1
OG0018789	
OG0018826	
OG0018884	
OG0018996	
OG0019166	
OG0019211	
OG0019338	Lluy|FUN_010304-T1
OG0019361	Lluy|FUN_017204-T1
OG0019370	
OG0019375	
OG0019403	Lluy|FUN_014332-T1, Lluy|FUN_030804-T1
OG0019406	Lluy|FUN_028057-T1
OG0019427	Lluy|FUN_023028-T1
OG0019528	Lluy|FUN_027427-T1
OG0019537	Lluy|FUN_026609-T1
OG0019750	Lluy|FUN_028778-T1
OG0019804	Lluy|FUN_002360-T1
OG0019954	Lluy|FUN_000197-T1, Lluy|FUN_002838-T1, Lluy|FUN_016663-T1, Lluy|FUN_018323-T1
OG0019980	Lluy|FUN_023102-T1, Lluy|FUN_025273-T1, Lluy|FUN_027515-T1, Lluy|FUN_039874-T1
OG0019983	Lluy|FUN_029750-T1
OG0020105	Lluy|FUN_039645-T1
OG0020112	Lluy|FUN_002359-T1
OG0020134	Lluy|FUN_010224-T1
OG0020359	
OG0020428	
OG0020561	
OG0020562	
OG0020571	
OG0020572	
OG0020585	
OG0020927	Lluy|FUN_019851-T1
OG0020978	
OG0020995	
OG0021072	
OG0021075	
OG0021090	Lluy|FUN_035724-T1
OG0021096	
OG0021172	Lluy|FUN_034880-T1
OG0021177	
OG0021205	Lluy|FUN_004135-T1
OG0021277	Lluy|FUN_022345-T1
OG0021470	Lluy|FUN_022848-T1
OG0021485	Lluy|FUN_005700-T1
OG0021494	Lluy|FUN_000428-T1
OG0021512	Lluy|FUN_020852-T1
OG0021550	Lluy|FUN_020892-T1
OG0021556	Lluy|FUN_008555-T1, Lluy|FUN_015701-T1
OG0021559	Lluy|FUN_000194-T1
OG0021573	
OG0021602	Lluy|FUN_026224-T1
OG0021627	
OG0021725	Lluy|FUN_008313-T1
OG0021728	Lluy|FUN_036878-T1
OG0021739	Lluy|FUN_033031-T1
OG0021811	
OG0021827	Lluy|FUN_031191-T1
OG0021889	Lluy|FUN_010845-T1
OG0021891	Lluy|FUN_000608-T1
OG0021895	Lluy|FUN_022123-T1
OG0021899	Lluy|FUN_020511-T1
OG0021925	Lluy|FUN_026231-T1, Lluy|FUN_026232-T1
OG0021952	
OG0021957	Lluy|FUN_015816-T1, Lluy|FUN_022679-T1, Lluy|FUN_039032-T1
OG0021959	Lluy|FUN_030921-T1
OG0021960	Lluy|FUN_008682-T1, Lluy|FUN_025554-T1
OG0022055	Lluy|FUN_040316-T1
OG0022078	Lluy|FUN_004832-T1
OG0022161	Lluy|FUN_007704-T1, Lluy|FUN_019625-T1, Lluy|FUN_029626-T1
