OG0000121	Rpac|RPACG00000027878.1
OG0008316	Rpac|RPACG00000025107.1
OG0008388	Rpac|RPACG00000016482.1, Rpac|RPACG00000016483.1
OG0008449	Rpac|RPACG00000028484.1, Rpac|RPACG00000035007.1
OG0008550	Rpac|RPACG00000011937.1
OG0008584	Rpac|RPACG00000010232.1
OG0008647	Rpac|RPACG00000014310.1
OG0008660	Rpac|RPACG00000014411.1
OG0008754	Rpac|RPACG00000016199.1, Rpac|RPACG00000018278.1, Rpac|RPACG00000018461.1, Rpac|RPACG00000018463.1, Rpac|RPACG00000031494.1
OG0008755	Rpac|RPACG00000002077.1
OG0008762	Rpac|RPACG00000031174.1, Rpac|RPACG00000031178.1, Rpac|RPACG00000031179.1, Rpac|RPACG00000031181.1, Rpac|RPACG00000031182.1, Rpac|RPACG00000031183.1, Rpac|RPACG00000031187.1, Rpac|RPACG00000031188.1, Rpac|RPACG00000031192.1, Rpac|RPACG00000031194.1, Rpac|RPACG00000031195.1, Rpac|RPACG00000031196.1, Rpac|RPACG00000031197.1, Rpac|RPACG00000031198.1, Rpac|RPACG00000031199.1, Rpac|RPACG00000031200.1, Rpac|RPACG00000031201.1, Rpac|RPACG00000031202.1, Rpac|RPACG00000031203.1, Rpac|RPACG00000031204.1, Rpac|RPACG00000035171.1, Rpac|RPACG00000035182.1, Rpac|RPACG00000035183.1, Rpac|RPACG00000035184.1
OG0008788	Rpac|RPACG00000024070.1
OG0008800	Rpac|RPACG00000008481.1
OG0008846	Rpac|RPACG00000007353.1
OG0008858	Rpac|RPACG00000033542.1
OG0008870	Rpac|RPACG00000001923.1
OG0008874	Rpac|RPACG00000013187.1
OG0009003	Rpac|RPACG00000002379.1
OG0009036	Rpac|RPACG00000006666.1, Rpac|RPACG00000013615.1, Rpac|RPACG00000013616.1, Rpac|RPACG00000029787.1, Rpac|RPACG00000035573.1
OG0009049	Rpac|RPACG00000007163.1
OG0009098	Rpac|RPACG00000009513.1
OG0009156	Rpac|RPACG00000027877.1
OG0009193	Rpac|RPACG00000026633.1
OG0009217	Rpac|RPACG00000019597.1
OG0009233	Rpac|RPACG00000016667.1
OG0009314	Rpac|RPACG00000005852.2, Rpac|RPACG00000005853.1
OG0009445	Rpac|RPACG00000032118.1
OG0009599	Rpac|RPACG00000014283.1
OG0009680	Rpac|RPACG00000030241.1
OG0009686	Rpac|RPACG00000013453.1
OG0009691	Rpac|RPACG00000005719.1
OG0009707	Rpac|RPACG00000000669.1
OG0009730	Rpac|RPACG00000032323.1, Rpac|RPACG00000032324.1, Rpac|RPACG00000032325.1, Rpac|RPACG00000032326.1, Rpac|RPACG00000032327.1, Rpac|RPACG00000032328.1, Rpac|RPACG00000032329.1, Rpac|RPACG00000032330.1, Rpac|RPACG00000032331.1, Rpac|RPACG00000032332.1, Rpac|RPACG00000032333.1, Rpac|RPACG00000032334.1, Rpac|RPACG00000032335.1, Rpac|RPACG00000032336.1, Rpac|RPACG00000032337.1, Rpac|RPACG00000032338.1, Rpac|RPACG00000032339.1, Rpac|RPACG00000032340.1, Rpac|RPACG00000032341.1, Rpac|RPACG00000032342.1
OG0009757	Rpac|RPACG00000011108.1
OG0009821	Rpac|RPACG00000000579.1
OG0009850	Rpac|RPACG00000013225.1, Rpac|RPACG00000013228.1
OG0009854	Rpac|RPACG00000015545.1, Rpac|RPACG00000021569.1
OG0009976	Rpac|RPACG00000014136.1, Rpac|RPACG00000022229.1, Rpac|RPACG00000022230.1, Rpac|RPACG00000022231.1, Rpac|RPACG00000022232.1, Rpac|RPACG00000022233.1, Rpac|RPACG00000033908.1, Rpac|RPACG00000033909.1, Rpac|RPACG00000033910.1, Rpac|RPACG00000033911.1, Rpac|RPACG00000033912.1
OG0010023	Rpac|RPACG00000035568.1
OG0010104	Rpac|RPACG00000032105.1
OG0010117	Rpac|RPACG00000012302.1
OG0010128	Rpac|RPACG00000006346.1
OG0010161	Rpac|RPACG00000000777.1, Rpac|RPACG00000024561.1
OG0010186	Rpac|RPACG00000001805.1
OG0010312	Rpac|RPACG00000031429.1
OG0010386	Rpac|RPACG00000003616.1
OG0010394	Rpac|RPACG00000000997.1
OG0010467	Rpac|RPACG00000026346.1
OG0010587	Rpac|RPACG00000006130.1
OG0010597	Rpac|RPACG00000022063.1
OG0010769	Rpac|RPACG00000028711.1, Rpac|RPACG00000028713.1
OG0010778	Rpac|RPACG00000030800.1
OG0010888	Rpac|RPACG00000021452.1
OG0010900	Rpac|RPACG00000031705.1
OG0010956	Rpac|RPACG00000003157.1
OG0010973	Rpac|RPACG00000011012.1, Rpac|RPACG00000013164.1
OG0010989	Rpac|RPACG00000004941.1
OG0011034	Rpac|RPACG00000033304.1
OG0011098	Rpac|RPACG00000024048.1
OG0011208	Rpac|RPACG00000032449.1
OG0011274	Rpac|RPACG00000012168.1
OG0011321	Rpac|RPACG00000003793.1
OG0011322	Rpac|RPACG00000030832.1
OG0011331	Rpac|RPACG00000026336.1
OG0011349	Rpac|RPACG00000029992.1
OG0011356	Rpac|RPACG00000013776.1
OG0011387	Rpac|RPACG00000011527.1, Rpac|RPACG00000011533.1
OG0011498	Rpac|RPACG00000010395.1, Rpac|RPACG00000014827.1, Rpac|RPACG00000014828.1, Rpac|RPACG00000016901.1, Rpac|RPACG00000019789.1
OG0011529	Rpac|RPACG00000005586.1
OG0011562	Rpac|RPACG00000017707.1
OG0011569	Rpac|RPACG00000011357.1
OG0011636	Rpac|RPACG00000030235.1
OG0011654	Rpac|RPACG00000003998.1
OG0011680	Rpac|RPACG00000011639.1
OG0011682	Rpac|RPACG00000011497.1
OG0011749	Rpac|RPACG00000001144.1
OG0011750	Rpac|RPACG00000001505.1, Rpac|RPACG00000029435.1
OG0011757	Rpac|RPACG00000010264.1, Rpac|RPACG00000029401.1
OG0011766	Rpac|RPACG00000004671.1
OG0011783	Rpac|RPACG00000035563.1
OG0011852	Rpac|RPACG00000025139.1
OG0011873	Rpac|RPACG00000018107.1
OG0011920	Rpac|RPACG00000024966.2
OG0011959	Rpac|RPACG00000013056.1
OG0011961	Rpac|RPACG00000004032.1
OG0011979	Rpac|RPACG00000008525.1
OG0011984	Rpac|RPACG00000024332.1
OG0012075	Rpac|RPACG00000004131.1
OG0012095	Rpac|RPACG00000003966.1, Rpac|RPACG00000003970.1
OG0012177	Rpac|RPACG00000007571.1, Rpac|RPACG00000010313.1, Rpac|RPACG00000020606.1, Rpac|RPACG00000020607.1, Rpac|RPACG00000021785.1, Rpac|RPACG00000021943.1, Rpac|RPACG00000021961.1, Rpac|RPACG00000024029.1, Rpac|RPACG00000024030.1, Rpac|RPACG00000026121.1, Rpac|RPACG00000026122.1, Rpac|RPACG00000026313.1, Rpac|RPACG00000035187.1
OG0012233	Rpac|RPACG00000007649.1
OG0012317	Rpac|RPACG00000007229.1
OG0012320	Rpac|RPACG00000004189.1
OG0012323	Rpac|RPACG00000000507.1
OG0012359	Rpac|RPACG00000028279.1
OG0012401	Rpac|RPACG00000007130.1
OG0012404	Rpac|RPACG00000034662.1
OG0012561	Rpac|RPACG00000014313.1
OG0012566	Rpac|RPACG00000006561.1, Rpac|RPACG00000034969.1
OG0012574	Rpac|RPACG00000006092.1, Rpac|RPACG00000006094.1
OG0012639	Rpac|RPACG00000020605.1, Rpac|RPACG00000024884.1
OG0012716	Rpac|RPACG00000034321.1
OG0012734	Rpac|RPACG00000024983.1
OG0012735	Rpac|RPACG00000014200.1
OG0012748	Rpac|RPACG00000035255.1
OG0012757	Rpac|RPACG00000008026.1
OG0012808	Rpac|RPACG00000012433.1
OG0012872	Rpac|RPACG00000018567.1
OG0012874	Rpac|RPACG00000003294.1, Rpac|RPACG00000023735.1
OG0012896	Rpac|RPACG00000009516.1
OG0012906	Rpac|RPACG00000015274.1
OG0012926	Rpac|RPACG00000035950.1
OG0013062	Rpac|RPACG00000032023.1
OG0013084	Rpac|RPACG00000004874.1, Rpac|RPACG00000014153.1
OG0013087	Rpac|RPACG00000014345.1
OG0013096	Rpac|RPACG00000013777.1
OG0013241	Rpac|RPACG00000030147.1
OG0013309	Rpac|RPACG00000020533.1
OG0013311	Rpac|RPACG00000033401.1
OG0013312	Rpac|RPACG00000011507.1
OG0013333	Rpac|RPACG00000001684.1, Rpac|RPACG00000001690.1
OG0013336	Rpac|RPACG00000001078.1, Rpac|RPACG00000033638.1
OG0013345	Rpac|RPACG00000007921.1, Rpac|RPACG00000007926.1, Rpac|RPACG00000007927.1
OG0013428	Rpac|RPACG00000026079.1
OG0013443	Rpac|RPACG00000022698.1
OG0013471	Rpac|RPACG00000024405.1
OG0013476	Rpac|RPACG00000006015.1
OG0013493	Rpac|RPACG00000011241.1
OG0013581	Rpac|RPACG00000000473.1
OG0013617	Rpac|RPACG00000021276.1
OG0013688	Rpac|RPACG00000030801.1, Rpac|RPACG00000030802.1, Rpac|RPACG00000035668.1
OG0013700	Rpac|RPACG00000007230.1, Rpac|RPACG00000030518.1
OG0013708	Rpac|RPACG00000010024.1, Rpac|RPACG00000037030.1
OG0013711	Rpac|RPACG00000001108.1, Rpac|RPACG00000001109.1, Rpac|RPACG00000001110.1, Rpac|RPACG00000001112.1, Rpac|RPACG00000001113.1
OG0013827	Rpac|RPACG00000005322.1, Rpac|RPACG00000032756.1
OG0013963	Rpac|RPACG00000008585.1
OG0013966	Rpac|RPACG00000025267.1
OG0013981	Rpac|RPACG00000011667.1
OG0014035	Rpac|RPACG00000024706.1
OG0014059	Rpac|RPACG00000031520.1
OG0014122	Rpac|RPACG00000008970.1
OG0014215	Rpac|RPACG00000030635.1, Rpac|RPACG00000033118.1
OG0014333	Rpac|RPACG00000016282.1, Rpac|RPACG00000021615.1
OG0014587	Rpac|RPACG00000021518.1, Rpac|RPACG00000021522.1, Rpac|RPACG00000021525.1, Rpac|RPACG00000021529.1
OG0014590	Rpac|RPACG00000014814.1
OG0014593	Rpac|RPACG00000006908.1, Rpac|RPACG00000006909.1, Rpac|RPACG00000006910.1, Rpac|RPACG00000009494.1, Rpac|RPACG00000009495.1, Rpac|RPACG00000010467.1, Rpac|RPACG00000026607.1, Rpac|RPACG00000026608.1, Rpac|RPACG00000026609.1
OG0014700	Rpac|RPACG00000036938.1
OG0014717	Rpac|RPACG00000012949.1
OG0014725	Rpac|RPACG00000013732.1
OG0014759	Rpac|RPACG00000014228.1, Rpac|RPACG00000031075.1
OG0014782	Rpac|RPACG00000000933.1
OG0014808	Rpac|RPACG00000004210.1
OG0014900	Rpac|RPACG00000022317.1, Rpac|RPACG00000036685.1
OG0014909	Rpac|RPACG00000023408.1
OG0014926	Rpac|RPACG00000021782.1
OG0014934	Rpac|RPACG00000003281.1
OG0014938	Rpac|RPACG00000010274.1, Rpac|RPACG00000011668.1
OG0014941	Rpac|RPACG00000035804.1
OG0014983	Rpac|RPACG00000023199.1
OG0014987	Rpac|RPACG00000027564.1
OG0015026	Rpac|RPACG00000008071.1
OG0015052	Rpac|RPACG00000029206.1
OG0015056	Rpac|RPACG00000016341.1
OG0015057	Rpac|RPACG00000000224.1, Rpac|RPACG00000018078.1
OG0015143	Rpac|RPACG00000023575.1
OG0015179	Rpac|RPACG00000016588.1
OG0015216	Rpac|RPACG00000011345.1, Rpac|RPACG00000034777.1
OG0015319	Rpac|RPACG00000036777.1
OG0015330	Rpac|RPACG00000010394.1, Rpac|RPACG00000014830.1
OG0015349	Rpac|RPACG00000019241.1
OG0015357	Rpac|RPACG00000015128.1
OG0015365	Rpac|RPACG00000020773.1
OG0015391	Rpac|RPACG00000020296.1
OG0015404	Rpac|RPACG00000032420.1
OG0015562	Rpac|RPACG00000022502.1
OG0015700	Rpac|RPACG00000001365.1
OG0015726	Rpac|RPACG00000034863.1
OG0015734	Rpac|RPACG00000008532.1
OG0015736	Rpac|RPACG00000028035.1
OG0015775	Rpac|RPACG00000024008.1
OG0015793	Rpac|RPACG00000019037.1
OG0015857	Rpac|RPACG00000015260.1
OG0015912	Rpac|RPACG00000007335.1
OG0015946	Rpac|RPACG00000031234.1, Rpac|RPACG00000031235.1
OG0015968	Rpac|RPACG00000006378.1
OG0016002	Rpac|RPACG00000003504.1, Rpac|RPACG00000003507.1
OG0016006	Rpac|RPACG00000003621.1
OG0016049	Rpac|RPACG00000003542.1
OG0016123	Rpac|RPACG00000001594.1
OG0016145	Rpac|RPACG00000002341.1
OG0016164	Rpac|RPACG00000025396.1
OG0016256	Rpac|RPACG00000010507.1
OG0016278	Rpac|RPACG00000025013.1
OG0016296	Rpac|RPACG00000009217.1
OG0016324	Rpac|RPACG00000007039.1
OG0016330	Rpac|RPACG00000021849.1
OG0016351	Rpac|RPACG00000028881.1
OG0016401	Rpac|RPACG00000023551.1
OG0016423	Rpac|RPACG00000021850.1
OG0016445	Rpac|RPACG00000010641.1
OG0016455	Rpac|RPACG00000030434.1
OG0016504	Rpac|RPACG00000001779.1, Rpac|RPACG00000001786.1, Rpac|RPACG00000001787.1, Rpac|RPACG00000001788.1, Rpac|RPACG00000001789.1
OG0016524	Rpac|RPACG00000008354.1
OG0016606	Rpac|RPACG00000022596.1
OG0016930	Rpac|RPACG00000008029.1
OG0016938	Rpac|RPACG00000024437.1
OG0016983	Rpac|RPACG00000008425.1, Rpac|RPACG00000021229.1
OG0016985	Rpac|RPACG00000034913.1
OG0016997	Rpac|RPACG00000021484.1
OG0017044	Rpac|RPACG00000023301.1
OG0017087	Rpac|RPACG00000021888.1, Rpac|RPACG00000035854.1
OG0017178	Rpac|RPACG00000011514.1
OG0017183	Rpac|RPACG00000009797.1
OG0017196	Rpac|RPACG00000002273.1
OG0017199	Rpac|RPACG00000017341.1
OG0017202	Rpac|RPACG00000000984.1
OG0017208	Rpac|RPACG00000035681.1
OG0017219	Rpac|RPACG00000026868.1
OG0017225	Rpac|RPACG00000017643.1
OG0017238	Rpac|RPACG00000009310.1
OG0017243	Rpac|RPACG00000035371.1
OG0017244	Rpac|RPACG00000017017.1, Rpac|RPACG00000027997.1
OG0017251	Rpac|RPACG00000029534.1
OG0017259	Rpac|RPACG00000026984.1
OG0017319	Rpac|RPACG00000014500.1
OG0017336	Rpac|RPACG00000008094.1
OG0017352	Rpac|RPACG00000025313.1
OG0017408	Rpac|RPACG00000035411.1
OG0017414	Rpac|RPACG00000021891.1
OG0017423	Rpac|RPACG00000012200.1
OG0017438	Rpac|RPACG00000013778.1
OG0017487	Rpac|RPACG00000007712.1
OG0017488	Rpac|RPACG00000033981.1
OG0017509	Rpac|RPACG00000013172.1
OG0017510	Rpac|RPACG00000008475.1
OG0017527	Rpac|RPACG00000014372.1
OG0017577	Rpac|RPACG00000027385.1
OG0017619	Rpac|RPACG00000032784.1
OG0017622	Rpac|RPACG00000009078.1
OG0017630	Rpac|RPACG00000029313.1
OG0017885	Rpac|RPACG00000006777.1
OG0017891	Rpac|RPACG00000021825.1, Rpac|RPACG00000021826.1, Rpac|RPACG00000021827.1, Rpac|RPACG00000021830.1, Rpac|RPACG00000021831.1
OG0017912	Rpac|RPACG00000001819.1
OG0017944	Rpac|RPACG00000019230.1, Rpac|RPACG00000019236.1
OG0017954	Rpac|RPACG00000030805.1, Rpac|RPACG00000030806.1, Rpac|RPACG00000035646.1
OG0017970	Rpac|RPACG00000010921.1
OG0017976	Rpac|RPACG00000009041.1
OG0017982	Rpac|RPACG00000021249.1
OG0018012	Rpac|RPACG00000003378.1, Rpac|RPACG00000003435.1, Rpac|RPACG00000004272.1, Rpac|RPACG00000027243.1
OG0018318	Rpac|RPACG00000030642.1
OG0018588	Rpac|RPACG00000030210.1
OG0018719	Rpac|RPACG00000022759.1
OG0018787	Rpac|RPACG00000008226.1
OG0018789	Rpac|RPACG00000026985.1
OG0018826	Rpac|RPACG00000030567.1
OG0018884	Rpac|RPACG00000026539.1
OG0018996	Rpac|RPACG00000009668.1, Rpac|RPACG00000019785.1
OG0019166	Rpac|RPACG00000029794.1
OG0019211	Rpac|RPACG00000004050.1, Rpac|RPACG00000008999.1
OG0019338	Rpac|RPACG00000022618.1, Rpac|RPACG00000022620.1
OG0019361	Rpac|RPACG00000034363.1, Rpac|RPACG00000034364.1
OG0019370	Rpac|RPACG00000016011.1
OG0019375	Rpac|RPACG00000002141.1
OG0019403	Rpac|RPACG00000017231.1
OG0019406	Rpac|RPACG00000036335.1
OG0019427	Rpac|RPACG00000004024.1
OG0019528	Rpac|RPACG00000008985.1
OG0019537	Rpac|RPACG00000003696.1
OG0019750	Rpac|RPACG00000014504.1
OG0019804	Rpac|RPACG00000032130.1
OG0019954	Rpac|RPACG00000007643.1
OG0019980	Rpac|RPACG00000006542.1, Rpac|RPACG00000013171.1
OG0019983	Rpac|RPACG00000035300.1, Rpac|RPACG00000035302.1
OG0020105	Rpac|RPACG00000005727.1, Rpac|RPACG00000024889.1
OG0020112	Rpac|RPACG00000032132.1, Rpac|RPACG00000032140.1, Rpac|RPACG00000032148.1, Rpac|RPACG00000032154.1, Rpac|RPACG00000032175.1
OG0020134	Rpac|RPACG00000016044.1
OG0020359	Rpac|RPACG00000032754.1
OG0020428	Rpac|RPACG00000018011.1, Rpac|RPACG00000032273.1, Rpac|RPACG00000032274.1, Rpac|RPACG00000032276.1
OG0020561	Rpac|RPACG00000017939.1, Rpac|RPACG00000017940.1
OG0020562	Rpac|RPACG00000012101.1
OG0020571	Rpac|RPACG00000012984.1, Rpac|RPACG00000012987.1, Rpac|RPACG00000012990.1, Rpac|RPACG00000012993.1, Rpac|RPACG00000012996.1
OG0020572	Rpac|RPACG00000007501.1
OG0020585	Rpac|RPACG00000015648.1
OG0020927	Rpac|RPACG00000022322.1
OG0020978	Rpac|RPACG00000009434.1
OG0020995	Rpac|RPACG00000021487.1
OG0021072	Rpac|RPACG00000002836.1
OG0021075	Rpac|RPACG00000006607.1
OG0021090	Rpac|RPACG00000009156.1
OG0021096	Rpac|RPACG00000020653.1
OG0021172	Rpac|RPACG00000019555.1
OG0021177	Rpac|RPACG00000023887.1, Rpac|RPACG00000023888.1
OG0021205	Rpac|RPACG00000020194.1
OG0021277	Rpac|RPACG00000002853.1
OG0021470	Rpac|RPACG00000025657.1
OG0021485	Rpac|RPACG00000026880.1
OG0021494	Rpac|RPACG00000001025.1
OG0021512	Rpac|RPACG00000013066.1
OG0021550	Rpac|RPACG00000016945.1
OG0021556	Rpac|RPACG00000001694.1
OG0021559	Rpac|RPACG00000019444.1
OG0021573	Rpac|RPACG00000012172.1
OG0021602	Rpac|RPACG00000000778.1
OG0021627	Rpac|RPACG00000036869.1
OG0021725	Rpac|RPACG00000034313.1
OG0021728	Rpac|RPACG00000012439.1
OG0021739	Rpac|RPACG00000016368.1
OG0021811	Rpac|RPACG00000013708.1
OG0021827	Rpac|RPACG00000010901.1
OG0021889	Rpac|RPACG00000009723.1
OG0021891	Rpac|RPACG00000025943.1
OG0021895	Rpac|RPACG00000004687.1
OG0021899	Rpac|RPACG00000031848.1
OG0021925	Rpac|RPACG00000019699.1
OG0021952	Rpac|RPACG00000016737.1
OG0021957	Rpac|RPACG00000035304.1
OG0021959	Rpac|RPACG00000003680.1
OG0021960	Rpac|RPACG00000019110.1, Rpac|RPACG00000028285.1
OG0022055	Rpac|RPACG00000021293.1
OG0022078	Rpac|RPACG00000027983.1
OG0022161	Rpac|RPACG00000015503.1
OG0022169	Rpac|RPACG00000028200.1
OG0022179	Rpac|RPACG00000017786.1
OG0022360	Rpac|RPACG00000014340.1
OG0022422	Rpac|RPACG00000033449.1
OG0022595	Rpac|RPACG00000003771.1
OG0022613	Rpac|RPACG00000027527.1
OG0022662	Rpac|RPACG00000001466.1
OG0022695	Rpac|RPACG00000022496.1
OG0022713	Rpac|RPACG00000015945.1
OG0022741	Rpac|RPACG00000035331.1
OG0022755	Rpac|RPACG00000010060.1, Rpac|RPACG00000010061.1, Rpac|RPACG00000010062.1
OG0022785	Rpac|RPACG00000033927.1
OG0022791	Rpac|RPACG00000015647.1, Rpac|RPACG00000028949.1
OG0022845	Rpac|RPACG00000031107.1
OG0022846	Rpac|RPACG00000016884.1, Rpac|RPACG00000019937.1, Rpac|RPACG00000019970.1
OG0022857	Rpac|RPACG00000000946.1
OG0022874	Rpac|RPACG00000007508.1, Rpac|RPACG00000007512.1
OG0022884	Rpac|RPACG00000031409.1
OG0022893	Rpac|RPACG00000023600.1
OG0022908	Rpac|RPACG00000025577.1
OG0022922	Rpac|RPACG00000014292.1
OG0022927	Rpac|RPACG00000004220.1
OG0022957	Rpac|RPACG00000007579.1
OG0022966	Rpac|RPACG00000000774.1
OG0022973	Rpac|RPACG00000006313.1
OG0022984	Rpac|RPACG00000029315.1
OG0023050	Rpac|RPACG00000028616.1
OG0023095	Rpac|RPACG00000006377.1, Rpac|RPACG00000032997.1
OG0023101	Rpac|RPACG00000009624.1, Rpac|RPACG00000021517.1, Rpac|RPACG00000021519.1
OG0023105	Rpac|RPACG00000018694.1, Rpac|RPACG00000018706.1, Rpac|RPACG00000018717.1
OG0023107	Rpac|RPACG00000027978.1, Rpac|RPACG00000027979.1
OG0023128	Rpac|RPACG00000029818.1, Rpac|RPACG00000029820.1
OG0023249	Rpac|RPACG00000007102.1
OG0023461	Rpac|RPACG00000009614.1
OG0023484	Rpac|RPACG00000010545.1, Rpac|RPACG00000010550.1, Rpac|RPACG00000010551.1
OG0023758	Rpac|RPACG00000003221.1
OG0023770	Rpac|RPACG00000003436.1, Rpac|RPACG00000010878.1, Rpac|RPACG00000010880.1, Rpac|RPACG00000027287.1
OG0023773	Rpac|RPACG00000001317.1
OG0023779	Rpac|RPACG00000004146.1, Rpac|RPACG00000004147.1, Rpac|RPACG00000024672.1
OG0023782	Rpac|RPACG00000025666.1, Rpac|RPACG00000025667.1, Rpac|RPACG00000025672.1, Rpac|RPACG00000025673.1
OG0023820	Rpac|RPACG00000019246.1, Rpac|RPACG00000037024.1, Rpac|RPACG00000037025.1, Rpac|RPACG00000037026.1
OG0024229	Rpac|RPACG00000025879.1
OG0024387	Rpac|RPACG00000018300.1
OG0024445	Rpac|RPACG00000027705.1
OG0024488	Rpac|RPACG00000018090.1
OG0024692	Rpac|RPACG00000008855.1
OG0024713	Rpac|RPACG00000026723.1
OG0024738	Rpac|RPACG00000025628.1
OG0024809	Rpac|RPACG00000013071.1
OG0024886	Rpac|RPACG00000009857.1
OG0024999	Rpac|RPACG00000021784.1
OG0025076	Rpac|RPACG00000014217.1
OG0025082	Rpac|RPACG00000020115.1
OG0025099	Rpac|RPACG00000012861.1
OG0025106	Rpac|RPACG00000001688.1
OG0025300	Rpac|RPACG00000009056.1, Rpac|RPACG00000009057.1
OG0025322	Rpac|RPACG00000031595.1
OG0025353	Rpac|RPACG00000023713.1
