OG0000167	nbis-mrna-18169
OG0004269	nbis-mrna-21147
OG0004337	nbis-mrna-14546
OG0004344	nbis-mrna-36, nbis-mrna-8446
OG0004499	nbis-mrna-18764, nbis-mrna-19982, nbis-mrna-6065, nbis-mrna-8634
OG0004636	nbis-mrna-5500
OG0004800	nbis-mrna-9849
OG0004829	nbis-mrna-8867
OG0004901	
OG0004940	nbis-mrna-277
OG0004950	
OG0004971	nbis-mrna-14915, nbis-mrna-8366
OG0005017	nbis-mrna-21362, nbis-mrna-3630
OG0005041	
OG0005057	nbis-mrna-11153
OG0005262	nbis-mrna-2536
OG0005290	
OG0005574	nbis-mrna-13784
OG0005607	nbis-mrna-20003, nbis-mrna-9200
OG0005837	nbis-mrna-15041, nbis-mrna-7208
OG0005899	nbis-mrna-15584
OG0006112	nbis-mrna-10904, nbis-mrna-15786, nbis-mrna-22003, nbis-mrna-3961, nbis-mrna-67, nbis-mrna-9907
OG0006114	
OG0006125	nbis-mrna-4143
OG0006159	
OG0006162	
OG0006167	nbis-mrna-2374
OG0006174	nbis-mrna-15216, nbis-mrna-6288
OG0006181	
OG0006212	nbis-mrna-12005, nbis-mrna-16092
OG0006225	
OG0006384	nbis-mrna-966
OG0006443	nbis-mrna-3287
OG0006446	
OG0006476	nbis-mrna-11711
OG0006511	nbis-mrna-6563
OG0006595	
OG0006690	nbis-mrna-15550
OG0006805	nbis-mrna-19142
OG0006828	nbis-mrna-18171
OG0006996	nbis-mrna-10735
OG0007024	nbis-mrna-12203
OG0007078	nbis-mrna-6137
OG0007086	nbis-mrna-1543, nbis-mrna-16292, nbis-mrna-17263, nbis-mrna-17360, nbis-mrna-22029, nbis-mrna-4453, nbis-mrna-6893
OG0007103	nbis-mrna-13704, nbis-mrna-18177
OG0007173	
OG0007281	
OG0007466	nbis-mrna-2790
OG0007468	nbis-mrna-5721
OG0007562	
OG0007596	
OG0007720	
OG0007757	nbis-mrna-4345
OG0007815	nbis-mrna-9840
OG0008049	nbis-mrna-14853
OG0008063	
OG0008105	nbis-mrna-15007
OG0008150	
OG0008313	nbis-mrna-872
OG0008335	
OG0008386	
OG0008388	nbis-mrna-19445, nbis-mrna-8578, nbis-mrna-8580
OG0008404	nbis-mrna-1105, nbis-mrna-12414, nbis-mrna-12440, nbis-mrna-12745, nbis-mrna-1385, nbis-mrna-13937, nbis-mrna-15332, nbis-mrna-15983, nbis-mrna-16980, nbis-mrna-20629, nbis-mrna-21513, nbis-mrna-21871, nbis-mrna-22233, nbis-mrna-4382, nbis-mrna-4529, nbis-mrna-4896, nbis-mrna-4923, nbis-mrna-5527, nbis-mrna-5674, nbis-mrna-7809, nbis-mrna-8013, nbis-mrna-8191, nbis-mrna-8801, nbis-mrna-9120, nbis-mrna-9687
OG0008431	
OG0008467	nbis-mrna-18443
OG0008485	
OG0008523	nbis-mrna-21580
OG0008535	nbis-mrna-12938
OG0008567	
OG0008572	
OG0008604	
OG0008627	nbis-mrna-20437
OG0008675	nbis-mrna-4085
OG0008841	nbis-mrna-12940
OG0008842	
OG0008857	
OG0008883	nbis-mrna-20473
OG0008890	nbis-mrna-1215
OG0008921	nbis-mrna-17424
OG0008944	nbis-mrna-17986
OG0008950	
OG0008970	nbis-mrna-20524
OG0008996	
OG0009006	nbis-mrna-15410
OG0009019	
OG0009053	
OG0009079	
OG0009121	
OG0009149	
OG0009156	nbis-mrna-4553
OG0009271	nbis-mrna-17612
OG0009287	
OG0009295	nbis-mrna-14594
OG0009343	
OG0009344	
OG0009393	nbis-mrna-13952, nbis-mrna-16935, nbis-mrna-3053
OG0009428	nbis-mrna-2727
OG0009443	nbis-mrna-3183
OG0009541	nbis-mrna-14805
OG0009544	
OG0009686	
OG0009730	
OG0009749	nbis-mrna-16401
OG0009822	nbis-mrna-10016
OG0009832	nbis-mrna-21436
OG0009834	nbis-mrna-18578
OG0009854	
OG0009915	nbis-mrna-401
OG0009941	
OG0009952	
OG0010020	nbis-mrna-8428
OG0010023	nbis-mrna-13403
OG0010035	nbis-mrna-4030
OG0010037	
OG0010093	nbis-mrna-20632
OG0010098	nbis-mrna-6627
OG0010101	nbis-mrna-6499
OG0010104	nbis-mrna-21458
OG0010106	nbis-mrna-6180
OG0010113	
OG0010123	
OG0010125	nbis-mrna-12874
OG0010128	
OG0010188	
OG0010189	nbis-mrna-22016
OG0010199	nbis-mrna-21847
OG0010203	
OG0010215	
OG0010306	nbis-mrna-9979
OG0010312	
OG0010331	nbis-mrna-8442
OG0010352	
OG0010368	nbis-mrna-9824
OG0010382	nbis-mrna-8986
OG0010394	nbis-mrna-1556
OG0010443	
OG0010449	
OG0010450	nbis-mrna-4545, nbis-mrna-8671
OG0010472	nbis-mrna-22165
OG0010477	
OG0010496	
OG0010587	nbis-mrna-20175, nbis-mrna-21423
OG0010588	nbis-mrna-16813
OG0010597	
OG0010598	nbis-mrna-10376
OG0010633	
OG0010660	
OG0010674	nbis-mrna-3003
OG0010692	nbis-mrna-21426
OG0010708	
OG0010734	nbis-mrna-15950
OG0010736	nbis-mrna-4380
OG0010742	nbis-mrna-4512
OG0010759	
OG0010807	
OG0010838	nbis-mrna-18316
OG0010885	nbis-mrna-3862
OG0010923	nbis-mrna-1109, nbis-mrna-11498, nbis-mrna-12665, nbis-mrna-12710, nbis-mrna-13433, nbis-mrna-14882, nbis-mrna-17144, nbis-mrna-18888, nbis-mrna-20019, nbis-mrna-21582, nbis-mrna-22051, nbis-mrna-2728, nbis-mrna-296, nbis-mrna-384, nbis-mrna-471, nbis-mrna-7519
OG0010959	nbis-mrna-20857
OG0010961	
OG0010987	nbis-mrna-5575
OG0011001	
OG0011010	nbis-mrna-14107
OG0011034	
OG0011064	nbis-mrna-1294, nbis-mrna-14894
OG0011101	
OG0011144	nbis-mrna-5872
OG0011177	
OG0011194	
OG0011195	
OG0011220	nbis-mrna-18035
OG0011245	nbis-mrna-11524, nbis-mrna-1199, nbis-mrna-13030, nbis-mrna-13263, nbis-mrna-15477, nbis-mrna-15840, nbis-mrna-16525, nbis-mrna-17660, nbis-mrna-18373, nbis-mrna-1839, nbis-mrna-3087
OG0011247	
OG0011282	
OG0011297	nbis-mrna-14791
OG0011302	
OG0011349	
OG0011361	nbis-mrna-17286
OG0011365	
OG0011384	nbis-mrna-18502
OG0011440	nbis-mrna-8937
OG0011535	nbis-mrna-12731
OG0011550	nbis-mrna-339
OG0011551	nbis-mrna-16886
OG0011569	
OG0011578	nbis-mrna-407
OG0011594	
OG0011599	nbis-mrna-6576
OG0011636	
OG0011673	
OG0011682	
OG0011691	nbis-mrna-6324
OG0011692	nbis-mrna-2667
OG0011749	nbis-mrna-11805, nbis-mrna-14319, nbis-mrna-14320, nbis-mrna-18246, nbis-mrna-20813, nbis-mrna-21482, nbis-mrna-22560, nbis-mrna-3509, nbis-mrna-3746, nbis-mrna-3818, nbis-mrna-9078, nbis-mrna-9753, nbis-mrna-9879
OG0011766	
OG0011783	
OG0011840	
OG0011842	nbis-mrna-20100, nbis-mrna-6934
OG0011859	nbis-mrna-7574
OG0011869	nbis-mrna-17702
OG0011899	nbis-mrna-1075, nbis-mrna-1614, nbis-mrna-17003
OG0011961	
OG0011963	
OG0012121	nbis-mrna-2059
OG0012150	
OG0012238	nbis-mrna-11712, nbis-mrna-14784, nbis-mrna-14786, nbis-mrna-21505, nbis-mrna-7191, nbis-mrna-7192, nbis-mrna-7458
OG0012270	nbis-mrna-9359
OG0012277	
OG0012289	
OG0012354	
OG0012357	
OG0012364	nbis-mrna-1244
OG0012368	
OG0012376	nbis-mrna-20643
OG0012418	
OG0012483	nbis-mrna-10630, nbis-mrna-14979
OG0012527	
OG0012703	nbis-mrna-365
OG0012734	
OG0012735	
OG0012752	nbis-mrna-21143
OG0012778	nbis-mrna-10928
OG0012808	
OG0012923	nbis-mrna-18654
OG0012957	nbis-mrna-14641
OG0012989	
OG0012993	nbis-mrna-10699, nbis-mrna-13173
OG0013032	
OG0013213	
OG0013215	
OG0013328	nbis-mrna-7001
OG0013329	nbis-mrna-11252
OG0013331	
OG0013379	
OG0013400	nbis-mrna-13965
OG0013406	
OG0013428	
OG0013516	
OG0013534	
OG0013617	
OG0013673	nbis-mrna-22005
OG0013761	nbis-mrna-12576, nbis-mrna-14485, nbis-mrna-17716, nbis-mrna-20299, nbis-mrna-20300, nbis-mrna-20301, nbis-mrna-2480, nbis-mrna-6693, nbis-mrna-9729
OG0013765	
OG0013784	
OG0013827	
OG0013889	nbis-mrna-11283
OG0013940	nbis-mrna-21463
OG0014035	
OG0014044	nbis-mrna-15330
OG0014074	
OG0014111	
OG0014118	nbis-mrna-6921
OG0014132	nbis-mrna-2000
OG0014150	nbis-mrna-12627
OG0014161	nbis-mrna-5022
OG0014183	nbis-mrna-10307
OG0014202	nbis-mrna-12329, nbis-mrna-21674, nbis-mrna-22017, nbis-mrna-6899, nbis-mrna-9023, nbis-mrna-9472, nbis-mrna-9632
OG0014204	
OG0014205	
OG0014341	nbis-mrna-4732
OG0014395	
OG0014398	nbis-mrna-16573
OG0014399	
OG0014489	
OG0014541	
OG0014689	
OG0014717	
OG0014804	
OG0014898	nbis-mrna-15594, nbis-mrna-880
OG0014900	
OG0014909	
OG0014925	
OG0014927	nbis-mrna-13326
OG0014939	
OG0014942	
OG0014989	
OG0015086	nbis-mrna-331
OG0015098	nbis-mrna-3203
OG0015121	
OG0015186	nbis-mrna-13303
OG0015196	nbis-mrna-11446
OG0015237	nbis-mrna-12085
OG0015301	nbis-mrna-8909
OG0015443	
OG0015510	nbis-mrna-17497, nbis-mrna-9691, nbis-mrna-9692, nbis-mrna-9693, nbis-mrna-9694, nbis-mrna-9695, nbis-mrna-9696, nbis-mrna-9697
OG0015562	
OG0015691	
OG0015696	
OG0015721	nbis-mrna-9777
OG0015726	nbis-mrna-3377
OG0015727	
OG0015774	nbis-mrna-19020
OG0015792	nbis-mrna-4587, nbis-mrna-4591
OG0015793	nbis-mrna-20880
OG0015809	nbis-mrna-14290
OG0015815	nbis-mrna-1537
OG0015852	
OG0015858	nbis-mrna-3033
OG0015890	
OG0015910	
OG0015939	nbis-mrna-579
OG0015941	
OG0015946	
OG0015960	nbis-mrna-18017
OG0016025	nbis-mrna-4905
OG0016048	
OG0016061	nbis-mrna-435
OG0016123	
OG0016146	
OG0016148	nbis-mrna-2144
OG0016179	nbis-mrna-1112, nbis-mrna-13432, nbis-mrna-2082, nbis-mrna-2730, nbis-mrna-387, nbis-mrna-7544
OG0016191	nbis-mrna-14708
OG0016263	
OG0016324	
OG0016329	nbis-mrna-21320
OG0016382	nbis-mrna-21626
OG0016423	
OG0016576	
OG0016606	
OG0016614	
OG0016622	nbis-mrna-10003, nbis-mrna-11844, nbis-mrna-1347, nbis-mrna-16408, nbis-mrna-20318, nbis-mrna-22412, nbis-mrna-6629
OG0016637	nbis-mrna-13794, nbis-mrna-5402
OG0016672	nbis-mrna-21930
OG0016930	
OG0016957	
OG0016993	
OG0016997	
OG0016999	
OG0017017	
OG0017044	
OG0017178	
OG0017180	
OG0017196	
OG0017202	
OG0017219	
OG0017238	
OG0017251	
OG0017266	nbis-mrna-11476, nbis-mrna-6417
OG0017319	
OG0017355	
OG0017359	nbis-mrna-13012
OG0017367	nbis-mrna-4321
OG0017393	nbis-mrna-15655
OG0017440	
OG0017470	nbis-mrna-5063
OG0017498	
OG0017514	nbis-mrna-19423
OG0017524	
OG0017534	
OG0017597	nbis-mrna-21444
OG0017624	
OG0017629	nbis-mrna-487
OG0017667	nbis-mrna-14049
OG0017669	
OG0017692	
OG0017694	nbis-mrna-262, nbis-mrna-3965, nbis-mrna-628, nbis-mrna-9661
OG0017698	nbis-mrna-21903
OG0017731	
OG0017735	
OG0017837	
OG0017885	
OG0017891	
OG0018034	nbis-mrna-10282, nbis-mrna-16067, nbis-mrna-22092, nbis-mrna-4639, nbis-mrna-4643
OG0018069	
OG0018152	
OG0018197	
OG0018199	
OG0018227	
OG0018228	
OG0018322	nbis-mrna-13201, nbis-mrna-15151, nbis-mrna-21702, nbis-mrna-4098, nbis-mrna-5293, nbis-mrna-9151
OG0018549	
OG0018588	
OG0018626	
OG0018654	nbis-mrna-14720, nbis-mrna-5049
OG0018691	
OG0018707	nbis-mrna-1275
OG0018710	nbis-mrna-10251, nbis-mrna-21155, nbis-mrna-6614
OG0018722	nbis-mrna-2488
OG0018752	nbis-mrna-2386
OG0018757	
OG0018775	
OG0018789	
OG0018790	
OG0018826	
OG0018868	
OG0018884	
OG0018968	nbis-mrna-15886, nbis-mrna-18256, nbis-mrna-5138, nbis-mrna-7902, nbis-mrna-8474
OG0018972	nbis-mrna-6586
OG0018996	
OG0019009	nbis-mrna-16011, nbis-mrna-16966
OG0019054	
OG0019166	
OG0019174	nbis-mrna-11360, nbis-mrna-12297
OG0019183	nbis-mrna-617
OG0019199	
OG0019211	
OG0019266	
OG0019280	nbis-mrna-14212
OG0019315	
OG0019333	
OG0019362	
OG0019370	nbis-mrna-18321
OG0019375	
OG0019389	
OG0019393	
OG0019401	
OG0019437	
OG0019469	nbis-mrna-19680
OG0019479	
OG0019522	
OG0019539	nbis-mrna-18982, nbis-mrna-19740
OG0019580	
OG0019722	
OG0019859	
OG0019922	
OG0020152	nbis-mrna-11786
OG0020265	
OG0020298	nbis-mrna-2269
OG0020346	
OG0020359	
OG0020374	
OG0020376	
OG0020384	
OG0020392	
OG0020395	
OG0020398	
OG0020418	
OG0020428	
OG0020585	
OG0020866	
OG0020909	nbis-mrna-2107
OG0020978	
OG0020995	
OG0021030	nbis-mrna-13694
OG0021062	
OG0021072	
OG0021075	
OG0021079	nbis-mrna-1274, nbis-mrna-15966
OG0021096	
OG0021165	nbis-mrna-12019
OG0021166	nbis-mrna-479
OG0021168	nbis-mrna-15903, nbis-mrna-18425, nbis-mrna-7029, nbis-mrna-7030
OG0021169	nbis-mrna-3383
OG0021174	
OG0021177	
OG0021193	nbis-mrna-379
OG0021212	
OG0021300	nbis-mrna-1246
OG0021338	
OG0021379	
OG0021445	nbis-mrna-19477
OG0021554	
OG0021573	
OG0021576	
OG0021627	nbis-mrna-10400
OG0021686	nbis-mrna-15102
OG0021699	nbis-mrna-15860, nbis-mrna-20282, nbis-mrna-6568
OG0021700	
OG0021703	nbis-mrna-476
OG0021721	
OG0021811	
OG0021819	nbis-mrna-1137
OG0021841	nbis-mrna-11010, nbis-mrna-16412
OG0021873	
OG0021890	
OG0021901	nbis-mrna-4691
OG0021917	nbis-mrna-11554
OG0021929	nbis-mrna-4790
OG0021943	nbis-mrna-6500
OG0021952	
OG0021998	nbis-mrna-4140
OG0022041	nbis-mrna-11306
OG0022043	
OG0022104	nbis-mrna-4502, nbis-mrna-6409
OG0022107	nbis-mrna-5505, nbis-mrna-5643
OG0022179	
OG0022187	
OG0022190	nbis-mrna-15183, nbis-mrna-17062
OG0022196	nbis-mrna-9451, nbis-mrna-9456
OG0022218	
OG0022368	
OG0022402	nbis-mrna-12918
OG0022425	nbis-mrna-13469
OG0022493	
OG0022570	nbis-mrna-6450
OG0022595	
OG0023128	
OG0023130	nbis-mrna-11856
OG0023249	
OG0023366	
OG0023385	nbis-mrna-7858
OG0023414	
OG0023417	nbis-mrna-18641, nbis-mrna-19728
OG0023460	
OG0023461	
OG0023484	nbis-mrna-12325
OG0023507	nbis-mrna-21772
OG0023545	
OG0023569	nbis-mrna-12421, nbis-mrna-2482
OG0023575	
OG0023760	nbis-mrna-1188
OG0023820	
OG0024218	
OG0024229	
OG0024313	nbis-mrna-1419
OG0024336	
OG0024387	
OG0024414	
OG0024445	
OG0024480	
OG0024488	
OG0024600	
OG0024713	nbis-mrna-11123
OG0024738	nbis-mrna-3275
OG0024758	nbis-mrna-12437
OG0024809	
OG0024848	
OG0024894	
OG0024922	nbis-mrna-2634
OG0024961	
OG0024999	
OG0025040	
OG0025064	
OG0025106	nbis-mrna-14081
OG0025300	
OG0025316	nbis-mrna-13293
OG0025322	
OG0025329	nbis-mrna-7400
OG0025353	nbis-mrna-21495
OG0025376	
OG0025429	
OG0025521	
OG0025547	
OG0025583	
OG0025615	
OG0025646	nbis-mrna-11529, nbis-mrna-13484
OG0025655	
OG0025658	nbis-mrna-15149, nbis-mrna-16766, nbis-mrna-19780
OG0025664	nbis-mrna-19564
OG0025746	
OG0025757	
OG0025885	
OG0025915	
OG0025918	
OG0025939	
OG0025940	
OG0025982	
OG0025994	nbis-mrna-17829
OG0026000	nbis-mrna-16815
OG0026027	nbis-mrna-13115
OG0026194	
OG0026196	
OG0026219	
OG0026248	nbis-mrna-11947
OG0026250	
OG0026268	
OG0026271	
OG0026288	
OG0026323	nbis-mrna-19424
OG0026325	
OG0026327	
OG0026332	nbis-mrna-22112, nbis-mrna-22114
OG0026470	nbis-mrna-21144, nbis-mrna-3044
OG0026497	
OG0026702	nbis-mrna-15877, nbis-mrna-7977
OG0026729	nbis-mrna-13135, nbis-mrna-7112
OG0026778	nbis-mrna-12556
OG0026780	
OG0026803	
OG0027595	
OG0027610	
OG0027721	
OG0027894	
OG0027942	
OG0028013	
OG0028030	
OG0028110	nbis-mrna-19206
OG0028113	nbis-mrna-11434, nbis-mrna-19979
OG0028116	
OG0028135	
OG0028139	
OG0028141	
OG0028155	
OG0028186	nbis-mrna-20134
OG0028196	
OG0028202	nbis-mrna-20467
OG0028208	
OG0028219	
OG0028240	nbis-mrna-10911
OG0028246	
OG0028273	
OG0028543	nbis-mrna-8134
OG0028586	nbis-mrna-17006, nbis-mrna-20440, nbis-mrna-6465
OG0029393	nbis-mrna-10760
OG0029454	
OG0029492	
OG0029510	nbis-mrna-13399
OG0029620	nbis-mrna-18446
OG0029692	nbis-mrna-5461
OG0029801	
OG0029879	nbis-mrna-4
OG0029897	nbis-mrna-2989
OG0029917	
OG0029932	nbis-mrna-13252, nbis-mrna-20366
OG0029943	nbis-mrna-10692
OG0029949	
OG0029958	
OG0029973	nbis-mrna-18983
OG0030110	
OG0030138	nbis-mrna-20148
OG0030286	nbis-mrna-3843
OG0030331	
OG0030470	nbis-mrna-4197
OG0030516	
OG0030604	
OG0030609	
OG0030631	nbis-mrna-1774
OG0030742	
OG0030814	
OG0030908	nbis-mrna-17534
OG0030972	nbis-mrna-16500, nbis-mrna-3928
OG0030983	nbis-mrna-17913
OG0031010	
OG0031060	
OG0031096	
OG0031184	
OG0031195	
OG0031310	nbis-mrna-21861
OG0031328	
OG0031356	
OG0031365	
OG0031371	
OG0031433	
OG0031434	
OG0031438	
OG0031442	nbis-mrna-5480
OG0031529	
OG0031577	
OG0031611	
OG0031648	
OG0031737	nbis-mrna-6396
OG0031820	
OG0031867	
OG0031875	nbis-mrna-8136
OG0031878	
OG0031967	
OG0031988	nbis-mrna-12452
OG0031999	nbis-mrna-2799
OG0032067	
OG0032092	
OG0032116	
OG0032467	
OG0032516	
OG0032561	nbis-mrna-21759
OG0032876	nbis-mrna-19447
OG0032896	
OG0032913	nbis-mrna-56
OG0032929	
OG0033094	
OG0033118	
OG0033384	
OG0034510	
OG0034570	nbis-mrna-16289
OG0034606	nbis-mrna-3332
OG0034821	nbis-mrna-541, nbis-mrna-6688
OG0034883	
OG0034945	
OG0035173	
OG0035261	
OG0035302	
OG0035344	
OG0035364	
OG0035500	
OG0035553	
OG0035554	
OG0035571	nbis-mrna-12064
OG0035577	
OG0035584	
OG0035607	
OG0035629	
OG0035654	
OG0035699	
OG0035750	
OG0035808	
OG0035822	
OG0035898	nbis-mrna-5204
OG0035917	nbis-mrna-14286
OG0035921	nbis-mrna-19765
OG0035937	
OG0036399	nbis-mrna-11579, nbis-mrna-5515
OG0037931	
OG0038138	
OG0038185	
OG0038295	
OG0038402	nbis-mrna-4511
OG0038703	nbis-mrna-22602
OG0038711	
OG0038744	
OG0038756	
OG0038778	nbis-mrna-15150
OG0039190	nbis-mrna-18146
OG0039322	
OG0039360	
OG0039497	nbis-mrna-6098
OG0039615	nbis-mrna-13470
OG0040192	
OG0040435	
OG0040559	
OG0040689	
OG0040690	nbis-mrna-14
OG0040814	
OG0040865	
OG0040897	
OG0041058	nbis-mrna-5117
OG0041082	nbis-mrna-19425
OG0041170	
OG0041373	
OG0041545	nbis-mrna-21524
OG0041759	nbis-mrna-8060
OG0042008	
OG0042017	nbis-mrna-1925
OG0042131	
OG0042157	nbis-mrna-10045
OG0042250	
OG0042321	
OG0043213	
OG0043214	
OG0043263	
OG0043271	
OG0043311	
OG0043314	
OG0044157	
OG0044455	
OG0044628	
OG0044634	
OG0045315	nbis-mrna-13900
OG0046964	nbis-mrna-1397
OG0047194	nbis-mrna-8496
OG0047604	
OG0047620	
OG0047793	
OG0047796	
OG0048044	nbis-mrna-18870
OG0048300	
OG0048585	
OG0049050	
OG0049056	nbis-mrna-8123
OG0049095	
OG0049170	
OG0049177	
OG0049347	
OG0049475	
OG0049539	nbis-mrna-1712
OG0049542	nbis-mrna-6758
OG0049543	nbis-mrna-13406
OG0049562	
OG0049589	
OG0049947	
OG0050039	
OG0050111	
OG0050258	
OG0050325	
OG0050423	
OG0050523	nbis-mrna-11655
OG0050562	
OG0050581	
OG0050590	
OG0050832	
OG0051292	
OG0051309	nbis-mrna-4971
OG0051481	
OG0051538	nbis-mrna-22487
OG0051696	nbis-mrna-8498
OG0051924	
OG0051941	
OG0051974	
OG0052099	
OG0052112	
