OG0000167	Ofus|OFUSG19136.1
OG0010093	Ofus|OFUSG08894.1
OG0010098	
OG0010101	
OG0010104	Ofus|OFUSG23178.1
OG0010106	Ofus|OFUSG03193.1
OG0010113	Ofus|OFUSG05469.1
OG0010123	Ofus|OFUSG22276.1
OG0010125	
OG0010128	Ofus|OFUSG15380.1
OG0010188	Ofus|OFUSG15536.1
OG0010189	Ofus|OFUSG10217.1
OG0010199	Ofus|OFUSG04816.1, Ofus|OFUSG08635.1
OG0010203	
OG0010215	Ofus|OFUSG23101.1
OG0010306	
OG0010312	Ofus|OFUSG14175.1
OG0010331	Ofus|OFUSG19219.1
OG0010352	
OG0010368	Ofus|OFUSG15579.1
OG0010382	
OG0010394	Ofus|OFUSG04087.1
OG0010443	
OG0010449	Ofus|OFUSG09206.1
OG0010450	Ofus|OFUSG02642.1
OG0010472	Ofus|OFUSG03369.2
OG0010477	
OG0010496	
OG0010587	
OG0010588	
OG0010597	
OG0010598	Ofus|OFUSG04627.1
OG0010633	
OG0010660	Ofus|OFUSG11954.1
OG0010674	
OG0010692	Ofus|OFUSG19185.1
OG0010708	
OG0010734	Ofus|OFUSG26954.2
OG0010736	Ofus|OFUSG26834.1
OG0010742	Ofus|OFUSG07151.1
OG0010759	
OG0010807	
OG0010838	
OG0010885	Ofus|OFUSG09572.1
OG0010923	
OG0010959	Ofus|OFUSG14822.1
OG0010961	Ofus|OFUSG09320.1
OG0010987	
OG0011001	Ofus|OFUSG04375.1
OG0011010	
OG0011034	
OG0011064	
OG0011101	
OG0011144	
OG0011177	
OG0011194	
OG0011195	Ofus|OFUSG07606.1
OG0011220	
OG0011245	Ofus|OFUSG22144.1
OG0011247	Ofus|OFUSG01846.2
OG0011282	Ofus|OFUSG16870.2, Ofus|OFUSG22371.1
OG0011297	Ofus|OFUSG17721.1
OG0011302	
OG0011349	
OG0011361	
OG0011365	Ofus|OFUSG15837.1
OG0011384	Ofus|OFUSG06811.1
OG0011440	
OG0011535	
OG0011550	
OG0011551	Ofus|OFUSG20206.1
OG0011569	
OG0011578	
OG0011594	
OG0011599	Ofus|OFUSG19376.1
OG0011636	
OG0011673	Ofus|OFUSG00299.1, Ofus|OFUSG08923.1
OG0011682	Ofus|OFUSG12862.1
OG0011691	
OG0011692	
OG0011749	
OG0011766	Ofus|OFUSG11874.1, Ofus|OFUSG11877.1, Ofus|OFUSG11892.1, Ofus|OFUSG11894.1, Ofus|OFUSG11895.1, Ofus|OFUSG11896.1, Ofus|OFUSG11897.1, Ofus|OFUSG11898.1, Ofus|OFUSG11899.1, Ofus|OFUSG11900.1
OG0011783	
OG0011840	Ofus|OFUSG09345.1, Ofus|OFUSG11418.1, Ofus|OFUSG18649.1
OG0011842	
OG0011859	
OG0011869	
OG0011899	
OG0011961	
OG0011963	Ofus|OFUSG21001.1
OG0012121	
OG0012150	
OG0012238	
OG0012270	Ofus|OFUSG23444.1
OG0012277	Ofus|OFUSG08847.1
OG0012289	
OG0012354	Ofus|OFUSG16787.1
OG0012357	Ofus|OFUSG06470.1
OG0012364	Ofus|OFUSG10070.1, Ofus|OFUSG10071.2
OG0012368	Ofus|OFUSG01136.1
OG0012376	Ofus|OFUSG13611.1
OG0012418	Ofus|OFUSG11542.1
OG0012483	Ofus|OFUSG14002.1
OG0012527	
OG0012703	
OG0012734	
OG0012735	Ofus|OFUSG25548.1
OG0012752	
OG0012778	
OG0012808	
OG0012923	
OG0012957	Ofus|OFUSG15587.1, Ofus|OFUSG23557.1
OG0012989	
OG0012993	Ofus|OFUSG15819.1
OG0013032	
OG0013213	
OG0013215	Ofus|OFUSG17643.1, Ofus|OFUSG17645.1
OG0013328	
OG0013329	
OG0013331	
OG0013379	Ofus|OFUSG00857.1
OG0013400	
OG0013406	
OG0013428	
OG0013516	Ofus|OFUSG23611.1
OG0013534	
OG0013617	
OG0013673	
OG0013761	
OG0013765	
OG0013784	
OG0013827	
OG0013889	
OG0013940	
OG0014035	
OG0014044	
OG0014074	
OG0014111	
OG0014118	
OG0014132	
OG0014150	
OG0014161	
OG0014183	Ofus|OFUSG10118.1
OG0014202	
OG0014204	Ofus|OFUSG19020.1
OG0014205	Ofus|OFUSG23349.1
OG0014341	
OG0014395	
OG0014398	
OG0014399	
OG0014489	
OG0014541	
OG0014689	
OG0014717	Ofus|OFUSG12880.1, Ofus|OFUSG12882.1, Ofus|OFUSG12884.1, Ofus|OFUSG12886.1
OG0014804	
OG0014898	Ofus|OFUSG04313.1
OG0014900	
OG0014909	
OG0014925	
OG0014927	Ofus|OFUSG05007.1, Ofus|OFUSG20833.1
OG0014939	
OG0014942	
OG0014989	Ofus|OFUSG04354.1
OG0015086	
OG0015098	Ofus|OFUSG18404.1
OG0015121	
OG0015186	
OG0015196	
OG0015237	
OG0015301	
OG0015443	
OG0015510	Ofus|OFUSG00624.1
OG0015562	
OG0015691	
OG0015696	
OG0015721	
OG0015726	
OG0015727	
OG0015774	
OG0015792	
OG0015793	
OG0015809	
OG0015815	
OG0015852	
OG0015858	
OG0015890	
OG0015910	
OG0015939	Ofus|OFUSG02855.1
OG0015941	
OG0015946	
OG0015960	
OG0016025	
OG0016048	
OG0016061	
OG0016123	
OG0016146	
OG0016148	Ofus|OFUSG07693.1
OG0016179	
OG0016191	
OG0016263	
OG0016324	
OG0016329	
OG0016382	
OG0016423	
OG0016576	
OG0016606	
OG0016614	
OG0016622	
OG0016637	
OG0016672	Ofus|OFUSG04024.1, Ofus|OFUSG04025.1, Ofus|OFUSG09860.1, Ofus|OFUSG14392.1, Ofus|OFUSG22742.1
OG0016930	
OG0016957	
OG0016993	
OG0016997	
OG0016999	
OG0017017	
OG0017044	Ofus|OFUSG14052.1
OG0017178	
OG0017180	
OG0017196	
OG0017202	
OG0017219	
OG0017238	
OG0017251	Ofus|OFUSG07671.1
OG0017266	
OG0017319	
OG0017355	
OG0017359	
OG0017367	Ofus|OFUSG00881.1, Ofus|OFUSG08547.1, Ofus|OFUSG15442.1
OG0017393	
OG0017440	
OG0017470	
OG0017498	
OG0017514	
OG0017524	
OG0017534	
OG0017597	
OG0017624	
OG0017629	
OG0017667	
OG0017669	
OG0017692	
OG0017694	
OG0017698	
OG0017731	
OG0017735	
OG0017837	
OG0017885	
OG0017891	Ofus|OFUSG24586.1
OG0018034	Ofus|OFUSG21143.1
OG0018069	
OG0018152	
OG0018197	
OG0018199	
OG0018227	
OG0018228	
OG0018322	
OG0018549	
OG0018588	
OG0018626	
OG0018654	
OG0018691	
OG0018707	
OG0018710	
OG0018722	
OG0018752	Ofus|OFUSG00378.1
OG0018757	
OG0018775	
OG0018789	Ofus|OFUSG15864.1
OG0018790	
OG0018826	
OG0018868	
OG0018884	
OG0018968	
OG0018972	
OG0018996	
OG0019009	
OG0019054	
OG0019166	Ofus|OFUSG20477.1
OG0019174	
OG0019183	
OG0019199	
OG0019211	
OG0019266	
OG0019280	
OG0019315	
OG0019333	
OG0019362	
OG0019370	
OG0019375	
OG0019389	Ofus|OFUSG18072.1
OG0019393	
OG0019401	
OG0019437	
OG0019469	
OG0019479	
OG0019522	
OG0019539	
OG0019580	
OG0019722	
OG0019859	
OG0019922	
OG0020152	Ofus|OFUSG03749.1
OG0020265	
OG0020298	
OG0020346	
OG0020359	
OG0020374	
OG0020376	
OG0020384	
OG0020392	
OG0020395	Ofus|OFUSG23056.1
OG0020398	
OG0020418	
OG0020428	
OG0020585	
OG0020866	
OG0020909	
OG0020978	
OG0020995	Ofus|OFUSG23980.1
OG0021030	
OG0021062	
OG0021072	
OG0021075	
OG0021079	
OG0021096	
OG0021165	Ofus|OFUSG09000.1
OG0021166	
OG0021168	
OG0021169	
OG0021174	
OG0021177	
OG0021193	
OG0021212	
OG0021300	
OG0021338	Ofus|OFUSG11866.1
OG0021379	Ofus|OFUSG04338.1
OG0021445	
OG0021554	
OG0021573	
OG0021576	
OG0021627	
OG0021686	
OG0021699	
OG0021700	
OG0021703	
OG0021721	
OG0021811	
OG0021819	
OG0021841	
OG0021873	
OG0021890	
OG0021901	
OG0021917	
OG0021929	
OG0021943	Ofus|OFUSG15211.1
OG0021952	
OG0021998	
OG0022041	
OG0022043	
OG0022104	
OG0022107	
OG0022179	Ofus|OFUSG02923.1, Ofus|OFUSG03417.1
OG0022187	Ofus|OFUSG03664.1
OG0022190	Ofus|OFUSG02269.1
OG0022196	
OG0022218	
OG0022368	
OG0022402	
OG0022425	
OG0022493	
OG0022570	
OG0022595	
OG0023128	
OG0023130	Ofus|OFUSG17444.1
OG0023249	
OG0023366	
OG0023385	
OG0023414	
OG0023417	
OG0023460	
OG0023461	Ofus|OFUSG07221.1
OG0023484	
OG0023507	
OG0023545	Ofus|OFUSG10159.1
OG0023569	Ofus|OFUSG21041.1
OG0023575	Ofus|OFUSG00735.1
OG0023760	
OG0023820	
OG0024218	
OG0024229	
OG0024313	
OG0024336	
OG0024387	
OG0024414	
OG0024445	
OG0024480	
OG0024488	
OG0024600	
OG0024713	
OG0024738	
OG0024758	
OG0024809	
OG0024848	
OG0024894	
OG0024922	
OG0024961	
OG0024999	
OG0025040	
OG0025064	
OG0025106	
OG0025300	
OG0025316	
OG0025322	
OG0025329	
OG0025353	
OG0025376	
OG0025429	
OG0025521	
OG0025547	
OG0025583	
OG0025615	
OG0025646	
OG0025655	
OG0025658	
OG0025664	
OG0025746	
OG0025757	
OG0025885	
OG0025915	
OG0025918	
OG0025939	
OG0025940	
OG0025982	
OG0025994	
OG0026000	
OG0026027	
OG0026194	
OG0026196	
OG0026219	
OG0026248	
OG0026250	
OG0026268	
OG0026271	
OG0026288	
OG0026323	
OG0026325	
OG0026327	
OG0026332	
OG0026470	
OG0026497	
OG0026702	Ofus|OFUSG24658.1
OG0026729	
OG0026778	
OG0026780	Ofus|OFUSG12161.1
OG0026803	
OG0027595	
OG0027610	
OG0027721	
OG0027894	Ofus|OFUSG21680.1, Ofus|OFUSG22728.1
OG0027942	
OG0028013	
OG0028030	
OG0028110	
OG0028113	
OG0028116	
OG0028135	
OG0028139	
OG0028141	
OG0028155	
OG0028186	
OG0028196	
OG0028202	
OG0028208	Ofus|OFUSG03232.1, Ofus|OFUSG03233.1, Ofus|OFUSG03234.1
OG0028219	
OG0028240	
OG0028246	
OG0028273	
OG0028543	
OG0028586	
OG0029393	
OG0029454	
OG0029492	
OG0029510	
OG0029620	
OG0029692	
OG0029801	
OG0029879	
OG0029897	
OG0029917	
OG0029932	
OG0029943	
OG0029949	
OG0029958	
OG0029973	
OG0030110	
OG0030138	
OG0030286	
OG0030331	
OG0030470	
OG0030516	
OG0030604	
OG0030609	
OG0030631	
OG0030742	
OG0030814	
OG0030908	
OG0030972	
OG0030983	Ofus|OFUSG04228.1
OG0031010	
OG0031060	
OG0031096	
OG0031184	
OG0031195	
OG0031310	
OG0031328	Ofus|OFUSG06156.1
OG0031356	
OG0031365	Ofus|OFUSG07733.1
OG0031371	
OG0031433	
OG0031434	
OG0031438	
OG0031442	
OG0031529	
OG0031577	
OG0031611	
OG0031648	
OG0031737	
OG0031820	
OG0031867	
OG0031875	
OG0031878	
OG0031967	
OG0031988	
OG0031999	
OG0032067	
OG0032092	
OG0032116	
OG0032467	
OG0032516	
OG0032561	
OG0032876	
OG0032896	
OG0032913	
OG0032929	
OG0033094	
OG0033118	
OG0033384	
OG0034510	
OG0034570	
OG0034606	
OG0034821	
OG0034883	
OG0034945	
OG0035173	
OG0035261	
OG0035302	
OG0035344	
OG0035364	Ofus|OFUSG00234.1
OG0035500	
OG0035553	
OG0035554	
OG0035571	
OG0035577	
OG0035584	
OG0035607	
OG0035629	
OG0035654	
OG0035699	
OG0035750	
OG0035808	
OG0035822	
OG0035898	
OG0035917	
OG0035921	
OG0035937	
OG0036399	
OG0037931	
OG0038138	
OG0038185	
OG0038295	
OG0038402	
OG0038703	
OG0038711	
OG0038744	
OG0038756	
OG0038778	
OG0039190	
OG0039322	
OG0039360	
OG0039497	
OG0039615	
OG0040192	
OG0040435	
OG0040559	
OG0040689	
OG0040690	
OG0040814	
OG0040865	
OG0040897	
OG0041058	
OG0041082	
OG0041170	
OG0041373	
OG0041545	
OG0041759	
OG0042008	
OG0042017	
OG0042131	
OG0042157	
OG0042250	
OG0042321	
OG0043213	
OG0043214	
OG0043263	
OG0043271	
OG0043311	
OG0043314	
OG0044157	
OG0044455	
OG0044628	
OG0044634	
OG0045315	
OG0046964	
OG0047194	
OG0047604	
OG0047620	
OG0047793	
OG0047796	
OG0048044	
OG0048300	
OG0048585	
OG0049050	
OG0049056	
OG0049095	
OG0049170	
OG0049177	
OG0049347	
OG0049475	
OG0049539	
OG0049542	
OG0049543	
OG0049562	
OG0049589	
OG0049947	Ofus|OFUSG07839.1
OG0050039	
OG0050111	Ofus|OFUSG21138.1
OG0050258	
OG0050325	
OG0050423	
OG0050523	
OG0050562	
OG0050581	
OG0050590	
OG0050832	Ofus|OFUSG09723.1
OG0051292	
OG0051309	
OG0051481	
OG0051538	
OG0051696	
OG0051924	
OG0051941	
OG0051974	
OG0052099	
OG0052112	
