#Host
OALVG00000000005.1	K10660
OALVG00000002037.1	K12613
OALVG00000002038.1	K23496
OALVG00000002039.1	K01858
OALVG00000002041.1	K11266
OALVG00000002042.1	K23194
OALVG00000002049.1	K09191
OALVG00000002050.1	K20473
OALVG00000002072.1	K17936
OALVG00000002073.1	K23115
OALVG00000002077.1	K05849
OALVG00000002095.1	K01992
OALVG00000002103.1	K10997
OALVG00000002105.1	K07050
OALVG00000002132.1	K07407
OALVG00000002134.1	K21449
OALVG00000002134.1	K20276
OALVG00000002135.1	K07151
OALVG00000002135.1	K01992
OALVG00000002137.1	K01802
OALVG00000002138.1	K02606
OALVG00000002139.1	K16578
OALVG00000002141.1	K00697
OALVG00000002141.1	K01087
OALVG00000002145.1	K01968
OALVG00000002148.1	K18462
OALVG00000002151.1	K01992
OALVG00000002153.1	K01992
OALVG00000002155.1	K22936
OALVG00000002157.1	K01596
OALVG00000002163.1	K15631
OALVG00000002164.1	K21444
OALVG00000002164.1	K18738
OALVG00000002165.1	K17893
OALVG00000002167.1	K13539
OALVG00000002170.1	K01363
OALVG00000002177.1	K12488
OALVG00000002178.1	K03942
OALVG00000002185.1	K19625
OALVG00000002188.1	K01183
OALVG00000002194.1	K11656
OALVG00000002195.2	K15410
OALVG00000002200.1	K03030
OALVG00000002201.1	K18171
OALVG00000002205.1	K02995
OALVG00000002206.1	K06700
OALVG00000002207.1	K01640
OALVG00000002208.1	K10410
OALVG00000002209.1	K23563
OALVG00000002217.1	K09228
OALVG00000002217.1	K09191
OALVG00000002228.1	K24456
OALVG00000002236.1	K23002
OALVG00000002239.1	K17427
OALVG00000002242.1	K00718
OALVG00000002245.1	K04988
OALVG00000002245.1	K20276
OALVG00000002246.1	K00731
OALVG00000002246.1	K01992
OALVG00000002247.1	K00731
OALVG00000002251.1	K06867
OALVG00000002261.1	K03424
OALVG00000002262.1	K15278
OALVG00000002267.1	K10408
OALVG00000002271.1	K13373
OALVG00000002272.1	K14827
OALVG00000002273.1	K14827
OALVG00000002286.1	K00731
OALVG00000002295.1	K10293
OALVG00000002296.1	K10686
OALVG00000002297.1	K20392
OALVG00000002297.1	K20393
OALVG00000002301.1	K10520
OALVG00000002302.1	K10084
OALVG00000002304.1	K01886
OALVG00000002316.1	K12655
OALVG00000002325.1	K03847
OALVG00000002325.1	K01992
OALVG00000002329.1	K06059
OALVG00000002336.1	K11536
OALVG00000002337.1	K11536
OALVG00000002337.1	K01992
OALVG00000002338.1	K06066
OALVG00000002342.1	K01992
OALVG00000002344.1	K11536
OALVG00000002344.1	K01992
OALVG00000002348.1	K22738
OALVG00000002359.1	K08175
OALVG00000002362.1	K00289
OALVG00000002371.1	K25553
OALVG00000002372.1	K13131
OALVG00000002374.1	K12389
OALVG00000002374.1	K01992
OALVG00000002376.1	K12842
OALVG00000002378.1	K00572
OALVG00000002379.1	K18668
OALVG00000002382.1	K05724
OALVG00000002387.1	K01992
OALVG00000002391.1	K01992
OALVG00000002392.1	K01992
OALVG00000002393.1	K01613
OALVG00000002393.1	K01992
OALVG00000002394.1	K01992
OALVG00000002396.1	K01992
OALVG00000002397.1	K01992
OALVG00000002403.1	K01992
OALVG00000002404.2	K01870
OALVG00000002405.1	K04715
OALVG00000002410.1	K02493
OALVG00000002411.1	K08800
OALVG00000002412.1	K23612
OALVG00000002414.1	K21682
OALVG00000002414.1	K03737
OALVG00000002419.1	K12481
OALVG00000002421.1	K17404
OALVG00000002427.1	K05034
OALVG00000002440.1	K07297
OALVG00000002440.1	K01992
OALVG00000002441.1	K12733
OALVG00000002441.1	K03768
OALVG00000002442.1	K22988
OALVG00000002442.1	K01992
OALVG00000002445.1	K12646
OALVG00000002447.1	K10683
OALVG00000002449.1	K03934
OALVG00000002452.1	K03232
OALVG00000002456.1	K04659
OALVG00000002458.1	K15338
OALVG00000002459.1	K12373
OALVG00000002459.1	K00547
OALVG00000002461.1	K12373
OALVG00000002499.1	K01076
OALVG00000002504.1	K24166
OALVG00000002505.1	K24166
OALVG00000002506.1	K00774
OALVG00000002507.1	K18532
OALVG00000002531.1	K10524
OALVG00000002534.1	K12882
OALVG00000002538.1	K21870
OALVG00000002539.1	K14464
OALVG00000002547.1	K08844
OALVG00000002552.1	K03676
OALVG00000002554.1	K22803
OALVG00000002555.1	K12479
OALVG00000002556.1	K15273
OALVG00000002557.1	K11126
OALVG00000002564.1	K12405
OALVG00000002566.1	K10272
OALVG00000002572.1	K10703
OALVG00000002573.3	K24006
OALVG00000002582.1	K00128
OALVG00000002583.1	K00128
OALVG00000002587.1	K09191
OALVG00000002588.1	K09191
OALVG00000002590.1	K09191
OALVG00000002592.1	K09191
OALVG00000002597.1	K01934
OALVG00000002602.1	K02895
OALVG00000002603.1	K13096
OALVG00000002604.2	K23398
OALVG00000002606.1	K08958
OALVG00000002607.1	K16459
OALVG00000002630.1	K06232
OALVG00000002637.1	K21358
OALVG00000002639.1	K17292
OALVG00000002641.1	K12397
OALVG00000002642.3	K19995
OALVG00000002654.1	K06639
OALVG00000002723.1	K04351
OALVG00000002728.1	K17925
OALVG00000002729.1	K01953
OALVG00000002735.1	K09582
OALVG00000002736.1	K26084
OALVG00000002745.1	K25548
OALVG00000002747.1	K08856
OALVG00000002748.1	K10424
OALVG00000002750.1	K22647
OALVG00000002751.1	K08819
OALVG00000002752.1	K01107
OALVG00000002755.1	K00079
OALVG00000002756.1	K00079
OALVG00000002757.1	K00079
OALVG00000002758.1	K00079
OALVG00000002761.1	K15144
OALVG00000002762.1	K07834
OALVG00000002763.1	K20408
OALVG00000002767.1	K24575
OALVG00000002775.1	K02090
OALVG00000002776.1	K11650
OALVG00000002780.1	K25647
OALVG00000002781.1	K03066
OALVG00000002785.1	K23643
OALVG00000002786.1	K00710
OALVG00000002787.1	K22017
OALVG00000002790.1	K07200
OALVG00000002798.1	K01259
OALVG00000002802.1	K14754
OALVG00000002810.1	K12345
OALVG00000002811.1	K22400
OALVG00000002814.1	K22400
OALVG00000002816.1	K01992
OALVG00000002820.1	K03870
OALVG00000002825.1	K11251
OALVG00000002826.1	K11252
OALVG00000002827.1	K11251
OALVG00000002829.1	K00699
OALVG00000002833.1	K20216
OALVG00000002833.1	K14165
OALVG00000002833.1	K20551
OALVG00000002833.1	K18047
OALVG00000002837.1	K02901
OALVG00000002838.1	K23727
OALVG00000002840.1	K11550
OALVG00000002841.1	K07910
OALVG00000002843.1	K12897
OALVG00000002844.1	K11252
OALVG00000002845.1	K11251
OALVG00000002846.1	K03002
OALVG00000002848.1	K02040
OALVG00000002849.1	K01768
OALVG00000002851.1	K02040
OALVG00000002854.1	K05941
OALVG00000002854.1	K25587
OALVG00000002855.1	K05941
OALVG00000002855.1	K25587
OALVG00000002856.1	K23288
OALVG00000002857.1	K24990
OALVG00000002858.1	K01915
OALVG00000002859.1	K01915
OALVG00000002860.1	K01915
OALVG00000002861.1	K01915
OALVG00000002863.1	K07937
OALVG00000002874.1	K14034
OALVG00000002876.1	K16748
OALVG00000002892.1	K02318
OALVG00000002892.1	K00859
OALVG00000002892.1	K02201
OALVG00000002893.1	K21853
OALVG00000002894.1	K01990
OALVG00000002894.1	K01992
OALVG00000002900.1	K01992
OALVG00000002901.1	K05658
OALVG00000002901.1	K01992
OALVG00000002902.1	K05658
OALVG00000002902.1	K01992
OALVG00000002903.1	K05658
OALVG00000002903.1	K01992
OALVG00000002904.1	K10089
OALVG00000002905.1	K00637
OALVG00000002905.1	K01992
OALVG00000002906.1	K00058
OALVG00000002912.1	K00710
OALVG00000002913.1	K18703
OALVG00000002914.1	K17461
OALVG00000002915.2	K23864
OALVG00000002915.2	K01069
OALVG00000002934.1	K05648
OALVG00000002934.1	K01990
OALVG00000002934.1	K01992
OALVG00000002947.1	K00588
OALVG00000002952.1	K12858
OALVG00000002955.2	K06062
OALVG00000002956.1	K06695
OALVG00000002972.1	K05030
OALVG00000002976.1	K05030
OALVG00000002999.1	K19673
OALVG00000003030.1	K20276
OALVG00000003036.1	K19583
OALVG00000003037.1	K04711
OALVG00000003040.1	K24734
OALVG00000003044.1	K10885
OALVG00000003053.1	K22145
OALVG00000003054.1	K23029
OALVG00000003055.2	K24065
OALVG00000003069.1	K24254
OALVG00000003087.1	K10669
OALVG00000003089.1	K14383
OALVG00000003089.1	K03307
OALVG00000003094.1	K08852
OALVG00000003098.1	K11187
OALVG00000003113.1	K19199
OALVG00000003114.1	K23326
OALVG00000003118.1	K00025
OALVG00000003121.1	K19363
OALVG00000003123.1	K06070
OALVG00000003131.1	K02325
OALVG00000003137.1	K00614
OALVG00000003153.1	K20364
OALVG00000003156.1	K20368
OALVG00000003157.1	K22382
OALVG00000003158.1	K00649
OALVG00000003159.1	K11584
OALVG00000003162.1	K17512
OALVG00000003163.1	K03104
OALVG00000003164.1	K10684
OALVG00000003167.1	K21775
OALVG00000003168.1	K00699
OALVG00000003169.1	K00140
OALVG00000003171.1	K11274
OALVG00000003172.1	K14546
OALVG00000003173.1	K15014
OALVG00000003183.1	K06519
OALVG00000003201.1	K09492
OALVG00000003204.1	K23287
OALVG00000003208.1	K18259
OALVG00000003209.1	K11984
OALVG00000003215.1	K03109
OALVG00000003217.1	K07583
OALVG00000003220.1	K13143
OALVG00000003227.1	K10158
OALVG00000003228.1	K09649
OALVG00000003229.1	K06100
OALVG00000003240.1	K14965
OALVG00000003246.1	K06091
OALVG00000003253.1	K00552
OALVG00000003263.1	K11187
OALVG00000003288.1	K17231
OALVG00000003293.1	K01992
OALVG00000003299.1	K24255
OALVG00000003302.1	K04712
OALVG00000003303.1	K09201
OALVG00000003312.1	K19874
OALVG00000003314.1	K06826
OALVG00000003327.1	K00288
OALVG00000003327.1	K01938
OALVG00000003334.1	K02355
OALVG00000003335.1	K16801
OALVG00000003336.1	K05030
OALVG00000003339.1	K04703
OALVG00000003340.1	K05119
OALVG00000003348.1	K22647
OALVG00000003348.1	K20276
OALVG00000003349.1	K22647
OALVG00000003350.1	K17506
OALVG00000003375.1	K01992
OALVG00000003376.1	K09191
OALVG00000003379.1	K14301
OALVG00000003383.1	K12646
OALVG00000003393.1	K00106
OALVG00000003404.1	K14719
OALVG00000003406.1	K06569
OALVG00000003411.1	K02180
OALVG00000003412.1	K02963
OALVG00000003413.1	K19178
OALVG00000003413.1	K10901
OALVG00000003414.1	K17547
OALVG00000003416.1	K25644
OALVG00000003426.1	K24032
OALVG00000003428.1	K09309
OALVG00000003430.1	K09309
OALVG00000003439.1	K14794
OALVG00000003443.1	K01992
OALVG00000003450.1	K24428
OALVG00000003456.1	K01077
OALVG00000003464.1	K19022
OALVG00000003465.1	K10799
OALVG00000003465.1	K06867
OALVG00000003466.1	K10735
OALVG00000003474.1	K00626
OALVG00000003475.1	K21435
OALVG00000003479.1	K02842
OALVG00000003479.1	K01992
OALVG00000003488.1	K02872
OALVG00000003490.1	K11795
OALVG00000003491.1	K04984
OALVG00000003495.1	K01992
OALVG00000003516.1	K03386
OALVG00000003518.1	K19525
OALVG00000003519.1	K11390
OALVG00000003519.1	K01644
OALVG00000003520.1	K01611
OALVG00000003521.1	K01611
OALVG00000003525.1	K03127
OALVG00000003541.1	K01230
OALVG00000003542.2	K23718
OALVG00000003543.1	K22422
OALVG00000003544.1	K10482
OALVG00000003545.1	K00502
OALVG00000003545.1	K00500
OALVG00000003549.1	K19533
OALVG00000003552.1	K08545
OALVG00000003556.1	K02865
OALVG00000003557.1	K11857
OALVG00000003562.1	K11857
OALVG00000003583.1	K01759
OALVG00000003591.1	K19326
OALVG00000003595.1	K14621
OALVG00000003597.1	K23909
OALVG00000003603.1	K01179
OALVG00000003607.1	K01992
OALVG00000003624.1	K01992
OALVG00000003639.1	K14689
OALVG00000003641.1	K19177
OALVG00000003644.1	K13170
OALVG00000003645.1	K00591
OALVG00000003646.1	K00591
OALVG00000003648.1	K22855
OALVG00000003649.1	K03136
OALVG00000003650.1	K07933
OALVG00000003651.1	K23705
OALVG00000003653.1	K05657
OALVG00000003653.1	K01992
OALVG00000003658.1	K01148
OALVG00000003659.1	K04564
OALVG00000003660.1	K22824
