#Host
OFRAG00000000002.1	K07834
OFRAG00000000441.1	K14011
OFRAG00000000442.1	K03595
OFRAG00000000444.1	K24646
OFRAG00000000447.1	K01802
OFRAG00000000448.1	K24678
OFRAG00000000449.1	K03178
OFRAG00000000450.1	K21842
OFRAG00000000457.1	K23720
OFRAG00000000463.1	K19937
OFRAG00000000464.1	K20314
OFRAG00000000465.1	K10573
OFRAG00000000468.1	K06698
OFRAG00000000471.1	K14784
OFRAG00000000472.1	K05752
OFRAG00000000478.1	K06676
OFRAG00000000479.1	K26084
OFRAG00000000481.1	K02729
OFRAG00000000489.1	K11577
OFRAG00000000490.1	K14843
OFRAG00000000494.1	K13176
OFRAG00000000495.1	K15170
OFRAG00000000496.1	K00698
OFRAG00000000496.1	K01992
OFRAG00000000506.1	K12816
OFRAG00000000511.1	K10399
OFRAG00000000513.1	K01847
OFRAG00000000517.1	K03954
OFRAG00000000518.1	K16753
OFRAG00000000521.1	K14445
OFRAG00000000527.1	K10426
OFRAG00000000528.1	K23588
OFRAG00000000529.1	K09521
OFRAG00000000531.1	K00671
OFRAG00000000533.1	K06268
OFRAG00000000552.1	K19682
OFRAG00000000555.1	K03109
OFRAG00000000556.1	K14443
OFRAG00000000557.1	K17421
OFRAG00000000562.1	K14961
OFRAG00000000563.1	K10270
OFRAG00000000567.1	K14566
OFRAG00000000568.1	K16745
OFRAG00000000576.1	K09223
OFRAG00000000576.1	K09191
OFRAG00000000577.1	K20827
OFRAG00000000578.1	K12734
OFRAG00000000579.1	K01425
OFRAG00000000582.1	K04371
OFRAG00000000586.1	K07232
OFRAG00000000592.1	K15292
OFRAG00000000593.2	K01490
OFRAG00000000595.1	K05236
OFRAG00000000595.1	K17302
OFRAG00000000596.1	K01373
OFRAG00000000607.1	K13807
OFRAG00000000608.1	K24014
OFRAG00000000609.1	K16944
OFRAG00000000615.1	K11303
OFRAG00000000618.1	K21444
OFRAG00000000628.1	K15698
OFRAG00000000629.1	K09584
OFRAG00000000631.1	K11519
OFRAG00000000632.1	K16280
OFRAG00000000633.1	K16470
OFRAG00000000634.1	K17426
OFRAG00000000635.1	K02941
OFRAG00000000636.1	K21806
OFRAG00000000638.1	K00627
OFRAG00000000639.1	K14782
OFRAG00000000640.1	K19400
OFRAG00000000641.1	K03231
OFRAG00000000642.1	K13348
OFRAG00000000642.1	K13347
OFRAG00000000643.1	K24273
OFRAG00000000646.1	K17969
OFRAG00000000653.1	K13411
OFRAG00000000655.1	K01077
OFRAG00000000659.1	K22866
OFRAG00000000659.1	K10420
OFRAG00000000660.1	K20704
OFRAG00000000661.1	K09529
OFRAG00000000664.1	K02906
OFRAG00000000668.1	K14381
OFRAG00000000672.1	K02958
OFRAG00000000673.1	K23962
OFRAG00000000679.1	K20818
OFRAG00000000680.1	K00544
OFRAG00000000681.1	K16732
OFRAG00000000682.1	K14773
OFRAG00000000694.1	K00733
OFRAG00000000695.1	K01836
OFRAG00000000699.1	K01754
OFRAG00000000700.1	K18185
OFRAG00000000701.1	K10606
OFRAG00000000702.1	K14820
OFRAG00000000705.1	K17800
OFRAG00000000707.1	K05860
OFRAG00000000725.1	K01807
OFRAG00000000726.1	K20989
OFRAG00000000727.1	K10611
OFRAG00000000732.1	K20309
OFRAG00000000733.1	K01992
OFRAG00000000738.1	K03138
OFRAG00000000739.1	K00416
OFRAG00000000743.1	K15683
OFRAG00000000748.1	K18175
OFRAG00000000751.1	K09585
OFRAG00000000754.1	K09583
OFRAG00000000755.1	K00729
OFRAG00000000759.1	K14209
OFRAG00000000763.1	K23952
OFRAG00000000768.1	K11267
OFRAG00000000772.1	K11267
OFRAG00000000773.1	K25616
OFRAG00000000774.2	K23718
OFRAG00000000775.1	K00710
OFRAG00000000779.1	K24937
OFRAG00000000780.1	K20222
OFRAG00000000783.1	K11578
OFRAG00000000786.1	K09504
OFRAG00000000787.1	K02907
OFRAG00000000788.1	K02907
OFRAG00000000791.1	K02907
OFRAG00000000803.1	K11351
OFRAG00000000804.1	K07910
OFRAG00000000805.1	K23539
OFRAG00000000807.1	K14816
OFRAG00000000808.1	K11433
OFRAG00000000816.1	K08734
OFRAG00000000819.1	K15074
OFRAG00000000821.1	K20032
OFRAG00000000823.1	K07042
OFRAG00000000833.1	K17981
OFRAG00000000842.1	K19933
OFRAG00000000843.1	K16811
OFRAG00000000844.1	K24824
OFRAG00000000846.1	K03354
OFRAG00000000847.1	K12829
OFRAG00000000848.1	K09487
OFRAG00000000848.1	K04079
OFRAG00000000849.1	K25838
OFRAG00000000867.1	K22037
OFRAG00000000869.1	K22037
OFRAG00000000871.1	K17577
OFRAG00000000872.1	K08824
OFRAG00000000875.1	K00963
OFRAG00000000876.1	K02964
OFRAG00000000877.1	K03679
OFRAG00000000878.1	K03691
OFRAG00000000881.1	K11390
OFRAG00000000881.1	K01644
OFRAG00000000887.1	K20029
OFRAG00000000888.1	K00142
OFRAG00000000896.1	K23287
OFRAG00000000905.2	K10649
OFRAG00000000906.1	K24761
OFRAG00000000908.1	K13514
OFRAG00000000911.3	K14445
OFRAG00000000913.1	K15174
OFRAG00000000914.1	K24889
OFRAG00000000918.1	K22533
OFRAG00000000924.1	K19199
OFRAG00000000926.1	K16190
OFRAG00000000931.1	K25794
OFRAG00000000932.1	K03129
OFRAG00000000933.1	K18749
OFRAG00000000934.1	K06085
OFRAG00000000936.1	K13159
OFRAG00000000937.1	K01689
OFRAG00000000939.1	K23195
OFRAG00000000939.1	K09191
OFRAG00000000949.1	K00799
OFRAG00000000954.1	K10704
OFRAG00000000963.1	K11787
OFRAG00000000963.1	K01945
OFRAG00000000963.1	K01933
OFRAG00000000963.1	K00469
OFRAG00000000963.1	K11175
OFRAG00000000964.1	K15181
OFRAG00000000966.1	K01307
OFRAG00000000967.1	K01307
OFRAG00000000970.1	K11600
OFRAG00000000975.1	K07190
OFRAG00000000976.1	K15175
OFRAG00000000977.1	K20029
OFRAG00000000982.1	K17260
OFRAG00000000988.1	K01870
OFRAG00000000989.1	K03164
OFRAG00000000994.1	K09536
OFRAG00000000998.1	K04506
OFRAG00000001018.1	K09215
OFRAG00000001019.1	K19192
OFRAG00000001033.1	K05012
OFRAG00000001046.1	K14388
OFRAG00000001046.1	K03307
OFRAG00000001047.1	K14388
OFRAG00000001047.1	K03307
OFRAG00000001048.1	K01283
OFRAG00000001049.1	K09100
OFRAG00000001050.1	K09070
OFRAG00000001051.1	K01992
OFRAG00000001054.1	K06695
OFRAG00000001066.1	K22869
OFRAG00000001072.1	K09530
OFRAG00000001073.1	K15108
OFRAG00000001074.1	K04649
OFRAG00000001075.1	K02133
OFRAG00000001075.1	K02112
OFRAG00000001076.1	K00602
OFRAG00000001079.1	K11088
OFRAG00000001080.1	K00030
OFRAG00000001087.1	K10415
OFRAG00000001091.1	K15285
OFRAG00000001096.1	K22755
OFRAG00000001100.1	K23002
OFRAG00000001105.1	K20408
OFRAG00000001106.1	K03002
OFRAG00000001108.1	K10956
OFRAG00000001113.1	K16754
OFRAG00000001114.1	K08762
OFRAG00000001115.1	K00029
OFRAG00000001119.1	K12733
OFRAG00000001119.1	K03768
OFRAG00000001120.1	K07297
OFRAG00000001120.1	K01992
OFRAG00000001121.1	K10364
OFRAG00000001122.1	K16608
OFRAG00000001123.1	K17968
OFRAG00000001155.1	K22817
OFRAG00000001160.1	K01992
OFRAG00000001162.1	K06277
OFRAG00000001167.1	K03691
OFRAG00000001170.1	K18328
OFRAG00000001173.1	K05674
OFRAG00000001173.1	K01992
OFRAG00000001174.1	K23893
OFRAG00000001176.1	K01187
OFRAG00000001177.1	K00463
OFRAG00000001184.1	K10739
OFRAG00000001188.1	K19475
OFRAG00000001190.1	K24272
OFRAG00000001197.1	K11536
OFRAG00000001199.1	K01432
OFRAG00000001200.1	K08592
OFRAG00000001202.1	K24837
OFRAG00000001204.1	K01992
OFRAG00000001207.1	K03032
OFRAG00000001213.1	K10575
OFRAG00000001222.1	K12353
OFRAG00000001224.1	K13170
OFRAG00000001225.1	K24944
OFRAG00000001226.1	K07555
OFRAG00000001229.1	K14157
OFRAG00000001250.1	K15345
OFRAG00000001276.1	K15345
OFRAG00000001277.1	K15345
OFRAG00000001278.1	K15345
OFRAG00000001296.1	K04149
OFRAG00000001301.1	K24734
OFRAG00000001303.1	K23353
OFRAG00000001304.1	K23353
OFRAG00000001314.1	K11368
OFRAG00000001315.1	K09572
OFRAG00000001316.1	K01992
OFRAG00000001317.1	K13720
OFRAG00000001320.1	K07126
OFRAG00000001322.1	K03978
OFRAG00000001323.1	K02935
OFRAG00000001326.1	K04711
OFRAG00000001327.1	K01965
OFRAG00000001329.1	K10755
OFRAG00000001333.1	K22037
OFRAG00000001335.1	K22037
OFRAG00000001337.1	K19984
OFRAG00000001349.1	K08775
OFRAG00000001351.1	K23552
OFRAG00000001354.1	K19683
OFRAG00000001361.1	K14297
OFRAG00000001362.1	K03833
OFRAG00000001363.1	K03844
OFRAG00000001364.1	K23958
OFRAG00000001376.1	K10903
OFRAG00000001377.1	K17943
OFRAG00000001378.1	K01992
OFRAG00000001382.1	K00049
OFRAG00000001388.1	K02210
OFRAG00000001389.1	K10590
OFRAG00000001390.1	K00927
OFRAG00000001391.1	K14319
OFRAG00000001392.1	K20724
OFRAG00000001401.1	K08214
OFRAG00000001402.1	K08214
OFRAG00000001406.1	K03868
OFRAG00000001411.1	K10086
OFRAG00000001413.1	K06580
OFRAG00000001418.1	K02989
OFRAG00000001419.1	K14409
OFRAG00000001421.1	K15439
OFRAG00000001423.1	K17807
OFRAG00000001424.1	K18167
OFRAG00000001427.1	K06640
OFRAG00000001428.1	K10356
OFRAG00000001433.1	K02273
OFRAG00000001438.1	K16538
OFRAG00000001444.1	K11964
OFRAG00000001445.1	K03685
OFRAG00000001449.1	K21991
OFRAG00000001457.1	K18826
OFRAG00000001460.1	K14795
OFRAG00000001468.1	K03941
OFRAG00000001468.1	K00338
OFRAG00000001473.1	K11428
OFRAG00000001475.1	K03846
OFRAG00000001476.1	K14780
OFRAG00000001480.1	K11648
OFRAG00000001481.1	K02943
OFRAG00000001482.1	K15152
OFRAG00000001484.1	K17431
OFRAG00000001485.1	K25219
OFRAG00000001489.1	K10756
OFRAG00000001490.1	K09666
OFRAG00000001491.1	K05812
OFRAG00000001495.1	K11793
OFRAG00000001502.1	K22747
OFRAG00000001506.1	K04646
OFRAG00000001517.1	K04988
OFRAG00000001521.1	K01992
OFRAG00000001523.1	K05678
OFRAG00000001523.1	K01992
OFRAG00000001571.1	K01992
OFRAG00000001579.1	K12484
OFRAG00000001586.1	K08493
OFRAG00000001589.1	K02983
OFRAG00000001590.1	K24348
OFRAG00000001592.1	K07232
OFRAG00000001593.1	K22530
OFRAG00000001595.1	K08658
OFRAG00000001595.1	K07052
OFRAG00000001596.1	K06115
OFRAG00000001598.1	K12813
OFRAG00000001602.1	K19573
OFRAG00000001604.1	K24835
OFRAG00000001606.1	K13295
OFRAG00000001614.1	K20410
OFRAG00000001619.1	K13337
OFRAG00000001620.1	K10524
OFRAG00000001622.1	K13619
OFRAG00000001623.1	K10524
OFRAG00000001627.1	K11493
OFRAG00000001628.1	K08745
OFRAG00000001630.1	K08745
OFRAG00000001631.1	K11417
OFRAG00000001632.1	K03627
OFRAG00000001635.1	K03935
OFRAG00000001635.1	K00333
OFRAG00000001636.1	K01166
OFRAG00000001640.1	K17430
OFRAG00000001646.1	K01135
OFRAG00000001648.1	K09385
OFRAG00000001651.1	K04615
OFRAG00000001654.1	K04797
OFRAG00000001658.2	K21841
OFRAG00000001660.2	K03259
OFRAG00000001664.1	K16186
OFRAG00000001664.1	K17776
OFRAG00000001665.1	K15728
OFRAG00000001666.1	K14797
OFRAG00000001667.2	K15201
OFRAG00000001672.1	K09366
OFRAG00000001675.1	K07748
OFRAG00000001676.1	K16465
OFRAG00000001679.1	K17492
OFRAG00000001681.1	K08824
OFRAG00000001683.1	K24253
OFRAG00000001686.1	K19983
OFRAG00000001687.1	K18729
OFRAG00000001688.1	K09539
OFRAG00000001689.1	K24964
OFRAG00000001690.1	K22909
OFRAG00000001691.1	K22145
OFRAG00000001693.1	K12198
OFRAG00000001694.1	K11656
OFRAG00000001695.1	K19674
OFRAG00000001696.1	K14428
OFRAG00000001696.1	K01992
OFRAG00000001697.1	K13096
OFRAG00000001699.1	K24224
OFRAG00000001700.1	K10414
OFRAG00000001702.1	K19755
OFRAG00000001703.1	K08272
OFRAG00000001705.1	K00323
OFRAG00000001705.1	K00324
OFRAG00000001726.1	K11426
OFRAG00000001727.1	K22735
OFRAG00000001728.1	K19372
OFRAG00000001729.1	K00626
OFRAG00000001732.1	K24142
OFRAG00000001733.1	K01835
OFRAG00000001735.1	K06272
OFRAG00000001739.1	K17780
OFRAG00000001745.1	K09312
OFRAG00000001751.1	K17261
OFRAG00000001752.1	K19465
OFRAG00000001753.1	K03062
OFRAG00000001757.1	K18283
OFRAG00000001757.1	K20276
OFRAG00000001761.1	K08801
OFRAG00000001762.1	K13338
OFRAG00000001763.1	K19761
OFRAG00000001764.1	K19761
OFRAG00000001765.1	K14558
OFRAG00000001766.1	K23735
OFRAG00000001767.1	K24631
OFRAG00000001772.1	K08872
OFRAG00000001772.1	K07178
OFRAG00000001774.1	K08679
OFRAG00000001775.1	K08731
OFRAG00000001777.1	K01322
OFRAG00000001780.1	K00615
OFRAG00000001783.1	K22758
OFRAG00000001784.1	K01489
OFRAG00000001788.1	K25826
OFRAG00000001789.1	K12275
OFRAG00000001790.1	K00294
OFRAG00000001791.1	K12815
OFRAG00000001792.1	K25949
OFRAG00000001796.1	K19942
OFRAG00000001800.1	K07375
OFRAG00000001801.1	K12591
OFRAG00000001801.1	K06664
OFRAG00000001805.1	K18758
OFRAG00000001806.1	K16469
OFRAG00000001817.1	K00235
OFRAG00000001817.1	K00240
OFRAG00000001818.1	K25817
OFRAG00000001819.1	K01915
OFRAG00000001822.1	K15637
OFRAG00000001823.1	K08818
OFRAG00000001824.1	K20210
OFRAG00000001825.1	K19026
OFRAG00000001828.1	K02838
OFRAG00000001829.1	K02838
OFRAG00000001831.1	K02838
OFRAG00000001832.1	K02838
OFRAG00000001833.1	K01489
OFRAG00000001837.1	K16315
OFRAG00000001840.1	K12593
OFRAG00000001842.1	K09067
OFRAG00000001844.1	K04393
OFRAG00000001846.1	K22764
OFRAG00000001849.1	K10694
OFRAG00000001850.1	K15559
OFRAG00000001851.1	K24360
OFRAG00000001853.1	K02899
OFRAG00000001854.1	K10345
OFRAG00000001855.1	K17428
OFRAG00000001860.1	K15544
OFRAG00000001862.1	K09611
OFRAG00000001898.1	K06662
OFRAG00000001900.1	K02956
OFRAG00000001901.1	K14573
OFRAG00000001906.1	K00500
OFRAG00000001907.1	K18668
OFRAG00000001912.1	K08797
OFRAG00000001914.1	K01992
OFRAG00000001918.1	K00802
OFRAG00000001919.2	K00943
OFRAG00000001920.1	K24594
OFRAG00000001921.1	K02377
OFRAG00000001922.1	K06126
OFRAG00000001923.1	K09448
OFRAG00000001925.1	K12605
OFRAG00000001927.1	K14168
OFRAG00000001928.1	K25866
OFRAG00000001933.1	K05402
OFRAG00000001934.1	K07765
OFRAG00000001936.1	K13510
OFRAG00000001937.1	K03011
OFRAG00000001938.1	K11778
OFRAG00000001940.1	K01992
OFRAG00000001942.1	K01992
OFRAG00000001946.1	K07573
OFRAG00000001947.1	K13121
OFRAG00000001948.1	K13121
OFRAG00000001949.1	K03259
OFRAG00000001950.2	K20133
OFRAG00000001951.1	K25550
OFRAG00000001967.1	K19178
OFRAG00000001969.1	K22068
OFRAG00000001970.1	K15014
OFRAG00000001971.1	K00736
OFRAG00000001973.1	K23194
OFRAG00000001975.1	K11266
OFRAG00000001978.1	K14827
OFRAG00000001979.1	K01823
OFRAG00000001981.1	K01792
OFRAG00000001981.1	K09048
OFRAG00000001982.1	K17711
OFRAG00000001983.1	K03768
OFRAG00000001984.1	K19583
OFRAG00000002000.1	K08855
OFRAG00000002001.1	K24734
OFRAG00000002002.1	K12613
OFRAG00000002003.1	K20307
OFRAG00000002004.1	K12757
OFRAG00000002006.1	K01077
OFRAG00000002009.1	K01950
OFRAG00000002010.1	K02893
OFRAG00000002011.1	K01124
OFRAG00000002014.1	K22071
OFRAG00000002015.1	K23951
OFRAG00000002016.1	K24166
OFRAG00000002017.1	K07390
OFRAG00000002018.1	K23789
OFRAG00000002018.1	K01992
OFRAG00000002019.1	K10848
OFRAG00000002022.1	K26089
OFRAG00000002024.1	K17592
OFRAG00000002025.1	K25405
OFRAG00000002026.1	K14559
OFRAG00000002027.1	K13701
OFRAG00000002028.1	K24963
OFRAG00000002032.1	K24735
OFRAG00000002033.2	K14638
OFRAG00000002036.1	K12833
OFRAG00000002038.1	K07090
OFRAG00000002039.1	K20630
OFRAG00000002045.1	K24013
OFRAG00000002058.1	K17407
OFRAG00000002059.1	K07023
OFRAG00000002060.1	K14640
OFRAG00000002062.1	K17686
OFRAG00000002062.1	K21966
OFRAG00000002062.1	K06639
OFRAG00000002069.1	K01580
OFRAG00000002087.1	K01992
OFRAG00000002088.1	K01992
OFRAG00000002089.1	K19327
OFRAG00000002093.1	K02997
OFRAG00000002104.1	K15287
OFRAG00000002107.1	K18177
OFRAG00000002110.1	K18798
OFRAG00000002111.1	K17918
OFRAG00000002152.1	K14394
OFRAG00000002152.1	K25307
OFRAG00000002153.1	K15979
OFRAG00000002155.1	K08791
OFRAG00000002161.1	K00933
OFRAG00000002164.1	K02207
OFRAG00000002165.1	K18038
OFRAG00000002166.1	K18460
OFRAG00000002167.1	K24104
OFRAG00000002168.1	K12795
OFRAG00000002170.1	K07515
OFRAG00000002172.1	K07509
OFRAG00000002179.1	K06975
OFRAG00000002180.1	K22188
OFRAG00000002181.1	K01599
OFRAG00000002184.1	K01934
OFRAG00000002191.1	K23224
OFRAG00000002192.1	K13120
OFRAG00000002193.1	K00962
OFRAG00000002196.1	K11140
OFRAG00000002197.1	K14001
OFRAG00000002198.1	K14709
OFRAG00000002201.1	K07375
OFRAG00000002202.1	K00721
OFRAG00000002203.1	K10418
OFRAG00000002204.1	K23801
OFRAG00000002205.1	K19403
OFRAG00000002207.1	K24760
OFRAG00000002210.1	K18733
OFRAG00000002214.1	K11092
OFRAG00000002215.1	K20877
OFRAG00000002221.1	K01992
OFRAG00000002236.1	K20632
OFRAG00000002238.1	K11997
OFRAG00000002248.1	K15026
OFRAG00000002249.1	K02606
OFRAG00000002250.1	K03768
OFRAG00000002260.1	K12879
OFRAG00000002262.1	K11599
OFRAG00000002263.2	K10770
OFRAG00000002264.1	K01596
OFRAG00000002265.1	K15119
OFRAG00000002267.1	K23407
OFRAG00000002270.2	K03377
OFRAG00000002279.1	K00503
OFRAG00000002282.1	K20839
OFRAG00000002283.1	K07943
OFRAG00000002287.1	K13157
OFRAG00000002288.1	K04456
OFRAG00000002289.1	K15196
OFRAG00000002290.1	K01992
OFRAG00000002293.1	K24746
OFRAG00000002294.1	K02879
OFRAG00000002296.1	K08744
OFRAG00000002298.3	K08830
OFRAG00000002299.1	K15213
OFRAG00000002300.1	K16488
OFRAG00000002302.1	K00555
OFRAG00000002303.1	K15214
OFRAG00000002304.1	K03064
OFRAG00000002306.1	K09613
OFRAG00000002308.2	K13278
OFRAG00000002308.2	K01424
OFRAG00000002310.1	K17964
OFRAG00000002311.1	K22382
OFRAG00000002323.1	K06674
OFRAG00000002326.1	K09228
OFRAG00000002326.1	K09191
OFRAG00000002336.1	K03006
OFRAG00000002343.1	K20306
OFRAG00000002353.1	K14402
OFRAG00000002362.1	K22868
OFRAG00000002364.1	K16449
OFRAG00000002373.1	K19985
OFRAG00000002379.1	K25206
OFRAG00000002384.1	K14570
OFRAG00000002385.1	K10402
OFRAG00000002386.1	K09191
OFRAG00000002388.1	K01530
OFRAG00000002394.1	K25795
OFRAG00000002395.1	K12896
OFRAG00000002399.1	K24996
OFRAG00000002400.1	K25450
OFRAG00000002404.1	K04145
OFRAG00000002405.1	K12836
OFRAG00000002408.1	K16608
OFRAG00000002411.1	K12822
OFRAG00000002418.1	K10803
OFRAG00000002426.1	K06114
OFRAG00000002427.1	K20278
OFRAG00000002428.1	K20284
OFRAG00000002429.1	K02519
OFRAG00000002431.1	K09327
OFRAG00000002435.1	K12877
OFRAG00000002439.1	K22566
OFRAG00000002441.1	K03262
OFRAG00000002442.2	K10407
OFRAG00000002446.1	K23038
OFRAG00000002447.1	K17602
OFRAG00000002448.1	K16752
OFRAG00000002449.1	K06059
OFRAG00000002450.1	K12871
OFRAG00000002451.1	K25874
OFRAG00000002452.1	K24749
OFRAG00000002453.1	K00485
OFRAG00000002455.1	K02727
OFRAG00000002457.1	K06927
OFRAG00000002459.1	K07301
OFRAG00000002462.1	K21548
OFRAG00000002463.1	K20293
OFRAG00000002464.1	K15630
OFRAG00000002466.1	K17757
OFRAG00000002468.1	K17570
OFRAG00000002471.1	K17570
OFRAG00000002472.1	K14388
OFRAG00000002472.1	K03307
OFRAG00000002477.1	K04498
OFRAG00000002480.1	K01992
OFRAG00000002488.1	K15032
OFRAG00000002489.1	K11131
OFRAG00000002491.1	K09216
OFRAG00000002494.1	K09216
OFRAG00000002495.1	K09216
OFRAG00000002496.1	K09216
OFRAG00000002497.1	K00710
OFRAG00000002501.1	K12572
OFRAG00000002503.1	K14856
OFRAG00000002506.1	K09428
OFRAG00000002508.1	K15116
OFRAG00000002512.1	K13515
OFRAG00000002513.1	K15208
OFRAG00000002514.1	K19362
OFRAG00000002516.1	K02731
OFRAG00000002521.1	K25100
OFRAG00000002523.1	K17681
OFRAG00000002524.1	K03238
OFRAG00000002526.1	K12946
OFRAG00000002527.1	K02146
OFRAG00000002528.1	K10392
OFRAG00000002536.1	K20656
OFRAG00000002537.1	K13102
OFRAG00000002538.1	K11876
OFRAG00000002539.1	K25164
OFRAG00000002542.1	K22385
OFRAG00000002544.1	K01092
OFRAG00000002546.1	K12373
OFRAG00000002547.1	K02311
OFRAG00000002554.1	K05305
OFRAG00000002559.1	K09191
OFRAG00000002560.1	K24721
OFRAG00000002561.1	K12232
OFRAG00000002562.1	K09680
OFRAG00000002563.1	K25777
OFRAG00000002564.1	K06997
OFRAG00000002565.1	K01899
OFRAG00000002565.1	K01902
OFRAG00000002565.1	K02907
OFRAG00000002571.1	K00654
OFRAG00000002575.1	K00720
OFRAG00000002577.1	K07198
OFRAG00000002589.1	K07189
OFRAG00000002590.1	K11142
OFRAG00000002590.1	K01255
OFRAG00000002592.1	K10436
OFRAG00000002593.1	K17301
OFRAG00000002594.1	K14445
OFRAG00000002597.1	K22399
OFRAG00000002600.1	K12581
OFRAG00000002602.1	K18416
OFRAG00000002606.1	K01992
OFRAG00000002618.1	K11979
OFRAG00000002621.1	K04703
OFRAG00000002623.1	K01082
OFRAG00000002624.1	K05208
OFRAG00000002633.1	K03124
OFRAG00000002642.1	K02991
