#Host
nbis-mrna-10864	K22182
nbis-mrna-20908	K06316
nbis-mrna-20909	K05545
nbis-mrna-20912	K26126
nbis-mrna-971	K18849
nbis-mrna-972	K09191
nbis-mrna-973	K04511
nbis-mrna-974	K19656
nbis-mrna-977	K08870
nbis-mrna-978	K23505
nbis-mrna-979	K13094
nbis-mrna-981	K01008
nbis-mrna-980	K01008
nbis-mrna-983	K10260
nbis-mrna-987	K08681
nbis-mrna-985	K06215
nbis-mrna-986	K22563
nbis-mrna-21144	K09228
nbis-mrna-21144	K09191
nbis-mrna-21145	K10736
nbis-mrna-21148	K10755
nbis-mrna-21147	K02136
nbis-mrna-12273	K09191
nbis-mrna-11099	K09191
nbis-mrna-19170	K24502
nbis-mrna-19170	K09191
nbis-mrna-19171	K08597
nbis-mrna-8143	K04437
nbis-mrna-8144	K07937
nbis-mrna-8144	K07939
nbis-mrna-6540	K08041
nbis-mrna-6541	K17593
nbis-mrna-22193	K06238
nbis-mrna-8133	K01992
nbis-mrna-7186	K12818
nbis-mrna-7185	K17981
nbis-mrna-7187	K01069
nbis-mrna-7188	K24974
nbis-mrna-7189	K10162
nbis-mrna-7190	K10162
nbis-mrna-7191	K09228
nbis-mrna-7191	K09191
nbis-mrna-7192	K09228
nbis-mrna-7192	K09191
nbis-mrna-5717	K12606
nbis-mrna-5716	K17907
nbis-mrna-5715	K08852
nbis-mrna-5260	K09070
nbis-mrna-5261	K14611
nbis-mrna-12047	K15166
nbis-mrna-12046	K01369
nbis-mrna-12045	K01369
nbis-mrna-13935	K21971
nbis-mrna-15898	K21971
nbis-mrna-15899	K09368
nbis-mrna-1170	K00760
nbis-mrna-8898	K11869
nbis-mrna-8753	K20126
nbis-mrna-8752	K04237
nbis-mrna-11712	K09191
nbis-mrna-21973	K05544
nbis-mrna-17649	K04499
nbis-mrna-17648	K00710
nbis-mrna-8775	K21872
nbis-mrna-6578	K24335
nbis-mrna-6577	K13101
nbis-mrna-6574	K15122
nbis-mrna-21337	K10580
nbis-mrna-21338	K00643
nbis-mrna-21343	K11418
nbis-mrna-9502	K07752
nbis-mrna-8542	K07752
nbis-mrna-8540	K23564
nbis-mrna-8541	K01050
nbis-mrna-8536	K01050
nbis-mrna-20234	K17894
nbis-mrna-18253	K13719
nbis-mrna-18252	K17267
nbis-mrna-18249	K10956
nbis-mrna-775	K13190
nbis-mrna-778	K10627
nbis-mrna-777	K17795
nbis-mrna-781	K01875
nbis-mrna-10850	K14004
nbis-mrna-2303	K03949
nbis-mrna-21909	K13131
nbis-mrna-2110	K12842
nbis-mrna-9735	K05724
nbis-mrna-11697	K05619
nbis-mrna-21886	K02540
nbis-mrna-21885	K01254
nbis-mrna-12033	K16455
nbis-mrna-5833	K01824
nbis-mrna-5831	K08588
nbis-mrna-16956	K06820
nbis-mrna-16958	K01137
nbis-mrna-16959	K24030
nbis-mrna-15474	K24973
nbis-mrna-15472	K23554
nbis-mrna-140	K23554
nbis-mrna-138	K07897
nbis-mrna-137	K08218
nbis-mrna-134	K24175
nbis-mrna-133	K14960
nbis-mrna-132	K17065
nbis-mrna-129	K21625
nbis-mrna-130	K01900
nbis-mrna-120	K17255
nbis-mrna-8808	K00966
nbis-mrna-8805	K08832
nbis-mrna-8803	K06176
nbis-mrna-8802	K24944
nbis-mrna-11836	K09487
nbis-mrna-11836	K04079
nbis-mrna-11834	K07374
nbis-mrna-11832	K24227
nbis-mrna-20623	K24227
nbis-mrna-16770	K18732
nbis-mrna-6018	K17583
nbis-mrna-6019	K18189
nbis-mrna-6014	K05619
nbis-mrna-6008	K05619
nbis-mrna-6007	K20315
nbis-mrna-6005	K20803
nbis-mrna-12834	K08864
nbis-mrna-21868	K14358
nbis-mrna-7736	K14863
nbis-mrna-7741	K00710
nbis-mrna-7743	K22078
nbis-mrna-7831	K13164
nbis-mrna-7830	K08874
nbis-mrna-7826	K07513
nbis-mrna-4081	K23308
nbis-mrna-11818	K09191
nbis-mrna-11817	K07374
nbis-mrna-11816	K23588
nbis-mrna-11815	K00671
nbis-mrna-15901	K04153
nbis-mrna-15465	K10683
nbis-mrna-15466	K16733
nbis-mrna-20950	K07374
nbis-mrna-20949	K07374
nbis-mrna-20947	K07374
nbis-mrna-20948	K07374
nbis-mrna-20946	K07374
nbis-mrna-20944	K25381
nbis-mrna-20943	K17893
nbis-mrna-20942	K12198
nbis-mrna-20941	K21031
nbis-mrna-20940	K03283
nbis-mrna-20939	K03283
nbis-mrna-10695	K01992
nbis-mrna-16643	K06238
nbis-mrna-16642	K09228
nbis-mrna-16642	K09191
nbis-mrna-12052	K24456
nbis-mrna-12051	K24962
nbis-mrna-12465	K06249
nbis-mrna-2063	K11481
nbis-mrna-14180	K06265
nbis-mrna-3585	K22194
nbis-mrna-3583	K11793
nbis-mrna-3582	K09515
nbis-mrna-19527	K12478
nbis-mrna-19525	K00382
nbis-mrna-19524	K04730
nbis-mrna-4264	K21774
nbis-mrna-4263	K25475
nbis-mrna-4265	K06636
nbis-mrna-4261	K15687
nbis-mrna-4260	K10838
nbis-mrna-9486	K16754
nbis-mrna-9486	K11098
nbis-mrna-9485	K13528
nbis-mrna-21086	K12666
nbis-mrna-21089	K14650
nbis-mrna-21090	K07951
nbis-mrna-20981	K17886
nbis-mrna-20983	K03662
nbis-mrna-20982	K02973
nbis-mrna-16779	K10905
nbis-mrna-20098	K24838
nbis-mrna-20101	K00181
nbis-mrna-20102	K00088
nbis-mrna-5884	K07963
nbis-mrna-5883	K20310
nbis-mrna-5886	K04441
nbis-mrna-5888	K16608
nbis-mrna-5887	K10364
nbis-mrna-5892	K09191
nbis-mrna-5891	K09228
nbis-mrna-5891	K09191
nbis-mrna-5897	K14288
nbis-mrna-5896	K02882
nbis-mrna-8040	K13102
nbis-mrna-8042	K20251
nbis-mrna-8044	K14962
nbis-mrna-21715	K11529
nbis-mrna-21717	K05752
nbis-mrna-15775	K16288
nbis-mrna-15776	K09666
nbis-mrna-19671	K20292
nbis-mrna-5269	K14800
nbis-mrna-3234	K01613
nbis-mrna-3235	K01275
nbis-mrna-3235	K01363
nbis-mrna-3236	K12840
nbis-mrna-10822	K13049
nbis-mrna-10821	K13049
nbis-mrna-14020	K04513
nbis-mrna-14018	K10280
nbis-mrna-14017	K18156
nbis-mrna-20916	K12611
nbis-mrna-20919	K13154
nbis-mrna-22135	K15279
nbis-mrna-18856	K00718
nbis-mrna-18854	K04988
nbis-mrna-18854	K20276
nbis-mrna-18854	K21449
nbis-mrna-3935	K00731
nbis-mrna-7524	K02908
nbis-mrna-3708	K22738
nbis-mrna-20158	K11536
nbis-mrna-20154	K11536
nbis-mrna-20154	K01992
nbis-mrna-9585	K11536
nbis-mrna-9585	K01992
nbis-mrna-5566	K10645
nbis-mrna-5280	K08852
nbis-mrna-5281	K09191
nbis-mrna-5279	K09228
nbis-mrna-5279	K09191
nbis-mrna-20769	K06698
nbis-mrna-20768	K09228
nbis-mrna-20768	K09191
nbis-mrna-7155	K03954
nbis-mrna-7755	K10356
nbis-mrna-7756	K03036
nbis-mrna-7758	K09191
nbis-mrna-7759	K09191
nbis-mrna-19451	K11459
nbis-mrna-14142	K15278
nbis-mrna-1532	K12655
nbis-mrna-10994	K01886
nbis-mrna-10997	K10084
nbis-mrna-10999	K10520
nbis-mrna-11001	K20392
nbis-mrna-11001	K20393
nbis-mrna-11000	K10686
nbis-mrna-11003	K10293
nbis-mrna-11006	K00731
nbis-mrna-10205	K14827
nbis-mrna-15780	K14827
nbis-mrna-14786	K09228
nbis-mrna-14786	K09191
nbis-mrna-14785	K15186
nbis-mrna-14782	K07831
nbis-mrna-14781	K01648
nbis-mrna-14781	K02907
nbis-mrna-14776	K19360
nbis-mrna-3489	K12835
nbis-mrna-3490	K25292
nbis-mrna-3491	K24690
nbis-mrna-3434	K25788
nbis-mrna-3429	K14294
nbis-mrna-3426	K20185
nbis-mrna-3425	K26089
nbis-mrna-16693	K01953
nbis-mrna-432	K09582
nbis-mrna-7674	K26084
nbis-mrna-7675	K25548
nbis-mrna-2473	K22647
nbis-mrna-6800	K10424
nbis-mrna-6799	K08856
nbis-mrna-6797	K25548
nbis-mrna-15630	K01107
nbis-mrna-15632	K08819
nbis-mrna-4441	K06062
nbis-mrna-4442	K12858
nbis-mrna-4747	K25559
nbis-mrna-17719	K17461
nbis-mrna-17718	K18703
nbis-mrna-17717	K00710
nbis-mrna-2721	K00058
nbis-mrna-2716	K00637
nbis-mrna-2716	K01992
nbis-mrna-2719	K10089
nbis-mrna-2715	K01992
nbis-mrna-4793	K03143
nbis-mrna-4794	K05357
nbis-mrna-4798	K01992
nbis-mrna-4802	K05658
nbis-mrna-4802	K01992
nbis-mrna-4803	K05658
nbis-mrna-4803	K01992
nbis-mrna-4804	K05658
nbis-mrna-4804	K01992
nbis-mrna-18523	K01992
nbis-mrna-18522	K01992
nbis-mrna-8789	K05658
nbis-mrna-8789	K01992
nbis-mrna-12218	K01992
nbis-mrna-20018	K05658
nbis-mrna-20018	K01992
nbis-mrna-20017	K01992
nbis-mrna-8265	K05658
nbis-mrna-8265	K01992
nbis-mrna-8263	K01992
nbis-mrna-8262	K01992
nbis-mrna-8261	K01992
nbis-mrna-8260	K01992
nbis-mrna-8259	K01992
nbis-mrna-17535	K01992
nbis-mrna-14261	K20407
nbis-mrna-14260	K20407
nbis-mrna-18738	K22647
nbis-mrna-18735	K00710
nbis-mrna-18733	K08738
nbis-mrna-18732	K01823
nbis-mrna-18731	K01847
nbis-mrna-18730	K08360
nbis-mrna-18730	K01992
nbis-mrna-9320	K24348
nbis-mrna-591	K09191
nbis-mrna-594	K09191
nbis-mrna-596	K08211
nbis-mrna-608	K12852
nbis-mrna-606	K15451
nbis-mrna-607	K00505
nbis-mrna-612	K14388
nbis-mrna-612	K03307
nbis-mrna-613	K14388
nbis-mrna-613	K01992
nbis-mrna-10842	K25081
nbis-mrna-10843	K25081
nbis-mrna-10845	K00762
nbis-mrna-18598	K01992
nbis-mrna-18600	K10843
nbis-mrna-18601	K14358
nbis-mrna-18602	K01647
nbis-mrna-18605	K23879
nbis-mrna-6325	K17654
nbis-mrna-3499	K14440
nbis-mrna-2340	K01992
nbis-mrna-22341	K07435
nbis-mrna-22340	K14320
nbis-mrna-22339	K15210
nbis-mrna-22337	K24824
nbis-mrna-22335	K24824
nbis-mrna-13698	K12828
nbis-mrna-13699	K18588
nbis-mrna-13696	K18588
nbis-mrna-22149	K23288
nbis-mrna-22147	K05941
nbis-mrna-22147	K25587
nbis-mrna-1320	K26006
nbis-mrna-1324	K10864
nbis-mrna-13127	K19360
nbis-mrna-13128	K23029
nbis-mrna-15556	K23739
nbis-mrna-15555	K03979
nbis-mrna-15552	K05917
nbis-mrna-17729	K11138
nbis-mrna-1200	K01965
nbis-mrna-1203	K08592
nbis-mrna-1205	K02090
nbis-mrna-1206	K11650
nbis-mrna-1207	K03066
nbis-mrna-1306	K23643
nbis-mrna-1305	K00710
nbis-mrna-1303	K07200
nbis-mrna-19582	K01259
nbis-mrna-823	K12345
nbis-mrna-827	K22400
nbis-mrna-828	K22400
nbis-mrna-833	K03870
nbis-mrna-18338	K11251
nbis-mrna-18338	K11252
nbis-mrna-18339	K11251
nbis-mrna-18000	K02901
nbis-mrna-18004	K11550
nbis-mrna-18003	K07910
nbis-mrna-18005	K12897
nbis-mrna-18007	K12897
nbis-mrna-18009	K11252
nbis-mrna-18011	K11251
nbis-mrna-6948	K04077
nbis-mrna-6953	K04078
nbis-mrna-6952	K00072
nbis-mrna-6951	K11543
nbis-mrna-6947	K05758
nbis-mrna-6946	K15716
nbis-mrna-7482	K23092
nbis-mrna-5409	K16513
nbis-mrna-5408	K11310
nbis-mrna-5405	K19402
nbis-mrna-5404	K10270
nbis-mrna-5406	K07514
nbis-mrna-13797	K12821
nbis-mrna-13792	K08576
nbis-mrna-13790	K18629
nbis-mrna-13788	K17043
nbis-mrna-12916	K12236
nbis-mrna-12917	K10448
nbis-mrna-8087	K00552
nbis-mrna-22489	K05661
nbis-mrna-22489	K01992
nbis-mrna-22492	K00275
nbis-mrna-22493	K11716
nbis-mrna-22495	K21595
nbis-mrna-13839	K09191
nbis-mrna-2529	K02318
nbis-mrna-2529	K00859
nbis-mrna-2251	K02318
nbis-mrna-2251	K00859
nbis-mrna-2251	K02201
nbis-mrna-11737	K16748
nbis-mrna-17801	K07937
nbis-mrna-17804	K01915
nbis-mrna-9417	K23957
nbis-mrna-9416	K25532
nbis-mrna-16856	K16601
nbis-mrna-20978	K24575
nbis-mrna-20979	K20408
nbis-mrna-2714	K20408
nbis-mrna-2712	K07834
nbis-mrna-2713	K15144
nbis-mrna-10352	K23553
nbis-mrna-10355	K23907
nbis-mrna-10356	K24734
nbis-mrna-9739	K00710
nbis-mrna-9740	K25610
nbis-mrna-22430	K25610
nbis-mrna-22431	K07950
nbis-mrna-22429	K00859
nbis-mrna-1121	K14685
nbis-mrna-1123	K15167
nbis-mrna-17301	K14552
nbis-mrna-17302	K00613
nbis-mrna-13729	K12188
nbis-mrna-2102	K04424
nbis-mrna-18355	K14020
nbis-mrna-18355	K01992
nbis-mrna-18356	K00920
nbis-mrna-18356	K00889
nbis-mrna-18354	K02735
nbis-mrna-20096	K09645
nbis-mrna-22191	K01992
nbis-mrna-2357	K07817
nbis-mrna-19089	K15208
nbis-mrna-19090	K14816
nbis-mrna-19088	K10605
nbis-mrna-15116	K01880
nbis-mrna-11942	K11978
nbis-mrna-11939	K23880
nbis-mrna-11940	K10389
nbis-mrna-21119	K21766
nbis-mrna-15020	K21766
nbis-mrna-2734	K11536
nbis-mrna-17796	K14399
nbis-mrna-17797	K08104
nbis-mrna-13267	K08762
nbis-mrna-13266	K02078
nbis-mrna-1363	K07555
nbis-mrna-14272	K09069
nbis-mrna-10172	K06695
nbis-mrna-18715	K12399
nbis-mrna-18714	K00456
nbis-mrna-17905	K16728
nbis-mrna-17906	K06634
nbis-mrna-17912	K00873
nbis-mrna-17910	K00831
nbis-mrna-17911	K21138
nbis-mrna-19764	K01593
nbis-mrna-19488	K13280
nbis-mrna-251	K10283
nbis-mrna-6395	K01231
nbis-mrna-6400	K15085
nbis-mrna-6399	K05677
nbis-mrna-6399	K01992
nbis-mrna-21950	K20402
nbis-mrna-21951	K11271
nbis-mrna-21958	K09191
nbis-mrna-21957	K09191
nbis-mrna-21956	K14798
nbis-mrna-21961	K12486
nbis-mrna-21960	K03139
nbis-mrna-21962	K23222
nbis-mrna-21966	K14322
nbis-mrna-21969	K13165
nbis-mrna-21968	K16365
nbis-mrna-1881	K11886
nbis-mrna-7357	K11886
nbis-mrna-7356	K15121
nbis-mrna-7358	K01681
nbis-mrna-7355	K19539
nbis-mrna-8120	K15027
nbis-mrna-8121	K25615
nbis-mrna-8119	K06067
nbis-mrna-9056	K06067
nbis-mrna-9058	K17046
nbis-mrna-9059	K10808
nbis-mrna-9059	K00526
nbis-mrna-11141	K03872
nbis-mrna-11136	K03469
nbis-mrna-11140	K02993
nbis-mrna-11137	K13344
nbis-mrna-11134	K14971
nbis-mrna-11135	K03237
nbis-mrna-11133	K08855
nbis-mrna-11132	K16586
nbis-mrna-11129	K22071
nbis-mrna-11128	K10584
nbis-mrna-9268	K06662
nbis-mrna-9267	K06662
nbis-mrna-4731	K14844
nbis-mrna-14121	K20280
nbis-mrna-14124	K03363
nbis-mrna-14122	K00432
nbis-mrna-8152	K04634
nbis-mrna-4944	K00720
nbis-mrna-4941	K01784
nbis-mrna-4942	K25186
nbis-mrna-4940	K22733
nbis-mrna-4940	K01992
nbis-mrna-4937	K01164
nbis-mrna-4938	K09022
nbis-mrna-4934	K17594
nbis-mrna-13416	K02971
nbis-mrna-21077	K15528
nbis-mrna-21072	K15528
nbis-mrna-20077	K15528
nbis-mrna-20078	K03138
nbis-mrna-20073	K10291
nbis-mrna-20074	K02922
nbis-mrna-315	K07198
nbis-mrna-317	K24469
nbis-mrna-316	K21403
nbis-mrna-314	K20776
nbis-mrna-311	K13525
nbis-mrna-21998	K09534
nbis-mrna-11181	K02734
nbis-mrna-11182	K10436
nbis-mrna-11179	K12475
nbis-mrna-11176	K08057
nbis-mrna-11175	K06639
nbis-mrna-11171	K06085
nbis-mrna-11170	K00726
nbis-mrna-11168	K07903
nbis-mrna-11167	K02978
nbis-mrna-15521	K19676
nbis-mrna-15520	K10080
nbis-mrna-3453	K23883
nbis-mrna-12642	K11298
nbis-mrna-12643	K14018
nbis-mrna-12640	K02930
nbis-mrna-12644	K15707
nbis-mrna-12641	K19787
nbis-mrna-4308	K12737
nbis-mrna-4306	K16583
nbis-mrna-4307	K13775
nbis-mrna-1722	K17086
nbis-mrna-1722	K01992
nbis-mrna-1720	K07739
nbis-mrna-1718	K12303
nbis-mrna-11349	K15304
nbis-mrna-11351	K00875
nbis-mrna-11361	K06672
nbis-mrna-11363	K21437
nbis-mrna-11370	K21424
nbis-mrna-11372	K21424
nbis-mrna-8272	K20058
nbis-mrna-8273	K03145
nbis-mrna-8275	K09275
nbis-mrna-4806	K01050
nbis-mrna-16579	K10305
nbis-mrna-16581	K17259
nbis-mrna-16581	K17428
nbis-mrna-16582	K17259
nbis-mrna-16582	K17428
nbis-mrna-14799	K13207
nbis-mrna-14798	K09651
nbis-mrna-11520	K10144
nbis-mrna-11521	K15365
nbis-mrna-12239	K09397
nbis-mrna-20643	K01187
nbis-mrna-20642	K23628
nbis-mrna-17962	K23628
nbis-mrna-17961	K12877
nbis-mrna-22073	K24341
nbis-mrna-22072	K01805
nbis-mrna-22069	K10631
nbis-mrna-22067	K20098
nbis-mrna-22066	K12598
nbis-mrna-22065	K05360
nbis-mrna-22063	K07441
nbis-mrna-22062	K21842
nbis-mrna-8303	K21842
nbis-mrna-8302	K07841
nbis-mrna-21352	K04402
nbis-mrna-21350	K01974
nbis-mrna-21351	K09699
nbis-mrna-10042	K11140
nbis-mrna-10042	K11141
nbis-mrna-10051	K11268
nbis-mrna-10052	K11268
nbis-mrna-10053	K09215
nbis-mrna-10053	K09191
nbis-mrna-16273	K14296
nbis-mrna-17464	K22817
nbis-mrna-4211	K05030
nbis-mrna-4208	K10104
nbis-mrna-4208	K25360
nbis-mrna-4208	K25359
nbis-mrna-4208	K08767
nbis-mrna-4208	K22288
nbis-mrna-4208	K10417
nbis-mrna-13399	K10104
nbis-mrna-13399	K25360
nbis-mrna-13399	K25359
nbis-mrna-13399	K08767
nbis-mrna-13399	K22288
nbis-mrna-13399	K10417
nbis-mrna-8415	K02876
nbis-mrna-8411	K03247
nbis-mrna-8412	K14773
nbis-mrna-8409	K09666
nbis-mrna-8407	K20465
nbis-mrna-6093	K19996
nbis-mrna-6094	K16483
nbis-mrna-20846	K13304
nbis-mrna-20840	K10772
nbis-mrna-1747	K20703
nbis-mrna-15709	K23693
nbis-mrna-15712	K23847
nbis-mrna-15714	K14298
nbis-mrna-15715	K14379
nbis-mrna-15721	K01992
nbis-mrna-15723	K01992
nbis-mrna-15728	K01992
nbis-mrna-15479	K14379
nbis-mrna-3783	K22754
nbis-mrna-3780	K20293
nbis-mrna-3766	K24456
nbis-mrna-3764	K07765
nbis-mrna-3763	K03242
nbis-mrna-3753	K05970
nbis-mrna-3756	K07393
nbis-mrna-3754	K07393
nbis-mrna-3956	K17306
nbis-mrna-19393	K15166
nbis-mrna-7497	K12757
nbis-mrna-7495	K00858
nbis-mrna-7496	K14692
nbis-mrna-7493	K07964
nbis-mrna-7492	K16489
nbis-mrna-7490	K10895
nbis-mrna-15817	K20226
nbis-mrna-12197	K02939
nbis-mrna-12196	K00861
nbis-mrna-12194	K22808
nbis-mrna-12193	K17921
nbis-mrna-7263	K11791
nbis-mrna-5777	K15255
nbis-mrna-5778	K11471
nbis-mrna-7267	K07048
nbis-mrna-7266	K24752
nbis-mrna-7268	K03843
nbis-mrna-1725	K16765
nbis-mrna-1726	K09502
nbis-mrna-1733	K08811
nbis-mrna-1731	K03032
nbis-mrna-1732	K11997
nbis-mrna-1735	K24095
nbis-mrna-14852	K03105
nbis-mrna-14853	K24963
nbis-mrna-5991	K04416
nbis-mrna-6523	K01992
nbis-mrna-8504	K01841
nbis-mrna-8505	K09459
nbis-mrna-8503	K12472
nbis-mrna-8501	K24763
nbis-mrna-4707	K01881
nbis-mrna-4710	K03754
nbis-mrna-4709	K13199
nbis-mrna-38	K13862
nbis-mrna-39	K14617
nbis-mrna-39	K01992
nbis-mrna-10101	K23581
nbis-mrna-11095	K09072
nbis-mrna-22353	K03440
nbis-mrna-8592	K05286
nbis-mrna-11142	K03014
nbis-mrna-11143	K00901
nbis-mrna-11144	K03964
nbis-mrna-11149	K01772
nbis-mrna-11150	K23909
nbis-mrna-11148	K00772
nbis-mrna-11152	K05725
nbis-mrna-11153	K01992
nbis-mrna-19495	K15789
nbis-mrna-19496	K15789
nbis-mrna-19497	K17499
nbis-mrna-19499	K08875
nbis-mrna-19501	K16487
nbis-mrna-19503	K10586
nbis-mrna-19504	K12849
nbis-mrna-19505	K02603
nbis-mrna-19513	K19876
nbis-mrna-19511	K06988
nbis-mrna-19512	K06988
nbis-mrna-6636	K07756
nbis-mrna-16377	K15266
nbis-mrna-20272	K21852
nbis-mrna-20269	K03123
nbis-mrna-20266	K07952
nbis-mrna-8487	K03440
nbis-mrna-8486	K03440
nbis-mrna-5801	K15283
nbis-mrna-5800	K19872
nbis-mrna-5796	K19679
nbis-mrna-5793	K08267
nbis-mrna-5791	K11092
nbis-mrna-5789	K03963
nbis-mrna-3150	K02134
nbis-mrna-3150	K02114
nbis-mrna-3149	K00416
nbis-mrna-3148	K19369
nbis-mrna-3147	K09232
nbis-mrna-3145	K24067
nbis-mrna-3146	K14315
nbis-mrna-3143	K09173
nbis-mrna-22131	K14823
nbis-mrna-22132	K25474
nbis-mrna-22133	K03364
nbis-mrna-16154	K05759
nbis-mrna-15389	K24747
nbis-mrna-13308	K22188
nbis-mrna-13309	K01599
nbis-mrna-13312	K26076
nbis-mrna-13313	K01992
nbis-mrna-13316	K19603
nbis-mrna-13319	K05931
nbis-mrna-4015	K03681
nbis-mrna-4017	K18186
nbis-mrna-4020	K00586
nbis-mrna-4024	K03246
nbis-mrna-4025	K13024
nbis-mrna-4026	K00604
nbis-mrna-4030	K06975
nbis-mrna-4032	K00569
nbis-mrna-4033	K09086
nbis-mrna-14962	K19529
