#Host
RPACG00000000026.1	K12478
RPACG00000000881.1	K24935
RPACG00000000890.1	K16482
RPACG00000000891.1	K05607
RPACG00000000891.1	K01692
RPACG00000000894.1	K26098
RPACG00000000895.1	K08857
RPACG00000000903.2	K22537
RPACG00000000905.1	K11673
RPACG00000000906.1	K01869
RPACG00000000907.1	K04571
RPACG00000000908.1	K01112
RPACG00000000909.1	K15285
RPACG00000000910.1	K03037
RPACG00000000913.1	K01303
RPACG00000000914.1	K17423
RPACG00000000919.1	K02886
RPACG00000000920.1	K12627
RPACG00000000927.1	K12584
RPACG00000000929.1	K22556
RPACG00000000931.1	K10887
RPACG00000000934.1	K17307
RPACG00000000938.1	K17732
RPACG00000000939.1	K13985
RPACG00000000940.1	K13985
RPACG00000000945.1	K04365
RPACG00000000952.1	K00731
RPACG00000000953.1	K00731
RPACG00000000964.1	K23949
RPACG00000000966.1	K22827
RPACG00000000967.1	K06685
RPACG00000000968.1	K12898
RPACG00000000969.1	K12872
RPACG00000000970.1	K04802
RPACG00000000971.1	K00981
RPACG00000000971.1	K01992
RPACG00000000972.2	K14005
RPACG00000000978.1	K04097
RPACG00000000978.1	K00799
RPACG00000000982.1	K01866
RPACG00000000986.1	K23949
RPACG00000000988.1	K22696
RPACG00000000989.1	K16449
RPACG00000000990.1	K12881
RPACG00000000991.1	K10583
RPACG00000000992.1	K24864
RPACG00000000993.1	K00274
RPACG00000000994.1	K17823
RPACG00000000995.1	K04403
RPACG00000001000.1	K26118
RPACG00000001001.1	K02997
RPACG00000001003.1	K02427
RPACG00000001004.1	K06229
RPACG00000001005.1	K07204
RPACG00000001007.1	K25863
RPACG00000001008.1	K02087
RPACG00000001011.1	K00261
RPACG00000001012.1	K02863
RPACG00000001015.1	K12603
RPACG00000001018.1	K14459
RPACG00000001019.1	K17908
RPACG00000001020.1	K14015
RPACG00000001022.1	K01756
RPACG00000001029.1	K10858
RPACG00000001029.1	K25458
RPACG00000001034.1	K09191
RPACG00000001041.1	K01183
RPACG00000001057.1	K25163
RPACG00000001058.1	K23341
RPACG00000001060.1	K23387
RPACG00000001061.1	K11463
RPACG00000001062.1	K23040
RPACG00000001063.1	K11366
RPACG00000001064.1	K11166
RPACG00000001067.1	K10581
RPACG00000001071.1	K02374
RPACG00000001088.1	K00614
RPACG00000001098.1	K15296
RPACG00000001099.1	K23368
RPACG00000001100.1	K06927
RPACG00000001101.1	K05849
RPACG00000001103.1	K05849
RPACG00000001106.1	K20794
RPACG00000001107.1	K01939
RPACG00000001109.1	K01992
RPACG00000001112.1	K01992
RPACG00000001113.1	K01992
RPACG00000001116.1	K13026
RPACG00000001117.1	K08074
RPACG00000001118.1	K03131
RPACG00000001121.1	K01958
RPACG00000001137.1	K09339
RPACG00000001139.1	K23038
RPACG00000001140.1	K22863
RPACG00000001141.1	K17429
RPACG00000001152.1	K17286
RPACG00000001156.1	K15196
RPACG00000001157.1	K10478
RPACG00000001158.1	K15196
RPACG00000001159.1	K06269
RPACG00000001160.1	K14944
RPACG00000001161.1	K06105
RPACG00000001163.1	K04505
RPACG00000001165.1	K04505
RPACG00000001165.1	K01992
RPACG00000001168.1	K00911
RPACG00000001169.1	K21548
RPACG00000001170.1	K11583
RPACG00000001171.1	K12179
RPACG00000001178.1	K17548
RPACG00000001179.1	K04569
RPACG00000001179.1	K04565
RPACG00000001180.1	K22371
RPACG00000001185.1	K06057
RPACG00000001186.1	K23845
RPACG00000001187.1	K10417
RPACG00000001194.2	K06999
RPACG00000001196.1	K14289
RPACG00000001196.1	K20276
RPACG00000001203.1	K11790
RPACG00000001204.1	K09496
RPACG00000001210.1	K11660
RPACG00000001211.1	K13144
RPACG00000001212.1	K22557
RPACG00000001213.1	K04716
RPACG00000001214.1	K25861
RPACG00000001223.1	K06126
RPACG00000001224.1	K16772
RPACG00000001226.1	K09191
RPACG00000001227.1	K14290
RPACG00000001237.1	K19679
RPACG00000001238.1	K19679
RPACG00000001240.1	K08739
RPACG00000001257.1	K20878
RPACG00000001259.1	K01679
RPACG00000001260.1	K20362
RPACG00000001264.1	K13119
RPACG00000001267.1	K24680
RPACG00000001270.1	K24070
RPACG00000001270.1	K10798
RPACG00000001271.1	K01679
RPACG00000001272.1	K13514
RPACG00000001273.1	K24761
RPACG00000001274.1	K05546
RPACG00000001274.1	K01187
RPACG00000001275.1	K19751
RPACG00000001281.1	K02355
RPACG00000001283.1	K10306
RPACG00000001284.1	K12343
RPACG00000001285.1	K10325
RPACG00000001287.1	K17562
RPACG00000001289.2	K10667
RPACG00000001292.1	K08744
RPACG00000001293.1	K00621
RPACG00000001294.1	K18159
RPACG00000001295.1	K17610
RPACG00000001296.2	K14006
RPACG00000001297.1	K12231
RPACG00000001303.1	K15442
RPACG00000001304.1	K07140
RPACG00000001305.1	K11577
RPACG00000001306.1	K11577
RPACG00000001311.1	K10732
RPACG00000001312.1	K06889
RPACG00000001313.1	K07865
RPACG00000001315.1	K16860
RPACG00000001320.1	K19636
RPACG00000001321.1	K01992
RPACG00000001326.1	K01992
RPACG00000001327.1	K01992
RPACG00000001328.1	K23740
RPACG00000001331.1	K16746
RPACG00000001333.1	K25769
RPACG00000001334.1	K08991
RPACG00000001335.1	K22721
RPACG00000001336.1	K08493
RPACG00000001337.1	K03099
RPACG00000001338.1	K23506
RPACG00000001347.1	K01992
RPACG00000001348.1	K01992
RPACG00000001349.1	K01992
RPACG00000001370.1	K10162
RPACG00000001371.1	K10162
RPACG00000001373.1	K24974
RPACG00000001374.1	K01069
RPACG00000001375.1	K17981
RPACG00000001376.1	K12818
RPACG00000001377.1	K14997
RPACG00000001383.1	K06238
RPACG00000001399.1	K09228
RPACG00000001399.1	K09191
RPACG00000001401.1	K09515
RPACG00000001402.1	K11793
RPACG00000001410.1	K22194
RPACG00000001413.1	K06265
RPACG00000001415.1	K11481
RPACG00000001427.1	K06249
RPACG00000001431.1	K02607
RPACG00000001432.1	K24962
RPACG00000001433.1	K24456
RPACG00000001444.1	K05181
RPACG00000001465.1	K23573
RPACG00000001467.1	K14400
RPACG00000001468.1	K07917
RPACG00000001471.1	K07920
RPACG00000001472.1	K20792
RPACG00000001473.1	K01638
RPACG00000001489.1	K10758
RPACG00000001490.1	K15159
RPACG00000001493.1	K00012
RPACG00000001494.1	K03240
RPACG00000001495.1	K21245
RPACG00000001496.1	K07432
RPACG00000001497.1	K12586
RPACG00000001502.1	K20317
RPACG00000001525.1	K02907
RPACG00000001526.1	K00729
RPACG00000001527.2	K04498
RPACG00000001528.1	K14297
RPACG00000001529.1	K01444
RPACG00000001532.1	K00948
RPACG00000001533.1	K04649
RPACG00000001536.1	K10484
RPACG00000001538.1	K23952
RPACG00000001539.1	K01443
RPACG00000001540.1	K12669
RPACG00000001541.1	K00940
RPACG00000001543.1	K15708
RPACG00000001558.1	K16507
RPACG00000001559.1	K21412
RPACG00000001560.1	K18079
RPACG00000001563.1	K13109
RPACG00000001565.1	K06267
RPACG00000001566.1	K11864
RPACG00000001577.1	K01992
RPACG00000001587.1	K23194
RPACG00000001589.1	K11266
RPACG00000001591.1	K01858
RPACG00000001592.1	K23496
RPACG00000001593.1	K12613
RPACG00000001598.1	K18674
RPACG00000001599.1	K00021
RPACG00000001600.1	K03234
RPACG00000001607.1	K08283
RPACG00000001609.1	K00261
RPACG00000001611.1	K08202
RPACG00000001612.1	K06823
RPACG00000001616.1	K11125
RPACG00000001623.2	K04497
RPACG00000001624.1	K13105
RPACG00000001649.1	K15258
RPACG00000001650.2	K10477
RPACG00000001651.1	K02264
RPACG00000001654.1	K12600
RPACG00000001655.1	K05869
RPACG00000001655.1	K13105
RPACG00000001669.1	K01992
RPACG00000001692.1	K21449
RPACG00000001695.1	K05869
RPACG00000001695.1	K13105
RPACG00000001703.1	K10594
RPACG00000001716.1	K23882
RPACG00000001717.1	K06689
RPACG00000001720.1	K23958
RPACG00000001728.1	K16498
RPACG00000001729.1	K10394
RPACG00000001730.1	K03125
RPACG00000001734.1	K21440
RPACG00000001734.1	K06867
RPACG00000001737.1	K11854
RPACG00000001739.1	K11275
RPACG00000001740.1	K11275
RPACG00000001741.1	K11275
RPACG00000001742.1	K11275
RPACG00000001743.1	K11275
RPACG00000001744.1	K11275
RPACG00000001745.1	K11275
RPACG00000001746.1	K11275
RPACG00000001747.1	K11275
RPACG00000001748.1	K11275
RPACG00000001749.1	K11275
RPACG00000001750.1	K11275
RPACG00000001751.1	K11275
RPACG00000001752.1	K11275
RPACG00000001753.1	K11275
RPACG00000001754.1	K11275
RPACG00000001755.1	K11275
RPACG00000001756.1	K11275
RPACG00000001757.1	K11275
RPACG00000001758.1	K11275
RPACG00000001759.1	K11275
RPACG00000001760.1	K11275
RPACG00000001761.1	K11275
RPACG00000001762.1	K11275
RPACG00000001763.1	K11275
RPACG00000001771.1	K13192
RPACG00000001772.1	K14575
RPACG00000001774.1	K20163
RPACG00000001783.1	K10703
RPACG00000001793.1	K12405
RPACG00000001794.1	K10272
RPACG00000001809.1	K10847
RPACG00000001810.1	K25750
RPACG00000001814.1	K02880
RPACG00000001822.2	K19995
RPACG00000001823.2	K12397
RPACG00000001824.1	K17292
RPACG00000001826.1	K21358
RPACG00000001829.1	K06232
RPACG00000001843.1	K09191
RPACG00000001846.1	K15559
RPACG00000001847.1	K01868
RPACG00000001849.1	K01737
RPACG00000001850.1	K11339
RPACG00000001852.1	K10750
RPACG00000001855.1	K11247
RPACG00000001856.1	K03574
RPACG00000001858.1	K03023
RPACG00000001859.1	K03635
RPACG00000001895.1	K05606
RPACG00000001897.1	K01598
RPACG00000001902.1	K10310
RPACG00000001903.1	K03841
RPACG00000001908.1	K09131
RPACG00000001911.1	K14291
RPACG00000001913.1	K05812
RPACG00000001914.1	K22939
RPACG00000001918.1	K11126
RPACG00000001919.1	K15273
RPACG00000001920.1	K12479
RPACG00000001921.1	K22803
RPACG00000001922.1	K03676
RPACG00000001923.1	K14137
RPACG00000001939.1	K04280
RPACG00000001940.1	K04528
RPACG00000001941.1	K04528
RPACG00000001942.1	K04528
RPACG00000001956.1	K17201
RPACG00000001957.1	K03937
RPACG00000001958.1	K04661
RPACG00000001988.1	K00315
RPACG00000001989.1	K00544
RPACG00000001990.1	K20818
RPACG00000001992.1	K06639
RPACG00000001993.1	K05767
RPACG00000002028.1	K10089
RPACG00000002029.1	K05658
RPACG00000002029.1	K01992
RPACG00000002030.1	K21988
RPACG00000002032.1	K10740
RPACG00000002033.1	K20407
RPACG00000002037.2	K25078
RPACG00000002041.1	K08819
RPACG00000002042.2	K01107
RPACG00000002045.1	K00079
RPACG00000002047.1	K15144
RPACG00000002048.1	K07834
RPACG00000002049.1	K20408
RPACG00000002053.1	K24575
RPACG00000002058.1	K14410
RPACG00000002058.1	K19283
RPACG00000002059.1	K14410
RPACG00000002062.1	K16601
RPACG00000002063.1	K23886
RPACG00000002064.1	K25532
RPACG00000002065.1	K23957
RPACG00000002068.1	K14754
RPACG00000002094.1	K01915
RPACG00000002096.1	K01915
RPACG00000002098.1	K01915
RPACG00000002100.1	K01915
RPACG00000002101.1	K01915
RPACG00000002102.1	K01915
RPACG00000002108.1	K07937
RPACG00000002119.1	K14034
RPACG00000002121.1	K16748
RPACG00000002142.1	K16455
RPACG00000002143.1	K20701
RPACG00000002145.1	K14677
RPACG00000002164.1	K23739
RPACG00000002165.1	K03979
RPACG00000002167.1	K25210
RPACG00000002168.1	K05917
RPACG00000002172.1	K02163
RPACG00000002177.1	K21449
RPACG00000002196.1	K11138
RPACG00000002199.1	K11138
RPACG00000002201.1	K10284
RPACG00000002211.1	K10396
RPACG00000002212.1	K12309
RPACG00000002235.1	K01965
RPACG00000002242.1	K01992
RPACG00000002249.1	K26006
RPACG00000002257.1	K23934
RPACG00000002272.1	K02040
RPACG00000002275.1	K02040
RPACG00000002277.1	K05941
RPACG00000002277.1	K25587
RPACG00000002278.1	K23288
RPACG00000002280.1	K24990
RPACG00000002290.1	K18588
RPACG00000002291.1	K18588
RPACG00000002292.1	K12828
RPACG00000002320.1	K20316
RPACG00000002321.1	K18178
RPACG00000002322.1	K01992
RPACG00000002326.1	K03020
RPACG00000002327.1	K08515
RPACG00000002329.1	K03005
RPACG00000002333.1	K01992
RPACG00000002334.1	K13133
RPACG00000002335.1	K13133
RPACG00000002350.1	K02902
RPACG00000002351.1	K24929
RPACG00000002357.1	K09191
RPACG00000002362.1	K09191
RPACG00000002364.1	K00927
RPACG00000002365.2	K20290
RPACG00000002366.1	K24808
RPACG00000002370.1	K13122
RPACG00000002372.1	K17824
RPACG00000002375.1	K15148
RPACG00000002377.1	K19671
RPACG00000002378.1	K21594
RPACG00000002378.1	K01992
RPACG00000002380.1	K00142
RPACG00000002384.1	K08507
RPACG00000002394.1	K21870
RPACG00000002395.1	K23398
RPACG00000002397.1	K08958
RPACG00000002398.1	K16459
RPACG00000002410.1	K09191
RPACG00000002416.1	K08679
RPACG00000002417.1	K06627
RPACG00000002418.1	K03678
RPACG00000002419.1	K14802
RPACG00000002419.1	K01530
RPACG00000002423.1	K19202
RPACG00000002427.1	K01992
RPACG00000002436.1	K01992
RPACG00000002444.1	K07759
RPACG00000002451.1	K12948
RPACG00000002452.1	K11842
RPACG00000002453.1	K02889
RPACG00000002463.1	K03946
RPACG00000002464.1	K09191
RPACG00000002466.1	K01992
RPACG00000002469.1	K14343
RPACG00000002475.1	K08582
RPACG00000002476.1	K16480
RPACG00000002482.1	K03327
RPACG00000002483.1	K18081
RPACG00000002484.1	K17780
RPACG00000002485.1	K20314
RPACG00000002486.1	K15026
RPACG00000002491.1	K16749
RPACG00000002492.1	K14209
RPACG00000002493.1	K25417
RPACG00000002494.1	K10893
RPACG00000002497.1	K12348
RPACG00000002498.1	K11275
RPACG00000002499.1	K11275
RPACG00000002500.1	K11275
RPACG00000002501.1	K11275
RPACG00000002505.1	K10889
RPACG00000002508.1	K10260
RPACG00000002509.1	K15437
RPACG00000002510.1	K17544
RPACG00000002512.1	K03357
RPACG00000002513.1	K11353
RPACG00000002515.1	K03511
RPACG00000002516.1	K00965
RPACG00000002517.1	K02207
RPACG00000002518.1	K18038
RPACG00000002535.1	K17804
RPACG00000002537.1	K11986
RPACG00000002538.1	K15010
RPACG00000002544.1	K09550
RPACG00000002548.1	K21598
RPACG00000002549.1	K17589
RPACG00000002551.1	K09595
RPACG00000002555.1	K17866
RPACG00000002556.1	K06674
RPACG00000002559.1	K08963
RPACG00000002559.1	K00899
RPACG00000002561.1	K18423
RPACG00000002562.1	K05759
RPACG00000002569.1	K18426
RPACG00000002570.1	K11324
RPACG00000002572.1	K19828
RPACG00000002576.1	K09506
RPACG00000002578.1	K20309
RPACG00000002579.1	K23289
RPACG00000002581.1	K20056
RPACG00000002582.1	K18418
RPACG00000002583.1	K04679
RPACG00000002586.1	K01992
RPACG00000002597.1	K25174
RPACG00000002600.1	K03956
RPACG00000002606.1	K14648
RPACG00000002609.1	K22657
RPACG00000002615.1	K06704
RPACG00000002616.1	K15680
RPACG00000002619.1	K03241
RPACG00000002620.1	K25704
RPACG00000002622.1	K03013
RPACG00000002624.1	K07090
RPACG00000002624.1	K01992
RPACG00000002631.1	K01196
RPACG00000002633.1	K01196
RPACG00000002642.2	K08076
RPACG00000002644.1	K25304
RPACG00000002648.1	K24123
RPACG00000002652.1	K11343
RPACG00000002657.1	K17043
RPACG00000002659.1	K18629
RPACG00000002660.1	K09291
RPACG00000002665.1	K01816
RPACG00000002666.1	K01816
RPACG00000002668.1	K07883
RPACG00000002669.1	K03671
RPACG00000002671.1	K24013
RPACG00000002679.1	K14846
RPACG00000002682.2	K03680
RPACG00000002683.1	K03661
RPACG00000002695.1	K07763
RPACG00000002700.1	K12623
RPACG00000002703.1	K25185
RPACG00000002706.1	K20100
RPACG00000002708.1	K18260
RPACG00000002709.1	K08066
RPACG00000002710.1	K19679
RPACG00000002713.1	K01992
RPACG00000002715.1	K04381
RPACG00000002717.1	K19179
RPACG00000002717.1	K01126
RPACG00000002720.1	K10769
RPACG00000002721.1	K24729
RPACG00000002722.1	K10258
RPACG00000002723.1	K04634
RPACG00000002726.1	K00432
RPACG00000002727.1	K03363
RPACG00000002728.1	K20280
RPACG00000002746.1	K17796
RPACG00000002747.1	K14548
RPACG00000002748.2	K20221
RPACG00000002749.1	K02237
RPACG00000002756.1	K05284
RPACG00000002757.1	K10582
RPACG00000002764.1	K14299
RPACG00000002765.1	K16782
RPACG00000002767.1	K04681
RPACG00000002799.1	K09257
RPACG00000002799.1	K06867
RPACG00000002800.1	K03238
RPACG00000002811.1	K14404
RPACG00000002813.1	K19329
RPACG00000002828.1	K20412
RPACG00000002859.1	K24634
RPACG00000002861.1	K11275
RPACG00000002862.1	K18660
RPACG00000002864.1	K18660
RPACG00000002868.1	K25164
RPACG00000002871.1	K24027
RPACG00000002872.1	K02887
RPACG00000002873.1	K10867
RPACG00000002875.1	K02608
RPACG00000002876.1	K00102
RPACG00000002877.1	K02875
RPACG00000002878.1	K13355
RPACG00000002879.1	K03217
RPACG00000002882.1	K06671
RPACG00000002883.1	K09191
RPACG00000002886.1	K19871
RPACG00000002887.1	K09191
RPACG00000002889.1	K04532
RPACG00000002890.1	K15175
RPACG00000002891.1	K15498
RPACG00000002892.1	K12670
RPACG00000002894.1	K12946
RPACG00000002901.1	K19679
RPACG00000002901.1	K23573
RPACG00000002911.1	K20403
RPACG00000002912.1	K16727
RPACG00000002913.1	K11997
RPACG00000002919.1	K19986
RPACG00000002928.1	K18499
RPACG00000002936.1	K19934
RPACG00000002941.1	K24081
RPACG00000002942.1	K23966
RPACG00000002943.1	K06677
RPACG00000002959.1	K14316
RPACG00000002964.1	K10758
RPACG00000002974.1	K15542
RPACG00000002975.1	K15544
RPACG00000002976.1	K14539
RPACG00000002979.1	K25004
RPACG00000002979.1	K00297
RPACG00000002980.1	K23732
RPACG00000002984.1	K03263
RPACG00000002995.1	K07390
RPACG00000002996.1	K12373
RPACG00000002997.1	K25557
RPACG00000003001.1	K12663
RPACG00000003002.1	K25452
RPACG00000003003.1	K15047
RPACG00000003004.2	K01511
RPACG00000003005.1	K25473
RPACG00000003012.1	K20096
RPACG00000003013.1	K12173
RPACG00000003014.1	K15630
RPACG00000003015.1	K20067
RPACG00000003018.1	K13513
RPACG00000003019.1	K17906
RPACG00000003021.1	K17906
RPACG00000003022.1	K21403
RPACG00000003023.1	K01369
RPACG00000003025.1	K24435
RPACG00000003026.1	K01785
RPACG00000003028.1	K07375
RPACG00000003030.1	K13159
RPACG00000003033.1	K16602
RPACG00000003039.1	K07377
RPACG00000003043.1	K07377
RPACG00000003044.1	K01166
RPACG00000003046.1	K02926
RPACG00000003047.1	K16472
RPACG00000003048.1	K17575
RPACG00000003049.1	K03015
RPACG00000003062.1	K25546
RPACG00000003063.1	K19675
RPACG00000003064.1	K10297
RPACG00000003065.1	K23853
RPACG00000003067.1	K08490
RPACG00000003068.1	K00548
RPACG00000003072.1	K24678
RPACG00000003073.1	K24678
RPACG00000003076.1	K26052
RPACG00000003077.1	K00852
RPACG00000003078.1	K20352
RPACG00000003080.1	K18184
RPACG00000003082.1	K24814
RPACG00000003085.3	K03424
RPACG00000003086.1	K11545
RPACG00000003087.1	K01183
RPACG00000003089.1	K01183
RPACG00000003091.1	K01183
RPACG00000003092.1	K01183
RPACG00000003100.1	K21403
RPACG00000003104.1	K21403
