#Host
FUN000001-T1	K11253
FUN019283-T1	K21449
FUN019285-T1	K11096
FUN019292-T1	K17262
FUN019296-T1	K16578
FUN019297-T1	K16578
FUN019298-T1	K20472
FUN019299-T1	K11649
FUN019312-T1	K05606
FUN019319-T1	K14544
FUN019327-T1	K05305
FUN019328-T1	K17257
FUN019330-T1	K17257
FUN019331-T1	K13123
FUN019332-T1	K04699
FUN019333-T1	K18587
FUN019334-T1	K23345
FUN019335-T1	K20493
FUN019339-T1	K20305
FUN019346-T1	K14620
FUN019353-T1	K03783
FUN019357-T1	K03783
FUN019360-T1	K24173
FUN019361-T1	K25631
FUN023650-T1	K15290
FUN023653-T1	K19912
FUN023657-T1	K17280
FUN023658-T1	K24924
FUN023664-T1	K09067
FUN023668-T1	K00844
FUN023674-T1	K13907
FUN023677-T1	K17571
FUN023678-T1	K25426
FUN023680-T1	K19600
FUN023686-T1	K01992
FUN023694-T1	K16312
FUN023695-T1	K02884
FUN023701-T1	K10345
FUN023702-T1	K02899
FUN023703-T1	K06888
FUN023704-T1	K06888
FUN023705-T1	K06888
FUN023706-T1	K02268
FUN023713-T1	K12175
FUN023714-T1	K19672
FUN023715-T1	K19672
FUN023721-T1	K23092
FUN023724-T1	K23092
FUN023728-T1	K02130
FUN023729-T1	K14996
FUN027419-T1	K15528
FUN027420-T1	K15528
FUN027421-T1	K15528
FUN027422-T1	K26125
FUN027423-T1	K05306
FUN027425-T1	K14434
FUN027448-T1	K14776
FUN027449-T1	K11887
FUN027450-T1	K11807
FUN027451-T1	K05731
FUN027452-T1	K05662
FUN027452-T1	K01992
FUN027453-T1	K07393
FUN027454-T1	K00685
FUN027455-T1	K00167
FUN027463-T1	K24997
FUN027471-T1	K10990
FUN027472-T1	K08735
FUN027474-T1	K11538
FUN027479-T1	K24734
FUN027480-T1	K11547
FUN027482-T1	K25771
FUN027484-T1	K04459
FUN027485-T1	K20133
FUN027488-T1	K15009
FUN027489-T1	K07931
FUN027496-T1	K20641
FUN027499-T1	K06884
FUN027505-T1	K02842
FUN027505-T1	K01992
FUN030733-T1	K23309
FUN030734-T1	K20030
FUN030741-T1	K17776
FUN030743-T1	K04070
FUN030744-T1	K24633
FUN030745-T1	K20630
FUN030747-T1	K01992
FUN030754-T1	K14445
FUN030755-T1	K14445
FUN030756-T1	K14445
FUN030759-T1	K17382
FUN030769-T1	K07216
FUN030771-T1	K07508
FUN030773-T1	K20526
FUN030776-T1	K24874
FUN030780-T1	K14862
FUN030781-T1	K14862
FUN030796-T1	K13247
FUN030800-T1	K01115
FUN033593-T1	K19489
FUN033599-T1	K19949
FUN033600-T1	K15365
FUN033601-T1	K10144
FUN033607-T1	K09651
FUN033612-T1	K13207
FUN033617-T1	K02602
FUN033618-T1	K13353
FUN033630-T1	K25458
FUN033636-T1	K12184
FUN033637-T1	K17259
FUN033638-T1	K17259
FUN033638-T1	K17428
FUN033640-T1	K10305
FUN033641-T1	K25753
FUN033642-T1	K01050
FUN033648-T1	K25477
FUN033672-T1	K01158
FUN036331-T1	K07189
FUN036341-T1	K01689
FUN036342-T1	K21441
FUN036368-T1	K14683
FUN036373-T1	K14792
FUN036374-T1	K14792
FUN036375-T1	K03010
FUN036379-T1	K01672
FUN036383-T1	K21798
FUN036391-T1	K25388
FUN036392-T1	K16219
FUN036394-T1	K01992
FUN036396-T1	K12735
FUN036405-T1	K24141
FUN036408-T1	K00387
FUN036410-T1	K00387
FUN036413-T1	K23896
FUN038740-T1	K21310
FUN038742-T1	K15198
FUN038763-T1	K02159
FUN038764-T1	K18061
FUN038767-T1	K19730
FUN038769-T1	K01992
FUN038776-T1	K22765
FUN038779-T1	K24768
FUN038781-T1	K08730
FUN038782-T1	K10579
FUN038786-T1	K22861
FUN038788-T1	K16309
FUN038790-T1	K24939
FUN038791-T1	K19752
FUN038792-T1	K13676
FUN038793-T1	K03944
FUN038794-T1	K02949
FUN038795-T1	K17533
FUN038809-T1	K00103
FUN038815-T1	K11298
FUN038816-T1	K14018
FUN038817-T1	K02930
FUN038818-T1	K15707
FUN038819-T1	K19787
FUN038820-T1	K12737
FUN038821-T1	K16583
FUN038822-T1	K13775
FUN038825-T1	K02969
FUN038826-T1	K17086
FUN038826-T1	K01992
FUN038827-T1	K07739
FUN038839-T1	K12303
FUN000143-T1	K18460
FUN000147-T1	K01480
FUN000152-T1	K10104
FUN000152-T1	K25360
FUN000152-T1	K25359
FUN000152-T1	K08767
FUN000152-T1	K22288
FUN000152-T1	K10417
FUN000164-T1	K10104
FUN000172-T1	K09866
FUN000196-T1	K01050
FUN002113-T1	K08588
FUN002114-T1	K01824
FUN002115-T1	K08867
FUN002125-T1	K22610
FUN002126-T1	K11290
FUN002132-T1	K01137
FUN002135-T1	K24030
FUN002142-T1	K24973
FUN002143-T1	K23554
FUN002150-T1	K23554
FUN002152-T1	K07897
FUN002153-T1	K22856
FUN002154-T1	K06867
FUN002155-T1	K08218
FUN002165-T1	K15278
FUN002166-T1	K03424
FUN002174-T1	K07374
FUN002177-T1	K09487
FUN002177-T1	K04079
FUN002178-T1	K24944
FUN002179-T1	K06176
FUN002180-T1	K08832
FUN002183-T1	K00966
FUN002184-T1	K17255
FUN002194-T1	K21870
FUN002195-T1	K21870
FUN002197-T1	K21870
FUN003818-T1	K03377
FUN003819-T1	K20162
FUN003821-T1	K22188
FUN003828-T1	K00737
FUN003829-T1	K20174
FUN003829-T1	K06691
FUN003838-T1	K22735
FUN003839-T1	K00476
FUN003840-T1	K04794
FUN003841-T1	K20179
FUN003843-T1	K03130
FUN003844-T1	K00801
FUN003880-T1	K07189
FUN003883-T1	K01872
FUN003883-T1	K03232
FUN003884-T1	K14530
FUN003885-T1	K11506
FUN003886-T1	K18172
FUN003888-T1	K17335
FUN003890-T1	K13289
FUN005334-T1	K05302
FUN005335-T1	K11314
FUN005342-T1	K20299
FUN005343-T1	K23167
FUN005343-T1	K00344
FUN005356-T1	K00022
FUN005357-T1	K10845
FUN005359-T1	K12382
FUN005360-T1	K20790
FUN005360-T1	K00940
FUN005363-T1	K26109
FUN005369-T1	K21988
FUN005384-T1	K01992
FUN005393-T1	K02857
FUN005395-T1	K12834
FUN005396-T1	K14777
FUN005399-T1	K16540
FUN005400-T1	K12580
FUN005404-T1	K07953
FUN005405-T1	K17403
FUN005406-T1	K14007
FUN005407-T1	K14007
FUN005420-T1	K18441
FUN005424-T1	K24739
FUN006650-T1	K09592
FUN006651-T1	K06990
FUN006653-T1	K20183
FUN006653-T1	K14008
FUN006653-T1	K20177
FUN006656-T1	K08900
FUN006657-T1	K13157
FUN006658-T1	K22390
FUN006661-T1	K22390
FUN006663-T1	K03848
FUN006663-T1	K01992
FUN006664-T1	K08798
FUN006665-T1	K10880
FUN006667-T1	K18025
FUN006669-T1	K11495
FUN006672-T1	K02270
FUN006676-T1	K15434
FUN006679-T1	K15434
FUN006689-T1	K10435
FUN006708-T1	K01992
FUN006710-T1	K12586
FUN006714-T1	K21245
FUN006715-T1	K03240
FUN006716-T1	K00012
FUN006717-T1	K14400
FUN006718-T1	K07917
FUN006721-T1	K07920
FUN006722-T1	K20792
FUN006723-T1	K01638
FUN006730-T1	K15159
FUN007912-T1	K12272
FUN007915-T1	K12275
FUN007926-T1	K01992
FUN007954-T1	K01992
FUN007956-T1	K16585
FUN007957-T1	K05210
FUN007962-T1	K25874
FUN007964-T1	K23001
FUN007965-T1	K14721
FUN007967-T1	K23733
FUN007971-T1	K16524
FUN007974-T1	K01992
FUN007975-T1	K00876
FUN007977-T1	K17542
FUN007979-T1	K21988
FUN009011-T1	K11089
FUN009012-T1	K11089
FUN009013-T1	K11089
FUN009014-T1	K14826
FUN009014-T1	K01802
FUN009023-T1	K08892
FUN009024-T1	K12878
FUN009025-T1	K15277
FUN009031-T1	K11539
FUN009031-T1	K00059
FUN009032-T1	K16771
FUN009033-T1	K14003
FUN009035-T1	K17579
FUN009036-T1	K13115
FUN009037-T1	K05863
FUN009048-T1	K16743
FUN009049-T1	K14686
FUN009050-T1	K04711
FUN009052-T1	K08673
FUN009053-T1	K13288
FUN009058-T1	K16190
FUN009060-T1	K08745
FUN009061-T1	K03679
FUN009066-T1	K08871
FUN009067-T1	K14963
FUN009068-T1	K11317
FUN009073-T1	K00816
FUN009074-T1	K00816
FUN009075-T1	K12867
FUN009077-T1	K20225
FUN009078-T1	K03016
FUN010041-T1	K17407
FUN010042-T1	K07023
FUN010045-T1	K14640
FUN010047-T1	K14640
FUN010061-T1	K09320
FUN010073-T1	K00600
FUN010074-T1	K15275
FUN010074-T1	K01992
FUN010085-T1	K14638
FUN010087-T1	K24735
FUN010089-T1	K04671
FUN010090-T1	K09583
FUN010093-T1	K17530
FUN010093-T1	K08805
FUN010099-T1	K01283
FUN010100-T1	K01283
FUN010106-T1	K09321
FUN010108-T1	K01136
FUN010110-T1	K01783
FUN010113-T1	K15105
FUN010114-T1	K01992
FUN010122-T1	K08851
FUN010124-T1	K15687
FUN010126-T1	K10838
FUN010130-T1	K13667
FUN010131-T1	K18465
FUN010978-T1	K21870
FUN010979-T1	K21870
FUN010981-T1	K15382
FUN010984-T1	K04463
FUN010989-T1	K01530
FUN010994-T1	K09481
FUN011004-T1	K01278
FUN011013-T1	K04398
FUN011014-T1	K03959
FUN011016-T1	K09533
FUN011027-T1	K22644
FUN011035-T1	K16747
FUN011036-T1	K16747
FUN011039-T1	K24053
FUN011040-T1	K11067
FUN011939-T1	K11206
FUN011940-T1	K25809
FUN011943-T1	K10576
FUN011946-T1	K08811
FUN011947-T1	K03032
FUN011952-T1	K24095
FUN011956-T1	K01992
FUN011957-T1	K01992
FUN011959-T1	K01054
FUN011961-T1	K01992
FUN011962-T1	K16344
FUN011963-T1	K18762
FUN011964-T1	K18762
FUN011970-T1	K23964
FUN011973-T1	K25138
FUN011977-T1	K24070
FUN011977-T1	K10798
FUN011981-T1	K13514
FUN011982-T1	K24761
FUN011983-T1	K05546
FUN011983-T1	K01187
FUN011984-T1	K19751
FUN011991-T1	K07755
FUN011994-T1	K09191
FUN011995-T1	K09191
FUN012009-T1	K05030
FUN012012-T1	K15261
FUN012013-T1	K15261
FUN012933-T1	K20289
FUN012935-T1	K03120
FUN012936-T1	K02727
FUN012938-T1	K16449
FUN012941-T1	K03430
FUN012943-T1	K25773
FUN012961-T1	K00803
FUN012964-T1	K02726
FUN012967-T1	K00953
FUN012969-T1	K22941
FUN012970-T1	K13350
FUN012982-T1	K01369
FUN012983-T1	K04512
FUN012992-T1	K06959
FUN012993-T1	K07943
FUN012994-T1	K20839
FUN012995-T1	K16460
FUN012996-T1	K22197
FUN012997-T1	K23687
FUN013711-T1	K11824
FUN013713-T1	K16184
FUN013730-T1	K08776
FUN013733-T1	K17551
FUN013735-T1	K24254
FUN013736-T1	K24254
FUN013744-T1	K09191
FUN013754-T1	K24734
FUN013755-T1	K17923
FUN013763-T1	K25751
FUN013766-T1	K00033
FUN013771-T1	K01933
FUN013771-T1	K11175
FUN013772-T1	K01945
FUN013774-T1	K17500
FUN013778-T1	K09228
FUN013778-T1	K09191
FUN013779-T1	K09228
FUN013779-T1	K09191
FUN013780-T1	K09228
FUN013780-T1	K09191
FUN013781-T1	K20726
FUN013783-T1	K10645
FUN013784-T1	K02353
FUN013789-T1	K06069
FUN013790-T1	K10365
FUN013791-T1	K00797
FUN014438-T1	K09090
FUN014454-T1	K17605
FUN014457-T1	K17580
FUN014458-T1	K03953
FUN014459-T1	K12859
FUN014460-T1	K02835
FUN014489-T1	K12600
FUN014492-T1	K02264
FUN014493-T1	K15258
FUN014494-T1	K20823
FUN014495-T1	K13151
FUN014499-T1	K08997
FUN014501-T1	K16896
FUN014502-T1	K24839
FUN014504-T1	K16904
FUN014505-T1	K03941
FUN014505-T1	K00338
FUN014514-T1	K01372
FUN014515-T1	K15523
FUN014516-T1	K15523
FUN015140-T1	K08741
FUN015146-T1	K17888
FUN015154-T1	K08835
FUN015161-T1	K00718
FUN015169-T1	K01194
FUN015183-T1	K16731
FUN015187-T1	K23390
FUN015188-T1	K03627
FUN015192-T1	K05125
FUN015194-T1	K15445
FUN015197-T1	K05125
FUN015788-T1	K19529
FUN015792-T1	K17589
FUN015796-T1	K23847
FUN015798-T1	K14298
FUN015805-T1	K23693
FUN015806-T1	K09595
FUN015806-T1	K01992
FUN015811-T1	K17866
FUN015812-T1	K06674
FUN015813-T1	K06674
FUN015840-T1	K16466
FUN015842-T1	K11725
FUN015848-T1	K10890
FUN015849-T1	K11980
FUN016441-T1	K12383
FUN016450-T1	K16498
FUN016453-T1	K20632
FUN016457-T1	K08582
FUN016459-T1	K19366
FUN016474-T1	K13133
FUN016475-T1	K01992
FUN016479-T1	K03005
FUN016481-T1	K08515
FUN016482-T1	K03020
FUN016490-T1	K01992
FUN016491-T1	K18178
FUN016492-T1	K20316
FUN017073-T1	K05294
FUN017074-T1	K05294
FUN017077-T1	K16535
FUN017080-T1	K00522
FUN017081-T1	K00522
FUN017088-T1	K00522
FUN017091-T1	K06813
FUN017096-T1	K00485
FUN017097-T1	K00485
FUN017102-T1	K01099
FUN017110-T1	K10752
FUN017111-T1	K20068
FUN017115-T1	K00626
FUN017117-T1	K21435
FUN017698-T1	K23194
FUN017699-T1	K11266
FUN017716-T1	K10310
FUN017719-T1	K09131
FUN017724-T1	K14291
FUN017726-T1	K05812
FUN017727-T1	K22939
FUN017732-T1	K12373
FUN017734-T1	K12373
FUN017736-T1	K12373
FUN017737-T1	K12373
FUN017754-T1	K03454
FUN018237-T1	K25806
FUN018238-T1	K14771
FUN018239-T1	K11661
FUN018242-T1	K18628
FUN018244-T1	K15100
FUN018245-T1	K00029
FUN018246-T1	K16280
FUN018262-T1	K14855
FUN018263-T1	K02881
FUN018265-T1	K01992
FUN018269-T1	K00999
FUN018273-T1	K01992
FUN018276-T1	K11428
FUN018282-T1	K22037
FUN018283-T1	K22037
FUN018287-T1	K22037
FUN018736-T1	K07374
FUN018738-T1	K20799
FUN018740-T1	K00844
FUN018742-T1	K11501
FUN018743-T1	K06425
FUN018758-T1	K12667
FUN018770-T1	K23312
FUN018771-T1	K22644
FUN018782-T1	K03873
FUN019364-T1	K21625
FUN019365-T1	K01900
FUN019366-T1	K03002
FUN019370-T1	K11251
FUN019371-T1	K11252
FUN019372-T1	K11251
FUN019377-T1	K12897
FUN019379-T1	K07910
FUN019380-T1	K11550
FUN019383-T1	K02901
FUN019387-T1	K00699
FUN019389-T1	K11251
FUN019390-T1	K11252
FUN019391-T1	K11251
FUN019405-T1	K03870
FUN019408-T1	K01992
FUN019414-T1	K22400
FUN019415-T1	K12345
FUN019424-T1	K01992
FUN019426-T1	K15111
FUN019433-T1	K20300
FUN019434-T1	K05925
FUN019436-T1	K12196
FUN019437-T1	K23902
FUN019438-T1	K23902
FUN019811-T1	K22017
FUN019812-T1	K22017
FUN019813-T1	K14938
FUN019814-T1	K12398
FUN019820-T1	K15324
FUN019823-T1	K21449
FUN019827-T1	K22037
FUN019828-T1	K22037
FUN019831-T1	K11848
FUN019843-T1	K07025
FUN019848-T1	K00728
FUN019855-T1	K09106
FUN019856-T1	K09486
FUN019858-T1	K15377
FUN019860-T1	K01992
FUN020286-T1	K01466
FUN020289-T1	K12734
FUN020290-T1	K14464
FUN020290-T1	K00753
FUN020291-T1	K10390
FUN020292-T1	K17767
FUN020293-T1	K04510
FUN020294-T1	K09555
FUN020296-T1	K02131
FUN020297-T1	K09441
FUN020298-T1	K19755
FUN020300-T1	K06874
FUN020301-T1	K06874
FUN020302-T1	K11518
FUN020322-T1	K20471
FUN020325-T1	K01749
FUN020327-T1	K09191
FUN020333-T1	K00231
FUN020343-T1	K00734
FUN020344-T1	K13505
FUN020345-T1	K17681
FUN020347-T1	K10275
FUN020348-T1	K22137
FUN020349-T1	K06688
FUN020350-T1	K23334
FUN020355-T1	K05285
FUN020355-T1	K01992
FUN020365-T1	K08076
FUN020721-T1	K14308
FUN020725-T1	K21918
FUN020728-T1	K05038
FUN020732-T1	K00825
FUN020739-T1	K01493
FUN020743-T1	K01824
FUN020750-T1	K08805
FUN020751-T1	K01587
FUN020760-T1	K20526
FUN020770-T1	K23820
FUN021196-T1	K15181
FUN021198-T1	K15181
FUN021199-T1	K14767
FUN021200-T1	K01763
FUN021200-T1	K04487
FUN021201-T1	K11146
FUN021202-T1	K23562
FUN021204-T1	K01489
FUN021207-T1	K14833
FUN021226-T1	K08493
FUN021240-T1	K15202
FUN021243-T1	K14676
FUN021243-T1	K07001
FUN021247-T1	K20278
FUN021249-T1	K06114
FUN021257-T1	K16746
FUN021258-T1	K23740
FUN021627-T1	K07513
FUN021628-T1	K23308
FUN021641-T1	K23588
FUN021642-T1	K07374
FUN021643-T1	K09191
FUN021650-T1	K14611
FUN021656-T1	K00671
FUN021658-T1	K09521
FUN021700-T1	K23552
FUN021701-T1	K08331
FUN021703-T1	K18667
FUN021704-T1	K23567
FUN021705-T1	K24685
FUN022076-T1	K14550
FUN022077-T1	K23901
FUN022079-T1	K11375
FUN022080-T1	K10321
FUN022081-T1	K10321
FUN022082-T1	K08790
FUN022085-T1	K03135
FUN022087-T1	K18575
FUN022088-T1	K21413
FUN022102-T1	K10738
FUN022107-T1	K22991
FUN022124-T1	K09668
FUN022128-T1	K09516
FUN022460-T1	K02967
FUN022461-T1	K13132
FUN022466-T1	K06170
FUN022467-T1	K12836
FUN022469-T1	K12836
FUN022470-T1	K13205
FUN022471-T1	K10134
FUN022472-T1	K02975
FUN022473-T1	K17768
FUN022478-T1	K00249
FUN022479-T1	K24195
FUN022479-T1	K01992
FUN022490-T1	K05125
FUN022493-T1	K20235
FUN022494-T1	K15139
FUN022496-T1	K02936
FUN022497-T1	K17725
FUN022497-T1	K01069
FUN022499-T1	K17725
FUN022499-T1	K01069
FUN022500-T1	K16752
FUN022504-T1	K11671
FUN022505-T1	K02513
FUN022506-T1	K14311
FUN022507-T1	K00555
FUN022518-T1	K23820
FUN022895-T1	K08025
FUN022907-T1	K10980
FUN022925-T1	K00898
FUN022926-T1	K10728
FUN022927-T1	K11651
FUN022928-T1	K11492
FUN022931-T1	K12741
FUN022934-T1	K12741
FUN022935-T1	K11832
FUN022936-T1	K19761
FUN022939-T1	K06841
FUN022943-T1	K05030
FUN023250-T1	K25218
FUN023253-T1	K12893
FUN023257-T1	K07232
FUN023259-T1	K07232
FUN023270-T1	K17496
FUN023271-T1	K25139
FUN023290-T1	K08490
FUN023291-T1	K00548
FUN023292-T1	K00548
FUN023295-T1	K24678
FUN023295-T1	K24679
FUN023298-T1	K26052
FUN023299-T1	K00852
FUN023301-T1	K20352
FUN023303-T1	K18184
FUN023305-T1	K24814
FUN023307-T1	K03424
FUN023309-T1	K01183
FUN023310-T1	K01183
FUN023313-T1	K01183
FUN023742-T1	K15199
FUN023748-T1	K14004
FUN023755-T1	K01875
FUN023765-T1	K22075
FUN023772-T1	K12591
FUN023776-T1	K17432
FUN023778-T1	K02311
FUN023779-T1	K16458
FUN023789-T1	K00408
FUN023793-T1	K23800
FUN023795-T1	K00922
FUN023803-T1	K12307
FUN023804-T1	K07096
FUN023805-T1	K02738
FUN023812-T1	K08864
FUN024142-T1	K24740
FUN024143-T1	K13136
FUN024144-T1	K07575
FUN024146-T1	K16461
FUN024148-T1	K24940
FUN024152-T1	K18403
FUN024156-T1	K16498
FUN024182-T1	K23460
FUN024183-T1	K14209
FUN024183-T1	K01992
FUN024185-T1	K06061
FUN024188-T1	K09488
FUN024188-T1	K04079
FUN024189-T1	K02155
FUN024190-T1	K10693
FUN024546-T1	K09497
FUN024549-T1	K03964
FUN024552-T1	K14616
FUN024553-T1	K21954
FUN024559-T1	K12491
FUN024563-T1	K15189
FUN024564-T1	K12200
FUN024565-T1	K17919
FUN024568-T1	K04565
FUN024569-T1	K04565
FUN024575-T1	K00784
FUN024576-T1	K01192
FUN024942-T1	K22285
FUN024945-T1	K08098
FUN024950-T1	K16684
FUN024952-T1	K04552
FUN024955-T1	K11414
FUN024955-T1	K12410
FUN024962-T1	K24272
FUN024963-T1	K19361
FUN024965-T1	K01409
FUN024968-T1	K10274
FUN024970-T1	K06530
FUN024974-T1	K00759
FUN024976-T1	K01081
FUN024977-T1	K24725
FUN024983-T1	K06530
FUN024990-T1	K13748
FUN025318-T1	K17548
FUN025319-T1	K03869
FUN025320-T1	K01540
FUN025323-T1	K01540
FUN025336-T1	K13173
FUN025340-T1	K23893
FUN025354-T1	K03347
FUN025363-T1	K00846
FUN025364-T1	K07562
FUN025371-T1	K15143
FUN025684-T1	K01737
FUN025686-T1	K01868
FUN025687-T1	K15559
FUN025717-T1	K01992
FUN025721-T1	K17609
FUN025724-T1	K03768
FUN025725-T1	K03767
FUN025725-T1	K03768
FUN025726-T1	K24050
FUN025729-T1	K10380
FUN025730-T1	K12811
FUN025742-T1	K00804
FUN025746-T1	K14964
FUN025747-T1	K08853
FUN026028-T1	K24419
FUN026037-T1	K00432
FUN026038-T1	K00253
FUN026045-T1	K01183
FUN026046-T1	K01183
FUN026048-T1	K01183
FUN026049-T1	K01183
FUN026050-T1	K01183
FUN026051-T1	K01183
FUN026054-T1	K01183
FUN026057-T1	K01183
FUN026062-T1	K01183
FUN026069-T1	K15192
FUN026070-T1	K12471
FUN026072-T1	K22816
FUN026073-T1	K05757
FUN026077-T1	K12847
FUN026079-T1	K24478
FUN026085-T1	K14569
FUN026086-T1	K09037
FUN026401-T1	K24553
FUN026401-T1	K01992
FUN026402-T1	K15716
FUN026404-T1	K05758
FUN026405-T1	K11543
FUN026406-T1	K26099
FUN026407-T1	K00072
FUN026408-T1	K04078
FUN026409-T1	K04077
FUN026419-T1	K09651
FUN026420-T1	K00710
FUN026422-T1	K04316
FUN026424-T1	K22037
FUN026425-T1	K22037
FUN026426-T1	K13125
FUN026427-T1	K16803
FUN026428-T1	K17705
FUN026429-T1	K01080
FUN026430-T1	K01080
FUN026433-T1	K01080
FUN026434-T1	K23909
FUN026437-T1	K21449
FUN026445-T1	K24822
FUN026446-T1	K11491
FUN026449-T1	K23437
FUN026450-T1	K07119
FUN026752-T1	K14006
FUN026753-T1	K17610
FUN026754-T1	K18159
FUN026755-T1	K00621
FUN026756-T1	K08744
FUN026760-T1	K10667
FUN026761-T1	K17562
FUN026763-T1	K02958
FUN026775-T1	K14692
FUN026781-T1	K00698
FUN026782-T1	K00698
FUN026791-T1	K11416
FUN026804-T1	K01183
FUN026805-T1	K01183
FUN026807-T1	K01183
FUN026809-T1	K01183
FUN026811-T1	K23957
FUN026815-T1	K25401
FUN026819-T1	K14708
FUN027100-T1	K15174
FUN027103-T1	K21032
FUN027105-T1	K15142
FUN027106-T1	K18384
FUN027106-T1	K01777
FUN027109-T1	K22195
FUN027110-T1	K24971
FUN027118-T1	K14402
FUN027120-T1	K14402
FUN027123-T1	K16530
FUN027126-T1	K03353
FUN027127-T1	K01809
FUN027128-T1	K24982
FUN027129-T1	K03006
FUN027131-T1	K00357
FUN027132-T1	K22376
FUN027134-T1	K25720
FUN027140-T1	K08000
FUN027143-T1	K01719
FUN027146-T1	K09214
FUN027146-T1	K09191
FUN027159-T1	K01992
FUN027517-T1	K01758
FUN027517-T1	K01760
FUN027521-T1	K10393
FUN027522-T1	K10777
FUN027524-T1	K25202
FUN027535-T1	K01992
FUN027538-T1	K07189
FUN027545-T1	K10580
FUN027546-T1	K00643
FUN027561-T1	K11418
FUN027865-T1	K08857
FUN027866-T1	K26098
FUN027868-T1	K05607
FUN027868-T1	K01692
FUN027869-T1	K16482
FUN027893-T1	K18207
FUN027894-T1	K23167
FUN027896-T1	K01810
FUN027898-T1	K25743
FUN027906-T1	K24037
FUN027908-T1	K10694
FUN027909-T1	K14994
FUN028159-T1	K00624
FUN028168-T1	K24428
FUN028190-T1	K01992
FUN028198-T1	K14794
FUN028206-T1	K14381
FUN028208-T1	K07197
FUN028210-T1	K12572
FUN028211-T1	K25228
FUN028212-T1	K14856
FUN028215-T1	K09428
FUN028216-T1	K11316
FUN028217-T1	K24937
FUN028218-T1	K24937
FUN028532-T1	K20777
FUN028533-T1	K18164
FUN028534-T1	K10950
FUN028537-T1	K22989
FUN028538-T1	K01870
FUN028554-T1	K13207
FUN028556-T1	K01992
FUN028558-T1	K08595
FUN028559-T1	K03386
FUN028560-T1	K25625
FUN028566-T1	K10860
FUN028567-T1	K20819
FUN028569-T1	K02367
FUN028572-T1	K13806
FUN028579-T1	K02127
FUN028580-T1	K11515
FUN028581-T1	K11515
FUN028583-T1	K17301
FUN028585-T1	K19375
FUN028587-T1	K22070
FUN028588-T1	K23965
FUN028589-T1	K23965
FUN028591-T1	K01992
FUN028592-T1	K09554
FUN028593-T1	K09085
FUN028594-T1	K19476
FUN028595-T1	K09540
FUN028847-T1	K08877
FUN028850-T1	K18411
FUN028851-T1	K02879
FUN028852-T1	K23794
FUN028879-T1	K09103
FUN028882-T1	K25471
FUN028884-T1	K25471
FUN028885-T1	K23404
FUN028886-T1	K17405
FUN029129-T1	K01066
FUN029130-T1	K01992
FUN029146-T1	K03960
FUN029147-T1	K02208
FUN029148-T1	K01611
FUN029149-T1	K01611
FUN029150-T1	K11390
FUN029150-T1	K01644
FUN029153-T1	K19525
FUN029155-T1	K14572
FUN029160-T1	K14572
FUN029161-T1	K14572
FUN029164-T1	K09554
FUN029165-T1	K09554
FUN029166-T1	K09085
FUN029167-T1	K22755
